Rk,Player,Age,Team,Pos,G,TS%,FTr,OWS,DWS,WS,Awards,season,is_playoff
1.0,Jack Coleman,25.0,ROC,PF,68.0,0.412,0.183,1.9,2.5,4.3,,1950,False
2.0,Joe Fulks,28.0,PHW,PF,68.0,0.346,0.348,-4.4,3.7,-0.8,,1950,False
3.0,Harry Gallatin,22.0,NYK,,68.0,0.487,0.551,6.5,1.4,7.8,,1950,False
4.0,Chuck Gilmur,27.0,WSC,,68.0,0.431,0.636,2.3,2.0,4.3,,1950,False
5.0,Chick Halbert,30.0,WSC,,68.0,0.454,0.616,2.4,1.2,3.6,,1950,False
6.0,Sonny Hertzberg,27.0,BOS,,68.0,0.365,0.221,-0.9,1.6,0.7,,1950,False
7.0,Red Holzman,29.0,ROC,PG,68.0,0.388,0.336,0.9,1.7,2.5,,1950,False
8.0,Arnie Johnson,29.0,ROC,SF,68.0,0.493,0.782,4.8,2.4,7.2,,1950,False
9.0,Ariel Maughan,26.0,STB,,68.0,0.359,0.357,-1.1,0.6,-0.5,,1950,False
10.0,Dick McGuire,24.0,NYK,PG,68.0,0.417,0.556,3.4,1.9,5.3,,1950,False
11.0,Stan Miasek,26.0,CHS,,68.0,0.445,0.478,2.8,2.9,5.8,,1950,False
12.0,George Mikan,25.0,MNL,C,68.0,0.487,0.456,15.3,5.8,21.1,NBA1,1950,False
13.0,Vern Mikkelsen,21.0,MNL,PF,68.0,0.466,0.396,5.6,3.6,9.2,,1950,False
14.0,Dick O'Keefe,26.0,WSC,,68.0,0.383,0.384,0.2,1.9,2.1,,1950,False
15.0,Fred Schaus,24.0,FTW,,68.0,0.426,0.331,4.0,4.3,8.4,NBA2,1950,False
16.0,George Senesky,27.0,PHW,PG,68.0,0.379,0.315,0.7,3.7,4.4,,1950,False
17.0,Odie Spears,25.0,CHS,SF,68.0,0.406,0.297,1.9,3.7,5.6,,1950,False
18.0,Blackie Towery,29.0,BLB,,68.0,0.389,0.298,0.7,1.9,2.6,,1950,False
19.0,Brady Walker,28.0,BOS,PF,68.0,0.401,0.196,0.9,1.0,1.9,,1950,False
20.0,Bobby Wanzer,28.0,ROC,,68.0,0.515,0.572,8.6,1.9,10.5,,1950,False
21.0,Max Zaslofsky,24.0,CHS,SG,68.0,0.429,0.337,4.8,3.6,8.4,NBA1,1950,False
22.0,Leo Barnhorst,25.0,CHS,SF,67.0,0.394,0.259,0.9,2.8,3.6,,1950,False
23.0,Carl Braun,22.0,NYK,,67.0,0.434,0.365,5.2,1.9,7.2,,1950,False
24.0,Andy Duncan,27.0,ROC,,67.0,0.461,0.374,2.0,1.4,3.4,,1950,False
25.0,Kleggie Hermsen,26.0,CHS,,67.0,0.377,0.402,-0.2,3.3,3.0,,1950,False
26.0,Ed Macauley,21.0,STB,,67.0,0.485,0.599,9.7,0.9,10.6,,1950,False
27.0,Slater Martin,24.0,MNL,PG,67.0,0.395,0.308,0.9,2.6,3.5,,1950,False
28.0,Chick Reiser,35.0,WSC,,67.0,0.4,0.393,1.7,2.2,3.9,,1950,False
29.0,Bill Roberts,24.0,STB,,67.0,0.38,0.176,-0.1,0.3,0.2,,1950,False
30.0,Howie Shannon,26.0,BOS,,67.0,0.404,0.282,1.5,1.4,2.9,,1950,False
31.0,Walt Budko,24.0,BLB,PF,66.0,0.388,0.403,0.7,2.0,2.7,,1950,False
32.0,Bob Carpenter,32.0,FTW,,66.0,0.421,0.415,2.2,2.8,5.0,,1950,False
33.0,Fran Curran,27.0,ROC,,66.0,0.579,1.026,5.5,1.1,6.6,,1950,False
34.0,Bob Harrison,22.0,MNL,,66.0,0.394,0.213,0.7,2.7,3.5,,1950,False
35.0,Leo Klier,26.0,FTW,,66.0,0.379,0.368,0.1,2.9,3.0,,1950,False
36.0,Easy Parham,28.0,STB,,66.0,0.362,0.423,-0.5,0.6,0.1,,1950,False
37.0,Jim Pollard,27.0,MNL,SF,66.0,0.39,0.212,1.2,4.1,5.4,NBA1,1950,False
38.0,Kenny Rollins,26.0,CHS,PG,66.0,0.385,0.211,0.4,2.2,2.6,,1950,False
39.0,Fred Scolari,27.0,WSC,PG,66.0,0.415,0.315,3.1,2.3,5.4,,1950,False
40.0,Jerry Fleishman,27.0,PHW,SG,65.0,0.354,0.428,-0.5,2.1,1.6,,1950,False
41.0,Frank Kudelka,24.0,CHS,,65.0,0.367,0.265,-0.4,2.8,2.4,,1950,False
42.0,Paul Noel,25.0,NYK,,65.0,0.378,0.299,0.0,0.8,0.9,,1950,False
43.0,Andy Phillip,27.0,CHS,,65.0,0.406,0.332,3.1,4.6,7.7,,1950,False
44.0,Red Rocha,26.0,STB,C,65.0,0.471,0.461,6.2,0.8,7.0,,1950,False
45.0,Herm Schaefer,31.0,MNL,,65.0,0.46,0.322,2.9,2.4,5.4,,1950,False
46.0,Jim Seminoff,27.0,BOS,,65.0,0.427,0.664,2.3,1.4,3.6,,1950,False
47.0,Frankie Brian,26.0,AND,,64.0,0.415,0.422,3.6,5.6,9.2,NBA2,1950,False
48.0,Bill Closs,28.0,AND,SF,64.0,0.372,0.288,-0.5,4.9,4.4,,1950,False
49.0,Chink Crossin,26.0,PHW,,64.0,0.363,0.176,-0.6,2.7,2.1,,1950,False
50.0,Bob Davies,30.0,ROC,PG,64.0,0.43,0.391,4.7,2.9,7.7,NBA1,1950,False
51.0,Joe Dolhon,22.0,BLB,,64.0,0.401,0.467,1.4,1.6,3.0,,1950,False
52.0,Dike Eddleman,27.0,TRI,SF,64.0,0.405,0.287,1.6,2.1,3.7,,1950,False
53.0,Frank Gates,29.0,AND,,64.0,0.322,0.244,-1.7,3.0,1.3,,1950,False
54.0,Alex Groza,23.0,INO,,64.0,0.548,0.572,16.5,1.4,17.9,"ROY-1,NBA1",1950,False
55.0,Bruce Hale,31.0,INO,,64.0,0.444,0.464,4.1,1.1,5.1,,1950,False
56.0,Alex Hannum,26.0,SYR,PF,64.0,0.423,0.381,2.0,3.2,5.1,,1950,False
57.0,Joe Holland,24.0,INO,SF,64.0,0.376,0.313,0.1,1.1,1.2,,1950,False
58.0,Jack Kerris,25.0,2TM,PF,68.0,0.406,0.541,1.4,2.7,4.1,,1950,False
58.0,Jack Kerris,25.0,TRI,PF,4.0,0.416,0.462,0.1,0.1,0.2,,1950,False
58.0,Jack Kerris,25.0,FTW,PF,64.0,0.405,0.545,1.3,2.6,3.9,,1950,False
59.0,Milo Komenich,29.0,AND,,64.0,0.326,0.29,-3.7,5.2,1.4,,1950,False
60.0,Ed Leede,22.0,BOS,,64.0,0.442,0.623,3.2,1.3,4.5,,1950,False
61.0,Leo Mogus,28.0,PHW,,64.0,0.496,0.691,5.6,2.4,8.0,,1950,False
62.0,Dolph Schayes,21.0,SYR,,64.0,0.48,0.538,8.8,4.0,12.8,NBA2,1950,False
63.0,Curly Armstrong,31.0,FTW,,63.0,0.368,0.467,-0.1,3.6,3.5,,1950,False
64.0,Arnie Ferrin,24.0,MNL,,63.0,0.383,0.275,0.2,2.3,2.6,,1950,False
65.0,Vern Gardner,24.0,PHW,SG,63.0,0.408,0.323,2.2,3.6,5.9,,1950,False
66.0,Clint Wager,30.0,FTW,,63.0,0.32,0.232,-0.8,2.2,1.5,,1950,False
67.0,Don Boven,24.0,WAT,,62.0,0.461,0.625,4.4,-0.7,3.8,,1950,False
68.0,Bob Brown,26.0,DNN,,62.0,0.414,0.33,2.1,-0.9,1.2,,1950,False
69.0,Bill Calhoun,22.0,ROC,SG,62.0,0.439,0.37,3.0,1.5,4.5,,1950,False
70.0,Bob Harris,22.0,FTW,,62.0,0.423,0.48,2.1,3.0,5.0,,1950,False
71.0,Leo Kubiak,22.0,WAT,,62.0,0.395,0.297,1.3,-0.8,0.5,,1950,False
72.0,John Logan,29.0,STB,,62.0,0.419,0.426,3.4,0.9,4.3,,1950,False
73.0,Dick Mehen,27.0,WAT,PF,62.0,0.47,0.34,6.3,-0.7,5.6,,1950,False
74.0,Max Morris,24.0,SHE,,62.0,0.445,0.598,4.4,-0.4,4.1,,1950,False
75.0,Ed Peterson,25.0,SYR,,62.0,0.472,0.474,3.0,2.1,5.1,,1950,False
76.0,George Ratkovicz,27.0,SYR,PF,62.0,0.452,0.793,3.4,2.6,6.0,,1950,False
77.0,Arnie Risen,25.0,ROC,C,62.0,0.423,0.537,2.4,2.2,4.6,,1950,False
78.0,Tex Ritter,25.0,NYK,,62.0,0.434,0.593,1.6,0.7,2.3,,1950,False
79.0,Milt Schoon,27.0,SHE,,62.0,0.498,0.82,4.3,-0.3,4.0,,1950,False
80.0,Paul Seymour,22.0,SYR,,62.0,0.396,0.336,1.1,2.7,3.8,,1950,False
81.0,Jack Toomay,27.0,DNN,,62.0,0.471,0.514,4.3,-0.7,3.6,,1950,False
82.0,Harry Boykoff,27.0,WAT,,61.0,0.479,0.375,6.0,-0.7,5.3,,1950,False
83.0,Jack Burmaster,23.0,SHE,,61.0,0.378,0.256,0.1,-0.4,-0.4,,1950,False
84.0,Tony Jaros,29.0,MNL,,61.0,0.362,0.332,-0.4,1.7,1.3,,1950,False
85.0,Don Ray,28.0,TRI,,61.0,0.388,0.37,0.2,1.1,1.3,,1950,False
86.0,Wayne See,26.0,WAT,,61.0,0.442,0.446,2.0,-0.4,1.6,,1950,False
87.0,Belus Smawley,31.0,STB,SG,61.0,0.43,0.377,4.3,0.8,5.0,,1950,False
88.0,Ralph Beard,22.0,INO,,60.0,0.422,0.301,3.6,1.2,4.8,NBA2,1950,False
89.0,Jake Bornheimer,22.0,PHW,,60.0,0.356,0.384,-0.7,1.5,0.8,,1950,False
90.0,Ray Corley,22.0,SYR,,60.0,0.365,0.33,-0.3,1.6,1.2,,1950,False
91.0,Bob Feerick,30.0,WSC,,60.0,0.419,0.348,2.1,1.6,3.6,,1950,False
92.0,John Hargis,29.0,AND,,60.0,0.479,0.504,4.8,3.6,8.4,,1950,False
93.0,Paul Hoffman,24.0,BLB,,60.0,0.403,0.398,2.0,2.1,4.1,,1950,False
94.0,Wah Wah Jones,23.0,INO,PF,60.0,0.449,0.421,4.5,1.4,5.9,,1950,False
95.0,Bob Kinney,29.0,BOS,,60.0,0.438,0.515,3.2,1.6,4.8,,1950,False
96.0,Andrew Levane,29.0,SYR,,60.0,0.365,0.203,-0.2,2.0,1.8,,1950,False
97.0,Warren Perkins,27.0,TRI,,60.0,0.365,0.462,-0.4,1.7,1.3,,1950,False
98.0,Connie Simmons,24.0,NYK,,60.0,0.395,0.41,0.9,1.5,2.4,,1950,False
99.0,Chips Sobek,29.0,SHE,,60.0,0.507,0.817,3.4,-0.2,3.1,,1950,False
100.0,Vince Boryla,22.0,NYK,SF,59.0,0.426,0.445,2.6,1.4,3.9,,1950,False
101.0,Bob Brannum,23.0,SHE,PF,59.0,0.408,0.494,2.1,-0.5,1.6,,1950,False
102.0,Johnny Macknowski,27.0,SYR,,59.0,0.405,0.384,0.9,1.8,2.8,,1950,False
103.0,John Oldham,26.0,FTW,,59.0,0.364,0.34,-0.5,2.8,2.3,,1950,False
104.0,Ray Lumpp,26.0,NYK,,58.0,0.405,0.382,0.9,0.8,1.7,,1950,False
105.0,Mal McMullen,22.0,INO,,58.0,0.365,0.371,-0.4,0.9,0.6,,1950,False
106.0,Nelson Bobb,25.0,PHW,PG,57.0,0.396,0.528,0.4,1.3,1.8,,1950,False
107.0,Don Carlson,30.0,MNL,,57.0,0.402,0.328,0.7,1.9,2.6,,1950,False
108.0,Joe Graboski,20.0,CHS,,57.0,0.355,0.36,-0.6,1.2,0.6,,1950,False
109.0,Don Putman,27.0,STB,,57.0,0.303,0.26,-1.1,0.4,-0.7,,1950,False
110.0,Kenny Sailors,29.0,DNN,,57.0,0.431,0.483,4.8,-1.0,3.7,,1950,False
111.0,Ed Stanczak,28.0,AND,,57.0,0.453,0.592,3.0,3.1,6.2,,1950,False
112.0,Al Cervi,32.0,SYR,PG,56.0,0.491,0.803,5.9,3.4,9.3,NBA2,1950,False
113.0,Bill Gabor,27.0,SYR,SG,56.0,0.395,0.34,0.7,2.8,3.5,,1950,False
114.0,Tony Lavelli,23.0,BOS,,56.0,0.471,0.452,3.4,0.8,4.2,,1950,False
115.0,Les Pugh,27.0,BLB,,56.0,0.377,0.498,-0.2,0.7,0.6,,1950,False
116.0,Butch van Breda Kolff,27.0,NYK,,56.0,0.456,0.802,1.6,0.7,2.3,,1950,False
117.0,Murray Wier,23.0,TRI,,56.0,0.388,0.346,0.4,1.2,1.6,,1950,False
118.0,George Kaftan,21.0,BOS,SF,55.0,0.426,0.389,2.3,1.0,3.4,,1950,False
119.0,Walt Lautenbach,27.0,SHE,,55.0,0.334,0.166,-1.1,-0.2,-1.3,,1950,False
120.0,Mike Novak,34.0,2TM,,60.0,0.292,0.315,-1.0,1.6,0.6,,1950,False
120.0,Mike Novak,34.0,ROC,,5.0,0.131,0.091,-0.2,0.1,-0.1,,1950,False
120.0,Mike Novak,34.0,PHW,,55.0,0.303,0.333,-0.8,1.5,0.7,,1950,False
121.0,Jack Cotton,25.0,DNN,,54.0,0.343,0.485,-1.0,-0.5,-1.5,,1950,False
122.0,Noble Jorgensen,24.0,SHE,C,54.0,0.456,0.566,4.1,-0.3,3.8,,1950,False
123.0,Leo Katkaveck,26.0,WSC,,54.0,0.333,0.17,-1.2,1.0,-0.2,,1950,False
124.0,Tommy Byrnes,26.0,BLB,,53.0,0.362,0.312,-0.5,0.9,0.3,,1950,False
125.0,Dillard Crocker,25.0,DNN,PF,53.0,0.369,0.377,-0.9,-0.8,-1.7,,1950,False
126.0,Bones McKinney,31.0,WSC,SF,53.0,0.352,0.241,-1.5,1.7,0.2,,1950,False
127.0,Ed Sadowski,34.0,2TM,,69.0,0.401,0.405,1.8,2.5,4.3,,1950,False
127.0,Ed Sadowski,34.0,PHW,,17.0,0.392,0.49,0.3,0.9,1.2,,1950,False
127.0,Ed Sadowski,34.0,BLB,,52.0,0.403,0.388,1.5,1.6,3.1,,1950,False
128.0,Bobby Cook,26.0,SHE,,51.0,0.42,0.292,2.1,-0.3,1.9,,1950,False
129.0,Mike Todorovich,26.0,2TM,,65.0,0.39,0.434,1.0,2.0,3.0,,1950,False
129.0,Mike Todorovich,26.0,STB,,14.0,0.345,0.483,-0.4,0.1,-0.3,,1950,False
129.0,Mike Todorovich,26.0,TRI,,51.0,0.398,0.427,1.4,1.8,3.3,,1950,False
130.0,Cliff Barker,29.0,INO,SG,49.0,0.435,0.387,1.6,0.6,2.2,,1950,False
131.0,Leroy Chollet,24.0,SYR,,49.0,0.385,0.313,0.1,0.8,0.9,,1950,False
132.0,Jack Nichols,23.0,2TM,PF,67.0,0.44,0.406,4.7,2.0,6.7,,1950,False
132.0,Jack Nichols,23.0,WSC,PF,49.0,0.434,0.404,3.2,1.4,4.5,,1950,False
132.0,Jack Nichols,23.0,TRI,PF,18.0,0.456,0.411,1.5,0.6,2.1,,1950,False
133.0,Pep Saul,25.0,ROC,SG,49.0,0.447,0.257,1.0,0.5,1.5,,1950,False
134.0,Bob Doll,30.0,BOS,,47.0,0.397,0.329,0.7,0.9,1.6,,1950,False
135.0,Bob Evans,24.0,INO,,47.0,0.324,0.22,-0.8,0.5,-0.3,,1950,False
