Rk,Player,Age,Team,Pos,G,MP,PER,TS%,FTr,OWS,DWS,WS,WS/48,Awards,season,is_playoff
1.0,Paul Arizin,23.0,PHW,SF,66.0,2939.0,25.7,0.546,0.579,14.8,1.2,16.0,0.261,"AS,NBA1",1952,False
2.0,Andy Phillip,29.0,PHW,SG,66.0,2933.0,16.0,0.44,0.404,3.5,1.3,4.8,0.078,"AS,NBA2",1952,False
3.0,Bob Cousy,23.0,BOS,PG,66.0,2681.0,21.5,0.445,0.365,4.9,2.8,7.7,0.138,"AS,NBA1",1952,False
4.0,Frankie Brian,28.0,FTW,SG,66.0,2672.0,14.9,0.452,0.445,4.3,1.8,6.1,0.11,AS,1952,False
5.0,Ed Macauley,23.0,BOS,C,66.0,2631.0,22.7,0.544,0.699,11.3,2.6,13.8,0.252,"AS,NBA1",1952,False
6.0,Mel Hutchins,23.0,MLH,C,66.0,2618.0,16.8,0.415,0.355,0.7,3.0,3.8,0.069,ROY-1,1952,False
7.0,Larry Foust,23.0,FTW,C,66.0,2615.0,21.3,0.45,0.398,3.9,3.2,7.1,0.13,"AS,NBA2",1952,False
8.0,Jack Coleman,27.0,ROC,PF,66.0,2606.0,15.6,0.451,0.228,2.7,2.3,5.0,0.093,,1952,False
9.0,Fred Schaus,26.0,FTW,SF,62.0,2581.0,16.5,0.463,0.478,4.5,2.3,6.8,0.127,,1952,False
10.0,George Mikan,27.0,MNL,C,64.0,2572.0,26.6,0.459,0.393,6.4,8.0,14.4,0.268,"AS,NBA1",1952,False
11.0,Jim Pollard,29.0,MNL,SF,65.0,2545.0,16.5,0.396,0.225,-0.9,6.6,5.7,0.108,"AS,NBA2",1952,False
12.0,Red Rocha,28.0,SYR,C,66.0,2543.0,15.3,0.478,0.441,4.6,3.2,7.8,0.148,AS,1952,False
13.0,Bobby Wanzer,30.0,ROC,SG,66.0,2498.0,20.0,0.541,0.54,9.7,1.6,11.4,0.218,"AS,NBA2",1952,False
14.0,Slater Martin,26.0,MNL,PG,66.0,2480.0,10.9,0.43,0.301,1.8,4.5,6.3,0.121,,1952,False
15.0,Joe Graboski,22.0,INO,C,66.0,2439.0,17.4,0.451,0.479,3.4,3.8,7.2,0.142,,1952,False
16.0,Arnie Risen,27.0,ROC,C,66.0,2396.0,20.8,0.463,0.465,4.4,2.5,6.8,0.137,AS,1952,False
17.0,Bob Davies,32.0,ROC,PG,65.0,2394.0,17.5,0.455,0.383,4.7,1.6,6.3,0.126,"AS,NBA1",1952,False
18.0,Vern Mikkelsen,23.0,MNL,PF,66.0,2345.0,22.0,0.49,0.43,6.5,6.6,13.2,0.27,"AS,NBA2",1952,False
19.0,Leo Barnhorst,27.0,INO,SF,66.0,2344.0,16.0,0.419,0.208,1.3,3.5,4.7,0.097,AS,1952,False
20.0,Dick Mehen,29.0,MLH,PF,65.0,2294.0,10.7,0.392,0.203,-1.0,1.6,0.6,0.012,,1952,False
21.0,Ralph Johnson,30.0,FTW,PG,66.0,2265.0,8.8,0.4,0.236,0.0,1.6,1.6,0.034,,1952,False
22.0,Fred Scolari,29.0,BLB,PG,64.0,2242.0,16.2,0.443,0.488,3.4,1.1,4.5,0.096,AS,1952,False
23.0,Paul Seymour,24.0,SYR,SG,66.0,2209.0,11.0,0.414,0.398,0.8,2.4,3.2,0.069,,1952,False
24.0,Stan Miasek,28.0,BLB,PF,66.0,2174.0,16.6,0.447,0.526,2.6,1.4,4.1,0.089,,1952,False
25.0,Arnie Johnson,31.0,ROC,SF,66.0,2158.0,16.5,0.565,0.942,7.1,1.6,8.7,0.193,,1952,False
26.0,Jack Kerris,27.0,FTW,PF,66.0,2148.0,16.2,0.473,0.677,3.7,2.3,5.9,0.132,,1952,False
27.0,Max Zaslofsky,26.0,NYK,SG,66.0,2113.0,12.5,0.414,0.397,0.5,1.1,1.7,0.038,AS,1952,False
28.0,Nat Clifton,29.0,NYK,PF,62.0,2101.0,16.5,0.391,0.351,-0.7,2.3,1.6,0.036,,1952,False
29.0,Bill Tosheff,25.0,INO,PG,65.0,2055.0,11.7,0.406,0.339,0.5,2.4,2.9,0.068,ROY-1,1952,False
30.0,Dick McGuire,26.0,NYK,PG,64.0,2018.0,19.0,0.491,0.612,4.7,1.9,6.6,0.157,AS,1952,False
31.0,Don Barksdale,28.0,BLB,PF,62.0,2014.0,15.9,0.409,0.427,0.2,1.4,1.5,0.036,,1952,False
32.0,Dolph Schayes,23.0,SYR,PF,63.0,2004.0,23.9,0.468,0.573,4.4,4.0,8.5,0.203,"AS,NBA1",1952,False
33.0,Don Boven,26.0,MLH,SG,66.0,1982.0,12.5,0.399,0.524,-0.2,1.7,1.5,0.036,,1952,False
34.0,Bob Donham,25.0,BOS,SG,66.0,1980.0,14.4,0.508,0.709,4.2,1.9,6.1,0.149,,1952,False
35.0,Chuck Cooper,25.0,BOS,SF,66.0,1976.0,12.7,0.429,0.369,1.1,2.1,3.1,0.076,,1952,False
36.0,Harry Gallatin,24.0,NYK,PF,66.0,1931.0,22.1,0.547,0.647,7.0,1.9,8.9,0.221,AS,1952,False
37.0,George Senesky,29.0,PHW,PG,57.0,1925.0,13.4,0.439,0.427,1.9,0.7,2.6,0.066,,1952,False
38.0,Joe Fulks,30.0,PHW,PF,61.0,1904.0,11.9,0.381,0.281,-2.5,0.7,-1.8,-0.045,AS,1952,False
39.0,Dike Eddleman,29.0,2TM,SF,66.0,1904.0,11.2,0.387,0.408,-1.5,1.4,-0.1,-0.003,AS,1952,False
39.0,Dike Eddleman,29.0,MLH,SF,50.0,1616.0,11.6,0.385,0.419,-1.4,1.2,-0.2,-0.007,,1952,False
39.0,Dike Eddleman,29.0,FTW,SF,16.0,288.0,8.9,0.4,0.345,-0.1,0.2,0.1,0.022,,1952,False
40.0,Paul Walther,24.0,INO,SG,55.0,1903.0,15.7,0.49,0.561,4.5,2.1,6.6,0.167,AS,1952,False
41.0,Bob Harris,24.0,BOS,PF,66.0,1899.0,14.2,0.463,0.451,2.2,2.1,4.3,0.11,,1952,False
