Rk,Player,Age,Team,Pos,G,MP,PER,TS%,FTr,AST%,OWS,DWS,WS,WS/48,Awards,season,is_playoff
1.0,Wilt Chamberlain,29.0,PHI,C,79.0,3737.0,28.3,0.547,0.49,16.8,12.9,8.5,21.4,0.275,"MVP-1,AS,NBA1",1966,False
2.0,Jerry Lucas,25.0,CIN,PF,79.0,3517.0,18.8,0.499,0.265,8.2,4.5,3.6,8.1,0.11,"MVP-5,AS,NBA1",1966,False
3.0,Oscar Robertson,27.0,CIN,PG,76.0,3493.0,25.2,0.563,0.511,34.5,13.6,3.3,16.9,0.232,"MVP-3,AS,NBA1",1966,False
4.0,Bill Russell,31.0,BOS,C,78.0,3386.0,17.3,0.448,0.429,13.8,0.3,11.4,11.7,0.165,"MVP-4,AS,NBA2",1966,False
5.0,Walt Bellamy,26.0,2TM,C,80.0,3352.0,19.3,0.543,0.502,9.8,8.3,1.2,9.5,0.136,,1966,False
5.0,Walt Bellamy,26.0,BAL,C,8.0,268.0,17.7,0.495,0.54,9.3,0.4,0.2,0.6,0.108,,1966,False
5.0,Walt Bellamy,26.0,NYK,C,72.0,3084.0,19.4,0.548,0.498,9.8,7.9,1.0,8.9,0.139,,1966,False
6.0,Hal Greer,29.0,PHI,SG,80.0,3326.0,15.9,0.504,0.325,15.7,5.5,4.0,9.5,0.138,"AS,NBA2",1966,False
7.0,Jerry West,27.0,LAL,SG,79.0,3218.0,24.6,0.573,0.564,21.9,14.4,2.7,17.1,0.256,"MVP-2,AS,NBA1",1966,False
8.0,Zelmo Beaty,26.0,STL,C,80.0,3072.0,18.5,0.535,0.43,6.0,7.3,3.0,10.3,0.161,AS,1966,False
9.0,Rick Barry,21.0,SFW,SF,80.0,2990.0,20.0,0.518,0.389,8.6,7.2,3.2,10.4,0.167,"ROY-1,AS,NBA1",1966,False
10.0,Adrian Smith,29.0,CIN,SG,80.0,2982.0,12.4,0.483,0.366,11.3,2.9,1.5,4.4,0.071,AS,1966,False
11.0,Guy Rodgers,30.0,SFW,SG,79.0,2902.0,16.9,0.419,0.259,40.3,-1.9,4.2,2.3,0.039,AS,1966,False
12.0,Nate Thurmond,24.0,SFW,C,73.0,2891.0,15.0,0.454,0.382,5.0,0.3,4.0,4.3,0.072,AS,1966,False
13.0,Eddie Miles,25.0,DET,PG,80.0,2788.0,15.1,0.491,0.283,11.7,3.7,2.3,6.0,0.104,AS,1966,False
14.0,K.C. Jones,33.0,BOS,PG,80.0,2710.0,10.9,0.458,0.489,22.7,1.0,5.6,6.6,0.117,,1966,False
15.0,Dave DeBusschere,25.0,DET,SF,79.0,2696.0,15.7,0.447,0.294,10.9,-0.1,3.7,3.7,0.065,AS,1966,False
16.0,Lenny Wilkens,28.0,STL,PG,69.0,2692.0,15.9,0.524,0.558,21.9,5.4,2.2,7.6,0.135,,1966,False
17.0,Bill Bridges,26.0,STL,PF,78.0,2677.0,13.9,0.465,0.393,10.5,1.1,2.9,3.9,0.07,,1966,False
18.0,Ray Scott,27.0,DET,PF,79.0,2652.0,17.1,0.47,0.332,12.8,1.9,3.4,5.3,0.096,,1966,False
19.0,Don Ohl,29.0,BAL,PG,73.0,2645.0,14.9,0.493,0.322,15.4,3.6,1.4,5.1,0.092,AS,1966,False
20.0,Howard Komives,24.0,NYK,PG,80.0,2612.0,12.0,0.449,0.251,21.5,0.4,0.6,1.0,0.018,,1966,False
21.0,Chet Walker,25.0,PHI,SF,80.0,2603.0,15.3,0.514,0.477,9.9,4.2,3.5,7.8,0.143,AS,1966,False
22.0,Dick Barnett,29.0,NYK,SG,75.0,2589.0,18.4,0.537,0.45,14.7,7.5,0.5,8.0,0.149,,1966,False
23.0,Willis Reed,23.0,NYK,PF,76.0,2537.0,14.4,0.497,0.395,4.8,2.9,0.7,3.6,0.069,AS,1966,False
24.0,Kevin Loughery,25.0,BAL,SG,74.0,2455.0,14.1,0.474,0.283,20.1,2.1,1.5,3.6,0.07,,1966,False
25.0,Tom Meschery,27.0,SFW,PF,80.0,2383.0,13.2,0.501,0.327,4.5,2.7,2.5,5.2,0.105,,1966,False
