Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,FTr,TRB%,AST%,OWS,DWS,WS,WS/48,Awards,season,is_playoff
1.0,Tiny Archibald,24.0,KCO,PG,80.0,,3681.0,25.2,0.555,0.372,3.2,38.9,13.9,0.3,14.2,0.186,"MVP-3,AS,NBA1",1973,False
2.0,Wilt Chamberlain,36.0,LAL,C,82.0,,3542.0,19.1,0.689,0.776,19.6,12.5,10.7,7.5,18.2,0.247,"MVP-4,AS,DEF1",1973,False
3.0,Mike Riordan,27.0,BAL,SF,82.0,,3466.0,15.6,0.54,0.171,5.5,16.6,6.8,4.2,11.1,0.154,DEF2,1973,False
4.0,Dave Cowens,24.0,BOS,C,82.0,,3425.0,18.1,0.481,0.16,17.5,13.0,2.1,9.9,12.0,0.168,"MVP-1,AS,NBA2",1973,False
5.0,Nate Thurmond,31.0,GSW,C,79.0,,3419.0,17.3,0.499,0.379,18.0,10.4,3.2,6.7,9.9,0.14,"MVP-9,AS,DEF2",1973,False
6.0,John Havlicek,32.0,BOS,SF,80.0,,3367.0,18.6,0.502,0.253,7.6,21.3,4.9,7.2,12.1,0.172,"MVP-5,AS,NBA1,DEF1",1973,False
7.0,Dave Bing,29.0,DET,PG,82.0,,3361.0,18.3,0.514,0.362,4.3,26.3,6.0,2.7,8.6,0.123,"MVP-19,AS",1973,False
8.0,Elvin Hayes,27.0,BAL,PF,81.0,,3347.0,17.5,0.477,0.27,16.5,5.3,1.7,5.8,7.6,0.109,"MVP-10,AS,NBA2",1973,False
9.0,Spencer Haywood,23.0,SEA,PF,77.0,,3259.0,22.7,0.532,0.302,14.5,10.0,8.8,1.4,10.2,0.15,"MVP-7,AS,NBA1",1973,False
10.0,Kareem Abdul-Jabbar,25.0,MIL,C,76.0,,3254.0,28.5,0.58,0.26,18.2,17.9,14.4,7.5,21.9,0.322,"MVP-2,AS,NBA1",1973,False
11.0,Jo Jo White,26.0,BOS,PG,82.0,,3250.0,14.7,0.457,0.137,5.7,20.6,-0.1,6.2,6.1,0.091,AS,1973,False
12.0,Walt Frazier,27.0,NYK,PG,78.0,,3181.0,19.7,0.534,0.252,8.9,20.6,7.3,5.7,13.0,0.196,"MVP-7,AS,NBA2,DEF1",1973,False
13.0,Sidney Wicks,23.0,POR,PF,80.0,,3152.0,20.3,0.497,0.315,13.3,20.9,4.2,1.3,5.6,0.085,"MVP-16,AS",1973,False
