Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,season,is_playoff
1.0,Elvin Hayes,28.0,CAP,PF,81.0,,3602.0,18.2,0.47,0.304,9.2,29.7,19.3,6.6,1.1,3.4,2.6,8.1,10.6,0.142,0.7,1.1,1.7,3.4,"MVP-5,AS,NBA2,DEF2",1974,False
2.0,Kareem Abdul-Jabbar,26.0,MIL,C,81.0,,3548.0,24.4,0.564,0.239,8.8,23.9,16.9,16.1,1.4,4.0,10.6,7.9,18.4,0.25,5.0,2.5,7.5,8.6,"MVP-1,AS,NBA1,DEF1",1974,False
3.0,Dave Cowens,25.0,BOS,C,80.0,,3352.0,16.6,0.476,0.186,7.8,27.9,18.1,14.6,1.2,1.5,2.6,6.7,9.3,0.134,0.4,1.5,1.9,3.3,"MVP-4,AS",1974,False
4.0,Walt Frazier,28.0,NYK,PG,80.0,,3338.0,18.7,0.519,0.246,3.8,13.1,8.5,24.4,2.2,0.2,5.9,5.1,10.9,0.157,2.1,1.2,3.2,4.4,"MVP-6,AS,NBA1,DEF1",1974,False
5.0,Jim McMillian,25.0,BUF,SF,82.0,,3322.0,15.6,0.552,0.312,6.6,11.5,9.1,10.1,1.7,0.4,6.9,1.9,8.9,0.128,1.6,-0.7,0.8,2.4,,1974,False
6.0,Bob Love,31.0,CHI,PF,82.0,,3292.0,13.7,0.463,0.225,5.7,9.9,7.7,6.5,1.2,0.5,1.9,3.9,5.8,0.084,-0.3,-1.2,-1.5,0.4,"MVP-15,DEF2",1974,False
7.0,Jo Jo White,27.0,BOS,PG,82.0,,3238.0,14.0,0.482,0.157,3.1,7.3,5.2,19.3,1.4,0.4,3.7,3.6,7.3,0.108,-0.1,0.1,0.0,1.6,AS,1974,False
8.0,Mike Riordan,28.0,CAP,SF,81.0,,3230.0,12.5,0.496,0.142,3.5,7.8,5.6,11.6,1.4,0.2,3.5,3.5,7.0,0.104,-0.8,0.5,-0.4,1.3,,1974,False
9.0,Rudy Tomjanovich,25.0,HOU,SF,80.0,,3227.0,20.5,0.587,0.309,7.7,16.0,11.9,11.9,1.2,1.1,10.8,2.1,12.8,0.191,4.1,-0.9,3.2,4.2,"MVP-17,AS",1974,False
10.0,Bob McAdoo,22.0,BUF,C,74.0,,3185.0,24.7,0.594,0.352,9.0,25.4,17.4,8.1,1.2,3.8,10.9,4.4,15.3,0.231,4.6,0.3,5.0,5.6,"MVP-2,AS,NBA2",1974,False
11.0,Dave Bing,30.0,DET,PG,81.0,,3124.0,16.4,0.497,0.328,3.6,5.7,4.6,25.8,1.6,0.3,4.1,3.2,7.3,0.113,1.0,-0.7,0.3,1.8,"MVP-11,AS,NBA2",1974,False
12.0,Sam Lacey,25.0,KCO,C,79.0,,3107.0,17.5,0.513,0.252,9.9,25.7,17.8,13.7,1.8,3.1,3.2,4.6,7.7,0.119,1.3,1.4,2.7,3.7,,1974,False
13.0,Austin Carr,25.0,CLE,SG,81.0,,3100.0,15.8,0.486,0.194,4.3,5.3,4.8,15.8,1.4,0.2,4.5,0.9,5.4,0.084,1.3,-1.5,-0.2,1.4,AS,1974,False
14.0,John Havlicek,33.0,BOS,SF,76.0,,3091.0,17.4,0.509,0.277,4.4,10.6,7.6,20.8,1.3,0.5,5.9,3.8,9.7,0.151,1.7,0.2,2.0,3.1,"MVP-9,AS,NBA1,DEF1",1974,False
15.0,Gail Goodrich,30.0,LAL,SG,82.0,,3061.0,18.5,0.511,0.332,3.0,4.5,3.7,21.8,1.8,0.2,5.9,1.9,7.8,0.122,1.7,-1.5,0.2,1.7,"AS,NBA1",1974,False
16.0,Bob Lanier,25.0,DET,C,81.0,,3047.0,23.9,0.548,0.276,9.1,27.1,18.1,17.9,1.6,4.3,7.3,7.1,14.4,0.227,4.1,2.9,7.1,7.0,"MVP-3,AS",1974,False
17.0,Fred Carter,28.0,PHI,SG,78.0,78.0,3044.0,15.7,0.463,0.218,2.5,9.5,5.8,23.8,1.6,0.4,0.3,2.0,2.3,0.036,-0.1,-0.7,-0.8,0.9,,1974,False
18.0,Tom Van Arsdale,30.0,PHI,SF,78.0,78.0,3041.0,12.5,0.481,0.244,2.7,10.1,6.2,10.3,0.9,0.1,1.3,1.4,2.7,0.043,-1.7,-1.4,-3.1,-0.8,,1974,False
19.0,Spencer Haywood,24.0,SEA,PF,75.0,,3039.0,19.4,0.511,0.301,9.7,23.1,16.1,11.6,0.9,1.8,6.2,3.5,9.7,0.153,2.8,-0.4,2.3,3.3,"MVP-17,AS,NBA2",1974,False
20.0,Steve Mix,26.0,PHI,PF,82.0,82.0,2969.0,16.3,0.521,0.276,9.5,18.9,14.0,7.6,3.2,0.6,3.7,4.4,8.2,0.132,0.5,1.3,1.7,2.8,,1974,False
21.0,Jimmy Walker,29.0,2TM,SG,75.0,,2958.0,14.5,0.518,0.269,1.4,5.8,3.6,15.8,1.2,0.2,4.1,0.7,4.8,0.077,-0.1,-1.5,-1.6,0.3,,1974,False
21.0,Jimmy Walker,29.0,HOU,SG,3.0,,38.0,10.0,0.563,0.083,0.0,5.6,2.8,14.8,0.0,0.0,0.0,0.0,0.0,0.051,-3.3,-0.4,-3.7,0.0,,1974,False
21.0,Jimmy Walker,29.0,KCO,SG,72.0,,2920.0,14.6,0.518,0.27,1.4,5.8,3.6,15.8,1.3,0.2,4.0,0.7,4.7,0.078,0.0,-1.6,-1.6,0.3,,1974,False
22.0,Phil Chenier,23.0,CAP,SG,76.0,,2942.0,17.2,0.475,0.208,3.6,9.0,6.3,12.6,2.4,1.2,3.1,4.3,7.4,0.121,1.4,1.2,2.5,3.4,"MVP-11,AS",1974,False
23.0,Calvin Murphy,25.0,HOU,PG,81.0,,2922.0,20.0,0.573,0.278,1.9,5.0,3.4,30.9,2.4,0.1,7.9,1.3,9.2,0.152,2.5,-0.9,1.6,2.7,,1974,False
24.0,Elmore Smith,24.0,LAL,C,81.0,,2922.0,14.5,0.479,0.262,6.6,21.1,14.2,6.9,1.0,6.4,0.5,5.4,5.9,0.097,-1.4,2.5,1.1,2.3,,1974,False
25.0,Rick Barry,29.0,GSW,SF,80.0,,2918.0,22.4,0.515,0.266,3.4,13.8,8.7,24.7,2.6,0.7,7.1,3.4,10.4,0.172,3.3,0.7,3.9,4.4,"MVP-7,AS,NBA1",1974,False
26.0,Ernie DiGregorio,23.0,BUF,PG,81.0,,2910.0,13.6,0.459,0.153,1.7,5.7,3.7,30.1,0.9,0.2,0.9,0.4,1.2,0.021,-0.9,-2.9,-3.8,-1.3,ROY-1,1974,False
27.0,Pete Maravich,26.0,ATL,SG,76.0,,2903.0,20.3,0.516,0.317,3.3,9.7,6.5,21.7,1.7,0.2,5.7,1.9,7.6,0.125,2.5,-1.3,1.1,2.3,"MVP-17,AS",1974,False
28.0,Gar Heard,25.0,BUF,PF,81.0,,2889.0,16.0,0.464,0.244,9.5,22.7,16.3,8.2,2.0,3.9,0.7,4.3,5.0,0.084,-0.6,0.8,0.2,1.6,,1974,False
29.0,Norm Van Lier,26.0,CHI,PG,80.0,,2863.0,15.5,0.47,0.352,4.1,9.7,6.8,28.0,2.6,0.1,0.8,4.4,5.2,0.087,-0.5,1.0,0.5,1.8,"MVP-9,AS,NBA2,DEF1",1974,False
30.0,Jerry Sloan,31.0,CHI,SG,77.0,,2860.0,12.6,0.489,0.296,5.4,15.0,10.1,7.6,2.9,0.2,1.5,5.2,6.8,0.114,-1.2,2.0,0.8,2.0,DEF1,1974,False
31.0,Sidney Wicks,24.0,POR,PF,75.0,,2853.0,19.0,0.503,0.276,6.9,17.8,12.2,17.1,1.4,1.2,4.3,1.3,5.6,0.094,2.3,-1.3,1.0,2.2,AS,1974,False
32.0,Dick Van Arsdale,30.0,PHO,SG,78.0,,2832.0,15.5,0.572,0.411,2.4,5.5,3.9,15.9,1.5,0.3,6.6,0.5,7.0,0.119,0.9,-1.1,-0.2,1.3,DEF2,1974,False
33.0,Leroy Ellis,33.0,PHI,C,81.0,81.0,2831.0,13.2,0.494,0.271,9.5,21.2,15.1,9.2,1.3,1.6,2.5,3.4,5.8,0.099,-0.1,0.5,0.4,1.7,,1974,False
34.0,Bill Bradley,30.0,NYK,SF,82.0,,2813.0,11.1,0.485,0.15,2.2,7.2,4.7,12.3,0.7,0.4,1.6,2.6,4.2,0.071,-1.5,-0.6,-2.1,-0.1,,1974,False
35.0,Geoff Petrie,25.0,POR,PG,73.0,,2800.0,17.4,0.525,0.222,2.3,5.3,3.8,17.5,1.3,0.3,5.8,-0.4,5.4,0.093,1.7,-2.4,-0.7,0.9,AS,1974,False
36.0,Connie Hawkins,31.0,2TM,SF,79.0,,2761.0,15.5,0.544,0.311,6.1,12.5,9.4,19.7,1.8,1.4,4.1,3.0,7.1,0.124,1.2,1.0,2.2,2.9,,1974,False
36.0,Connie Hawkins,31.0,PHO,SF,8.0,,223.0,14.9,0.524,0.365,6.4,13.0,9.8,17.0,1.6,0.7,0.3,0.1,0.4,0.092,0.4,-0.2,0.2,0.2,,1974,False
36.0,Connie Hawkins,31.0,LAL,SF,71.0,,2538.0,15.5,0.547,0.306,6.1,12.5,9.4,19.9,1.8,1.5,3.8,2.9,6.7,0.127,1.3,1.1,2.3,2.8,,1974,False
37.0,Randy Smith,25.0,BUF,SG,82.0,,2745.0,15.9,0.525,0.267,3.2,8.0,5.7,18.7,3.2,0.1,3.4,2.3,5.7,0.1,-0.4,0.7,0.4,1.6,,1974,False
38.0,Dave DeBusschere,33.0,NYK,PF,71.0,,2699.0,16.3,0.49,0.179,5.2,24.2,14.8,13.9,1.2,0.8,2.4,4.6,7.0,0.125,0.9,0.7,1.7,2.5,"MVP-11,AS,DEF1",1974,False
39.0,Dick Snyder,29.0,SEA,SG,74.0,,2670.0,14.5,0.52,0.188,3.1,8.2,5.6,14.3,1.5,0.5,4.4,1.6,6.0,0.107,0.2,-0.3,-0.1,1.3,,1974,False
40.0,Chet Walker,33.0,CHI,SF,82.0,,2661.0,18.5,0.566,0.426,5.0,10.9,7.9,12.2,1.2,0.1,7.4,3.2,10.6,0.191,2.7,-0.2,2.6,3.1,AS,1974,False
41.0,Larry Steele,24.0,POR,SG,81.0,,2648.0,12.8,0.52,0.251,3.4,8.7,6.0,15.5,3.6,0.6,1.9,1.7,3.6,0.065,-1.5,1.6,0.1,1.4,,1974,False
42.0,Happy Hairston,31.0,LAL,PF,77.0,,2634.0,17.2,0.583,0.586,12.1,23.5,18.0,10.5,1.0,0.3,5.6,3.7,9.3,0.17,1.4,-0.6,0.7,1.8,,1974,False
43.0,Clifford Ray,25.0,CHI,C,80.0,,2632.0,15.7,0.534,0.325,11.0,27.7,19.2,13.1,1.0,3.6,2.5,5.7,8.2,0.15,0.5,2.6,3.2,3.5,MVP-11,1974,False
44.0,Jim Price,24.0,LAL,PG,82.0,,2628.0,15.5,0.486,0.195,4.3,8.6,6.6,20.3,2.6,0.5,2.2,2.8,5.0,0.091,-0.2,0.4,0.2,1.5,DEF2,1974,False
45.0,Bingo Smith,27.0,CLE,SF,82.0,,2612.0,13.9,0.483,0.143,5.0,12.5,8.5,11.5,1.6,0.6,2.4,1.8,4.2,0.077,-0.2,-0.5,-0.7,0.9,,1974,False
46.0,Paul Silas,30.0,BOS,PF,82.0,,2599.0,14.5,0.513,0.437,12.8,21.0,17.0,9.1,1.1,0.4,3.6,4.0,7.7,0.141,0.3,0.2,0.4,1.6,,1974,False
47.0,Mike Newlin,25.0,HOU,SG,76.0,,2591.0,16.6,0.525,0.39,3.2,7.6,5.4,20.0,1.5,0.2,4.4,0.8,5.2,0.096,0.5,-1.7,-1.2,0.5,,1974,False
48.0,Lou Hudson,29.0,ATL,SF,65.0,,2588.0,19.5,0.546,0.26,4.8,8.9,6.8,12.7,2.7,0.6,6.5,2.4,8.8,0.164,2.6,0.3,2.9,3.2,AS,1974,False
