Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP,season,is_playoff
1,Kareem Abdul-Jabbar*,C,34,LAL,14,493,20.1,0.55,0.0,0.394,7.5,17.6,12.8,13.8,1.3,4.8,13.7,23.9,,0.8,0.7,1.5,0.144,,3.0,1.4,4.4,0.8,1982,True
2,Alvan Adams,C,27,PHO,7,233,18.9,0.566,0.0,0.304,8.6,15.6,11.9,14.7,2.8,2.3,16.8,21.1,,0.3,0.1,0.5,0.095,,1.1,1.2,2.3,0.3,1982,True
3,Danny Ainge,SG,22,BOS,10,129,8.2,0.493,0.089,0.289,5.0,5.6,5.3,12.3,0.8,0.4,17.8,19.4,,0.0,0.2,0.2,0.057,,-1.8,-1.8,-3.6,-0.1,1982,True
4,Tiny Archibald*,PG,33,BOS,8,277,10.3,0.516,0.057,0.4,0.4,5.9,3.2,25.6,0.9,0.4,21.8,15.5,,0.1,0.3,0.5,0.082,,0.5,-1.7,-1.3,0.1,1982,True
5,James Bailey,PF,24,NJN,2,26,6.6,0.515,0.0,0.667,8.8,18.9,13.7,5.3,3.8,2.4,43.6,11.3,,0.0,0.1,0.0,0.019,,-8.0,2.6,-5.4,0.0,1982,True
6,Greg Ballard,SF,27,WSB,7,268,13.4,0.419,0.0,0.25,9.0,17.7,13.2,12.9,2.6,0.7,9.8,19.2,,0.0,0.5,0.5,0.085,,1.7,1.2,2.8,0.3,1982,True
7,Gene Banks,SF,22,SAS,9,146,15.2,0.461,0.015,0.154,14.4,16.5,15.4,8.9,1.3,1.1,8.0,20.3,,0.1,0.1,0.2,0.065,,1.2,-0.9,0.4,0.1,1982,True
8,Mike Bantom,SF,30,PHI,21,399,7.4,0.416,0.0,0.462,11.4,10.3,10.8,7.7,1.8,1.3,18.0,14.0,,-0.3,0.4,0.1,0.016,,-2.2,-0.4,-2.6,-0.1,1982,True
9,Larry Bird*,PF,25,BOS,12,490,17.9,0.474,0.029,0.218,7.2,24.5,16.1,20.7,2.3,2.0,14.4,21.9,,0.3,1.2,1.6,0.154,,3.6,1.8,5.4,0.9,1982,True
10,Charles Bradley,SG,22,BOS,7,18,-9.1,0.225,0.0,0.25,6.0,22.8,14.6,7.6,2.7,0.0,31.1,29.1,,-0.2,0.0,-0.1,-0.35,,-17.9,-3.1,-21.0,-0.1,1982,True
11,Dudley Bradley,SG,24,PHO,7,24,-0.9,0.296,0.0,0.125,0.0,4.7,2.3,23.6,1.9,2.2,37.2,22.0,,-0.1,0.0,-0.1,-0.29,,-10.0,-2.7,-12.8,-0.1,1982,True
12,Mike Bratz,PG,26,SAS,9,180,9.6,0.381,0.346,0.192,1.1,7.3,4.1,32.8,2.4,0.0,17.5,15.0,,-0.1,0.1,0.0,0.007,,-2.2,0.3,-1.9,0.0,1982,True
13,Jim Brewer,PF,30,LAL,8,57,8.5,0.5,0.0,0.0,7.9,12.4,10.2,7.5,1.6,5.5,40.0,6.9,,0.0,0.1,0.0,0.035,,-0.8,2.5,1.7,0.1,1982,True
14,Fred Brown,SG,33,SEA,8,158,17.6,0.509,0.056,0.112,4.0,5.8,4.9,21.7,1.6,0.0,8.8,27.4,,0.2,0.2,0.3,0.093,,3.4,-1.1,2.3,0.2,1982,True
15,M.L. Carr,SF,31,BOS,12,305,7.2,0.387,0.038,0.219,7.4,7.4,7.4,12.8,1.8,0.0,15.4,18.1,,-0.3,0.4,0.1,0.019,,-1.8,-1.2,-3.0,-0.1,1982,True
16,Harvey Catchings,PF,30,MIL,6,26,4.0,0.667,0.0,0.0,13.4,21.8,17.2,0.0,0.0,7.1,50.0,9.8,,0.0,0.0,0.0,-0.043,,-9.5,1.4,-8.0,0.0,1982,True
17,Maurice Cheeks*,PG,25,PHI,21,765,16.6,0.513,0.034,0.245,2.3,6.7,4.6,31.9,3.1,0.4,14.3,18.8,,1.1,0.8,1.9,0.119,,2.8,0.7,3.6,1.1,1982,True
18,Jim Chones,C,32,WSB,5,30,2.4,0.242,0.0,0.333,3.6,19.2,11.2,9.5,1.7,3.9,8.8,15.8,,-0.1,0.1,0.0,-0.057,,-7.1,1.9,-5.2,0.0,1982,True
19,Don Collins,SG,23,WSB,7,149,6.0,0.457,0.0,0.159,6.6,10.1,8.3,6.3,1.3,0.4,18.9,16.3,,-0.2,0.2,0.0,0.009,,-3.7,0.0,-3.7,-0.1,1982,True
20,Darwin Cook,PG,23,NJN,2,86,4.3,0.393,0.091,0.182,0.0,4.3,2.1,16.9,1.2,1.4,20.2,22.2,,-0.3,0.1,-0.2,-0.109,,-6.2,-1.7,-7.9,-0.1,1982,True
