G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,is_playoff,Unnamed: 2,Unnamed: 6,team,season
1,"Fri, Oct 29, 1982",,,Box Score,@,Detroit Pistons,L,,86,94,0,1,L 1,15252,,,False,,,ATL,1983
2,"Sat, Oct 30, 1982",,,Box Score,,Boston Celtics,L,,97,112,0,2,L 2,13419,2:09,,False,,,ATL,1983
3,"Tue, Nov 2, 1982",,,Box Score,,Washington Bullets,W,,105,88,1,2,W 1,5149,,,False,,,ATL,1983
4,"Thu, Nov 4, 1982",,,Box Score,,Milwaukee Bucks,L,,100,104,1,3,L 1,8895,,,False,,,ATL,1983
5,"Sat, Nov 6, 1982",,,Box Score,,Detroit Pistons,W,,95,93,2,3,W 1,8008,,,False,,,ATL,1983
6,"Tue, Nov 9, 1982",,,Box Score,@,Denver Nuggets,W,,106,105,3,3,W 2,10551,,,False,,,ATL,1983
7,"Fri, Nov 12, 1982",,,Box Score,@,Utah Jazz,W,,106,98,4,3,W 3,8697,,,False,,,ATL,1983
8,"Sat, Nov 13, 1982",,,Box Score,@,Golden State Warriors,L,,101,114,4,4,L 1,12010,,,False,,,ATL,1983
9,"Tue, Nov 16, 1982",,,Box Score,@,Portland Trail Blazers,L,,87,106,4,5,L 2,12666,,,False,,,ATL,1983
10,"Wed, Nov 17, 1982",,,Box Score,@,Seattle SuperSonics,L,,97,119,4,6,L 3,11169,,,False,,,ATL,1983
11,"Sat, Nov 20, 1982",,,Box Score,@,Phoenix Suns,L,,80,91,4,7,L 4,11009,,,False,,,ATL,1983
12,"Tue, Nov 23, 1982",,,Box Score,,Chicago Bulls,W,,132,102,5,7,W 1,6341,,,False,,,ATL,1983
13,"Sat, Nov 27, 1982",,,Box Score,,Indiana Pacers,W,,117,98,6,7,W 2,6993,,,False,,,ATL,1983
14,"Tue, Nov 30, 1982",,,Box Score,,Philadelphia 76ers,W,,111,97,7,7,W 3,12044,2:11,,False,,,ATL,1983
15,"Wed, Dec 1, 1982",,,Box Score,@,Boston Celtics,L,,97,122,7,8,L 1,15320,2:02,,False,,,ATL,1983
16,"Fri, Dec 3, 1982",,,Box Score,,New Jersey Nets,L,,99,107,7,9,L 2,6884,,,False,,,ATL,1983
17,"Sat, Dec 4, 1982",,,Box Score,@,New York Knicks,W,,80,79,8,9,W 1,9821,,,False,,,ATL,1983
18,"Tue, Dec 7, 1982",,,Box Score,@,Cleveland Cavaliers,W,,102,90,9,9,W 2,2254,,,False,,,ATL,1983
19,"Wed, Dec 8, 1982",,,Box Score,@,Philadelphia 76ers,L,,85,132,9,10,L 1,18482,1:41,,False,,,ATL,1983
20,"Fri, Dec 10, 1982",,,Box Score,,Milwaukee Bucks,L,,83,104,9,11,L 2,7864,,,False,,,ATL,1983
21,"Sat, Dec 11, 1982",,,Box Score,@,Chicago Bulls,W,,117,107,10,11,W 1,6781,,,False,,,ATL,1983
