G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,is_playoff,team,season
1,"Thu, Oct 24, 2019",7:00p,,Box Score,@,Detroit Pistons,W,,117,100,1,0,W 1,20338,2:15,,False,ATL,2020
2,"Sat, Oct 26, 2019",7:30p,,Box Score,,Orlando Magic,W,,103,99,2,0,W 2,17078,2:18,,False,ATL,2020
3,"Mon, Oct 28, 2019",7:30p,,Box Score,,Philadelphia 76ers,L,,103,105,2,1,L 1,14094,2:35,,False,ATL,2020
4,"Tue, Oct 29, 2019",7:30p,,Box Score,@,Miami Heat,L,,97,112,2,2,L 2,19600,2:22,,False,ATL,2020
5,"Thu, Oct 31, 2019",7:00p,,Box Score,,Miami Heat,L,,97,106,2,3,L 3,16539,2:17,,False,ATL,2020
6,"Tue, Nov 5, 2019",7:30p,,Box Score,,San Antonio Spurs,W,,108,100,3,3,W 1,14025,2:15,,False,ATL,2020
7,"Wed, Nov 6, 2019",7:30p,,Box Score,,Chicago Bulls,L,,93,113,3,4,L 1,15049,2:16,,False,ATL,2020
8,"Fri, Nov 8, 2019",7:30p,,Box Score,,Sacramento Kings,L,,109,121,3,5,L 2,16447,2:06,,False,ATL,2020
9,"Sun, Nov 10, 2019",9:00p,,Box Score,@,Portland Trail Blazers,L,OT,113,124,3,6,L 3,20041,2:35,,False,ATL,2020
10,"Tue, Nov 12, 2019",9:00p,,Box Score,@,Denver Nuggets,W,,125,121,4,6,W 1,18327,2:19,,False,ATL,2020
11,"Thu, Nov 14, 2019",9:00p,,Box Score,@,Phoenix Suns,L,,112,128,4,7,L 1,15143,2:19,,False,ATL,2020
12,"Sat, Nov 16, 2019",10:30p,,Box Score,@,Los Angeles Clippers,L,,101,150,4,8,L 2,19068,2:17,,False,ATL,2020
13,"Sun, Nov 17, 2019",9:30p,,Box Score,@,Los Angeles Lakers,L,,101,122,4,9,L 3,18997,2:12,,False,ATL,2020
14,"Wed, Nov 20, 2019",7:30p,,Box Score,,Milwaukee Bucks,L,,127,135,4,10,L 4,16441,2:32,,False,ATL,2020
15,"Fri, Nov 22, 2019",7:00p,,Box Score,@,Detroit Pistons,L,,103,128,4,11,L 5,15399,2:02,,False,ATL,2020
16,"Sat, Nov 23, 2019",7:30p,,Box Score,,Toronto Raptors,L,,116,119,4,12,L 6,16931,2:13,,False,ATL,2020
17,"Mon, Nov 25, 2019",7:30p,,Box Score,,Minnesota Timberwolves,L,,113,125,4,13,L 7,16218,2:21,,False,ATL,2020
18,"Wed, Nov 27, 2019",8:00p,,Box Score,@,Milwaukee Bucks,L,,102,111,4,14,L 8,17525,2:18,,False,ATL,2020
