G,Date,Unnamed: 2,Unnamed: 3,Unnamed: 4,Opponent,Unnamed: 6,Unnamed: 7,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,is_playoff,team,season
1,"Tue, Oct 13, 1970",,Box Score,@,New York Knicks,L,,107,114,0,1,L 1,18398,,,False,BOS,1971
2,"Thu, Oct 15, 1970",,Box Score,@,Phoenix Suns,L,,100,119,0,2,L 2,7523,,,False,BOS,1971
3,"Sat, Oct 17, 1970",,Box Score,@,Seattle SuperSonics,L,,114,126,0,3,L 3,11617,,,False,BOS,1971
4,"Sun, Oct 18, 1970",,Box Score,@,Portland Trail Blazers,W,,133,115,1,3,W 1,6301,,,False,BOS,1971
5,"Wed, Oct 21, 1970",,Box Score,,Detroit Pistons,L,,118,121,1,4,L 1,9606,,,False,BOS,1971
6,"Fri, Oct 23, 1970",,Box Score,,Cincinnati Royals,W,,131,126,2,4,W 1,4910,,,False,BOS,1971
7,"Sat, Oct 24, 1970",,Box Score,@,Atlanta Hawks,W,,113,109,3,4,W 2,5800,,,False,BOS,1971
8,"Wed, Oct 28, 1970",,Box Score,,New York Knicks,L,,89,126,3,5,L 1,8762,,,False,BOS,1971
9,"Fri, Oct 30, 1970",,Box Score,,Phoenix Suns,W,,127,112,4,5,W 1,5392,,,False,BOS,1971
10,"Sat, Oct 31, 1970",,Box Score,@,Philadelphia 76ers,W,,133,102,5,5,W 2,5210,,,False,BOS,1971
11,"Wed, Nov 4, 1970",,Box Score,,Philadelphia 76ers,W,,115,113,6,5,W 3,5212,,,False,BOS,1971
12,"Fri, Nov 6, 1970",,Box Score,,Seattle SuperSonics,W,,116,94,7,5,W 4,5852,,,False,BOS,1971
13,"Sat, Nov 7, 1970",,Box Score,@,Cincinnati Royals,W,,140,122,8,5,W 5,3538,,,False,BOS,1971
14,"Wed, Nov 11, 1970",,Box Score,,Milwaukee Bucks,L,,113,123,8,6,L 1,15203,,,False,BOS,1971
15,"Fri, Nov 13, 1970",,Box Score,,Atlanta Hawks,L,,114,116,8,7,L 2,12005,,,False,BOS,1971
16,"Sat, Nov 14, 1970",,Box Score,@,Baltimore Bullets,L,,101,122,8,8,L 3,8759,,,False,BOS,1971
17,"Wed, Nov 18, 1970",,Box Score,,San Francisco Warriors,L,,89,90,8,9,L 4,3853,,,False,BOS,1971
