G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,is_playoff,Unnamed: 2,Unnamed: 6,team,season
1,"Fri, Oct 31, 1986",,,Box Score,,Washington Bullets,W,,120,102,1,0,W 1,14890,2:02,,False,,,BOS,1987
2,"Sat, Nov 1, 1986",,,Box Score,@,Milwaukee Bucks,L,,105,111,1,1,L 1,11052,2:12,,False,,,BOS,1987
3,"Wed, Nov 5, 1986",,,Box Score,,Indiana Pacers,W,,133,102,2,1,W 1,14890,2:01,,False,,,BOS,1987
4,"Fri, Nov 7, 1986",,,Box Score,@,Washington Bullets,W,,88,86,3,1,W 2,19375,2:10,,False,,,BOS,1987
5,"Tue, Nov 11, 1986",7:45p,,Box Score,@,New Jersey Nets,L,,110,114,3,2,L 1,14720,2:17,,False,,,BOS,1987
6,"Wed, Nov 12, 1986",,,Box Score,,Milwaukee Bucks,W,,124,116,4,2,W 1,14890,2:08,,False,,,BOS,1987
7,"Fri, Nov 14, 1986",,,Box Score,@,Chicago Bulls,W,,110,98,5,2,W 2,18919,2:01,,False,,,BOS,1987
8,"Sat, Nov 15, 1986",,,Box Score,@,Detroit Pistons,W,,118,111,6,2,W 3,25689,2:03,,False,,,BOS,1987
9,"Wed, Nov 19, 1986",,,Box Score,,Atlanta Hawks,W,,111,107,7,2,W 4,14890,2:11,,False,,,BOS,1987
10,"Fri, Nov 21, 1986",,,Box Score,,Golden State Warriors,W,,135,120,8,2,W 5,14890,2:04,,False,,,BOS,1987
11,"Sat, Nov 22, 1986",,,Box Score,@,Atlanta Hawks,L,,96,97,8,3,L 1,16522,2:14,,False,,,BOS,1987
12,"Tue, Nov 25, 1986",,,Box Score,@,Philadelphia 76ers,L,,100,102,8,4,L 2,17967,2:08,,False,,,BOS,1987
13,"Wed, Nov 26, 1986",,,Box Score,,New York Knicks,W,,101,90,9,4,W 1,14890,1:55,,False,,,BOS,1987
14,"Fri, Nov 28, 1986",,,Box Score,,San Antonio Spurs,W,,111,96,10,4,W 2,14890,1:51,,False,,,BOS,1987
15,"Tue, Dec 2, 1986",,,Box Score,,Washington Bullets,L,,109,117,10,5,L 1,15134,1:49,"at Hartford, CT",False,,,BOS,1987
16,"Wed, Dec 3, 1986",,,Box Score,,Denver Nuggets,W,,119,113,11,5,W 1,14890,2:08,,False,,,BOS,1987
17,"Fri, Dec 5, 1986",,,Box Score,,Philadelphia 76ers,W,,108,106,12,5,W 2,14890,2:14,,False,,,BOS,1987
18,"Sat, Dec 6, 1986",,,Box Score,@,Cleveland Cavaliers,L,,86,88,12,6,L 1,19587,2:02,,False,,,BOS,1987
19,"Wed, Dec 10, 1986",,,Box Score,,New Jersey Nets,W,,108,98,13,6,W 1,14890,2:09,,False,,,BOS,1987
20,"Fri, Dec 12, 1986",,,Box Score,,Los Angeles Lakers,L,,110,117,13,7,L 1,14890,1:53,,False,,,BOS,1987
21,"Sat, Dec 13, 1986",,,Box Score,@,Washington Bullets,W,,105,98,14,7,W 1,19411,2:28,,False,,,BOS,1987
22,"Tue, Dec 16, 1986",,,Box Score,@,New York Knicks,W,,107,96,15,7,W 2,18694,2:01,,False,,,BOS,1987
23,"Wed, Dec 17, 1986",,,Box Score,,Indiana Pacers,W,,113,101,16,7,W 3,14890,1:58,,False,,,BOS,1987
24,"Fri, Dec 19, 1986",,,Box Score,@,Philadelphia 76ers,L,,100,122,16,8,L 1,17967,2:08,,False,,,BOS,1987
25,"Sat, Dec 20, 1986",,,Box Score,@,Milwaukee Bucks,L,,100,120,16,9,L 2,11052,2:02,,False,,,BOS,1987
26,"Fri, Dec 26, 1986",,,Box Score,@,Phoenix Suns,W,,122,112,17,9,W 1,14519,2:00,,False,,,BOS,1987
27,"Sat, Dec 27, 1986",,,Box Score,@,Los Angeles Clippers,W,,114,101,18,9,W 2,14410,1:54,,False,,,BOS,1987
28,"Mon, Dec 29, 1986",,,Box Score,@,Sacramento Kings,W,,119,102,19,9,W 3,10333,1:55,,False,,,BOS,1987
29,"Tue, Dec 30, 1986",,,Box Score,@,Seattle SuperSonics,W,,104,102,20,9,W 4,14600,2:13,,False,,,BOS,1987
30,"Fri, Jan 2, 1987",,,Box Score,,Chicago Bulls,W,,113,99,21,9,W 5,14890,2:03,,False,,,BOS,1987
31,"Wed, Jan 7, 1987",,,Box Score,,Milwaukee Bucks,W,,119,92,22,9,W 6,14890,2:01,,False,,,BOS,1987
32,"Fri, Jan 9, 1987",,,Box Score,,Sacramento Kings,W,,109,99,23,9,W 7,14890,1:54,,False,,,BOS,1987
33,"Sat, Jan 10, 1987",,,Box Score,@,Detroit Pistons,L,,101,118,23,10,L 1,37279,2:12,,False,,,BOS,1987
34,"Tue, Jan 13, 1987",7:42p,,Box Score,@,New Jersey Nets,W,,123,117,24,10,W 1,14891,2:10,,False,,,BOS,1987
35,"Wed, Jan 14, 1987",,,Box Score,,Dallas Mavericks,W,,117,108,25,10,W 2,14890,1:58,,False,,,BOS,1987
36,"Fri, Jan 16, 1987",,,Box Score,,Cleveland Cavaliers,W,OT,133,128,26,10,W 3,14890,2:23,,False,,,BOS,1987
37,"Sun, Jan 18, 1987",,,Box Score,,Houston Rockets,W,,122,99,27,10,W 4,14890,2:13,,False,,,BOS,1987
38,"Mon, Jan 19, 1987",,,Box Score,@,New York Knicks,L,,109,111,27,11,L 1,19431,2:10,,False,,,BOS,1987
39,"Wed, Jan 21, 1987",,,Box Score,,Indiana Pacers,W,,130,100,28,11,W 1,14890,1:58,,False,,,BOS,1987
40,"Fri, Jan 23, 1987",,,Box Score,,Atlanta Hawks,W,,126,106,29,11,W 2,14890,2:03,,False,,,BOS,1987
41,"Sun, Jan 25, 1987",,,Box Score,,Philadelphia 76ers,W,,111,96,30,11,W 3,14890,2:10,,False,,,BOS,1987
42,"Tue, Jan 27, 1987",,,Box Score,@,Chicago Bulls,W,,105,97,31,11,W 4,18106,2:02,,False,,,BOS,1987
43,"Wed, Jan 28, 1987",,,Box Score,,Chicago Bulls,W,,132,103,32,11,W 5,14890,1:58,,False,,,BOS,1987
44,"Fri, Jan 30, 1987",,,Box Score,@,Indiana Pacers,W,,100,94,33,11,W 6,16912,2:07,,False,,,BOS,1987
45,"Tue, Feb 3, 1987",,,Box Score,@,Atlanta Hawks,L,OT,123,126,33,12,L 1,16522,2:34,,False,,,BOS,1987
46,"Wed, Feb 4, 1987",,,Box Score,,Cleveland Cavaliers,W,,104,102,34,12,W 1,14890,2:05,,False,,,BOS,1987
47,"Tue, Feb 10, 1987",,,Box Score,@,Denver Nuggets,W,,119,105,35,12,W 2,17022,1:59,,False,,,BOS,1987
48,"Thu, Feb 12, 1987",,,Box Score,@,Golden State Warriors,W,,134,112,36,12,W 3,15025,2:02,,False,,,BOS,1987
49,"Fri, Feb 13, 1987",,,Box Score,@,Portland Trail Blazers,W,,131,116,37,12,W 4,12666,1:59,,False,,,BOS,1987
50,"Sun, Feb 15, 1987",,,Box Score,@,Los Angeles Lakers,L,,103,106,37,13,L 1,17505,2:22,,False,,,BOS,1987
51,"Mon, Feb 16, 1987",,,Box Score,@,Utah Jazz,L,,89,109,37,14,L 2,12212,1:54,,False,,,BOS,1987
52,"Wed, Feb 18, 1987",,,Box Score,@,Dallas Mavericks,W,,113,96,38,14,W 1,17007,1:56,,False,,,BOS,1987
53,"Thu, Feb 19, 1987",,,Box Score,@,Houston Rockets,W,,99,92,39,14,W 2,16279,2:05,,False,,,BOS,1987
54,"Sat, Feb 21, 1987",,,Box Score,@,San Antonio Spurs,W,,121,113,40,14,W 3,15786,2:02,,False,,,BOS,1987
55,"Mon, Feb 23, 1987",,,Box Score,,New Jersey Nets,W,,116,103,41,14,W 4,15134,2:10,"at Hartford, CT",False,,,BOS,1987
56,"Wed, Feb 25, 1987",,,Box Score,,Portland Trail Blazers,W,,122,116,42,14,W 5,14890,2:07,,False,,,BOS,1987
57,"Fri, Feb 27, 1987",,,Box Score,@,Atlanta Hawks,L,,105,115,42,15,L 1,16522,2:06,,False,,,BOS,1987
58,"Sun, Mar 1, 1987",,,Box Score,,Detroit Pistons,W,,112,102,43,15,W 1,14890,2:03,,False,,,BOS,1987
59,"Wed, Mar 4, 1987",,,Box Score,,Utah Jazz,W,,123,105,44,15,W 2,14890,2:03,,False,,,BOS,1987
60,"Fri, Mar 6, 1987",,,Box Score,,Los Angeles Clippers,W,,132,111,45,15,W 3,14890,1:53,,False,,,BOS,1987
61,"Sun, Mar 8, 1987",,,Box Score,@,Detroit Pistons,L,OT,119,122,45,16,L 1,33896,2:29,,False,,,BOS,1987
62,"Wed, Mar 11, 1987",,,Box Score,,Phoenix Suns,W,,118,109,46,16,W 1,14890,1:56,,False,,,BOS,1987
63,"Fri, Mar 13, 1987",,,Box Score,@,Indiana Pacers,L,,109,116,46,17,L 1,16912,1:57,,False,,,BOS,1987
64,"Sun, Mar 15, 1987",,,Box Score,,New York Knicks,W,,113,104,47,17,W 1,14890,1:57,,False,,,BOS,1987
65,"Tue, Mar 17, 1987",,,Box Score,@,Milwaukee Bucks,L,,115,123,47,18,L 1,11052,2:00,,False,,,BOS,1987
66,"Wed, Mar 18, 1987",,,Box Score,,Milwaukee Bucks,W,,120,102,48,18,W 1,14890,2:15,,False,,,BOS,1987
67,"Fri, Mar 20, 1987",,,Box Score,,Seattle SuperSonics,W,,112,108,49,18,W 2,14890,1:51,,False,,,BOS,1987
68,"Sun, Mar 22, 1987",,,Box Score,,New Jersey Nets,W,,116,104,50,18,W 3,14890,1:59,,False,,,BOS,1987
69,"Tue, Mar 24, 1987",,,Box Score,,Cleveland Cavaliers,W,,111,88,51,18,W 4,15134,1:49,"at Hartford, CT",False,,,BOS,1987
70,"Thu, Mar 26, 1987",,,Box Score,@,Washington Bullets,L,,103,106,51,19,L 1,19411,2:07,,False,,,BOS,1987
71,"Fri, Mar 27, 1987",,,Box Score,@,Chicago Bulls,W,,111,106,52,19,W 1,18122,1:55,,False,,,BOS,1987
72,"Sun, Mar 29, 1987",,,Box Score,,Philadelphia 76ers,W,,118,100,53,19,W 2,14890,1:57,,False,,,BOS,1987
73,"Tue, Mar 31, 1987",,,Box Score,@,New York Knicks,L,,120,128,53,20,L 1,17582,2:02,,False,,,BOS,1987
74,"Wed, Apr 1, 1987",,,Box Score,,Washington Bullets,W,,103,86,54,20,W 1,14890,1:49,,False,,,BOS,1987
75,"Fri, Apr 3, 1987",,,Box Score,,Detroit Pistons,W,OT,119,115,55,20,W 2,14890,2:29,,False,,,BOS,1987
76,"Sun, Apr 5, 1987",,,Box Score,@,Philadelphia 76ers,L,OT,104,106,55,21,L 1,17967,2:36,,False,,,BOS,1987
77,"Tue, Apr 7, 1987",,,Box Score,@,Cleveland Cavaliers,L,,83,107,55,22,L 2,19007,1:54,,False,,,BOS,1987
78,"Fri, Apr 10, 1987",7:43p,,Box Score,@,New Jersey Nets,L,,108,117,55,23,L 3,18969,2:04,,False,,,BOS,1987
79,"Sun, Apr 12, 1987",,,Box Score,,New York Knicks,W,,119,107,56,23,W 1,14890,2:06,,False,,,BOS,1987
80,"Wed, Apr 15, 1987",,,Box Score,@,Indiana Pacers,W,,108,85,57,23,W 2,16912,1:53,,False,,,BOS,1987
81,"Fri, Apr 17, 1987",,,Box Score,,Chicago Bulls,W,,108,105,58,23,W 3,14890,1:56,,False,,,BOS,1987
82,"Sun, Apr 19, 1987",,,Box Score,,Atlanta Hawks,W,,118,107,59,23,W 4,14890,2:21,,False,,,BOS,1987
1,"Thu, Apr 23, 1987",,Box Score,,,Chicago Bulls,,,108,104,1,0,W 1,14890,,,True,,W,BOS,1987
2,"Sun, Apr 26, 1987",,Box Score,,,Chicago Bulls,,,105,96,2,0,W 2,14890,2:19,,True,,W,BOS,1987
3,"Tue, Apr 28, 1987",,Box Score,@,,Chicago Bulls,,,105,94,3,0,W 3,18122,2:12,,True,,W,BOS,1987
4,"Tue, May 5, 1987",,Box Score,,,Milwaukee Bucks,,,111,98,4,0,W 4,14890,2:11,,True,,W,BOS,1987
5,"Wed, May 6, 1987",,Box Score,,,Milwaukee Bucks,,,126,124,5,0,W 5,14890,2:22,,True,,W,BOS,1987
6,"Fri, May 8, 1987",,Box Score,@,,Milwaukee Bucks,OT,,121,126,5,1,L 1,11052,2:36,,True,,L,BOS,1987
7,"Sun, May 10, 1987",,Box Score,@,,Milwaukee Bucks,2OT,,138,137,6,1,W 1,11052,3:07,,True,,W,BOS,1987
8,"Wed, May 13, 1987",,Box Score,,,Milwaukee Bucks,,,124,129,6,2,L 1,14890,2:15,,True,,L,BOS,1987
9,"Fri, May 15, 1987",,Box Score,@,,Milwaukee Bucks,,,111,121,6,3,L 2,11052,2:16,,True,,L,BOS,1987
10,"Sun, May 17, 1987",,Box Score,,,Milwaukee Bucks,,,119,113,7,3,W 1,14890,2:32,,True,,W,BOS,1987
11,"Tue, May 19, 1987",,Box Score,,,Detroit Pistons,,,104,91,8,3,W 2,14890,2:02,,True,,W,BOS,1987
12,"Thu, May 21, 1987",,Box Score,,,Detroit Pistons,,,110,101,9,3,W 3,14890,2:17,,True,,W,BOS,1987
13,"Sat, May 23, 1987",,Box Score,@,,Detroit Pistons,,,104,122,9,4,L 1,23525,2:20,,True,,L,BOS,1987
14,"Sun, May 24, 1987",,Box Score,@,,Detroit Pistons,,,119,145,9,5,L 2,27387,2:10,,True,,L,BOS,1987
15,"Tue, May 26, 1987",,Box Score,,,Detroit Pistons,,,108,107,10,5,W 1,14890,2:24,,True,,W,BOS,1987
16,"Thu, May 28, 1987",,Box Score,@,,Detroit Pistons,,,105,113,10,6,L 1,28383,2:22,,True,,L,BOS,1987
17,"Sat, May 30, 1987",,Box Score,,,Detroit Pistons,,,117,114,11,6,W 1,14890,2:40,,True,,W,BOS,1987
18,"Tue, Jun 2, 1987",,Box Score,@,,Los Angeles Lakers,,,113,126,11,7,L 1,17505,2:05,,True,,L,BOS,1987
19,"Thu, Jun 4, 1987",,Box Score,@,,Los Angeles Lakers,,,122,141,11,8,L 2,17505,2:10,,True,,L,BOS,1987
20,"Sun, Jun 7, 1987",,Box Score,,,Los Angeles Lakers,,,109,103,12,8,W 1,14890,2:18,,True,,W,BOS,1987
21,"Tue, Jun 9, 1987",,Box Score,,,Los Angeles Lakers,,,106,107,12,9,L 1,14890,2:26,,True,,L,BOS,1987
