G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,is_playoff,team,season
1,"Tue, Oct 17, 2017",8:01p,,Box Score,@,Cleveland Cavaliers,L,,99,102,0,1,L 1,20562,2:28,,False,BOS,2018
2,"Wed, Oct 18, 2017",7:30p,,Box Score,,Milwaukee Bucks,L,,100,108,0,2,L 2,18624,2:15,,False,BOS,2018
3,"Fri, Oct 20, 2017",7:00p,,Box Score,@,Philadelphia 76ers,W,,102,92,1,2,W 1,20816,2:17,,False,BOS,2018
4,"Tue, Oct 24, 2017",7:30p,,Box Score,,New York Knicks,W,,110,89,2,2,W 2,18624,2:06,,False,BOS,2018
5,"Thu, Oct 26, 2017",8:00p,,Box Score,@,Milwaukee Bucks,W,,96,89,3,2,W 3,11046,2:13,,False,BOS,2018
6,"Sat, Oct 28, 2017",8:00p,,Box Score,@,Miami Heat,W,,96,90,4,2,W 4,19600,2:12,,False,BOS,2018
7,"Mon, Oct 30, 2017",7:30p,,Box Score,,San Antonio Spurs,W,,108,94,5,2,W 5,18624,2:07,,False,BOS,2018
8,"Wed, Nov 1, 2017",7:30p,,Box Score,,Sacramento Kings,W,,113,86,6,2,W 6,18624,1:58,,False,BOS,2018
9,"Fri, Nov 3, 2017",9:30p,,Box Score,@,Oklahoma City Thunder,W,,101,94,7,2,W 7,18203,2:21,,False,BOS,2018
10,"Sun, Nov 5, 2017",6:00p,,Box Score,@,Orlando Magic,W,,104,88,8,2,W 8,17731,2:06,,False,BOS,2018
11,"Mon, Nov 6, 2017",7:30p,,Box Score,@,Atlanta Hawks,W,,110,107,9,2,W 9,13215,2:15,,False,BOS,2018
12,"Wed, Nov 8, 2017",8:00p,,Box Score,,Los Angeles Lakers,W,,107,96,10,2,W 10,18624,2:15,,False,BOS,2018
13,"Fri, Nov 10, 2017",7:30p,,Box Score,,Charlotte Hornets,W,,90,87,11,2,W 11,18624,2:24,,False,BOS,2018
14,"Sun, Nov 12, 2017",3:30p,,Box Score,,Toronto Raptors,W,,95,94,12,2,W 12,18624,2:14,,False,BOS,2018
15,"Tue, Nov 14, 2017",7:30p,,Box Score,@,Brooklyn Nets,W,,109,102,13,2,W 13,17732,2:10,,False,BOS,2018
16,"Thu, Nov 16, 2017",8:00p,,Box Score,,Golden State Warriors,W,,92,88,14,2,W 14,18624,2:25,,False,BOS,2018
17,"Sat, Nov 18, 2017",7:30p,,Box Score,@,Atlanta Hawks,W,,110,99,15,2,W 15,16381,2:10,,False,BOS,2018
18,"Mon, Nov 20, 2017",8:30p,,Box Score,@,Dallas Mavericks,W,OT,110,102,16,2,W 16,20302,2:25,,False,BOS,2018
19,"Wed, Nov 22, 2017",7:30p,,Box Score,@,Miami Heat,L,,98,104,16,3,L 1,19704,2:13,,False,BOS,2018
20,"Fri, Nov 24, 2017",7:30p,,Box Score,,Orlando Magic,W,,118,103,17,3,W 1,18624,2:03,,False,BOS,2018
21,"Sat, Nov 25, 2017",8:00p,,Box Score,@,Indiana Pacers,W,,108,98,18,3,W 2,16303,1:54,,False,BOS,2018
22,"Mon, Nov 27, 2017",7:30p,,Box Score,,Detroit Pistons,L,,108,118,18,4,L 1,18624,2:07,,False,BOS,2018
23,"Thu, Nov 30, 2017",7:30p,,Box Score,,Philadelphia 76ers,W,,108,97,19,4,W 1,18624,2:13,,False,BOS,2018
24,"Sat, Dec 2, 2017",1:00p,,Box Score,,Phoenix Suns,W,,116,111,20,4,W 2,18624,2:07,,False,BOS,2018
25,"Mon, Dec 4, 2017",7:30p,,Box Score,,Milwaukee Bucks,W,,111,100,21,4,W 3,18624,2:04,,False,BOS,2018
26,"Wed, Dec 6, 2017",7:30p,,Box Score,,Dallas Mavericks,W,,97,90,22,4,W 4,18624,2:04,,False,BOS,2018
27,"Fri, Dec 8, 2017",9:30p,,Box Score,@,San Antonio Spurs,L,,102,105,22,5,L 1,18418,2:14,,False,BOS,2018
28,"Sun, Dec 10, 2017",4:00p,,Box Score,@,Detroit Pistons,W,,91,81,23,5,W 1,18776,2:06,,False,BOS,2018
29,"Mon, Dec 11, 2017",8:00p,,Box Score,@,Chicago Bulls,L,,85,108,23,6,L 1,19617,1:59,,False,BOS,2018
30,"Wed, Dec 13, 2017",7:30p,,Box Score,,Denver Nuggets,W,,124,118,24,6,W 1,18624,2:10,,False,BOS,2018
31,"Fri, Dec 15, 2017",7:30p,,Box Score,,Utah Jazz,L,,95,107,24,7,L 1,18624,2:05,,False,BOS,2018
