G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,is_playoff,team,season
1,"Wed, Oct 26, 2016",7:30p,,Box Score,@,Boston Celtics,L,,117,122,0,1,L 1,18624,2:21,,False,BRK,2017
2,"Fri, Oct 28, 2016",7:30p,,Box Score,,Indiana Pacers,W,,103,94,1,1,W 1,17732,2:14,,False,BRK,2017
3,"Sat, Oct 29, 2016",8:00p,,Box Score,@,Milwaukee Bucks,L,,108,110,1,2,L 1,12570,2:14,,False,BRK,2017
4,"Mon, Oct 31, 2016",7:30p,,Box Score,,Chicago Bulls,L,,88,118,1,3,L 2,15842,2:02,,False,BRK,2017
5,"Wed, Nov 2, 2016",7:30p,,Box Score,,Detroit Pistons,W,,109,101,2,3,W 1,13650,2:16,,False,BRK,2017
6,"Fri, Nov 4, 2016",7:30p,,Box Score,,Charlotte Hornets,L,,95,99,2,4,L 1,15775,2:16,,False,BRK,2017
7,"Tue, Nov 8, 2016",7:30p,,Box Score,,Minnesota Timberwolves,W,,119,110,3,4,W 1,13610,2:13,,False,BRK,2017
8,"Wed, Nov 9, 2016",7:00p,,Box Score,@,New York Knicks,L,,96,110,3,5,L 1,19812,2:19,,False,BRK,2017
9,"Sat, Nov 12, 2016",9:00p,,Box Score,@,Phoenix Suns,W,,122,104,4,5,W 1,17126,2:13,,False,BRK,2017
10,"Mon, Nov 14, 2016",10:30p,,Box Score,@,Los Angeles Clippers,L,,95,127,4,6,L 1,19060,2:06,,False,BRK,2017
11,"Tue, Nov 15, 2016",10:30p,,Box Score,@,Los Angeles Lakers,L,,118,125,4,7,L 2,18426,2:17,,False,BRK,2017
12,"Fri, Nov 18, 2016",8:00p,,Box Score,@,Oklahoma City Thunder,L,,105,124,4,8,L 3,18203,2:16,,False,BRK,2017
13,"Sun, Nov 20, 2016",3:30p,,Box Score,,Portland Trail Blazers,L,,109,129,4,9,L 4,16608,2:10,,False,BRK,2017
14,"Wed, Nov 23, 2016",7:30p,,Box Score,,Boston Celtics,L,,92,111,4,10,L 5,16210,2:09,,False,BRK,2017
15,"Fri, Nov 25, 2016",8:00p,,Box Score,@,Indiana Pacers,L,,97,118,4,11,L 6,16083,1:59,,False,BRK,2017
16,"Sun, Nov 27, 2016",6:00p,,Box Score,,Sacramento Kings,L,,105,122,4,12,L 7,13646,2:15,,False,BRK,2017
17,"Tue, Nov 29, 2016",7:30p,,Box Score,,Los Angeles Clippers,W,2OT,127,122,5,12,W 1,15681,3:04,,False,BRK,2017
18,"Thu, Dec 1, 2016",7:30p,,Box Score,,Milwaukee Bucks,L,,93,111,5,13,L 1,12675,2:13,,False,BRK,2017
19,"Sat, Dec 3, 2016",5:00p,,Box Score,@,Milwaukee Bucks,L,,103,112,5,14,L 2,15565,2:21,,False,BRK,2017
20,"Mon, Dec 5, 2016",7:30p,,Box Score,,Washington Wizards,L,,113,118,5,15,L 3,12529,2:15,,False,BRK,2017
21,"Wed, Dec 7, 2016",7:30p,,Box Score,,Denver Nuggets,W,,116,111,6,15,W 1,14159,2:18,,False,BRK,2017
22,"Sat, Dec 10, 2016",8:30p,,Box Score,@,San Antonio Spurs,L,,101,130,6,16,L 1,18418,2:07,,False,BRK,2017
23,"Mon, Dec 12, 2016",8:00p,,Box Score,@,Houston Rockets,L,,118,122,6,17,L 2,13619,2:23,,False,BRK,2017
24,"Wed, Dec 14, 2016",7:30p,,Box Score,,Los Angeles Lakers,W,,107,97,7,17,W 1,17732,2:22,,False,BRK,2017
25,"Fri, Dec 16, 2016",7:00p,,Box Score,@,Orlando Magic,L,,111,118,7,18,L 1,17668,2:25,,False,BRK,2017
26,"Sun, Dec 18, 2016",6:00p,,Box Score,@,Philadelphia 76ers,L,,107,108,7,19,L 2,16460,2:25,,False,BRK,2017
27,"Tue, Dec 20, 2016",7:30p,,Box Score,@,Toronto Raptors,L,,104,116,7,20,L 3,19800,2:08,,False,BRK,2017
