G,Date,Unnamed: 2,Unnamed: 3,Unnamed: 4,Opponent,Unnamed: 6,Unnamed: 7,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,is_playoff,team,season
1,"Tue, Oct 10, 1972",,Box Score,,Atlanta Hawks,L,,109,120,0,1,L 1,,,,False,BUF,1973
2,"Fri, Oct 13, 1972",,Box Score,@,Philadelphia 76ers,W,,104,101,1,1,W 1,,,,False,BUF,1973
3,"Sat, Oct 14, 1972",,Box Score,,Houston Rockets,L,,113,121,1,2,L 1,,,,False,BUF,1973
4,"Tue, Oct 17, 1972",,Box Score,,Philadelphia 76ers,W,,122,114,2,2,W 1,,,,False,BUF,1973
5,"Fri, Oct 20, 1972",,Box Score,@,Boston Celtics,L,,118,126,2,3,L 1,9779,,,False,BUF,1973
6,"Sat, Oct 21, 1972",,Box Score,,Milwaukee Bucks,L,,63,91,2,4,L 2,,,,False,BUF,1973
7,"Tue, Oct 24, 1972",,Box Score,,Boston Celtics,L,,97,105,2,5,L 3,6327,,,False,BUF,1973
8,"Wed, Oct 25, 1972",,Box Score,@,Milwaukee Bucks,L,,92,109,2,6,L 4,,,,False,BUF,1973
9,"Sat, Oct 28, 1972",,Box Score,,Kansas City-Omaha Kings,L,,102,113,2,7,L 5,,,,False,BUF,1973
10,"Fri, Nov 3, 1972",,Box Score,@,Cleveland Cavaliers,L,,97,124,2,8,L 6,,,,False,BUF,1973
11,"Sat, Nov 4, 1972",,Box Score,,Chicago Bulls,W,,101,99,3,8,W 1,,,,False,BUF,1973
12,"Tue, Nov 7, 1972",,Box Score,,Golden State Warriors,L,,91,105,3,9,L 1,,,,False,BUF,1973
13,"Wed, Nov 8, 1972",,Box Score,@,Baltimore Bullets,L,,94,126,3,10,L 2,,,,False,BUF,1973
14,"Fri, Nov 10, 1972",,Box Score,,Boston Celtics,L,,104,106,3,11,L 3,8722,,,False,BUF,1973
15,"Tue, Nov 14, 1972",,Box Score,@,Kansas City-Omaha Kings,L,,100,106,3,12,L 4,,,"at Omaha, NE",False,BUF,1973
16,"Fri, Nov 17, 1972",,Box Score,@,Los Angeles Lakers,L,,100,103,3,13,L 5,,,,False,BUF,1973
17,"Sat, Nov 18, 1972",,Box Score,@,Golden State Warriors,L,,92,120,3,14,L 6,,,,False,BUF,1973
18,"Sun, Nov 19, 1972",,Box Score,@,Seattle SuperSonics,L,,84,107,3,15,L 7,,,,False,BUF,1973
19,"Tue, Nov 21, 1972",,Box Score,,Baltimore Bullets,L,,88,124,3,16,L 8,,,,False,BUF,1973
20,"Fri, Nov 24, 1972",,Box Score,N,Philadelphia 76ers,W,,105,96,4,16,W 1,,,"at Hershey, PA",False,BUF,1973
21,"Sat, Nov 25, 1972",,Box Score,,Cleveland Cavaliers,L,,90,103,4,17,L 1,,,,False,BUF,1973
22,"Tue, Nov 28, 1972",,Box Score,,Philadelphia 76ers,L,,94,101,4,18,L 2,,,,False,BUF,1973
23,"Thu, Nov 30, 1972",,Box Score,@,Detroit Pistons,L,,116,127,4,19,L 3,,,,False,BUF,1973
24,"Fri, Dec 1, 1972",,Box Score,,Seattle SuperSonics,W,,93,90,5,19,W 1,,,,False,BUF,1973
25,"Sat, Dec 2, 1972",,Box Score,@,New York Knicks,L,,94,119,5,20,L 1,,,,False,BUF,1973
26,"Tue, Dec 5, 1972",,Box Score,,Phoenix Suns,W,,108,97,6,20,W 1,,,,False,BUF,1973
27,"Fri, Dec 8, 1972",,Box Score,,New York Knicks,W,,91,89,7,20,W 2,,,,False,BUF,1973
28,"Sat, Dec 9, 1972",,Box Score,@,Chicago Bulls,L,,94,105,7,21,L 1,,,,False,BUF,1973
29,"Tue, Dec 12, 1972",,Box Score,,Houston Rockets,W,,95,94,8,21,W 1,,,,False,BUF,1973
30,"Fri, Dec 15, 1972",,Box Score,,Golden State Warriors,L,,95,129,8,22,L 1,,,,False,BUF,1973
31,"Sat, Dec 16, 1972",,Box Score,@,Philadelphia 76ers,W,,126,103,9,22,W 1,,,,False,BUF,1973
32,"Tue, Dec 19, 1972",,Box Score,,Los Angeles Lakers,L,,100,126,9,23,L 1,,,,False,BUF,1973
33,"Fri, Dec 22, 1972",,Box Score,,Atlanta Hawks,L,,109,110,9,24,L 2,,,,False,BUF,1973
