G,Date,Unnamed: 2,Unnamed: 3,Unnamed: 4,Opponent,Unnamed: 6,Unnamed: 7,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,is_playoff,team,season
1,"Tue, Oct 9, 1973",,Box Score,@,Atlanta Hawks,L,,114,128,0,1,L 1,,,,False,CAP,1974
2,"Fri, Oct 12, 1973",,Box Score,@,Seattle SuperSonics,L,,102,103,0,2,L 2,,,,False,CAP,1974
3,"Sat, Oct 13, 1973",,Box Score,@,Portland Trail Blazers,L,,87,132,0,3,L 3,,,,False,CAP,1974
4,"Fri, Oct 19, 1973",,Box Score,@,Chicago Bulls,L,,103,117,0,4,L 4,,,,False,CAP,1974
5,"Sat, Oct 20, 1973",,Box Score,,Boston Celtics,W,,96,87,1,4,W 1,7711,,,False,CAP,1974
6,"Sun, Oct 21, 1973",,Box Score,,Chicago Bulls,L,,99,107,1,5,L 1,,,,False,CAP,1974
7,"Tue, Oct 23, 1973",,Box Score,@,New York Knicks,W,,101,84,2,5,W 1,,,,False,CAP,1974
8,"Sun, Oct 28, 1973",,Box Score,,Philadelphia 76ers,W,,119,99,3,5,W 2,,,,False,CAP,1974
9,"Sat, Nov 3, 1973",,Box Score,@,Philadelphia 76ers,W,,112,84,4,5,W 3,,,,False,CAP,1974
10,"Sun, Nov 4, 1973",,Box Score,,Phoenix Suns,W,,102,99,5,5,W 4,,,,False,CAP,1974
11,"Wed, Nov 7, 1973",,Box Score,@,Houston Rockets,W,,111,97,6,5,W 5,,,,False,CAP,1974
12,"Fri, Nov 9, 1973",,Box Score,@,Kansas City-Omaha Kings,W,,109,96,7,5,W 6,,,"at Omaha, NE",False,CAP,1974
13,"Sun, Nov 11, 1973",,Box Score,,Milwaukee Bucks,L,,91,110,7,6,L 1,,,,False,CAP,1974
14,"Sat, Nov 17, 1973",,Box Score,@,Atlanta Hawks,W,,115,109,8,6,W 1,,,,False,CAP,1974
15,"Sun, Nov 18, 1973",,Box Score,,Buffalo Braves,L,,101,112,8,7,L 1,,,,False,CAP,1974
16,"Wed, Nov 21, 1973",,Box Score,,Los Angeles Lakers,L,,97,106,8,8,L 2,,,,False,CAP,1974
17,"Fri, Nov 23, 1973",,Box Score,,Atlanta Hawks,W,,101,86,9,8,W 1,,,,False,CAP,1974
18,"Sun, Nov 25, 1973",,Box Score,,New York Knicks,W,,109,81,10,8,W 2,,,,False,CAP,1974
19,"Wed, Nov 28, 1973",,Box Score,@,Boston Celtics,L,,104,111,10,9,L 1,6810,,,False,CAP,1974
20,"Fri, Nov 30, 1973",,Box Score,@,Buffalo Braves,W,,121,113,11,9,W 1,,,,False,CAP,1974
21,"Sun, Dec 2, 1973",,Box Score,,Seattle SuperSonics,W,,98,96,12,9,W 2,,,,False,CAP,1974
22,"Wed, Dec 5, 1973",,Box Score,@,Houston Rockets,L,,99,119,12,10,L 1,,,,False,CAP,1974
23,"Fri, Dec 7, 1973",,Box Score,@,Phoenix Suns,L,,92,114,12,11,L 2,,,,False,CAP,1974
24,"Sun, Dec 9, 1973",,Box Score,@,Los Angeles Lakers,W,,110,96,13,11,W 1,,,,False,CAP,1974
25,"Tue, Dec 11, 1973",,Box Score,@,Portland Trail Blazers,W,,87,82,14,11,W 2,,,,False,CAP,1974
26,"Fri, Dec 14, 1973",,Box Score,@,Seattle SuperSonics,L,,88,93,14,12,L 1,,,,False,CAP,1974
27,"Sat, Dec 15, 1973",,Box Score,@,Golden State Warriors,W,,106,93,15,12,W 1,,,,False,CAP,1974
28,"Tue, Dec 18, 1973",,Box Score,,Atlanta Hawks,L,,91,98,15,13,L 1,,,,False,CAP,1974
29,"Thu, Dec 20, 1973",,Box Score,@,Kansas City-Omaha Kings,W,,98,92,16,13,W 1,,,,False,CAP,1974
30,"Sat, Dec 22, 1973",,Box Score,,Houston Rockets,W,,98,89,17,13,W 2,,,,False,CAP,1974
31,"Sun, Dec 23, 1973",,Box Score,N,Buffalo Braves,W,,110,85,18,13,W 3,,,"at Toronto, Canada",False,CAP,1974
32,"Tue, Dec 25, 1973",,Box Score,@,New York Knicks,W,,102,100,19,13,W 4,,,,False,CAP,1974
33,"Wed, Dec 26, 1973",,Box Score,,Chicago Bulls,W,,82,81,20,13,W 5,,,,False,CAP,1974
34,"Fri, Dec 28, 1973",,Box Score,@,Detroit Pistons,L,,93,102,20,14,L 1,,,,False,CAP,1974
35,"Sat, Dec 29, 1973",,Box Score,,Kansas City-Omaha Kings,L,,102,106,20,15,L 2,,,,False,CAP,1974
36,"Wed, Jan 2, 1974",,Box Score,,New York Knicks,L,,81,92,20,16,L 3,,,,False,CAP,1974
37,"Fri, Jan 4, 1974",,Box Score,@,Cleveland Cavaliers,W,,94,91,21,16,W 1,,,,False,CAP,1974
38,"Sat, Jan 5, 1974",,Box Score,,Detroit Pistons,W,,93,90,22,16,W 2,,,,False,CAP,1974
39,"Sun, Jan 6, 1974",,Box Score,,Milwaukee Bucks,W,,90,88,23,16,W 3,,,,False,CAP,1974
