G,Date,Unnamed: 2,Unnamed: 3,Unnamed: 4,Opponent,Unnamed: 6,Unnamed: 7,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,is_playoff,team,season
1,"Fri, Nov 1, 1991",,Box Score,@,Boston Celtics,L,,108,111,0,1,L 1,14890,2:16,,False,CHH,1992
2,"Sat, Nov 2, 1991",,Box Score,,New Jersey Nets,L,,108,116,0,2,L 2,23698,,,False,CHH,1992
3,"Tue, Nov 5, 1991",,Box Score,@,Detroit Pistons,L,,93,117,0,3,L 3,21454,,,False,CHH,1992
4,"Wed, Nov 6, 1991",,Box Score,,Atlanta Hawks,W,,114,104,1,3,W 1,23698,,,False,CHH,1992
5,"Fri, Nov 8, 1991",,Box Score,,Milwaukee Bucks,L,OT,122,125,1,4,L 1,23698,,,False,CHH,1992
6,"Sat, Nov 9, 1991",,Box Score,@,New York Knicks,L,,113,118,1,5,L 2,16362,2:07,,False,CHH,1992
7,"Tue, Nov 12, 1991",,Box Score,@,Atlanta Hawks,L,,100,118,1,6,L 3,9131,,,False,CHH,1992
8,"Wed, Nov 13, 1991",,Box Score,,Chicago Bulls,L,,95,117,1,7,L 4,23698,,,False,CHH,1992
9,"Fri, Nov 15, 1991",,Box Score,@,Miami Heat,L,,105,120,1,8,L 5,15008,,,False,CHH,1992
10,"Sat, Nov 16, 1991",,Box Score,,Boston Celtics,W,,118,109,2,8,W 1,23698,1:55,,False,CHH,1992
11,"Tue, Nov 19, 1991",,Box Score,@,Milwaukee Bucks,L,,104,127,2,9,L 1,14182,,,False,CHH,1992
12,"Wed, Nov 20, 1991",,Box Score,,Cleveland Cavaliers,W,,109,108,3,9,W 1,23698,,,False,CHH,1992
13,"Fri, Nov 22, 1991",,Box Score,,Indiana Pacers,W,,112,110,4,9,W 2,23698,,,False,CHH,1992
14,"Tue, Nov 26, 1991",,Box Score,@,Denver Nuggets,L,,97,103,4,10,L 1,8721,,,False,CHH,1992
15,"Wed, Nov 27, 1991",,Box Score,@,Utah Jazz,L,,107,113,4,11,L 2,18700,,,False,CHH,1992
16,"Fri, Nov 29, 1991",,Box Score,@,Phoenix Suns,L,,111,131,4,12,L 3,14496,,,False,CHH,1992
17,"Sat, Nov 30, 1991",,Box Score,@,Los Angeles Clippers,L,,112,130,4,13,L 4,9560,,,False,CHH,1992
18,"Mon, Dec 2, 1991",,Box Score,,New York Knicks,L,,97,99,4,14,L 5,23698,2:10,,False,CHH,1992
19,"Wed, Dec 4, 1991",,Box Score,,Los Angeles Lakers,W,,124,106,5,14,W 1,23698,,,False,CHH,1992
