G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,is_playoff,team,season
1,"Tue, Oct 31, 2000",7:30p,,Box Score,@,Atlanta Hawks,W,,106,82,1,0,W 1,18465,,,False,CHH,2001
2,"Wed, Nov 1, 2000",7:30p,,Box Score,,Washington Wizards,L,,77,95,1,1,L 1,16043,,,False,CHH,2001
3,"Fri, Nov 3, 2000",7:30p,,Box Score,,Miami Heat,W,,83,79,2,1,W 1,14016,,,False,CHH,2001
4,"Sat, Nov 4, 2000",8:00p,,Box Score,@,New Jersey Nets,W,,98,87,3,1,W 2,11522,,,False,CHH,2001
5,"Wed, Nov 8, 2000",7:30p,,Box Score,@,Orlando Magic,W,,96,90,4,1,W 3,12617,,,False,CHH,2001
6,"Thu, Nov 9, 2000",7:30p,,Box Score,,Seattle SuperSonics,L,,94,102,4,2,L 1,17054,,,False,CHH,2001
7,"Sat, Nov 11, 2000",7:30p,,Box Score,@,New York Knicks,L,,67,81,4,3,L 2,19763,,,False,CHH,2001
8,"Tue, Nov 14, 2000",7:30p,,Box Score,@,Miami Heat,L,OT,86,89,4,4,L 3,14983,,,False,CHH,2001
9,"Thu, Nov 16, 2000",8:30p,,Box Score,@,Houston Rockets,L,,80,84,4,5,L 4,11028,,,False,CHH,2001
10,"Fri, Nov 17, 2000",7:30p,,Box Score,,Detroit Pistons,L,,89,96,4,6,L 5,14771,,,False,CHH,2001
11,"Sun, Nov 19, 2000",7:00p,,Box Score,@,Detroit Pistons,W,,105,96,5,6,W 1,13088,,,False,CHH,2001
12,"Mon, Nov 20, 2000",7:00p,,Box Score,@,Toronto Raptors,W,,100,64,6,6,W 2,17767,,,False,CHH,2001
13,"Wed, Nov 22, 2000",7:30p,,Box Score,,Philadelphia 76ers,W,,88,73,7,6,W 3,15306,,,False,CHH,2001
14,"Fri, Nov 24, 2000",8:30p,,Box Score,@,Milwaukee Bucks,W,,106,90,8,6,W 4,15102,,,False,CHH,2001
15,"Sat, Nov 25, 2000",7:30p,,Box Score,,Cleveland Cavaliers,W,,109,98,9,6,W 5,13791,,,False,CHH,2001
16,"Wed, Nov 29, 2000",7:30p,,Box Score,,Toronto Raptors,W,,103,79,10,6,W 6,12255,,,False,CHH,2001
17,"Fri, Dec 1, 2000",7:00p,,Box Score,@,Philadelphia 76ers,L,,74,95,10,7,L 1,18377,,,False,CHH,2001
18,"Sat, Dec 2, 2000",7:30p,,Box Score,,Utah Jazz,W,,94,89,11,7,W 1,13360,,,False,CHH,2001
19,"Tue, Dec 5, 2000",7:30p,,Box Score,@,Cleveland Cavaliers,L,,66,71,11,8,L 1,14544,,,False,CHH,2001
20,"Wed, Dec 6, 2000",7:30p,,Box Score,,Indiana Pacers,W,,91,88,12,8,W 1,11877,,,False,CHH,2001
21,"Fri, Dec 8, 2000",7:30p,,Box Score,,Los Angeles Clippers,W,,92,87,13,8,W 2,12086,,,False,CHH,2001
22,"Sat, Dec 9, 2000",7:00p,,Box Score,@,Indiana Pacers,L,OT,96,99,13,9,L 1,18345,,,False,CHH,2001
23,"Wed, Dec 13, 2000",7:30p,,Box Score,,Sacramento Kings,W,,101,90,14,9,W 1,12806,,,False,CHH,2001
24,"Fri, Dec 15, 2000",7:00p,,Box Score,@,Washington Wizards,W,,103,89,15,9,W 2,13908,,,False,CHH,2001
25,"Sat, Dec 16, 2000",7:30p,,Box Score,,Boston Celtics,W,,99,87,16,9,W 3,13040,2:06,,False,CHH,2001
26,"Wed, Dec 20, 2000",7:30p,,Box Score,,Miami Heat,W,,65,56,17,9,W 4,13176,,,False,CHH,2001
27,"Fri, Dec 22, 2000",8:00p,,Box Score,@,Minnesota Timberwolves,W,,83,74,18,9,W 5,16327,,,False,CHH,2001
28,"Sat, Dec 23, 2000",7:30p,,Box Score,,San Antonio Spurs,W,OT,88,84,19,9,W 6,15079,,,False,CHH,2001
29,"Tue, Dec 26, 2000",7:00p,,Box Score,,Cleveland Cavaliers,W,OT,115,110,20,9,W 7,14442,,,False,CHH,2001
30,"Thu, Dec 28, 2000",10:30p,,Box Score,@,Sacramento Kings,L,,87,91,20,10,L 1,17317,,,False,CHH,2001
31,"Sat, Dec 30, 2000",3:30p,,Box Score,@,Seattle SuperSonics,L,,102,104,20,11,L 2,15832,,,False,CHH,2001
32,"Mon, Jan 1, 2001",10:00p,,Box Score,@,Portland Trail Blazers,L,,67,89,20,12,L 3,19980,,,False,CHH,2001
33,"Wed, Jan 3, 2001",10:00p,,Box Score,@,Vancouver Grizzlies,L,,89,99,20,13,L 4,11873,,,False,CHH,2001
34,"Fri, Jan 5, 2001",10:30p,,Box Score,@,Los Angeles Clippers,W,,86,73,21,13,W 1,12484,,,False,CHH,2001
