G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,is_playoff,Unnamed: 2,Unnamed: 6,team,season
1,"Fri, Oct 25, 1985",,,Box Score,,Cleveland Cavaliers,W,OT,116,115,1,0,W 1,11124,2:27,,False,,,CHI,1986
2,"Sat, Oct 26, 1985",,,Box Score,,Detroit Pistons,W,,121,118,2,0,W 2,15137,2:23,,False,,,CHI,1986
3,"Tue, Oct 29, 1985",,,Box Score,@,Golden State Warriors,W,,111,105,3,0,W 3,11210,2:04,,False,,,CHI,1986
4,"Thu, Oct 31, 1985",,,Box Score,@,Los Angeles Clippers,L,,112,120,3,1,L 1,7809,2:11,,False,,,CHI,1986
5,"Sat, Nov 2, 1985",,,Box Score,@,Seattle SuperSonics,L,,100,118,3,2,L 2,12369,2:07,,False,,,CHI,1986
6,"Wed, Nov 6, 1985",,,Box Score,@,Detroit Pistons,L,,105,122,3,3,L 3,13156,2:08,,False,,,CHI,1986
7,"Thu, Nov 7, 1985",7:43p,,Box Score,@,New Jersey Nets,L,,97,106,3,4,L 4,10149,2:13,,False,,,CHI,1986
8,"Sat, Nov 9, 1985",,,Box Score,@,New York Knicks,W,,97,94,4,4,W 1,18737,2:03,,False,,,CHI,1986
9,"Tue, Nov 12, 1985",,,Box Score,,Milwaukee Bucks,L,,103,132,4,5,L 1,10312,2:04,,False,,,CHI,1986
10,"Wed, Nov 13, 1985",,,Box Score,@,Philadelphia 76ers,L,,106,110,4,6,L 2,10338,2:05,,False,,,CHI,1986
11,"Fri, Nov 15, 1985",,,Box Score,@,Milwaukee Bucks,L,,103,118,4,7,L 3,11052,2:10,,False,,,CHI,1986
12,"Sat, Nov 16, 1985",,,Box Score,,Cleveland Cavaliers,L,OT,128,132,4,8,L 4,9133,2:36,,False,,,CHI,1986
13,"Tue, Nov 19, 1985",,,Box Score,,Indiana Pacers,W,,121,114,5,8,W 1,10433,2:04,,False,,,CHI,1986
14,"Wed, Nov 20, 1985",,,Box Score,@,Atlanta Hawks,L,,101,116,5,9,L 1,7179,2:07,,False,,,CHI,1986
15,"Sat, Nov 23, 1985",,,Box Score,,Golden State Warriors,W,,135,108,6,9,W 1,10377,1:56,,False,,,CHI,1986
16,"Sun, Nov 24, 1985",,,Box Score,@,Washington Bullets,L,,106,115,6,10,L 1,6720,2:10,,False,,,CHI,1986
17,"Tue, Nov 26, 1985",,,Box Score,@,Denver Nuggets,W,,128,123,7,10,W 1,10955,2:16,,False,,,CHI,1986
18,"Wed, Nov 27, 1985",,,Box Score,@,Utah Jazz,L,,96,114,7,11,L 1,11920,2:11,,False,,,CHI,1986
19,"Fri, Nov 29, 1985",,,Box Score,@,Portland Trail Blazers,L,,107,122,7,12,L 2,12666,1:58,,False,,,CHI,1986
20,"Sun, Dec 1, 1985",,,Box Score,@,Los Angeles Lakers,L,,113,117,7,13,L 3,17505,2:05,,False,,,CHI,1986
21,"Tue, Dec 3, 1985",,,Box Score,@,Sacramento Kings,L,,118,131,7,14,L 4,10333,2:19,,False,,,CHI,1986
22,"Wed, Dec 4, 1985",,,Box Score,@,Phoenix Suns,L,,99,100,7,15,L 5,10369,2:04,,False,,,CHI,1986
23,"Fri, Dec 6, 1985",,,Box Score,@,San Antonio Spurs,W,,131,123,8,15,W 1,13960,2:23,,False,,,CHI,1986
24,"Sat, Dec 7, 1985",,,Box Score,@,Houston Rockets,L,,104,116,8,16,L 1,14597,2:02,,False,,,CHI,1986
25,"Tue, Dec 10, 1985",,,Box Score,,San Antonio Spurs,L,,107,109,8,17,L 2,7892,2:12,,False,,,CHI,1986
26,"Thu, Dec 12, 1985",,,Box Score,,Philadelphia 76ers,W,,106,102,9,17,W 1,11123,2:06,,False,,,CHI,1986
27,"Sat, Dec 14, 1985",,,Box Score,,Sacramento Kings,L,,103,108,9,18,L 1,8823,2:07,,False,,,CHI,1986
28,"Sun, Dec 15, 1985",,,Box Score,@,Boston Celtics,L,,104,109,9,19,L 2,14890,2:09,,False,,,CHI,1986
29,"Tue, Dec 17, 1985",,,Box Score,,Boston Celtics,W,,116,108,10,19,W 1,13786,2:04,,False,,,CHI,1986
30,"Thu, Dec 19, 1985",,,Box Score,,Washington Bullets,L,,92,98,10,20,L 1,9279,2:01,,False,,,CHI,1986
31,"Sat, Dec 21, 1985",,,Box Score,,Utah Jazz,W,,117,104,11,20,W 1,10823,2:01,,False,,,CHI,1986
32,"Thu, Dec 26, 1985",,,Box Score,,New York Knicks,L,,96,113,11,21,L 1,12362,2:03,,False,,,CHI,1986
33,"Sat, Dec 28, 1985",,,Box Score,,Indiana Pacers,W,,108,104,12,21,W 1,7124,2:13,,False,,,CHI,1986
34,"Mon, Dec 30, 1985",,,Box Score,@,Cleveland Cavaliers,W,,121,117,13,21,W 2,11086,2:00,,False,,,CHI,1986
35,"Thu, Jan 2, 1986",,,Box Score,,Detroit Pistons,W,,131,122,14,21,W 3,13247,2:08,,False,,,CHI,1986
36,"Sat, Jan 4, 1986",,,Box Score,,Atlanta Hawks,L,,100,111,14,22,L 1,8826,1:57,,False,,,CHI,1986
37,"Tue, Jan 7, 1986",,,Box Score,,New Jersey Nets,L,,105,110,14,23,L 2,7716,2:15,,False,,,CHI,1986
38,"Sat, Jan 11, 1986",,,Box Score,,Los Angeles Clippers,W,,132,123,15,23,W 1,9469,2:11,,False,,,CHI,1986
39,"Tue, Jan 14, 1986",,,Box Score,,Washington Bullets,L,,113,117,15,24,L 1,7238,2:15,,False,,,CHI,1986
40,"Wed, Jan 15, 1986",,,Box Score,@,Detroit Pistons,L,,115,123,15,25,L 2,10350,2:08,,False,,,CHI,1986
41,"Fri, Jan 17, 1986",,,Box Score,,Philadelphia 76ers,L,OT,118,120,15,26,L 3,13765,2:35,,False,,,CHI,1986
42,"Sun, Jan 19, 1986",,,Box Score,@,Washington Bullets,L,,98,112,15,27,L 4,17781,2:01,,False,,,CHI,1986
43,"Mon, Jan 20, 1986",,,Box Score,,Los Angeles Lakers,L,,118,133,15,28,L 5,17284,2:04,,False,,,CHI,1986
44,"Sat, Jan 25, 1986",,,Box Score,,Phoenix Suns,W,,133,114,16,28,W 1,10634,2:06,,False,,,CHI,1986
45,"Mon, Jan 27, 1986",,,Box Score,@,Dallas Mavericks,L,,116,124,16,29,L 1,16498,2:06,,False,,,CHI,1986
46,"Tue, Jan 28, 1986",,,Box Score,@,New York Knicks,L,,111,118,16,30,L 2,12150,2:15,,False,,,CHI,1986
47,"Thu, Jan 30, 1986",,,Box Score,,Boston Celtics,L,,91,101,16,31,L 3,15207,2:07,,False,,,CHI,1986
48,"Sat, Feb 1, 1986",,,Box Score,,Houston Rockets,W,,132,122,17,31,W 1,12327,2:21,,False,,,CHI,1986
49,"Sun, Feb 2, 1986",,,Box Score,@,Indiana Pacers,L,,106,131,17,32,L 1,10911,2:05,,False,,,CHI,1986
50,"Tue, Feb 4, 1986",,,Box Score,,Detroit Pistons,L,,115,117,17,33,L 2,9456,2:06,,False,,,CHI,1986
51,"Thu, Feb 6, 1986",,,Box Score,@,Milwaukee Bucks,L,,97,117,17,34,L 3,11052,2:01,,False,,,CHI,1986
52,"Wed, Feb 12, 1986",,,Box Score,@,Philadelphia 76ers,L,,98,106,17,35,L 4,11121,2:13,,False,,,CHI,1986
53,"Fri, Feb 14, 1986",,,Box Score,,Indiana Pacers,L,,88,104,17,36,L 5,10346,1:47,,False,,,CHI,1986
54,"Sun, Feb 16, 1986",,,Box Score,,Dallas Mavericks,L,,114,120,17,37,L 6,12222,2:02,,False,,,CHI,1986
55,"Mon, Feb 17, 1986",,,Box Score,@,Indiana Pacers,L,,110,124,17,38,L 7,11306,2:16,,False,,,CHI,1986
56,"Wed, Feb 19, 1986",7:39p,,Box Score,@,New Jersey Nets,W,,99,96,18,38,W 1,9292,2:06,,False,,,CHI,1986
57,"Fri, Feb 21, 1986",,,Box Score,,Portland Trail Blazers,W,,108,96,19,38,W 2,8827,2:03,,False,,,CHI,1986
58,"Sat, Feb 22, 1986",,,Box Score,,Seattle SuperSonics,W,3OT,129,125,20,38,W 3,10247,3:09,,False,,,CHI,1986
59,"Mon, Feb 24, 1986",,,Box Score,@,Detroit Pistons,L,,100,110,20,39,L 1,15796,2:03,,False,,,CHI,1986
60,"Tue, Feb 25, 1986",,,Box Score,,Philadelphia 76ers,L,,108,122,20,40,L 2,11247,2:11,,False,,,CHI,1986
61,"Fri, Feb 28, 1986",,,Box Score,,Cleveland Cavaliers,W,,116,96,21,40,W 1,17483,1:58,,False,,,CHI,1986
62,"Tue, Mar 4, 1986",,,Box Score,,Boston Celtics,L,,94,106,21,41,L 1,14172,1:49,,False,,,CHI,1986
63,"Wed, Mar 5, 1986",,,Box Score,@,Boston Celtics,L,,97,108,21,42,L 2,14890,2:06,,False,,,CHI,1986
64,"Fri, Mar 7, 1986",,,Box Score,,Atlanta Hawks,L,,108,112,21,43,L 3,12022,2:24,,False,,,CHI,1986
65,"Sun, Mar 9, 1986",,,Box Score,,New York Knicks,W,,114,101,22,43,W 1,9736,2:14,,False,,,CHI,1986
66,"Tue, Mar 11, 1986",,,Box Score,,New Jersey Nets,W,,113,100,23,43,W 2,8722,2:09,,False,,,CHI,1986
67,"Thu, Mar 13, 1986",,,Box Score,,Denver Nuggets,W,,112,102,24,43,W 3,8649,2:03,,False,,,CHI,1986
68,"Sat, Mar 15, 1986",,,Box Score,,Milwaukee Bucks,L,OT,116,125,24,44,L 1,15208,2:27,,False,,,CHI,1986
69,"Mon, Mar 17, 1986",,,Box Score,@,Atlanta Hawks,L,,96,106,24,45,L 2,9812,2:11,,False,,,CHI,1986
70,"Wed, Mar 19, 1986",,,Box Score,@,Philadelphia 76ers,L,,112,118,24,46,L 3,9343,2:13,,False,,,CHI,1986
71,"Fri, Mar 21, 1986",,,Box Score,@,Boston Celtics,L,,105,126,24,47,L 4,14890,2:00,,False,,,CHI,1986
72,"Sat, Mar 22, 1986",,,Box Score,@,Cleveland Cavaliers,L,,97,123,24,48,L 5,10091,2:12,,False,,,CHI,1986
73,"Tue, Mar 25, 1986",,,Box Score,,New York Knicks,W,,111,98,25,48,W 1,10561,2:05,,False,,,CHI,1986
74,"Fri, Mar 28, 1986",7:42p,,Box Score,@,New Jersey Nets,L,,107,118,25,49,L 1,14846,2:12,,False,,,CHI,1986
75,"Sat, Mar 29, 1986",,,Box Score,@,New York Knicks,W,,106,96,26,49,W 1,12720,2:10,,False,,,CHI,1986
76,"Tue, Apr 1, 1986",,,Box Score,@,Milwaukee Bucks,L,,107,116,26,50,L 1,11052,2:19,,False,,,CHI,1986
77,"Thu, Apr 3, 1986",,,Box Score,@,Indiana Pacers,W,,109,108,27,50,W 1,11599,2:04,,False,,,CHI,1986
78,"Sat, Apr 5, 1986",,,Box Score,,Atlanta Hawks,W,,102,97,28,50,W 2,17769,2:12,,False,,,CHI,1986
79,"Mon, Apr 7, 1986",,,Box Score,,Milwaukee Bucks,W,,107,101,29,50,W 3,10249,2:09,,False,,,CHI,1986
80,"Tue, Apr 8, 1986",,,Box Score,@,Atlanta Hawks,L,,118,131,29,51,L 1,8806,2:04,,False,,,CHI,1986
81,"Fri, Apr 11, 1986",,,Box Score,,Washington Bullets,W,,105,103,30,51,W 1,18869,2:04,,False,,,CHI,1986
82,"Sun, Apr 13, 1986",,,Box Score,@,Cleveland Cavaliers,L,,97,104,30,52,L 1,8056,1:51,,False,,,CHI,1986
1,"Thu, Apr 17, 1986",,Box Score,@,,Boston Celtics,,,104,123,0,1,L 1,14890,2:09,,True,,L,CHI,1986
2,"Sun, Apr 20, 1986",,Box Score,@,,Boston Celtics,2OT,,131,135,0,2,L 2,14890,3:05,,True,,L,CHI,1986
3,"Tue, Apr 22, 1986",,Box Score,,,Boston Celtics,,,104,122,0,3,L 3,18968,2:12,,True,,L,CHI,1986
