G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,is_playoff,team,season
1,"Tue, Oct 27, 2015",8:00p,,Box Score,,Cleveland Cavaliers,W,,97,95,1,0,W 1,21957,2:22,,False,CHI,2016
2,"Wed, Oct 28, 2015",7:30p,,Box Score,@,Brooklyn Nets,W,,115,100,2,0,W 2,17732,2:12,,False,CHI,2016
3,"Fri, Oct 30, 2015",7:30p,,Box Score,@,Detroit Pistons,L,OT,94,98,2,1,L 1,16035,2:33,,False,CHI,2016
4,"Sun, Nov 1, 2015",7:00p,,Box Score,,Orlando Magic,W,,92,87,3,1,W 1,21585,2:10,,False,CHI,2016
5,"Tue, Nov 3, 2015",7:00p,,Box Score,@,Charlotte Hornets,L,,105,130,3,2,L 1,15136,2:00,,False,CHI,2016
6,"Thu, Nov 5, 2015",8:00p,,Box Score,,Oklahoma City Thunder,W,,104,98,4,2,W 1,21861,2:11,,False,CHI,2016
7,"Sat, Nov 7, 2015",6:00p,,Box Score,,Minnesota Timberwolves,L,OT,93,102,4,3,L 1,21988,2:31,,False,CHI,2016
8,"Mon, Nov 9, 2015",7:00p,,Box Score,@,Philadelphia 76ers,W,,111,88,5,3,W 1,13879,2:06,,False,CHI,2016
9,"Fri, Nov 13, 2015",8:00p,,Box Score,,Charlotte Hornets,W,,102,97,6,3,W 2,21749,2:08,,False,CHI,2016
10,"Mon, Nov 16, 2015",8:00p,,Box Score,,Indiana Pacers,W,,96,95,7,3,W 3,21660,2:16,,False,CHI,2016
11,"Wed, Nov 18, 2015",10:30p,,Box Score,@,Phoenix Suns,W,,103,97,8,3,W 4,17377,2:13,,False,CHI,2016
12,"Fri, Nov 20, 2015",10:30p,,Box Score,@,Golden State Warriors,L,,94,106,8,4,L 1,19596,2:16,,False,CHI,2016
13,"Tue, Nov 24, 2015",10:00p,,Box Score,@,Portland Trail Blazers,W,,93,88,9,4,W 1,19393,2:23,,False,CHI,2016
14,"Fri, Nov 27, 2015",8:00p,,Box Score,@,Indiana Pacers,L,,92,104,9,5,L 1,18165,2:09,,False,CHI,2016
15,"Mon, Nov 30, 2015",8:00p,,Box Score,,San Antonio Spurs,W,,92,89,10,5,W 1,21909,2:06,,False,CHI,2016
16,"Wed, Dec 2, 2015",8:00p,,Box Score,,Denver Nuggets,W,,99,90,11,5,W 2,21349,2:13,,False,CHI,2016
17,"Sat, Dec 5, 2015",8:00p,,Box Score,,Charlotte Hornets,L,,96,102,11,6,L 1,21770,2:09,,False,CHI,2016
18,"Mon, Dec 7, 2015",8:00p,,Box Score,,Phoenix Suns,L,,101,103,11,7,L 2,21337,2:13,,False,CHI,2016
19,"Wed, Dec 9, 2015",7:00p,,Box Score,@,Boston Celtics,L,,100,105,11,8,L 3,17318,2:25,,False,CHI,2016
20,"Thu, Dec 10, 2015",8:00p,,Box Score,,Los Angeles Clippers,W,,83,80,12,8,W 1,21491,2:11,,False,CHI,2016
21,"Sat, Dec 12, 2015",8:00p,,Box Score,,New Orleans Pelicans,W,,98,94,13,8,W 2,21605,2:08,,False,CHI,2016
22,"Mon, Dec 14, 2015",8:00p,,Box Score,,Philadelphia 76ers,W,,115,96,14,8,W 3,21166,2:02,,False,CHI,2016
23,"Wed, Dec 16, 2015",8:00p,,Box Score,,Memphis Grizzlies,W,,98,85,15,8,W 4,21032,2:16,,False,CHI,2016
24,"Fri, Dec 18, 2015",8:00p,,Box Score,,Detroit Pistons,L,4OT,144,147,15,9,L 1,21534,3:24,,False,CHI,2016
25,"Sat, Dec 19, 2015",7:30p,,Box Score,@,New York Knicks,L,,91,107,15,10,L 2,19812,2:04,,False,CHI,2016
26,"Mon, Dec 21, 2015",8:00p,,Box Score,,Brooklyn Nets,L,,102,105,15,11,L 3,21825,2:10,,False,CHI,2016
27,"Fri, Dec 25, 2015",2:30p,,Box Score,@,Oklahoma City Thunder,W,,105,96,16,11,W 1,18203,2:15,,False,CHI,2016
28,"Sat, Dec 26, 2015",8:30p,,Box Score,@,Dallas Mavericks,L,,111,118,16,12,L 1,20392,2:19,,False,CHI,2016
