G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,is_playoff,team,season
1,"Wed, Oct 18, 2017",7:00p,,Box Score,@,Detroit Pistons,L,,90,102,0,1,L 1,20491,2:04,,False,CHO,2018
2,"Fri, Oct 20, 2017",7:00p,,Box Score,,Atlanta Hawks,W,,109,91,1,1,W 1,18417,2:11,,False,CHO,2018
3,"Mon, Oct 23, 2017",8:00p,,Box Score,@,Milwaukee Bucks,L,,94,103,1,2,L 1,12887,2:09,,False,CHO,2018
4,"Wed, Oct 25, 2017",7:00p,,Box Score,,Denver Nuggets,W,,110,93,2,2,W 1,14253,2:09,,False,CHO,2018
5,"Fri, Oct 27, 2017",7:00p,,Box Score,,Houston Rockets,L,,93,109,2,3,L 1,17339,2:10,,False,CHO,2018
6,"Sun, Oct 29, 2017",6:00p,,Box Score,,Orlando Magic,W,,120,113,3,3,W 1,15531,2:11,,False,CHO,2018
7,"Mon, Oct 30, 2017",8:00p,,Box Score,@,Memphis Grizzlies,W,,104,99,4,3,W 2,15771,2:14,,False,CHO,2018
8,"Wed, Nov 1, 2017",7:00p,,Box Score,,Milwaukee Bucks,W,,126,121,5,3,W 3,15655,2:12,,False,CHO,2018
9,"Fri, Nov 3, 2017",8:30p,,Box Score,@,San Antonio Spurs,L,,101,108,5,4,L 1,18418,2:16,,False,CHO,2018
10,"Sun, Nov 5, 2017",8:00p,,Box Score,@,Minnesota Timberwolves,L,,94,112,5,5,L 2,14124,2:06,,False,CHO,2018
11,"Tue, Nov 7, 2017",7:30p,,Box Score,@,New York Knicks,L,,113,118,5,6,L 3,18704,2:15,,False,CHO,2018
12,"Fri, Nov 10, 2017",7:30p,,Box Score,@,Boston Celtics,L,,87,90,5,7,L 4,18624,2:24,,False,CHO,2018
13,"Wed, Nov 15, 2017",8:00p,,Box Score,,Cleveland Cavaliers,L,,107,115,5,8,L 5,19427,2:15,,False,CHO,2018
14,"Fri, Nov 17, 2017",8:00p,,Box Score,@,Chicago Bulls,L,,120,123,5,9,L 6,20493,2:09,,False,CHO,2018
15,"Sat, Nov 18, 2017",7:00p,,Box Score,,Los Angeles Clippers,W,,102,87,6,9,W 1,17640,2:10,,False,CHO,2018
16,"Mon, Nov 20, 2017",7:00p,,Box Score,,Minnesota Timberwolves,W,,118,102,7,9,W 2,15978,2:15,,False,CHO,2018
17,"Wed, Nov 22, 2017",7:00p,,Box Score,,Washington Wizards,W,OT,129,124,8,9,W 3,16041,2:32,,False,CHO,2018
18,"Fri, Nov 24, 2017",8:00p,,Box Score,@,Cleveland Cavaliers,L,,99,100,8,10,L 1,20562,2:07,,False,CHO,2018
19,"Sat, Nov 25, 2017",7:00p,,Box Score,,San Antonio Spurs,L,,86,106,8,11,L 2,18597,2:14,,False,CHO,2018
20,"Wed, Nov 29, 2017",7:30p,,Box Score,@,Toronto Raptors,L,,113,126,8,12,L 3,19800,2:10,,False,CHO,2018
21,"Fri, Dec 1, 2017",8:00p,,Box Score,@,Miami Heat,L,,100,105,8,13,L 4,19600,2:16,,False,CHO,2018
22,"Mon, Dec 4, 2017",7:00p,,Box Score,,Orlando Magic,W,,104,94,9,13,W 1,14419,2:21,,False,CHO,2018
23,"Wed, Dec 6, 2017",8:00p,,Box Score,,Golden State Warriors,L,,87,101,9,14,L 1,19334,2:08,,False,CHO,2018
24,"Fri, Dec 8, 2017",7:00p,,Box Score,,Chicago Bulls,L,OT,111,119,9,15,L 2,14077,2:30,,False,CHO,2018
25,"Sat, Dec 9, 2017",7:00p,,Box Score,,Los Angeles Lakers,L,,99,110,9,16,L 3,19320,2:04,,False,CHO,2018
26,"Mon, Dec 11, 2017",8:00p,,Box Score,@,Oklahoma City Thunder,W,,116,103,10,16,W 1,18203,2:04,,False,CHO,2018
27,"Wed, Dec 13, 2017",9:30p,,Box Score,@,Houston Rockets,L,,96,108,10,17,L 1,16509,2:07,,False,CHO,2018
28,"Fri, Dec 15, 2017",7:00p,,Box Score,,Miami Heat,L,,98,104,10,18,L 2,15565,2:07,,False,CHO,2018
29,"Sat, Dec 16, 2017",7:00p,,Box Score,,Portland Trail Blazers,L,,91,93,10,19,L 3,16687,2:15,,False,CHO,2018
30,"Mon, Dec 18, 2017",7:00p,,Box Score,,New York Knicks,W,,109,91,11,19,W 1,15386,1:59,,False,CHO,2018
31,"Wed, Dec 20, 2017",7:00p,,Box Score,,Toronto Raptors,L,,111,129,11,20,L 1,15023,2:06,,False,CHO,2018
32,"Fri, Dec 22, 2017",8:00p,,Box Score,@,Milwaukee Bucks,L,,104,109,11,21,L 2,17018,2:05,,False,CHO,2018
33,"Sat, Dec 23, 2017",7:00p,,Box Score,,Milwaukee Bucks,W,,111,106,12,21,W 1,18363,2:22,,False,CHO,2018
34,"Wed, Dec 27, 2017",7:00p,,Box Score,,Boston Celtics,L,,91,102,12,22,L 1,19611,2:01,,False,CHO,2018
35,"Fri, Dec 29, 2017",10:30p,,Box Score,@,Golden State Warriors,W,,111,100,13,22,W 1,19596,2:02,,False,CHO,2018
36,"Sun, Dec 31, 2017",7:00p,,Box Score,@,Los Angeles Clippers,L,,98,106,13,23,L 1,17348,2:08,,False,CHO,2018
