G,Date,Unnamed: 2,Unnamed: 3,Unnamed: 4,Opponent,Unnamed: 6,Unnamed: 7,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,is_playoff,team,season
1,"Tue, Oct 16, 1962",,Box Score,@,New York Knicks,L,,119,121,0,1,L 1,,,,False,CHZ,1963
2,"Sat, Oct 20, 1962",,Box Score,,Cincinnati Royals,W,,113,109,1,1,W 1,,,,False,CHZ,1963
3,"Tue, Oct 23, 1962",,Box Score,N,St. Louis Hawks,L,,109,110,1,2,L 1,,,"at New York, NY",False,CHZ,1963
4,"Wed, Oct 24, 1962",,Box Score,,Los Angeles Lakers,W,,118,107,2,2,W 1,,,,False,CHZ,1963
5,"Fri, Oct 26, 1962",,Box Score,@,Syracuse Nationals,L,,112,130,2,3,L 1,,,,False,CHZ,1963
6,"Sat, Oct 27, 1962",,Box Score,,San Francisco Warriors,L,OT,126,129,2,4,L 2,,,,False,CHZ,1963
7,"Fri, Nov 2, 1962",,Box Score,,Boston Celtics,L,,97,107,2,5,L 3,6984,,,False,CHZ,1963
8,"Sat, Nov 3, 1962",,Box Score,@,St. Louis Hawks,L,,109,114,2,6,L 4,,,,False,CHZ,1963
9,"Fri, Nov 9, 1962",,Box Score,@,San Francisco Warriors,L,,126,134,2,7,L 5,,,,False,CHZ,1963
10,"Sat, Nov 10, 1962",,Box Score,@,San Francisco Warriors,L,,108,113,2,8,L 6,,,,False,CHZ,1963
11,"Sun, Nov 11, 1962",,Box Score,@,Los Angeles Lakers,W,OT,109,105,3,8,W 1,,,,False,CHZ,1963
12,"Tue, Nov 13, 1962",,Box Score,@,Los Angeles Lakers,L,,84,107,3,9,L 1,,,,False,CHZ,1963
13,"Thu, Nov 15, 1962",,Box Score,,New York Knicks,W,,95,92,4,9,W 1,,,,False,CHZ,1963
14,"Sat, Nov 17, 1962",,Box Score,,Los Angeles Lakers,L,,109,110,4,10,L 1,,,,False,CHZ,1963
15,"Sun, Nov 18, 1962",,Box Score,N,Syracuse Nationals,L,,107,110,4,11,L 2,,,"at Detroit, MI",False,CHZ,1963
16,"Tue, Nov 20, 1962",,Box Score,N,Boston Celtics,L,,106,113,4,12,L 3,9074,,"at New York, NY",False,CHZ,1963
17,"Wed, Nov 21, 1962",,Box Score,N,New York Knicks,L,,108,137,4,13,L 4,,,"at Boston, MA",False,CHZ,1963
18,"Fri, Nov 23, 1962",,Box Score,N,Boston Celtics,L,,104,116,4,14,L 5,4327,,"at Providence, RI",False,CHZ,1963
19,"Sat, Nov 24, 1962",,Box Score,,Detroit Pistons,W,,104,103,5,14,W 1,,,,False,CHZ,1963
20,"Mon, Nov 26, 1962",,Box Score,@,Los Angeles Lakers,L,,106,128,5,15,L 1,,,,False,CHZ,1963
21,"Tue, Nov 27, 1962",,Box Score,@,San Francisco Warriors,W,,115,107,6,15,W 1,,,,False,CHZ,1963
22,"Thu, Nov 29, 1962",,Box Score,,Syracuse Nationals,L,,85,112,6,16,L 1,,,,False,CHZ,1963
23,"Sat, Dec 1, 1962",,Box Score,,Cincinnati Royals,L,,121,131,6,17,L 2,,,,False,CHZ,1963
24,"Tue, Dec 4, 1962",,Box Score,@,St. Louis Hawks,L,,102,104,6,18,L 3,,,,False,CHZ,1963
