G,Date,Unnamed: 2,Unnamed: 3,Unnamed: 4,Opponent,Unnamed: 6,Unnamed: 7,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,is_playoff,team,season
1,"Tue, Oct 10, 1972",,Box Score,,Baltimore Bullets,L,,90,102,0,1,L 1,,,,False,CLE,1973
2,"Fri, Oct 13, 1972",,Box Score,,Houston Rockets,L,,108,109,0,2,L 2,,,,False,CLE,1973
3,"Sun, Oct 15, 1972",,Box Score,,Los Angeles Lakers,L,,83,95,0,3,L 3,,,,False,CLE,1973
4,"Fri, Oct 20, 1972",,Box Score,,New York Knicks,L,,89,92,0,4,L 4,,,,False,CLE,1973
5,"Sat, Oct 21, 1972",,Box Score,@,Detroit Pistons,L,,96,103,0,5,L 5,,,,False,CLE,1973
6,"Sun, Oct 22, 1972",,Box Score,,Milwaukee Bucks,L,,84,104,0,6,L 6,,,,False,CLE,1973
7,"Tue, Oct 24, 1972",,Box Score,@,New York Knicks,L,,90,123,0,7,L 7,,,,False,CLE,1973
8,"Wed, Oct 25, 1972",,Box Score,@,Philadelphia 76ers,W,,113,108,1,7,W 1,,,,False,CLE,1973
9,"Fri, Oct 27, 1972",,Box Score,@,Boston Celtics,L,,97,123,1,8,L 1,8114,,,False,CLE,1973
10,"Sun, Oct 29, 1972",,Box Score,,Kansas City-Omaha Kings,W,,115,97,2,8,W 1,,,,False,CLE,1973
11,"Tue, Oct 31, 1972",,Box Score,,Philadelphia 76ers,W,,126,116,3,8,W 2,,,,False,CLE,1973
12,"Fri, Nov 3, 1972",,Box Score,,Buffalo Braves,W,,124,97,4,8,W 3,,,,False,CLE,1973
13,"Sat, Nov 4, 1972",,Box Score,N,Baltimore Bullets,L,,98,108,4,9,L 1,,,"at College Park, MD",False,CLE,1973
14,"Sun, Nov 5, 1972",,Box Score,,Phoenix Suns,L,,106,107,4,10,L 2,,,,False,CLE,1973
15,"Wed, Nov 8, 1972",,Box Score,@,Phoenix Suns,L,,99,107,4,11,L 3,,,,False,CLE,1973
16,"Fri, Nov 10, 1972",,Box Score,@,Los Angeles Lakers,L,,88,118,4,12,L 4,,,,False,CLE,1973
17,"Sun, Nov 12, 1972",,Box Score,@,Seattle SuperSonics,W,,113,107,5,12,W 1,,,,False,CLE,1973
18,"Tue, Nov 14, 1972",,Box Score,@,Portland Trail Blazers,L,,91,100,5,13,L 1,,,,False,CLE,1973
19,"Fri, Nov 17, 1972",,Box Score,@,Kansas City-Omaha Kings,L,,96,115,5,14,L 2,,,,False,CLE,1973
20,"Sun, Nov 19, 1972",,Box Score,,Atlanta Hawks,W,,109,98,6,14,W 1,,,,False,CLE,1973
21,"Tue, Nov 21, 1972",,Box Score,,Seattle SuperSonics,W,,98,88,7,14,W 2,,,,False,CLE,1973
22,"Sat, Nov 25, 1972",,Box Score,@,Buffalo Braves,W,,103,90,8,14,W 3,,,,False,CLE,1973
23,"Sun, Nov 26, 1972",,Box Score,,Portland Trail Blazers,L,,102,105,8,15,L 1,,,,False,CLE,1973
24,"Tue, Nov 28, 1972",,Box Score,@,New York Knicks,L,,84,107,8,16,L 2,,,,False,CLE,1973
25,"Fri, Dec 1, 1972",,Box Score,,Detroit Pistons,L,,113,114,8,17,L 3,,,,False,CLE,1973
26,"Sun, Dec 3, 1972",,Box Score,,Seattle SuperSonics,W,OT,105,103,9,17,W 1,,,,False,CLE,1973
27,"Tue, Dec 5, 1972",,Box Score,,Baltimore Bullets,L,,100,103,9,18,L 1,,,,False,CLE,1973
28,"Fri, Dec 8, 1972",,Box Score,,Boston Celtics,L,,87,96,9,19,L 2,4691,,,False,CLE,1973
29,"Sat, Dec 9, 1972",,Box Score,@,Boston Celtics,L,,88,123,9,20,L 3,13071,,,False,CLE,1973
30,"Sun, Dec 10, 1972",,Box Score,,Golden State Warriors,L,,100,103,9,21,L 4,,,,False,CLE,1973
