G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,is_playoff,team,season
1,"Wed, Oct 30, 2013",7:00p,,Box Score,,Brooklyn Nets,W,,98,94,1,0,W 1,20562,2:23,,False,CLE,2014
2,"Fri, Nov 1, 2013",7:00p,,Box Score,@,Charlotte Bobcats,L,,84,90,1,1,L 1,18017,2:23,,False,CLE,2014
3,"Sat, Nov 2, 2013",7:00p,,Box Score,@,Indiana Pacers,L,,74,89,1,2,L 2,16242,2:10,,False,CLE,2014
4,"Mon, Nov 4, 2013",7:00p,,Box Score,,Minnesota Timberwolves,W,,93,92,2,2,W 1,17892,2:03,,False,CLE,2014
5,"Wed, Nov 6, 2013",8:00p,,Box Score,@,Milwaukee Bucks,L,,104,109,2,3,L 1,14340,2:13,,False,CLE,2014
6,"Fri, Nov 8, 2013",7:00p,,Box Score,@,Philadelphia 76ers,L,,79,94,2,4,L 2,15219,1:59,,False,CLE,2014
7,"Sat, Nov 9, 2013",7:30p,,Box Score,,Philadelphia 76ers,W,2OT,127,125,3,4,W 1,20562,2:57,,False,CLE,2014
8,"Mon, Nov 11, 2013",8:00p,,Box Score,@,Chicago Bulls,L,,81,96,3,5,L 1,21778,2:12,,False,CLE,2014
9,"Wed, Nov 13, 2013",8:00p,,Box Score,@,Minnesota Timberwolves,L,,95,124,3,6,L 2,14978,2:07,,False,CLE,2014
10,"Fri, Nov 15, 2013",7:30p,,Box Score,,Charlotte Bobcats,L,,80,86,3,7,L 3,18679,2:04,,False,CLE,2014
11,"Sat, Nov 16, 2013",7:00p,,Box Score,@,Washington Wizards,W,OT,103,96,4,7,W 1,18038,2:25,,False,CLE,2014
12,"Wed, Nov 20, 2013",7:00p,,Box Score,,Washington Wizards,L,,91,98,4,8,L 1,16189,2:11,,False,CLE,2014
13,"Fri, Nov 22, 2013",8:00p,,Box Score,@,New Orleans Pelicans,L,,100,104,4,9,L 2,15186,2:18,,False,CLE,2014
14,"Sat, Nov 23, 2013",8:30p,,Box Score,@,San Antonio Spurs,L,,96,126,4,10,L 3,18581,2:02,,False,CLE,2014
15,"Wed, Nov 27, 2013",7:30p,,Box Score,,Miami Heat,L,,84,95,4,11,L 4,20562,2:20,,False,CLE,2014
16,"Fri, Nov 29, 2013",7:30p,,Box Score,@,Boston Celtics,L,,86,103,4,12,L 5,17685,2:15,,False,CLE,2014
17,"Sat, Nov 30, 2013",7:30p,,Box Score,,Chicago Bulls,W,,97,93,5,12,W 1,17296,2:10,,False,CLE,2014
18,"Wed, Dec 4, 2013",7:00p,,Box Score,,Denver Nuggets,W,,98,88,6,12,W 2,14642,2:10,,False,CLE,2014
19,"Fri, Dec 6, 2013",7:30p,,Box Score,@,Atlanta Hawks,L,,89,108,6,13,L 1,13282,2:02,,False,CLE,2014
20,"Sat, Dec 7, 2013",7:30p,,Box Score,,Los Angeles Clippers,W,,88,82,7,13,W 1,16216,2:25,,False,CLE,2014
21,"Tue, Dec 10, 2013",7:00p,,Box Score,,New York Knicks,W,,109,94,8,13,W 2,14580,2:03,,False,CLE,2014
22,"Fri, Dec 13, 2013",7:00p,,Box Score,@,Orlando Magic,W,,109,100,9,13,W 3,16119,2:10,,False,CLE,2014
23,"Sat, Dec 14, 2013",7:30p,,Box Score,@,Miami Heat,L,,107,114,9,14,L 1,19656,2:19,,False,CLE,2014
