G,Date,Unnamed: 2,Unnamed: 3,Unnamed: 4,Opponent,Unnamed: 6,Unnamed: 7,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,is_playoff,team,season
1,"Sat, Oct 29, 1983",,Box Score,,Phoenix Suns,W,,120,103,1,0,W 1,11019,,,False,DAL,1984
2,"Sun, Oct 30, 1983",,Box Score,@,San Antonio Spurs,L,,101,123,1,1,L 1,8219,,,False,DAL,1984
3,"Tue, Nov 1, 1983",,Box Score,@,Denver Nuggets,W,,130,124,2,1,W 1,7864,,,False,DAL,1984
4,"Wed, Nov 2, 1983",,Box Score,,Portland Trail Blazers,W,,123,117,3,1,W 2,9197,,,False,DAL,1984
5,"Fri, Nov 4, 1983",,Box Score,@,Cleveland Cavaliers,L,,84,105,3,2,L 1,3426,,,False,DAL,1984
6,"Sat, Nov 5, 1983",,Box Score,,Los Angeles Lakers,W,,107,102,4,2,W 1,17007,,,False,DAL,1984
7,"Wed, Nov 9, 1983",,Box Score,@,Los Angeles Lakers,L,,106,120,4,3,L 1,14341,,,False,DAL,1984
8,"Fri, Nov 11, 1983",,Box Score,,San Antonio Spurs,W,,112,105,5,3,W 1,13010,,,False,DAL,1984
9,"Sat, Nov 12, 1983",,Box Score,@,Houston Rockets,L,,98,100,5,4,L 1,13059,,,False,DAL,1984
10,"Thu, Nov 17, 1983",,Box Score,,New Jersey Nets,W,,115,113,6,4,W 1,10170,,,False,DAL,1984
11,"Sat, Nov 19, 1983",,Box Score,,Phoenix Suns,W,,116,107,7,4,W 2,14710,,,False,DAL,1984
12,"Tue, Nov 22, 1983",,Box Score,,San Antonio Spurs,W,,118,117,8,4,W 3,11220,,,False,DAL,1984
13,"Fri, Nov 25, 1983",,Box Score,,Kansas City Kings,W,,98,96,9,4,W 4,13873,,,False,DAL,1984
14,"Sat, Nov 26, 1983",,Box Score,,Golden State Warriors,W,,115,109,10,4,W 5,12190,,,False,DAL,1984
15,"Wed, Nov 30, 1983",,Box Score,,Houston Rockets,W,,113,102,11,4,W 6,16538,,,False,DAL,1984
