G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,is_playoff,Unnamed: 2,Unnamed: 6,team,season
1,"Sat, Oct 26, 1985",,,Box Score,,Seattle SuperSonics,W,,101,95,1,0,W 1,17007,2:07,,False,,,DAL,1986
2,"Tue, Oct 29, 1985",,,Box Score,,Los Angeles Lakers,L,,115,133,1,1,L 1,17007,1:50,,False,,,DAL,1986
3,"Fri, Nov 1, 1985",,,Box Score,@,San Antonio Spurs,L,,107,116,1,2,L 2,7064,2:10,,False,,,DAL,1986
4,"Sat, Nov 2, 1985",,,Box Score,,Sacramento Kings,W,,119,113,2,2,W 1,16373,2:04,,False,,,DAL,1986
5,"Wed, Nov 6, 1985",,,Box Score,,Portland Trail Blazers,L,,109,111,2,3,L 1,16455,2:14,,False,,,DAL,1986
6,"Thu, Nov 7, 1985",,,Box Score,@,Denver Nuggets,L,,99,131,2,4,L 2,12616,2:03,,False,,,DAL,1986
7,"Sat, Nov 9, 1985",,,Box Score,,Houston Rockets,L,,110,115,2,5,L 3,17007,2:09,,False,,,DAL,1986
8,"Tue, Nov 12, 1985",,,Box Score,@,Seattle SuperSonics,L,,90,109,2,6,L 4,6078,2:05,,False,,,DAL,1986
9,"Wed, Nov 13, 1985",,,Box Score,@,Utah Jazz,W,,115,100,3,6,W 1,9430,2:07,,False,,,DAL,1986
10,"Fri, Nov 15, 1985",,,Box Score,,New Jersey Nets,W,,110,98,4,6,W 2,17007,2:02,,False,,,DAL,1986
11,"Sat, Nov 16, 1985",,,Box Score,@,Houston Rockets,L,,117,122,4,7,L 1,15726,2:00,,False,,,DAL,1986
12,"Tue, Nov 19, 1985",,,Box Score,,Phoenix Suns,W,,123,119,5,7,W 1,16344,2:11,,False,,,DAL,1986
13,"Sat, Nov 23, 1985",,,Box Score,,Indiana Pacers,W,,117,104,6,7,W 2,17007,2:09,,False,,,DAL,1986
14,"Tue, Nov 26, 1985",,,Box Score,,Washington Bullets,W,,112,99,7,7,W 3,17007,1:59,,False,,,DAL,1986
15,"Fri, Nov 29, 1985",,,Box Score,,Sacramento Kings,W,,133,111,8,7,W 4,17007,2:02,,False,,,DAL,1986
16,"Sat, Nov 30, 1985",,,Box Score,,Los Angeles Clippers,W,,124,115,9,7,W 5,17007,2:01,,False,,,DAL,1986
17,"Tue, Dec 3, 1985",,,Box Score,@,Golden State Warriors,W,,107,100,10,7,W 6,7332,2:02,,False,,,DAL,1986
18,"Thu, Dec 5, 1985",,,Box Score,,San Antonio Spurs,L,,116,120,10,8,L 1,16897,2:08,,False,,,DAL,1986
19,"Sat, Dec 7, 1985",,,Box Score,,Golden State Warriors,W,,120,110,11,8,W 1,17007,2:06,,False,,,DAL,1986
20,"Sun, Dec 8, 1985",,,Box Score,@,Los Angeles Lakers,L,,119,125,11,9,L 1,15810,1:55,,False,,,DAL,1986
21,"Tue, Dec 10, 1985",,,Box Score,@,Los Angeles Clippers,L,,118,120,11,10,L 2,5394,2:28,,False,,,DAL,1986
22,"Thu, Dec 12, 1985",,,Box Score,@,Houston Rockets,L,,120,123,11,11,L 3,12497,2:12,,False,,,DAL,1986
23,"Sat, Dec 14, 1985",,,Box Score,,Denver Nuggets,W,,127,100,12,11,W 1,17007,1:59,,False,,,DAL,1986
24,"Wed, Dec 18, 1985",,,Box Score,@,Boston Celtics,L,,117,137,12,12,L 1,14890,1:54,,False,,,DAL,1986
25,"Thu, Dec 19, 1985",,,Box Score,@,Atlanta Hawks,W,,120,108,13,12,W 1,5867,2:10,,False,,,DAL,1986
26,"Sat, Dec 21, 1985",,,Box Score,@,Milwaukee Bucks,L,,107,132,13,13,L 1,10486,2:01,,False,,,DAL,1986
27,"Sun, Dec 22, 1985",,,Box Score,@,Cleveland Cavaliers,L,,105,119,13,14,L 2,9056,1:54,,False,,,DAL,1986
28,"Thu, Dec 26, 1985",,,Box Score,@,Phoenix Suns,W,,105,98,14,14,W 1,11134,2:00,,False,,,DAL,1986
29,"Fri, Dec 27, 1985",,,Box Score,,Portland Trail Blazers,L,OT,133,142,14,15,L 1,17007,2:30,,False,,,DAL,1986
30,"Sat, Jan 4, 1986",,,Box Score,,Utah Jazz,W,,119,106,15,15,W 1,17007,2:01,,False,,,DAL,1986
31,"Tue, Jan 7, 1986",,,Box Score,@,Denver Nuggets,L,,110,132,15,16,L 1,9858,2:02,,False,,,DAL,1986
32,"Fri, Jan 10, 1986",,,Box Score,,Phoenix Suns,W,,117,104,16,16,W 1,17007,2:03,,False,,,DAL,1986
33,"Sat, Jan 11, 1986",,,Box Score,,Golden State Warriors,W,OT,127,123,17,16,W 2,17007,2:37,,False,,,DAL,1986
34,"Mon, Jan 13, 1986",,,Box Score,@,Seattle SuperSonics,W,,90,89,18,16,W 3,5755,2:10,,False,,,DAL,1986
35,"Wed, Jan 15, 1986",,,Box Score,,New York Knicks,L,,112,116,18,17,L 1,17007,2:21,,False,,,DAL,1986
36,"Fri, Jan 17, 1986",,,Box Score,@,Utah Jazz,L,,112,139,18,18,L 2,12466,2:01,,False,,,DAL,1986
37,"Sun, Jan 19, 1986",,,Box Score,,Houston Rockets,W,,131,96,19,18,W 1,17007,2:02,,False,,,DAL,1986
38,"Tue, Jan 21, 1986",,,Box Score,@,Sacramento Kings,L,,110,119,19,19,L 1,10333,2:01,,False,,,DAL,1986
39,"Wed, Jan 22, 1986",,,Box Score,,Los Angeles Clippers,L,,118,131,19,20,L 2,16141,2:05,,False,,,DAL,1986
40,"Fri, Jan 24, 1986",,,Box Score,,Detroit Pistons,L,,120,129,19,21,L 3,17007,2:07,,False,,,DAL,1986
41,"Sat, Jan 25, 1986",,,Box Score,@,San Antonio Spurs,W,,123,107,20,21,W 1,9599,2:04,,False,,,DAL,1986
42,"Mon, Jan 27, 1986",,,Box Score,,Chicago Bulls,W,,124,116,21,21,W 2,16498,2:06,,False,,,DAL,1986
43,"Wed, Jan 29, 1986",,,Box Score,,San Antonio Spurs,W,,126,114,22,21,W 3,16649,2:11,,False,,,DAL,1986
44,"Fri, Jan 31, 1986",,,Box Score,,Cleveland Cavaliers,W,,107,91,23,21,W 4,17007,1:59,,False,,,DAL,1986
45,"Sun, Feb 2, 1986",,,Box Score,,Utah Jazz,W,,100,97,24,21,W 5,16651,2:06,,False,,,DAL,1986
46,"Tue, Feb 4, 1986",,,Box Score,@,Los Angeles Lakers,L,,102,110,24,22,L 1,16275,1:56,,False,,,DAL,1986
47,"Thu, Feb 6, 1986",,,Box Score,@,Portland Trail Blazers,W,,115,111,25,22,W 1,12666,1:55,,False,,,DAL,1986
48,"Tue, Feb 11, 1986",,,Box Score,@,San Antonio Spurs,W,,121,107,26,22,W 2,6858,2:07,,False,,,DAL,1986
49,"Wed, Feb 12, 1986",,,Box Score,,Denver Nuggets,W,,117,110,27,22,W 3,17007,2:05,,False,,,DAL,1986
50,"Fri, Feb 14, 1986",,,Box Score,@,Detroit Pistons,L,,110,119,27,23,L 1,13364,1:51,,False,,,DAL,1986
51,"Sun, Feb 16, 1986",,,Box Score,@,Chicago Bulls,W,,120,114,28,23,W 1,12222,2:02,,False,,,DAL,1986
52,"Mon, Feb 17, 1986",1:09p,,Box Score,@,New Jersey Nets,W,,126,124,29,23,W 2,13559,2:21,,False,,,DAL,1986
53,"Wed, Feb 19, 1986",,,Box Score,,Milwaukee Bucks,L,,107,124,29,24,L 1,17007,2:02,,False,,,DAL,1986
54,"Fri, Feb 21, 1986",,,Box Score,,Houston Rockets,L,,104,111,29,25,L 2,17007,1:51,,False,,,DAL,1986
55,"Sat, Feb 22, 1986",,,Box Score,@,Denver Nuggets,L,,106,113,29,26,L 3,17022,2:05,,False,,,DAL,1986
56,"Mon, Feb 24, 1986",,,Box Score,@,Houston Rockets,L,,105,110,29,27,L 4,15851,2:06,,False,,,DAL,1986
57,"Wed, Feb 26, 1986",,,Box Score,,Los Angeles Lakers,L,,116,119,29,28,L 5,17007,2:02,,False,,,DAL,1986
58,"Fri, Feb 28, 1986",,,Box Score,,Philadelphia 76ers,L,,120,123,29,29,L 6,17007,2:06,,False,,,DAL,1986
59,"Sat, Mar 1, 1986",,,Box Score,,Golden State Warriors,W,,119,110,30,29,W 1,17007,2:03,,False,,,DAL,1986
60,"Mon, Mar 3, 1986",,,Box Score,@,Phoenix Suns,W,2OT,139,138,31,29,W 2,10135,3:06,,False,,,DAL,1986
61,"Thu, Mar 6, 1986",,,Box Score,@,Los Angeles Clippers,W,,131,113,32,29,W 3,8188,2:00,,False,,,DAL,1986
62,"Fri, Mar 7, 1986",,,Box Score,@,Portland Trail Blazers,L,,114,125,32,30,L 1,12666,1:57,,False,,,DAL,1986
63,"Sun, Mar 9, 1986",,,Box Score,@,Sacramento Kings,W,,117,102,33,30,W 1,10333,1:57,,False,,,DAL,1986
64,"Mon, Mar 10, 1986",,,Box Score,,Boston Celtics,W,,116,115,34,30,W 2,17007,2:14,,False,,,DAL,1986
65,"Wed, Mar 12, 1986",,,Box Score,,Sacramento Kings,L,OT,120,127,34,31,L 1,16890,2:13,,False,,,DAL,1986
66,"Fri, Mar 14, 1986",,,Box Score,,Portland Trail Blazers,W,,129,118,35,31,W 1,17007,1:56,,False,,,DAL,1986
67,"Sat, Mar 15, 1986",,,Box Score,,Utah Jazz,W,,108,98,36,31,W 2,17007,2:11,,False,,,DAL,1986
68,"Tue, Mar 18, 1986",,,Box Score,,San Antonio Spurs,W,,120,113,37,31,W 3,16937,1:57,,False,,,DAL,1986
69,"Thu, Mar 20, 1986",,,Box Score,@,Utah Jazz,W,,114,107,38,31,W 4,11474,2:00,,False,,,DAL,1986
70,"Fri, Mar 21, 1986",,,Box Score,,Atlanta Hawks,L,,103,107,38,32,L 1,17007,2:10,,False,,,DAL,1986
71,"Mon, Mar 24, 1986",,,Box Score,@,Indiana Pacers,W,,126,120,39,32,W 1,14353,2:05,,False,,,DAL,1986
72,"Wed, Mar 26, 1986",,,Box Score,@,Washington Bullets,L,,112,120,39,33,L 1,7582,1:57,,False,,,DAL,1986
