G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,is_playoff,team,season
1,"Sun, Dec 25, 2011",2:30p,,Box Score,,Miami Heat,L,,94,105,0,1,L 1,20421,2:44,,False,DAL,2012
2,"Mon, Dec 26, 2011",8:30p,,Box Score,,Denver Nuggets,L,,93,115,0,2,L 2,20408,2:13,,False,DAL,2012
3,"Thu, Dec 29, 2011",8:00p,,Box Score,@,Oklahoma City Thunder,L,,102,104,0,3,L 3,18203,2:34,,False,DAL,2012
4,"Fri, Dec 30, 2011",8:30p,,Box Score,,Toronto Raptors,W,,99,86,1,3,W 1,20307,2:14,,False,DAL,2012
5,"Sun, Jan 1, 2012",7:00p,,Box Score,@,Minnesota Timberwolves,L,,82,99,1,4,L 1,15115,2:13,,False,DAL,2012
6,"Mon, Jan 2, 2012",8:30p,,Box Score,,Oklahoma City Thunder,W,,100,87,2,4,W 1,20108,2:14,,False,DAL,2012
7,"Wed, Jan 4, 2012",8:30p,,Box Score,,Phoenix Suns,W,,98,89,3,4,W 2,19885,2:06,,False,DAL,2012
8,"Thu, Jan 5, 2012",8:30p,,Box Score,@,San Antonio Spurs,L,,71,93,3,5,L 1,18581,2:05,,False,DAL,2012
9,"Sat, Jan 7, 2012",9:00p,,Box Score,,New Orleans Hornets,W,,96,81,4,5,W 1,20409,2:18,,False,DAL,2012
10,"Tue, Jan 10, 2012",7:30p,,Box Score,@,Detroit Pistons,W,,100,86,5,5,W 2,10073,2:14,,False,DAL,2012
11,"Wed, Jan 11, 2012",8:00p,,Box Score,@,Boston Celtics,W,,90,85,6,5,W 3,18624,2:31,,False,DAL,2012
12,"Fri, Jan 13, 2012",8:30p,,Box Score,,Milwaukee Bucks,W,,102,76,7,5,W 4,20112,2:02,,False,DAL,2012
13,"Sat, Jan 14, 2012",9:00p,,Box Score,,Sacramento Kings,W,,99,60,8,5,W 5,20313,2:04,,False,DAL,2012
14,"Mon, Jan 16, 2012",10:30p,,Box Score,@,Los Angeles Lakers,L,,70,73,8,6,L 1,18997,2:26,,False,DAL,2012
15,"Wed, Jan 18, 2012",10:30p,,Box Score,@,Los Angeles Clippers,L,,89,91,8,7,L 2,19252,2:42,,False,DAL,2012
16,"Thu, Jan 19, 2012",10:30p,,Box Score,@,Utah Jazz,W,,94,91,9,7,W 1,19911,2:22,,False,DAL,2012
17,"Sat, Jan 21, 2012",8:00p,,Box Score,@,New Orleans Hornets,W,,83,81,10,7,W 2,15471,2:22,,False,DAL,2012
18,"Mon, Jan 23, 2012",8:30p,,Box Score,,Phoenix Suns,W,,93,87,11,7,W 3,19944,2:12,,False,DAL,2012
19,"Wed, Jan 25, 2012",8:30p,,Box Score,,Minnesota Timberwolves,L,,90,105,11,8,L 1,20150,2:04,,False,DAL,2012
20,"Fri, Jan 27, 2012",8:30p,,Box Score,,Utah Jazz,W,,116,101,12,8,W 1,20096,2:07,,False,DAL,2012
21,"Sun, Jan 29, 2012",6:30p,,Box Score,,San Antonio Spurs,W,OT,101,100,13,8,W 2,20262,2:44,,False,DAL,2012
22,"Mon, Jan 30, 2012",9:00p,,Box Score,@,Phoenix Suns,W,,122,99,14,8,W 3,13132,2:08,,False,DAL,2012
23,"Wed, Feb 1, 2012",8:00p,,Box Score,,Oklahoma City Thunder,L,,86,95,14,9,L 1,20316,2:32,,False,DAL,2012
24,"Fri, Feb 3, 2012",8:30p,,Box Score,,Indiana Pacers,L,,87,98,14,10,L 2,20146,2:09,,False,DAL,2012
25,"Sat, Feb 4, 2012",7:30p,,Box Score,@,Cleveland Cavaliers,L,,88,91,14,11,L 3,17443,2:11,,False,DAL,2012
