G,Date,Unnamed: 2,Unnamed: 3,Unnamed: 4,Opponent,Unnamed: 6,Unnamed: 7,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,is_playoff,team,season
1,"Fri, Oct 10, 1980",,Box Score,,San Antonio Spurs,L,,112,113,0,1,L 1,10027,,,False,DEN,1981
2,"Sun, Oct 12, 1980",,Box Score,,Utah Jazz,L,OT,121,125,0,2,L 2,8401,,,False,DEN,1981
3,"Wed, Oct 15, 1980",,Box Score,,Dallas Mavericks,W,,133,98,1,2,W 1,6658,,,False,DEN,1981
4,"Fri, Oct 17, 1980",,Box Score,@,San Diego Clippers,W,,129,116,2,2,W 2,4032,,,False,DEN,1981
5,"Sat, Oct 18, 1980",,Box Score,@,Utah Jazz,L,,115,117,2,3,L 1,7250,,,False,DEN,1981
6,"Tue, Oct 21, 1980",,Box Score,,Houston Rockets,L,,117,119,2,4,L 2,7711,,,False,DEN,1981
7,"Fri, Oct 24, 1980",,Box Score,,Phoenix Suns,L,,94,117,2,5,L 3,8359,,,False,DEN,1981
8,"Sat, Oct 25, 1980",,Box Score,@,Kansas City Kings,L,,122,125,2,6,L 4,6988,,,False,DEN,1981
9,"Wed, Oct 29, 1980",,Box Score,@,Golden State Warriors,L,,109,115,2,7,L 5,7305,,,False,DEN,1981
10,"Sat, Nov 1, 1980",,Box Score,,Seattle SuperSonics,W,,123,118,3,7,W 1,8681,,,False,DEN,1981
11,"Sun, Nov 2, 1980",,Box Score,@,Los Angeles Lakers,W,,123,121,4,7,W 2,11661,,,False,DEN,1981
12,"Wed, Nov 5, 1980",,Box Score,@,Seattle SuperSonics,W,,125,117,5,7,W 3,13075,,,False,DEN,1981
13,"Fri, Nov 7, 1980",,Box Score,,New York Knicks,L,,115,124,5,8,L 1,10612,,,False,DEN,1981
14,"Sat, Nov 8, 1980",,Box Score,@,Chicago Bulls,W,2OT,130,126,6,8,W 1,9683,,,False,DEN,1981
15,"Tue, Nov 11, 1980",,Box Score,@,Washington Bullets,L,,92,107,6,9,L 1,7218,,,False,DEN,1981
16,"Wed, Nov 12, 1980",,Box Score,@,New Jersey Nets,L,,111,118,6,10,L 2,6452,,,False,DEN,1981
17,"Sat, Nov 15, 1980",,Box Score,,Portland Trail Blazers,W,,125,123,7,10,W 1,11011,,,False,DEN,1981
18,"Tue, Nov 18, 1980",,Box Score,@,Portland Trail Blazers,L,,103,122,7,11,L 1,12666,,,False,DEN,1981
19,"Fri, Nov 21, 1980",,Box Score,,Kansas City Kings,W,,134,121,8,11,W 1,10811,,,False,DEN,1981
20,"Sun, Nov 23, 1980",,Box Score,@,Phoenix Suns,L,,113,131,8,12,L 1,11151,,,False,DEN,1981
21,"Tue, Nov 25, 1980",,Box Score,@,San Diego Clippers,L,,94,108,8,13,L 2,4176,,,False,DEN,1981
22,"Wed, Nov 26, 1980",,Box Score,,San Diego Clippers,W,,113,109,9,13,W 1,7913,,,False,DEN,1981
