G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,is_playoff,Unnamed: 2,Unnamed: 6,team,season
1,"Fri, Oct 25, 1985",,,Box Score,@,Golden State Warriors,W,,119,105,1,0,W 1,6593,2:25,,False,,,DEN,1986
2,"Sat, Oct 26, 1985",,,Box Score,,Sacramento Kings,W,,123,112,2,0,W 2,9309,2:04,,False,,,DEN,1986
3,"Tue, Oct 29, 1985",,,Box Score,@,Phoenix Suns,W,,142,127,3,0,W 3,12855,2:37,,False,,,DEN,1986
4,"Thu, Oct 31, 1985",,,Box Score,,Seattle SuperSonics,W,,90,73,4,0,W 4,7439,2:06,,False,,,DEN,1986
5,"Tue, Nov 5, 1985",,,Box Score,,Atlanta Hawks,W,,128,113,5,0,W 5,8691,2:17,,False,,,DEN,1986
6,"Thu, Nov 7, 1985",,,Box Score,,Dallas Mavericks,W,,131,99,6,0,W 6,12616,2:03,,False,,,DEN,1986
7,"Fri, Nov 8, 1985",,,Box Score,@,Los Angeles Lakers,L,,99,128,6,1,L 1,16573,1:56,,False,,,DEN,1986
8,"Tue, Nov 12, 1985",,,Box Score,@,Houston Rockets,L,,119,127,6,2,L 2,14981,2:14,,False,,,DEN,1986
9,"Thu, Nov 14, 1985",,,Box Score,,San Antonio Spurs,W,,112,109,7,2,W 1,7946,2:18,,False,,,DEN,1986
10,"Sat, Nov 16, 1985",,,Box Score,,Los Angeles Clippers,W,,113,109,8,2,W 2,10525,2:01,,False,,,DEN,1986
11,"Tue, Nov 19, 1985",,,Box Score,,Houston Rockets,W,,127,113,9,2,W 3,11533,2:09,,False,,,DEN,1986
12,"Thu, Nov 21, 1985",,,Box Score,,Los Angeles Lakers,W,,121,120,10,2,W 4,17022,2:12,,False,,,DEN,1986
13,"Sat, Nov 23, 1985",,,Box Score,,Sacramento Kings,W,,122,118,11,2,W 5,11793,2:11,,False,,,DEN,1986
14,"Sun, Nov 24, 1985",,,Box Score,@,Seattle SuperSonics,L,,84,110,11,3,L 1,5210,1:49,,False,,,DEN,1986
15,"Tue, Nov 26, 1985",,,Box Score,,Chicago Bulls,L,,123,128,11,4,L 2,10955,2:16,,False,,,DEN,1986
16,"Wed, Nov 27, 1985",,,Box Score,@,Golden State Warriors,L,,102,104,11,5,L 3,11359,1:58,,False,,,DEN,1986
17,"Fri, Nov 29, 1985",,,Box Score,@,Utah Jazz,W,,129,114,12,5,W 1,12580,2:04,,False,,,DEN,1986
18,"Sat, Nov 30, 1985",,,Box Score,,Seattle SuperSonics,L,2OT,123,131,12,6,L 1,13651,3:03,,False,,,DEN,1986
19,"Tue, Dec 3, 1985",,,Box Score,@,New York Knicks,L,,94,111,12,7,L 2,11884,2:03,,False,,,DEN,1986
20,"Wed, Dec 4, 1985",,,Box Score,@,Indiana Pacers,W,,119,105,13,7,W 1,11838,2:00,,False,,,DEN,1986
21,"Fri, Dec 6, 1985",,,Box Score,@,Philadelphia 76ers,W,,123,121,14,7,W 2,14112,2:09,,False,,,DEN,1986
22,"Sat, Dec 7, 1985",,,Box Score,@,Cleveland Cavaliers,L,,114,124,14,8,L 1,7224,2:10,,False,,,DEN,1986
23,"Wed, Dec 11, 1985",,,Box Score,,Los Angeles Clippers,W,,134,95,15,8,W 1,8494,1:56,,False,,,DEN,1986
