G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,is_playoff,team,season
1,"Wed, Oct 17, 2018",10:30p,,Box Score,@,Los Angeles Clippers,W,,107,98,1,0,W 1,19068,2:29,,False,DEN,2019
2,"Sat, Oct 20, 2018",9:00p,,Box Score,,Phoenix Suns,W,,119,91,2,0,W 2,19592,2:37,,False,DEN,2019
3,"Sun, Oct 21, 2018",8:00p,,Box Score,,Golden State Warriors,W,,100,98,3,0,W 3,19520,2:24,,False,DEN,2019
4,"Tue, Oct 23, 2018",9:00p,,Box Score,,Sacramento Kings,W,,126,112,4,0,W 4,13214,2:04,,False,DEN,2019
5,"Thu, Oct 25, 2018",10:30p,,Box Score,@,Los Angeles Lakers,L,,114,121,4,1,L 1,18997,2:21,,False,DEN,2019
6,"Mon, Oct 29, 2018",9:00p,,Box Score,,New Orleans Pelicans,W,,116,111,5,1,W 1,15217,2:12,,False,DEN,2019
7,"Wed, Oct 31, 2018",8:00p,,Box Score,@,Chicago Bulls,W,OT,108,107,6,1,W 2,19027,2:23,,False,DEN,2019
8,"Thu, Nov 1, 2018",7:00p,,Box Score,@,Cleveland Cavaliers,W,,110,91,7,1,W 3,19432,2:03,,False,DEN,2019
9,"Sat, Nov 3, 2018",9:00p,,Box Score,,Utah Jazz,W,,103,88,8,1,W 4,19520,2:20,,False,DEN,2019
10,"Mon, Nov 5, 2018",9:00p,,Box Score,,Boston Celtics,W,,115,107,9,1,W 5,19520,2:12,,False,DEN,2019
11,"Wed, Nov 7, 2018",8:00p,,Box Score,@,Memphis Grizzlies,L,,87,89,9,2,L 1,15832,2:16,,False,DEN,2019
12,"Fri, Nov 9, 2018",9:00p,,Box Score,,Brooklyn Nets,L,,110,112,9,3,L 2,19520,2:21,,False,DEN,2019
13,"Sun, Nov 11, 2018",8:00p,,Box Score,,Milwaukee Bucks,L,,114,121,9,4,L 3,19520,2:07,,False,DEN,2019
14,"Tue, Nov 13, 2018",9:00p,,Box Score,,Houston Rockets,L,,99,109,9,5,L 4,16741,2:11,,False,DEN,2019
15,"Thu, Nov 15, 2018",9:00p,,Box Score,,Atlanta Hawks,W,,138,93,10,5,W 1,15103,2:11,,False,DEN,2019
16,"Sat, Nov 17, 2018",7:00p,,Box Score,@,New Orleans Pelicans,L,,115,125,10,6,L 1,15408,2:08,,False,DEN,2019
17,"Mon, Nov 19, 2018",8:00p,,Box Score,@,Milwaukee Bucks,L,,98,104,10,7,L 2,17341,2:07,,False,DEN,2019
18,"Wed, Nov 21, 2018",8:00p,,Box Score,@,Minnesota Timberwolves,W,,103,101,11,7,W 1,15086,2:08,,False,DEN,2019
19,"Fri, Nov 23, 2018",9:00p,,Box Score,,Orlando Magic,W,,112,87,12,7,W 2,19520,2:02,,False,DEN,2019
20,"Sat, Nov 24, 2018",8:00p,,Box Score,@,Oklahoma City Thunder,W,,105,98,13,7,W 3,18203,2:13,,False,DEN,2019
21,"Tue, Nov 27, 2018",9:00p,,Box Score,,Los Angeles Lakers,W,,117,85,14,7,W 4,19583,1:58,,False,DEN,2019
22,"Fri, Nov 30, 2018",10:30p,,Box Score,@,Portland Trail Blazers,W,,113,112,15,7,W 5,19459,,,False,DEN,2019
23,"Mon, Dec 3, 2018",7:30p,,Box Score,@,Toronto Raptors,W,,106,103,16,7,W 6,19800,2:14,,False,DEN,2019
24,"Wed, Dec 5, 2018",7:00p,,Box Score,@,Orlando Magic,W,OT,124,118,17,7,W 7,16636,2:26,,False,DEN,2019
25,"Fri, Dec 7, 2018",7:00p,,Box Score,@,Charlotte Hornets,L,,107,113,17,8,L 1,13755,2:18,,False,DEN,2019
26,"Sat, Dec 8, 2018",7:30p,,Box Score,@,Atlanta Hawks,L,,98,106,17,9,L 2,14409,2:13,,False,DEN,2019
27,"Mon, Dec 10, 2018",9:00p,,Box Score,,Memphis Grizzlies,W,,105,99,18,9,W 1,15278,2:09,,False,DEN,2019
28,"Fri, Dec 14, 2018",10:00p,,Box Score,,Oklahoma City Thunder,W,,109,98,19,9,W 2,19520,2:21,,False,DEN,2019
29,"Sun, Dec 16, 2018",8:00p,,Box Score,,Toronto Raptors,W,,95,86,20,9,W 3,19520,2:09,,False,DEN,2019
30,"Tue, Dec 18, 2018",9:00p,,Box Score,,Dallas Mavericks,W,,126,118,21,9,W 4,15764,2:18,,False,DEN,2019
31,"Sat, Dec 22, 2018",5:00p,,Box Score,@,Los Angeles Clippers,L,,111,132,21,10,L 1,16571,2:07,,False,DEN,2019
32,"Wed, Dec 26, 2018",8:30p,,Box Score,@,San Antonio Spurs,L,,103,111,21,11,L 2,18408,2:12,,False,DEN,2019
33,"Fri, Dec 28, 2018",9:00p,,Box Score,,San Antonio Spurs,W,,102,99,22,11,W 1,20076,2:16,,False,DEN,2019
34,"Sat, Dec 29, 2018",9:00p,,Box Score,@,Phoenix Suns,W,,122,118,23,11,W 2,14975,2:15,,False,DEN,2019
35,"Tue, Jan 1, 2019",9:00p,,Box Score,,New York Knicks,W,,115,108,24,11,W 3,19520,2:14,,False,DEN,2019
36,"Thu, Jan 3, 2019",10:00p,,Box Score,@,Sacramento Kings,W,,117,113,25,11,W 4,17583,2:14,,False,DEN,2019
37,"Sat, Jan 5, 2019",5:00p,,Box Score,,Charlotte Hornets,W,,123,110,26,11,W 5,19861,2:12,,False,DEN,2019
38,"Mon, Jan 7, 2019",8:00p,,Box Score,@,Houston Rockets,L,,113,125,26,12,L 1,18055,2:09,,False,DEN,2019
39,"Tue, Jan 8, 2019",7:30p,,Box Score,@,Miami Heat,W,,103,99,27,12,W 1,19600,2:14,,False,DEN,2019
40,"Thu, Jan 10, 2019",9:00p,,Box Score,,Los Angeles Clippers,W,,121,100,28,12,W 2,15742,2:05,,False,DEN,2019
41,"Sat, Jan 12, 2019",9:00p,,Box Score,@,Phoenix Suns,L,,93,102,28,13,L 1,15246,2:13,,False,DEN,2019
42,"Sun, Jan 13, 2019",8:00p,,Box Score,,Portland Trail Blazers,W,,116,113,29,13,W 1,19520,2:15,,False,DEN,2019
43,"Tue, Jan 15, 2019",9:00p,,Box Score,,Golden State Warriors,L,,111,142,29,14,L 1,19896,2:01,,False,DEN,2019
44,"Thu, Jan 17, 2019",9:00p,,Box Score,,Chicago Bulls,W,,135,105,30,14,W 1,17289,1:59,,False,DEN,2019
45,"Sat, Jan 19, 2019",10:00p,,Box Score,,Cleveland Cavaliers,W,,124,102,31,14,W 2,19520,2:02,,False,DEN,2019
46,"Wed, Jan 23, 2019",10:30p,,Box Score,@,Utah Jazz,L,,108,114,31,15,L 1,18306,2:26,,False,DEN,2019
47,"Fri, Jan 25, 2019",9:00p,,Box Score,,Phoenix Suns,W,,132,95,32,15,W 1,17425,2:09,,False,DEN,2019
48,"Sat, Jan 26, 2019",9:00p,,Box Score,,Philadelphia 76ers,W,,126,110,33,15,W 2,19673,2:19,,False,DEN,2019
49,"Mon, Jan 28, 2019",8:00p,,Box Score,@,Memphis Grizzlies,W,,95,92,34,15,W 3,12917,2:14,,False,DEN,2019
50,"Wed, Jan 30, 2019",8:00p,,Box Score,@,New Orleans Pelicans,W,,105,99,35,15,W 4,14211,2:03,,False,DEN,2019
51,"Fri, Feb 1, 2019",10:00p,,Box Score,,Houston Rockets,W,,136,122,36,15,W 5,20106,2:12,,False,DEN,2019
52,"Sat, Feb 2, 2019",9:00p,,Box Score,@,Minnesota Timberwolves,W,,107,106,37,15,W 6,17208,2:06,,False,DEN,2019
53,"Mon, Feb 4, 2019",7:00p,,Box Score,@,Detroit Pistons,L,,103,129,37,16,L 1,12589,2:05,,False,DEN,2019
54,"Wed, Feb 6, 2019",7:30p,,Box Score,@,Brooklyn Nets,L,,130,135,37,17,L 2,14516,2:24,,False,DEN,2019
55,"Fri, Feb 8, 2019",7:00p,,Box Score,@,Philadelphia 76ers,L,,110,117,37,18,L 3,20627,2:14,,False,DEN,2019
56,"Mon, Feb 11, 2019",9:00p,,Box Score,,Miami Heat,W,,103,87,38,18,W 1,18378,2:05,,False,DEN,2019
57,"Wed, Feb 13, 2019",9:00p,,Box Score,,Sacramento Kings,W,,120,118,39,18,W 2,17938,2:18,,False,DEN,2019
58,"Fri, Feb 22, 2019",8:30p,,Box Score,@,Dallas Mavericks,W,,114,104,40,18,W 3,20382,2:13,,False,DEN,2019
59,"Sun, Feb 24, 2019",5:00p,,Box Score,,Los Angeles Clippers,W,,123,96,41,18,W 4,19956,2:15,,False,DEN,2019
60,"Tue, Feb 26, 2019",10:30p,,Box Score,,Oklahoma City Thunder,W,,121,112,42,18,W 5,18378,2:32,,False,DEN,2019
61,"Thu, Feb 28, 2019",10:30p,,Box Score,,Utah Jazz,L,,104,111,42,19,L 1,19520,2:16,,False,DEN,2019
62,"Sat, Mar 2, 2019",9:00p,,Box Score,,New Orleans Pelicans,L,,112,120,42,20,L 2,19978,2:18,,False,DEN,2019
63,"Mon, Mar 4, 2019",8:30p,,Box Score,@,San Antonio Spurs,L,,103,104,42,21,L 3,18354,2:05,,False,DEN,2019
64,"Wed, Mar 6, 2019",10:30p,,Box Score,@,Los Angeles Lakers,W,,115,99,43,21,W 1,18997,2:15,,False,DEN,2019
65,"Fri, Mar 8, 2019",10:30p,,Box Score,@,Golden State Warriors,L,,105,122,43,22,L 1,19596,2:23,,False,DEN,2019
66,"Tue, Mar 12, 2019",10:30p,,Box Score,,Minnesota Timberwolves,W,,133,107,44,22,W 1,16874,2:20,,False,DEN,2019
67,"Thu, Mar 14, 2019",10:30p,,Box Score,,Dallas Mavericks,W,,100,99,45,22,W 2,19520,2:12,,False,DEN,2019
68,"Sat, Mar 16, 2019",9:00p,,Box Score,,Indiana Pacers,W,,102,100,46,22,W 3,19856,2:20,,False,DEN,2019
69,"Mon, Mar 18, 2019",7:30p,,Box Score,@,Boston Celtics,W,,114,105,47,22,W 4,18624,2:06,,False,DEN,2019
70,"Thu, Mar 21, 2019",7:00p,,Box Score,@,Washington Wizards,W,,113,108,48,22,W 5,15986,2:02,,False,DEN,2019
71,"Fri, Mar 22, 2019",7:30p,,Box Score,@,New York Knicks,W,,111,93,49,22,W 6,19290,2:03,,False,DEN,2019
72,"Sun, Mar 24, 2019",5:00p,,Box Score,@,Indiana Pacers,L,,88,124,49,23,L 1,17923,2:04,,False,DEN,2019
73,"Tue, Mar 26, 2019",9:00p,,Box Score,,Detroit Pistons,W,,95,92,50,23,W 1,19520,2:11,,False,DEN,2019
74,"Thu, Mar 28, 2019",8:00p,,Box Score,@,Houston Rockets,L,,85,112,50,24,L 1,18055,1:58,,False,DEN,2019
75,"Fri, Mar 29, 2019",8:00p,,Box Score,@,Oklahoma City Thunder,W,,115,105,51,24,W 1,18203,2:06,,False,DEN,2019
76,"Sun, Mar 31, 2019",8:00p,,Box Score,,Washington Wizards,L,,90,95,51,25,L 1,17356,2:12,,False,DEN,2019
77,"Tue, Apr 2, 2019",10:30p,,Box Score,@,Golden State Warriors,L,,102,116,51,26,L 2,19596,2:13,,False,DEN,2019
78,"Wed, Apr 3, 2019",9:00p,,Box Score,,San Antonio Spurs,W,,113,85,52,26,W 1,17643,2:02,,False,DEN,2019
79,"Fri, Apr 5, 2019",10:30p,,Box Score,,Portland Trail Blazers,W,,119,110,53,26,W 2,19928,2:17,,False,DEN,2019
80,"Sun, Apr 7, 2019",9:00p,,Box Score,@,Portland Trail Blazers,L,,108,115,53,27,L 1,19890,2:12,,False,DEN,2019
81,"Tue, Apr 9, 2019",9:00p,,Box Score,@,Utah Jazz,L,,108,118,53,28,L 2,18306,2:14,,False,DEN,2019
82,"Wed, Apr 10, 2019",10:30p,,Box Score,,Minnesota Timberwolves,W,,99,95,54,28,W 1,16332,2:02,,False,DEN,2019
1,"Sat, Apr 13, 2019",10:30p,,Box Score,,San Antonio Spurs,L,,96,101,0,1,L 1,19520,2:17,,True,DEN,2019
2,"Tue, Apr 16, 2019",9:00p,,Box Score,,San Antonio Spurs,W,,114,105,1,1,W 1,19520,2:16,,True,DEN,2019
3,"Thu, Apr 18, 2019",9:00p,,Box Score,@,San Antonio Spurs,L,,108,118,1,2,L 1,18354,2:15,,True,DEN,2019
4,"Sat, Apr 20, 2019",5:30p,,Box Score,@,San Antonio Spurs,W,,117,103,2,2,W 1,18354,2:20,,True,DEN,2019
5,"Tue, Apr 23, 2019",9:30p,,Box Score,,San Antonio Spurs,W,,108,90,3,2,W 2,19520,2:10,,True,DEN,2019
6,"Thu, Apr 25, 2019",8:00p,,Box Score,@,San Antonio Spurs,L,,103,120,3,3,L 1,18354,2:17,,True,DEN,2019
7,"Sat, Apr 27, 2019",10:00p,,Box Score,,San Antonio Spurs,W,,90,86,4,3,W 1,19725,2:27,,True,DEN,2019
8,"Mon, Apr 29, 2019",10:30p,,Box Score,,Portland Trail Blazers,W,,121,113,5,3,W 2,19520,2:22,,True,DEN,2019
9,"Wed, May 1, 2019",9:00p,,Box Score,,Portland Trail Blazers,L,,90,97,5,4,L 1,19520,2:32,,True,DEN,2019
10,"Fri, May 3, 2019",10:30p,,Box Score,@,Portland Trail Blazers,L,4OT,137,140,5,5,L 2,20193,3:25,,True,DEN,2019
11,"Sun, May 5, 2019",7:00p,,Box Score,@,Portland Trail Blazers,W,,116,112,6,5,W 1,20146,2:36,,True,DEN,2019
12,"Tue, May 7, 2019",10:30p,,Box Score,,Portland Trail Blazers,W,,124,98,7,5,W 2,19520,2:24,,True,DEN,2019
13,"Thu, May 9, 2019",10:30p,,Box Score,@,Portland Trail Blazers,L,,108,119,7,6,L 1,20022,2:23,,True,DEN,2019
14,"Sun, May 12, 2019",3:30p,,Box Score,,Portland Trail Blazers,L,,96,100,7,7,L 2,19725,2:31,,True,DEN,2019
