G,Date,Unnamed: 2,Unnamed: 3,Unnamed: 4,Opponent,Unnamed: 6,Unnamed: 7,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,is_playoff,team,season
1,"Tue, Oct 9, 1973",,Box Score,@,New York Knicks,L,,100,101,0,1,L 1,,,,False,DET,1974
2,"Fri, Oct 12, 1973",,Box Score,,Atlanta Hawks,W,,122,105,1,1,W 1,,,,False,DET,1974
3,"Sat, Oct 13, 1973",,Box Score,@,Chicago Bulls,L,,94,101,1,2,L 1,,,,False,DET,1974
4,"Sun, Oct 14, 1973",,Box Score,@,Cleveland Cavaliers,W,,95,83,2,2,W 1,,,,False,DET,1974
5,"Fri, Oct 19, 1973",,Box Score,,Milwaukee Bucks,L,,94,96,2,3,L 1,,,,False,DET,1974
6,"Sat, Oct 20, 1973",,Box Score,@,Houston Rockets,W,,107,104,3,3,W 1,,,,False,DET,1974
7,"Wed, Oct 24, 1973",,Box Score,@,Phoenix Suns,W,,115,99,4,3,W 2,,,,False,DET,1974
8,"Fri, Oct 26, 1973",,Box Score,@,Los Angeles Lakers,L,,92,94,4,4,L 1,,,,False,DET,1974
9,"Sat, Oct 27, 1973",,Box Score,@,Portland Trail Blazers,W,,111,98,5,4,W 1,,,,False,DET,1974
10,"Sun, Oct 28, 1973",,Box Score,@,Seattle SuperSonics,W,,115,93,6,4,W 2,,,,False,DET,1974
11,"Wed, Oct 31, 1973",,Box Score,,Seattle SuperSonics,W,,114,107,7,4,W 3,,,,False,DET,1974
12,"Fri, Nov 2, 1973",,Box Score,,Phoenix Suns,W,,114,107,8,4,W 4,,,,False,DET,1974
13,"Sat, Nov 3, 1973",,Box Score,@,Milwaukee Bucks,L,OT,115,123,8,5,L 1,,,,False,DET,1974
14,"Thu, Nov 8, 1973",,Box Score,@,Atlanta Hawks,W,,129,115,9,5,W 1,,,,False,DET,1974
15,"Sat, Nov 10, 1973",,Box Score,N,Boston Celtics,L,,97,102,9,6,L 1,6509,,"at Providence, RI",False,DET,1974
16,"Wed, Nov 14, 1973",,Box Score,,Portland Trail Blazers,L,,108,111,9,7,L 2,,,,False,DET,1974
17,"Fri, Nov 16, 1973",,Box Score,,Kansas City-Omaha Kings,W,,125,98,10,7,W 1,,,,False,DET,1974
18,"Sat, Nov 17, 1973",,Box Score,@,Buffalo Braves,W,,98,94,11,7,W 2,,,,False,DET,1974
19,"Sun, Nov 18, 1973",,Box Score,,Chicago Bulls,L,,102,104,11,8,L 1,,,,False,DET,1974
20,"Wed, Nov 21, 1973",,Box Score,,Phoenix Suns,W,,107,104,12,8,W 1,3534,2:00,,False,DET,1974
21,"Sat, Nov 24, 1973",,Box Score,@,Chicago Bulls,L,OT,112,114,12,9,L 1,,,,False,DET,1974
22,"Wed, Nov 28, 1973",,Box Score,,Cleveland Cavaliers,L,,91,96,12,10,L 2,,,,False,DET,1974
23,"Fri, Nov 30, 1973",,Box Score,@,Houston Rockets,L,,95,110,12,11,L 3,,,,False,DET,1974
24,"Sat, Dec 1, 1973",,Box Score,@,Phoenix Suns,W,,121,109,13,11,W 1,,,,False,DET,1974
25,"Sun, Dec 2, 1973",,Box Score,@,Los Angeles Lakers,W,,114,108,14,11,W 2,,,,False,DET,1974
26,"Tue, Dec 4, 1973",,Box Score,@,Golden State Warriors,W,,112,93,15,11,W 3,,,,False,DET,1974
27,"Thu, Dec 6, 1973",,Box Score,@,Seattle SuperSonics,W,,110,108,16,11,W 4,,,,False,DET,1974
28,"Sat, Dec 8, 1973",,Box Score,,Portland Trail Blazers,W,,106,91,17,11,W 5,,,,False,DET,1974
29,"Sun, Dec 9, 1973",,Box Score,@,Kansas City-Omaha Kings,W,,86,80,18,11,W 6,,,"at Omaha, NE",False,DET,1974
30,"Wed, Dec 12, 1973",,Box Score,,Los Angeles Lakers,W,,114,96,19,11,W 7,,,,False,DET,1974
31,"Fri, Dec 14, 1973",,Box Score,,Philadelphia 76ers,L,,93,96,19,12,L 1,,,,False,DET,1974
32,"Sat, Dec 15, 1973",,Box Score,@,Philadelphia 76ers,W,,99,89,20,12,W 1,,,,False,DET,1974
33,"Sun, Dec 16, 1973",,Box Score,@,Kansas City-Omaha Kings,L,,104,105,20,13,L 1,,,,False,DET,1974
34,"Wed, Dec 19, 1973",,Box Score,,Chicago Bulls,W,,89,87,21,13,W 1,3733,1:56,,False,DET,1974
35,"Fri, Dec 21, 1973",,Box Score,,Golden State Warriors,W,,107,104,22,13,W 2,,,,False,DET,1974
36,"Sat, Dec 22, 1973",,Box Score,@,New York Knicks,L,,88,99,22,14,L 1,,,,False,DET,1974
37,"Wed, Dec 26, 1973",,Box Score,,New York Knicks,L,,91,96,22,15,L 2,,,,False,DET,1974
38,"Fri, Dec 28, 1973",,Box Score,,Capital Bullets,W,,102,93,23,15,W 1,,,,False,DET,1974
39,"Sat, Dec 29, 1973",,Box Score,@,Chicago Bulls,L,,103,108,23,16,L 1,,,,False,DET,1974
40,"Sun, Dec 30, 1973",,Box Score,@,Milwaukee Bucks,W,,98,91,24,16,W 1,,,,False,DET,1974
41,"Wed, Jan 2, 1974",,Box Score,,Milwaukee Bucks,W,,106,92,25,16,W 2,,,,False,DET,1974
42,"Fri, Jan 4, 1974",,Box Score,,Boston Celtics,W,,106,101,26,16,W 3,11335,,,False,DET,1974
43,"Sat, Jan 5, 1974",,Box Score,@,Capital Bullets,L,,90,93,26,17,L 1,,,,False,DET,1974
44,"Wed, Jan 9, 1974",,Box Score,,Los Angeles Lakers,W,,123,94,27,17,W 1,,,,False,DET,1974
45,"Fri, Jan 11, 1974",,Box Score,@,Cleveland Cavaliers,W,,106,96,28,17,W 2,,,,False,DET,1974
46,"Sat, Jan 12, 1974",,Box Score,,Cleveland Cavaliers,L,OT,112,117,28,18,L 1,,,,False,DET,1974
47,"Fri, Jan 18, 1974",,Box Score,,Chicago Bulls,W,,113,95,29,18,W 1,,,,False,DET,1974
48,"Sun, Jan 20, 1974",,Box Score,,Kansas City-Omaha Kings,W,,105,79,30,18,W 2,,,,False,DET,1974
49,"Wed, Jan 23, 1974",,Box Score,,Portland Trail Blazers,W,,121,95,31,18,W 3,,,,False,DET,1974
50,"Fri, Jan 25, 1974",,Box Score,,Houston Rockets,W,,93,89,32,18,W 4,,,,False,DET,1974
51,"Sat, Jan 26, 1974",,Box Score,,Seattle SuperSonics,W,,94,83,33,18,W 5,,,,False,DET,1974
52,"Sun, Jan 27, 1974",,Box Score,@,Chicago Bulls,L,,91,109,33,19,L 1,,,,False,DET,1974
53,"Wed, Jan 30, 1974",,Box Score,,Buffalo Braves,W,,111,96,34,19,W 1,,,,False,DET,1974
54,"Fri, Feb 1, 1974",,Box Score,,New York Knicks,W,,96,91,35,19,W 2,,,,False,DET,1974
55,"Sun, Feb 3, 1974",,Box Score,@,Seattle SuperSonics,W,,114,100,36,19,W 3,,,,False,DET,1974
56,"Tue, Feb 5, 1974",,Box Score,@,Portland Trail Blazers,W,,104,102,37,19,W 4,,,,False,DET,1974
57,"Thu, Feb 7, 1974",,Box Score,@,Golden State Warriors,W,,110,86,38,19,W 5,,,,False,DET,1974
58,"Fri, Feb 8, 1974",,Box Score,@,Phoenix Suns,W,,99,94,39,19,W 6,,,,False,DET,1974
59,"Tue, Feb 12, 1974",,Box Score,,Kansas City-Omaha Kings,W,,113,106,40,19,W 7,,,,False,DET,1974
60,"Thu, Feb 14, 1974",,Box Score,,Milwaukee Bucks,L,,99,102,40,20,L 1,,,,False,DET,1974
61,"Fri, Feb 15, 1974",,Box Score,@,Buffalo Braves,L,,116,118,40,21,L 2,,,,False,DET,1974
62,"Sun, Feb 17, 1974",,Box Score,@,Philadelphia 76ers,W,,118,107,41,21,W 1,,,,False,DET,1974
63,"Tue, Feb 19, 1974",,Box Score,@,Boston Celtics,L,,97,107,41,22,L 1,12212,,,False,DET,1974
64,"Wed, Feb 20, 1974",,Box Score,,Los Angeles Lakers,W,,112,110,42,22,W 1,,,,False,DET,1974
65,"Fri, Feb 22, 1974",,Box Score,,Capital Bullets,W,,84,83,43,22,W 2,,,,False,DET,1974
66,"Sat, Feb 23, 1974",,Box Score,,Phoenix Suns,W,,119,107,44,22,W 3,,,,False,DET,1974
67,"Sun, Feb 24, 1974",,Box Score,@,Capital Bullets,L,,84,94,44,23,L 1,,,,False,DET,1974
68,"Tue, Feb 26, 1974",,Box Score,,Boston Celtics,L,,83,86,44,24,L 2,9926,,,False,DET,1974
69,"Thu, Feb 28, 1974",,Box Score,@,Milwaukee Bucks,L,,90,113,44,25,L 3,,,,False,DET,1974
70,"Fri, Mar 1, 1974",,Box Score,,Seattle SuperSonics,L,,103,105,44,26,L 4,,,,False,DET,1974
71,"Sun, Mar 3, 1974",,Box Score,@,Portland Trail Blazers,W,,99,95,45,26,W 1,,,,False,DET,1974
72,"Tue, Mar 5, 1974",,Box Score,@,Golden State Warriors,W,,95,93,46,26,W 2,,,,False,DET,1974
73,"Fri, Mar 8, 1974",,Box Score,@,Los Angeles Lakers,L,,113,129,46,27,L 1,,,,False,DET,1974
74,"Sun, Mar 10, 1974",,Box Score,@,Atlanta Hawks,W,,116,111,47,27,W 1,,,,False,DET,1974
75,"Mon, Mar 11, 1974",,Box Score,,Golden State Warriors,L,,108,120,47,28,L 1,,,,False,DET,1974
76,"Tue, Mar 12, 1974",,Box Score,,Golden State Warriors,W,,113,108,48,28,W 1,,,,False,DET,1974
77,"Fri, Mar 15, 1974",,Box Score,,Milwaukee Bucks,W,,93,89,49,28,W 2,,,,False,DET,1974
78,"Sun, Mar 17, 1974",,Box Score,,Buffalo Braves,W,,116,109,50,28,W 3,,,,False,DET,1974
79,"Wed, Mar 20, 1974",,Box Score,,Houston Rockets,W,,103,99,51,28,W 4,,,,False,DET,1974
80,"Fri, Mar 22, 1974",,Box Score,@,Kansas City-Omaha Kings,L,,105,107,51,29,L 1,,,,False,DET,1974
81,"Sat, Mar 23, 1974",,Box Score,,Philadelphia 76ers,L,,89,97,51,30,L 2,,,,False,DET,1974
82,"Tue, Mar 26, 1974",,Box Score,,Atlanta Hawks,W,,109,108,52,30,W 1,,,,False,DET,1974
1,"Sat, Mar 30, 1974",,Box Score,@,Chicago Bulls,W,,97,88,1,0,W 1,,,,True,DET,1974
2,"Mon, Apr 1, 1974",,Box Score,,Chicago Bulls,L,,103,108,1,1,L 1,,,,True,DET,1974
3,"Fri, Apr 5, 1974",,Box Score,@,Chicago Bulls,L,,83,84,1,2,L 2,,,,True,DET,1974
4,"Sun, Apr 7, 1974",,Box Score,,Chicago Bulls,W,,102,87,2,2,W 1,,,,True,DET,1974
5,"Tue, Apr 9, 1974",,Box Score,@,Chicago Bulls,L,,94,98,2,3,L 1,,,,True,DET,1974
6,"Thu, Apr 11, 1974",,Box Score,,Chicago Bulls,W,,92,88,3,3,W 1,,,,True,DET,1974
7,"Sat, Apr 13, 1974",,Box Score,@,Chicago Bulls,L,,94,96,3,4,L 1,,,,True,DET,1974
