G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,is_playoff,Unnamed: 2,Unnamed: 6,team,season
1,"Fri, Oct 25, 1985",,,Box Score,,Milwaukee Bucks,W,,118,116,1,0,W 1,24353,2:25,,False,,,DET,1986
2,"Sat, Oct 26, 1985",,,Box Score,@,Chicago Bulls,L,,118,121,1,1,L 1,15137,2:23,,False,,,DET,1986
3,"Tue, Oct 29, 1985",,,Box Score,,New Jersey Nets,W,,124,107,2,1,W 1,8430,2:26,,False,,,DET,1986
4,"Wed, Oct 30, 1985",,,Box Score,@,Philadelphia 76ers,L,OT,125,132,2,2,L 1,8925,2:33,,False,,,DET,1986
5,"Fri, Nov 1, 1985",,,Box Score,,Indiana Pacers,W,,124,116,3,2,W 1,10464,2:16,,False,,,DET,1986
6,"Sat, Nov 2, 1985",,,Box Score,@,Indiana Pacers,W,,128,117,4,2,W 2,16904,2:01,,False,,,DET,1986
7,"Wed, Nov 6, 1985",,,Box Score,,Chicago Bulls,W,,122,105,5,2,W 3,13156,2:08,,False,,,DET,1986
8,"Fri, Nov 8, 1985",,,Box Score,@,Washington Bullets,W,,117,110,6,2,W 4,10311,2:07,,False,,,DET,1986
9,"Sat, Nov 9, 1985",,,Box Score,,Boston Celtics,L,,105,124,6,3,L 1,25148,2:16,,False,,,DET,1986
10,"Tue, Nov 12, 1985",,,Box Score,,Washington Bullets,W,OT,124,122,7,3,W 1,9379,2:34,,False,,,DET,1986
11,"Wed, Nov 13, 1985",,,Box Score,@,Milwaukee Bucks,L,,118,137,7,4,L 1,10395,2:03,,False,,,DET,1986
12,"Fri, Nov 15, 1985",,,Box Score,@,Atlanta Hawks,L,,118,122,7,5,L 2,12024,2:16,,False,,,DET,1986
13,"Wed, Nov 20, 1985",,,Box Score,,New York Knicks,W,,109,98,8,5,W 1,15451,2:05,,False,,,DET,1986
14,"Fri, Nov 22, 1985",,,Box Score,,Golden State Warriors,W,,115,96,9,5,W 2,14560,1:51,,False,,,DET,1986
15,"Sat, Nov 23, 1985",,,Box Score,@,Philadelphia 76ers,W,,119,114,10,5,W 3,9225,2:05,,False,,,DET,1986
16,"Tue, Nov 26, 1985",,,Box Score,,Cleveland Cavaliers,W,,113,98,11,5,W 4,8608,1:52,,False,,,DET,1986
17,"Wed, Nov 27, 1985",,,Box Score,@,Boston Celtics,L,,124,132,11,6,L 1,14890,2:06,,False,,,DET,1986
18,"Fri, Nov 29, 1985",,,Box Score,,Milwaukee Bucks,W,,111,102,12,6,W 1,26756,2:16,,False,,,DET,1986
19,"Sat, Nov 30, 1985",,,Box Score,@,Washington Bullets,L,,119,133,12,7,L 1,7836,1:55,,False,,,DET,1986
20,"Tue, Dec 3, 1985",,,Box Score,,Philadelphia 76ers,L,,107,127,12,8,L 2,12502,1:59,,False,,,DET,1986
21,"Thu, Dec 5, 1985",,,Box Score,,New Jersey Nets,W,,113,111,13,8,W 1,8248,2:11,,False,,,DET,1986
22,"Sat, Dec 7, 1985",,,Box Score,,Sacramento Kings,L,,112,122,13,9,L 1,12467,2:10,,False,,,DET,1986
23,"Tue, Dec 10, 1985",,,Box Score,@,Cleveland Cavaliers,W,,130,120,14,9,W 1,6789,2:10,,False,,,DET,1986
24,"Wed, Dec 11, 1985",,,Box Score,,Washington Bullets,L,,100,108,14,10,L 1,8314,2:04,,False,,,DET,1986
25,"Fri, Dec 13, 1985",,,Box Score,,San Antonio Spurs,L,,113,119,14,11,L 2,11142,2:17,,False,,,DET,1986
26,"Sun, Dec 15, 1985",,,Box Score,@,Los Angeles Lakers,L,,119,132,14,12,L 3,17505,2:06,,False,,,DET,1986
27,"Tue, Dec 17, 1985",,,Box Score,@,Sacramento Kings,L,,121,132,14,13,L 4,10333,2:14,,False,,,DET,1986
28,"Thu, Dec 19, 1985",,,Box Score,@,Seattle SuperSonics,W,,99,97,15,13,W 1,5713,1:59,,False,,,DET,1986
29,"Sat, Dec 21, 1985",,,Box Score,@,New York Knicks,L,,110,112,15,14,L 1,13655,2:12,,False,,,DET,1986
30,"Thu, Dec 26, 1985",7:42p,,Box Score,@,New Jersey Nets,L,,116,124,15,15,L 2,10863,2:06,,False,,,DET,1986
