G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,is_playoff,team,season
1,"Tue, Nov 2, 2004",8:00p,,Box Score,,Houston Rockets,W,,87,79,1,0,W 1,22076,,,False,DET,2005
2,"Fri, Nov 5, 2004",7:00p,,Box Score,@,Toronto Raptors,L,,89,101,1,1,L 1,15284,,,False,DET,2005
3,"Sat, Nov 6, 2004",7:30p,,Box Score,,Philadelphia 76ers,W,,99,91,2,1,W 1,22076,,,False,DET,2005
4,"Mon, Nov 8, 2004",10:30p,,Box Score,@,Los Angeles Clippers,W,2OT,99,96,3,1,W 2,15866,,,False,DET,2005
5,"Thu, Nov 11, 2004",10:30p,,Box Score,@,Denver Nuggets,L,,109,117,3,2,L 1,18711,,,False,DET,2005
6,"Sat, Nov 13, 2004",9:00p,,Box Score,@,Utah Jazz,L,,93,108,3,3,L 2,19911,,,False,DET,2005
7,"Wed, Nov 17, 2004",7:30p,,Box Score,,Minnesota Timberwolves,W,,93,85,4,3,W 1,22076,,,False,DET,2005
8,"Fri, Nov 19, 2004",8:00p,,Box Score,,Indiana Pacers,L,,82,97,4,4,L 1,22076,,Malice at the Palace,False,DET,2005
9,"Sun, Nov 21, 2004",6:00p,,Box Score,,Charlotte Bobcats,W,2OT,117,116,5,4,W 1,22076,,,False,DET,2005
10,"Tue, Nov 23, 2004",7:00p,,Box Score,@,Charlotte Bobcats,L,,89,91,5,5,L 1,13394,,,False,DET,2005
11,"Wed, Nov 24, 2004",7:00p,,Box Score,@,Cleveland Cavaliers,L,,76,92,5,6,L 2,19192,,,False,DET,2005
12,"Fri, Nov 26, 2004",8:00p,,Box Score,,Miami Heat,W,,78,77,6,6,W 1,22076,,,False,DET,2005
13,"Sat, Nov 27, 2004",9:00p,,Box Score,@,Milwaukee Bucks,L,,90,96,6,7,L 1,16824,,,False,DET,2005
14,"Tue, Nov 30, 2004",8:30p,,Box Score,@,Houston Rockets,W,,93,72,7,7,W 1,15330,,,False,DET,2005
15,"Fri, Dec 3, 2004",8:00p,,Box Score,@,San Antonio Spurs,L,,77,80,7,8,L 1,18797,,,False,DET,2005
16,"Sat, Dec 4, 2004",8:00p,,Box Score,@,New Orleans Hornets,W,,92,69,8,8,W 1,14910,,,False,DET,2005
17,"Mon, Dec 6, 2004",8:30p,,Box Score,@,Dallas Mavericks,W,,101,85,9,8,W 2,19576,,,False,DET,2005
18,"Wed, Dec 8, 2004",7:30p,,Box Score,,Toronto Raptors,W,OT,90,86,10,8,W 3,22076,,,False,DET,2005
19,"Fri, Dec 10, 2004",8:00p,,Box Score,,Atlanta Hawks,L,,72,88,10,9,L 1,22076,,,False,DET,2005
20,"Sat, Dec 11, 2004",8:00p,,Box Score,@,Memphis Grizzlies,L,,68,72,10,10,L 2,18119,,,False,DET,2005
21,"Wed, Dec 15, 2004",8:00p,,Box Score,@,New York Knicks,W,,94,93,11,10,W 1,19763,,,False,DET,2005
22,"Thu, Dec 16, 2004",8:00p,,Box Score,,Cleveland Cavaliers,W,,81,69,12,10,W 2,22076,,,False,DET,2005
23,"Sat, Dec 18, 2004",7:30p,,Box Score,,Portland Trail Blazers,L,,74,75,12,11,L 1,22076,,,False,DET,2005
24,"Wed, Dec 22, 2004",7:30p,,Box Score,,Chicago Bulls,L,,82,89,12,12,L 2,22076,,,False,DET,2005
25,"Sat, Dec 25, 2004",12:30p,,Box Score,@,Indiana Pacers,W,,98,93,13,12,W 1,18345,,,False,DET,2005
26,"Mon, Dec 27, 2004",7:30p,,Box Score,,New Jersey Nets,W,OT,100,90,14,12,W 2,22076,,,False,DET,2005
27,"Wed, Dec 29, 2004",7:00p,,Box Score,@,Washington Wizards,W,,107,105,15,12,W 3,20173,,,False,DET,2005
28,"Thu, Dec 30, 2004",8:00p,,Box Score,,Miami Heat,L,,78,89,15,13,L 1,22076,,,False,DET,2005
29,"Sun, Jan 2, 2005",6:00p,,Box Score,,Boston Celtics,W,,100,88,16,13,W 1,22076,2:12,,False,DET,2005
30,"Mon, Jan 3, 2005",8:30p,,Box Score,@,Chicago Bulls,W,,87,80,17,13,W 2,18523,,,False,DET,2005
31,"Thu, Jan 6, 2005",7:30p,,Box Score,,Memphis Grizzlies,L,,79,101,17,14,L 1,22076,,,False,DET,2005
32,"Fri, Jan 7, 2005",7:30p,,Box Score,@,Boston Celtics,W,,110,104,18,14,W 1,18624,2:19,,False,DET,2005
33,"Tue, Jan 11, 2005",7:30p,,Box Score,@,New Jersey Nets,W,,89,80,19,14,W 2,15755,,,False,DET,2005
34,"Wed, Jan 12, 2005",7:30p,,Box Score,,New Orleans Hornets,W,,90,76,20,14,W 3,22076,,,False,DET,2005
35,"Fri, Jan 14, 2005",8:00p,,Box Score,,Orlando Magic,W,,101,94,21,14,W 4,22076,,,False,DET,2005
36,"Sat, Jan 15, 2005",7:30p,,Box Score,,Philadelphia 76ers,W,,99,95,22,14,W 5,22076,,,False,DET,2005
37,"Mon, Jan 17, 2005",3:30p,,Box Score,,Phoenix Suns,W,,94,80,23,14,W 6,22076,,,False,DET,2005
38,"Tue, Jan 18, 2005",7:00p,,Box Score,@,Orlando Magic,L,,101,103,23,15,L 1,14367,,,False,DET,2005
