G,Date,Unnamed: 2,Unnamed: 3,Unnamed: 4,Opponent,Unnamed: 6,Unnamed: 7,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,is_playoff,team,season
1,"Sat, Oct 29, 1949",,Box Score,@,Tri-Cities Blackhawks,L,,85,93,0,1,L 1,,,,False,DNN,1950
2,"Tue, Nov 1, 1949",,Box Score,@,Indianapolis Olympians,L,,64,71,0,2,L 2,,,,False,DNN,1950
3,"Thu, Nov 3, 1949",,Box Score,@,Syracuse Nationals,L,,58,78,0,3,L 3,,,,False,DNN,1950
4,"Sat, Nov 5, 1949",,Box Score,N,Syracuse Nationals,L,,51,84,0,4,L 4,,,"at Auburn, NY",False,DNN,1950
5,"Wed, Nov 9, 1949",,Box Score,@,Waterloo Hawks,L,,65,80,0,5,L 5,,,,False,DNN,1950
6,"Thu, Nov 10, 1949",,Box Score,N,Chicago Stags,L,,53,64,0,6,L 6,,,"at St. Louis, MO",False,DNN,1950
7,"Sat, Nov 12, 1949",,Box Score,N,Philadelphia Warriors,L,,63,81,0,7,L 7,,,"at Indianapolis, IN",False,DNN,1950
8,"Sun, Nov 13, 1949",,Box Score,@,Fort Wayne Pistons,L,,71,90,0,8,L 8,,,,False,DNN,1950
9,"Wed, Nov 16, 1949",,Box Score,@,Washington Capitols,L,,90,99,0,9,L 9,,,,False,DNN,1950
10,"Thu, Nov 17, 1949",,Box Score,@,Baltimore Bullets,L,,71,86,0,10,L 10,,,,False,DNN,1950
11,"Fri, Nov 18, 1949",,Box Score,N,New York Knicks,L,,78,85,0,11,L 11,,,"at Philadelphia, PA",False,DNN,1950
12,"Sat, Nov 19, 1949",,Box Score,@,Rochester Royals,L,,64,96,0,12,L 12,,,,False,DNN,1950
13,"Sun, Nov 20, 1949",,Box Score,@,Syracuse Nationals,L,,76,102,0,13,L 13,,,,False,DNN,1950
14,"Mon, Nov 21, 1949",,Box Score,N,Syracuse Nationals,L,,67,77,0,14,L 14,,,"at Oneida, NY",False,DNN,1950
15,"Fri, Nov 25, 1949",,Box Score,,Minneapolis Lakers,L,,81,101,0,15,L 15,,,,False,DNN,1950
16,"Sun, Nov 27, 1949",,Box Score,,Baltimore Bullets,W,,68,61,1,15,W 1,,,,False,DNN,1950
17,"Tue, Nov 29, 1949",,Box Score,,Philadelphia Warriors,L,,56,57,1,16,L 1,,,,False,DNN,1950
18,"Fri, Dec 2, 1949",,Box Score,,Waterloo Hawks,W,,74,63,2,16,W 1,,,,False,DNN,1950
19,"Sun, Dec 4, 1949",,Box Score,,Waterloo Hawks,W,,86,76,3,16,W 2,,,,False,DNN,1950
20,"Wed, Dec 7, 1949",,Box Score,,St. Louis Bombers,L,,72,76,3,17,L 1,,,,False,DNN,1950
21,"Fri, Dec 9, 1949",,Box Score,@,Indianapolis Olympians,L,,75,78,3,18,L 2,,,,False,DNN,1950
22,"Sat, Dec 10, 1949",,Box Score,N,Minneapolis Lakers,L,,76,89,3,19,L 3,,,"at Rochester, MN",False,DNN,1950
23,"Sun, Dec 11, 1949",,Box Score,@,Tri-Cities Blackhawks,L,,66,98,3,20,L 4,,,,False,DNN,1950
24,"Tue, Dec 13, 1949",,Box Score,,Rochester Royals,L,,65,81,3,21,L 5,,,,False,DNN,1950
25,"Fri, Dec 16, 1949",,Box Score,,Indianapolis Olympians,L,,79,81,3,22,L 6,,,,False,DNN,1950
26,"Sun, Dec 18, 1949",,Box Score,,Indianapolis Olympians,L,,79,83,3,23,L 7,,,,False,DNN,1950
27,"Fri, Dec 23, 1949",,Box Score,,New York Knicks,L,,72,83,3,24,L 8,,,,False,DNN,1950
28,"Sun, Dec 25, 1949",,Box Score,,Sheboygan Red Skins,L,,72,76,3,25,L 9,,,,False,DNN,1950
29,"Fri, Dec 30, 1949",,Box Score,,Tri-Cities Blackhawks,L,,83,85,3,26,L 10,,,,False,DNN,1950
30,"Sun, Jan 1, 1950",,Box Score,,Chicago Stags,L,,78,92,3,27,L 11,,,,False,DNN,1950
31,"Wed, Jan 4, 1950",,Box Score,,Anderson Packers,W,,86,82,4,27,W 1,,,,False,DNN,1950
32,"Thu, Jan 5, 1950",,Box Score,,Anderson Packers,W,,76,69,5,27,W 2,,,,False,DNN,1950
33,"Tue, Jan 10, 1950",,Box Score,,Boston Celtics,L,,84,97,5,28,L 1,3371,,,False,DNN,1950
34,"Thu, Jan 12, 1950",,Box Score,@,Sheboygan Red Skins,L,,92,115,5,29,L 2,,,,False,DNN,1950
