G,Date,Unnamed: 2,Unnamed: 3,Unnamed: 4,Opponent,Unnamed: 6,Unnamed: 7,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,is_playoff,team,season
1,"Fri, Oct 10, 1980",,Box Score,@,Phoenix Suns,L,,101,121,0,1,L 1,11590,,,False,GSW,1981
2,"Sat, Oct 11, 1980",,Box Score,,San Diego Clippers,W,,104,91,1,1,W 1,8024,,,False,GSW,1981
3,"Wed, Oct 15, 1980",,Box Score,,Portland Trail Blazers,W,,95,92,2,1,W 2,6855,,,False,GSW,1981
4,"Sat, Oct 18, 1980",,Box Score,,Houston Rockets,W,,108,101,3,1,W 3,7696,,,False,GSW,1981
5,"Sun, Oct 19, 1980",,Box Score,@,Los Angeles Lakers,L,,107,125,3,2,L 1,10644,,,False,GSW,1981
6,"Tue, Oct 21, 1980",,Box Score,@,Kansas City Kings,W,,116,111,4,2,W 1,5097,,,False,GSW,1981
7,"Thu, Oct 23, 1980",,Box Score,@,San Antonio Spurs,L,,109,128,4,3,L 1,11531,,,False,GSW,1981
8,"Sat, Oct 25, 1980",,Box Score,,Dallas Mavericks,W,,86,79,5,3,W 1,6570,,,False,GSW,1981
9,"Tue, Oct 28, 1980",,Box Score,@,Seattle SuperSonics,L,,102,119,5,4,L 1,12221,,,False,GSW,1981
10,"Wed, Oct 29, 1980",,Box Score,,Denver Nuggets,W,,115,109,6,4,W 1,7305,,,False,GSW,1981
11,"Fri, Oct 31, 1980",,Box Score,@,San Diego Clippers,L,,104,120,6,5,L 1,4030,,,False,GSW,1981
12,"Sat, Nov 1, 1980",,Box Score,,San Antonio Spurs,W,,123,108,7,5,W 1,10015,,,False,GSW,1981
13,"Wed, Nov 5, 1980",,Box Score,,Cleveland Cavaliers,W,,106,98,8,5,W 2,7654,,,False,GSW,1981
14,"Fri, Nov 7, 1980",,Box Score,@,Portland Trail Blazers,L,,113,122,8,6,L 1,12666,,,False,GSW,1981
15,"Sat, Nov 8, 1980",,Box Score,,Indiana Pacers,W,,118,111,9,6,W 1,6947,,,False,GSW,1981
16,"Wed, Nov 12, 1980",,Box Score,,Kansas City Kings,W,,111,101,10,6,W 2,9572,,,False,GSW,1981
17,"Sat, Nov 15, 1980",,Box Score,,Phoenix Suns,W,,119,108,11,6,W 3,13237,,,False,GSW,1981
18,"Tue, Nov 18, 1980",,Box Score,@,Washington Bullets,W,,103,97,12,6,W 4,6428,,,False,GSW,1981
19,"Wed, Nov 19, 1980",,Box Score,@,Philadelphia 76ers,L,,101,110,12,7,L 1,8167,,,False,GSW,1981
20,"Fri, Nov 21, 1980",,Box Score,@,Boston Celtics,L,,106,108,12,8,L 2,15320,2:07,,False,GSW,1981
21,"Sat, Nov 22, 1980",,Box Score,@,New York Knicks,W,,116,110,13,8,W 1,14759,,,False,GSW,1981
22,"Thu, Nov 27, 1980",,Box Score,,Los Angeles Lakers,L,,119,128,13,9,L 1,12564,,,False,GSW,1981
23,"Sat, Nov 29, 1980",,Box Score,,Phoenix Suns,L,,108,113,13,10,L 2,10981,,,False,GSW,1981
24,"Sun, Nov 30, 1980",,Box Score,@,San Diego Clippers,L,,100,120,13,11,L 3,4025,,,False,GSW,1981
25,"Wed, Dec 3, 1980",,Box Score,,New Jersey Nets,W,,131,108,14,11,W 1,6870,,,False,GSW,1981
26,"Fri, Dec 5, 1980",,Box Score,@,Denver Nuggets,W,,119,114,15,11,W 2,7737,,,False,GSW,1981
