G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,is_playoff,Unnamed: 2,Unnamed: 6,team,season
1,"Fri, Oct 31, 1986",,,Box Score,@,Phoenix Suns,L,,123,127,0,1,L 1,11615,,,False,,,GSW,1987
2,"Sat, Nov 1, 1986",,,Box Score,,Denver Nuggets,W,,131,109,1,1,W 1,10584,,,False,,,GSW,1987
3,"Mon, Nov 3, 1986",,,Box Score,,New York Knicks,W,,104,95,2,1,W 2,9016,,,False,,,GSW,1987
4,"Wed, Nov 5, 1986",,,Box Score,,Portland Trail Blazers,W,,102,92,3,1,W 3,7717,,,False,,,GSW,1987
5,"Fri, Nov 7, 1986",,,Box Score,,Cleveland Cavaliers,L,,114,115,3,2,L 1,9436,,,False,,,GSW,1987
6,"Tue, Nov 11, 1986",,,Box Score,@,Portland Trail Blazers,L,,108,126,3,3,L 2,12666,,,False,,,GSW,1987
7,"Thu, Nov 13, 1986",,,Box Score,,Philadelphia 76ers,W,,112,104,4,3,W 1,15025,,,False,,,GSW,1987
8,"Sat, Nov 15, 1986",,,Box Score,,Seattle SuperSonics,L,,121,127,4,4,L 1,7655,,,False,,,GSW,1987
9,"Tue, Nov 18, 1986",,,Box Score,@,Milwaukee Bucks,L,,85,111,4,5,L 2,10585,,,False,,,GSW,1987
10,"Wed, Nov 19, 1986",,,Box Score,@,Cleveland Cavaliers,W,,112,104,5,5,W 1,8113,,,False,,,GSW,1987
11,"Fri, Nov 21, 1986",,,Box Score,@,Boston Celtics,L,,120,135,5,6,L 1,14890,2:04,,False,,,GSW,1987
12,"Sat, Nov 22, 1986",,,Box Score,@,New York Knicks,W,,97,93,6,6,W 1,12688,,,False,,,GSW,1987
13,"Tue, Nov 25, 1986",,,Box Score,,Utah Jazz,W,,111,106,7,6,W 2,7594,2:06,,False,,,GSW,1987
14,"Fri, Nov 28, 1986",,,Box Score,@,Sacramento Kings,W,,103,97,8,6,W 3,10333,,,False,,,GSW,1987
15,"Sat, Nov 29, 1986",,,Box Score,,Chicago Bulls,W,,113,106,9,6,W 4,15025,,,False,,,GSW,1987
16,"Tue, Dec 2, 1986",,,Box Score,,Houston Rockets,W,,104,99,10,6,W 5,9657,,,False,,,GSW,1987
17,"Thu, Dec 4, 1986",,,Box Score,,Los Angeles Lakers,W,,116,106,11,6,W 6,15025,,,False,,,GSW,1987
18,"Sat, Dec 6, 1986",,,Box Score,,Dallas Mavericks,L,,104,109,11,7,L 1,11509,,,False,,,GSW,1987
19,"Sun, Dec 7, 1986",,,Box Score,@,Los Angeles Lakers,L,,100,132,11,8,L 2,14937,,,False,,,GSW,1987
20,"Tue, Dec 9, 1986",,,Box Score,,Phoenix Suns,L,,94,109,11,9,L 3,7059,,,False,,,GSW,1987
21,"Thu, Dec 11, 1986",,,Box Score,@,Houston Rockets,W,,111,104,12,9,W 1,15853,,,False,,,GSW,1987
22,"Sat, Dec 13, 1986",,,Box Score,@,San Antonio Spurs,W,,117,102,13,9,W 2,6486,,,False,,,GSW,1987
23,"Tue, Dec 16, 1986",,,Box Score,@,Los Angeles Clippers,W,,119,117,14,9,W 3,6813,,,False,,,GSW,1987
24,"Thu, Dec 18, 1986",,,Box Score,,Washington Bullets,L,,110,128,14,10,L 1,11819,,,False,,,GSW,1987
25,"Sat, Dec 20, 1986",,,Box Score,@,Denver Nuggets,L,,112,128,14,11,L 2,10498,,,False,,,GSW,1987
26,"Sun, Dec 21, 1986",,,Box Score,@,Seattle SuperSonics,W,,121,112,15,11,W 1,5228,,,False,,,GSW,1987
27,"Tue, Dec 23, 1986",,,Box Score,,Portland Trail Blazers,W,,112,111,16,11,W 2,9402,,,False,,,GSW,1987
28,"Fri, Dec 26, 1986",,,Box Score,@,Detroit Pistons,L,,106,121,16,12,L 1,18478,,,False,,,GSW,1987
29,"Sat, Dec 27, 1986",,,Box Score,@,Atlanta Hawks,L,,108,119,16,13,L 2,16074,,,False,,,GSW,1987
30,"Mon, Dec 29, 1986",,,Box Score,@,Washington Bullets,L,,105,125,16,14,L 3,8053,,,False,,,GSW,1987
31,"Tue, Dec 30, 1986",,,Box Score,@,Chicago Bulls,W,,102,99,17,14,W 1,15317,,,False,,,GSW,1987
32,"Fri, Jan 2, 1987",,,Box Score,,Sacramento Kings,W,,115,109,18,14,W 2,11726,,,False,,,GSW,1987
33,"Sun, Jan 4, 1987",,,Box Score,,Phoenix Suns,L,,101,104,18,15,L 1,6266,,,False,,,GSW,1987
34,"Tue, Jan 6, 1987",,,Box Score,,Houston Rockets,W,,118,100,19,15,W 1,10431,,,False,,,GSW,1987
35,"Thu, Jan 8, 1987",,,Box Score,,Seattle SuperSonics,L,,108,115,19,16,L 1,7790,,,False,,,GSW,1987
36,"Sat, Jan 10, 1987",,,Box Score,,Los Angeles Lakers,W,,124,109,20,16,W 1,15025,,,False,,,GSW,1987
37,"Tue, Jan 13, 1987",,,Box Score,,San Antonio Spurs,W,,111,109,21,16,W 2,8546,,,False,,,GSW,1987
38,"Thu, Jan 15, 1987",,,Box Score,@,Los Angeles Lakers,L,,109,129,21,17,L 1,17505,,,False,,,GSW,1987
39,"Fri, Jan 16, 1987",,,Box Score,,Los Angeles Clippers,W,,118,106,22,17,W 1,7831,,,False,,,GSW,1987
40,"Sun, Jan 18, 1987",,,Box Score,@,Portland Trail Blazers,W,,116,103,23,17,W 2,12666,,,False,,,GSW,1987
41,"Tue, Jan 20, 1987",,,Box Score,@,Sacramento Kings,L,,114,123,23,18,L 1,10333,,,False,,,GSW,1987
42,"Wed, Jan 21, 1987",,,Box Score,@,Denver Nuggets,L,,112,129,23,19,L 2,8842,,,False,,,GSW,1987
43,"Fri, Jan 23, 1987",,,Box Score,@,Utah Jazz,L,,100,123,23,20,L 3,12212,2:18,,False,,,GSW,1987
44,"Tue, Jan 27, 1987",,,Box Score,,Milwaukee Bucks,L,,115,119,23,21,L 4,12215,,,False,,,GSW,1987
45,"Wed, Jan 28, 1987",,,Box Score,@,Phoenix Suns,L,,104,131,23,22,L 5,9939,,,False,,,GSW,1987
46,"Fri, Jan 30, 1987",,,Box Score,,Seattle SuperSonics,W,,127,119,24,22,W 1,9276,,,False,,,GSW,1987
47,"Sun, Feb 1, 1987",,,Box Score,,New Jersey Nets,W,4OT,150,147,25,22,W 2,9395,,,False,,,GSW,1987
