G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,is_playoff,team,season
1,"Wed, Oct 28, 2009",10:30p,,Box Score,,Houston Rockets,L,,107,108,0,1,L 1,19596,2:15,,False,GSW,2010
2,"Fri, Oct 30, 2009",10:00p,,Box Score,@,Phoenix Suns,L,,101,123,0,2,L 2,18422,2:20,,False,GSW,2010
3,"Wed, Nov 4, 2009",10:30p,,Box Score,,Memphis Grizzlies,W,,113,105,1,2,W 1,17457,2:15,,False,GSW,2010
4,"Fri, Nov 6, 2009",10:30p,,Box Score,,Los Angeles Clippers,L,,90,118,1,3,L 1,18788,2:34,,False,GSW,2010
5,"Sun, Nov 8, 2009",9:00p,,Box Score,@,Sacramento Kings,L,,107,120,1,4,L 2,10760,2:15,,False,GSW,2010
6,"Mon, Nov 9, 2009",10:30p,,Box Score,,Minnesota Timberwolves,W,,146,105,2,4,W 1,15468,2:16,,False,GSW,2010
7,"Wed, Nov 11, 2009",7:00p,,Box Score,@,Indiana Pacers,L,,94,108,2,5,L 1,10682,2:16,,False,GSW,2010
8,"Fri, Nov 13, 2009",7:30p,,Box Score,@,New York Knicks,W,,121,107,3,5,W 1,19763,2:11,,False,GSW,2010
9,"Sat, Nov 14, 2009",8:30p,,Box Score,@,Milwaukee Bucks,L,,125,129,3,6,L 1,14978,2:19,,False,GSW,2010
10,"Tue, Nov 17, 2009",7:00p,,Box Score,@,Cleveland Cavaliers,L,,108,114,3,7,L 2,20562,2:12,,False,GSW,2010
11,"Wed, Nov 18, 2009",7:30p,,Box Score,@,Boston Celtics,L,,95,109,3,8,L 3,18624,2:18,,False,GSW,2010
12,"Fri, Nov 20, 2009",10:30p,,Box Score,,Portland Trail Blazers,W,,108,94,4,8,W 1,18630,2:19,,False,GSW,2010
13,"Tue, Nov 24, 2009",8:30p,,Box Score,@,Dallas Mavericks,W,,111,103,5,8,W 2,20008,2:16,,False,GSW,2010
14,"Wed, Nov 25, 2009",8:30p,,Box Score,@,San Antonio Spurs,L,,104,118,5,9,L 1,17606,2:18,,False,GSW,2010
15,"Sat, Nov 28, 2009",10:30p,,Box Score,,Los Angeles Lakers,L,,97,130,5,10,L 2,20001,2:08,,False,GSW,2010
16,"Mon, Nov 30, 2009",10:30p,,Box Score,,Indiana Pacers,W,,126,107,6,10,W 1,16574,2:20,,False,GSW,2010
17,"Tue, Dec 1, 2009",9:00p,,Box Score,@,Denver Nuggets,L,,107,135,6,11,L 1,14570,2:15,,False,GSW,2010
18,"Thu, Dec 3, 2009",10:30p,,Box Score,,Houston Rockets,L,,109,111,6,12,L 2,16432,2:19,,False,GSW,2010
19,"Sat, Dec 5, 2009",10:30p,,Box Score,,Orlando Magic,L,,118,126,6,13,L 3,19054,2:30,,False,GSW,2010
20,"Mon, Dec 7, 2009",8:00p,,Box Score,@,Oklahoma City Thunder,L,,88,104,6,14,L 4,17334,2:16,,False,GSW,2010
21,"Wed, Dec 9, 2009",7:30p,,Box Score,@,New Jersey Nets,W,,105,89,7,14,W 1,10005,2:12,,False,GSW,2010
22,"Fri, Dec 11, 2009",8:00p,,Box Score,@,Chicago Bulls,L,OT,91,96,7,15,L 1,18803,2:23,,False,GSW,2010
23,"Sat, Dec 12, 2009",7:30p,,Box Score,@,Detroit Pistons,L,,95,104,7,16,L 2,16952,2:33,,False,GSW,2010
24,"Mon, Dec 14, 2009",7:00p,,Box Score,@,Philadelphia 76ers,L,,101,117,7,17,L 3,12795,2:17,,False,GSW,2010
25,"Wed, Dec 16, 2009",10:30p,,Box Score,,San Antonio Spurs,L,,91,103,7,18,L 4,17857,2:10,,False,GSW,2010
26,"Fri, Dec 18, 2009",10:30p,,Box Score,,Washington Wizards,L,,109,118,7,19,L 5,17423,2:33,,False,GSW,2010
27,"Tue, Dec 22, 2009",8:00p,,Box Score,@,Memphis Grizzlies,L,,108,121,7,20,L 6,12827,2:21,,False,GSW,2010
28,"Wed, Dec 23, 2009",8:00p,,Box Score,@,New Orleans Hornets,L,,102,108,7,21,L 7,14391,2:23,,False,GSW,2010
29,"Sat, Dec 26, 2009",10:30p,,Box Score,,Phoenix Suns,W,,132,127,8,21,W 1,19550,2:21,,False,GSW,2010
30,"Mon, Dec 28, 2009",10:30p,,Box Score,,Boston Celtics,W,,103,99,9,21,W 2,19259,2:29,,False,GSW,2010
31,"Tue, Dec 29, 2009",10:30p,,Box Score,@,Los Angeles Lakers,L,,118,124,9,22,L 1,18997,2:27,,False,GSW,2010
