G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,is_playoff,team,season
1,"Mon, Dec 26, 2011",7:00p,,Box Score,@,Orlando Magic,L,,95,104,0,1,L 1,18846,2:04,,False,HOU,2012
2,"Thu, Dec 29, 2011",8:00p,,Box Score,,San Antonio Spurs,W,,105,85,1,1,W 1,18267,1:57,,False,HOU,2012
3,"Fri, Dec 30, 2011",8:00p,,Box Score,@,Memphis Grizzlies,L,,93,113,1,2,L 1,16069,2:10,,False,HOU,2012
4,"Sat, Dec 31, 2011",7:00p,,Box Score,,Atlanta Hawks,W,,95,84,2,2,W 1,14390,1:58,,False,HOU,2012
5,"Tue, Jan 3, 2012",10:30p,,Box Score,@,Los Angeles Lakers,L,,99,108,2,3,L 1,18997,2:08,,False,HOU,2012
6,"Wed, Jan 4, 2012",10:30p,,Box Score,@,Los Angeles Clippers,L,,89,117,2,4,L 2,19060,2:09,,False,HOU,2012
7,"Fri, Jan 6, 2012",8:00p,,Box Score,@,Oklahoma City Thunder,L,,94,109,2,5,L 3,18203,2:02,,False,HOU,2012
8,"Sat, Jan 7, 2012",8:00p,,Box Score,,Oklahoma City Thunder,L,,95,98,2,6,L 4,14327,2:11,,False,HOU,2012
9,"Tue, Jan 10, 2012",7:00p,,Box Score,@,Charlotte Bobcats,W,,82,70,3,6,W 1,13421,2:02,,False,HOU,2012
10,"Wed, Jan 11, 2012",8:30p,,Box Score,@,San Antonio Spurs,L,OT,95,101,3,7,L 1,17381,2:18,,False,HOU,2012
11,"Fri, Jan 13, 2012",8:00p,,Box Score,,Sacramento Kings,W,,103,89,4,7,W 1,12870,2:01,,False,HOU,2012
12,"Sat, Jan 14, 2012",8:00p,,Box Score,,Portland Trail Blazers,W,OT,107,105,5,7,W 2,11676,2:34,,False,HOU,2012
13,"Mon, Jan 16, 2012",2:00p,,Box Score,@,Washington Wizards,W,,114,106,6,7,W 3,15594,2:10,,False,HOU,2012
14,"Tue, Jan 17, 2012",8:00p,,Box Score,,Detroit Pistons,W,,97,80,7,7,W 4,9318,2:03,,False,HOU,2012
15,"Thu, Jan 19, 2012",8:00p,,Box Score,,New Orleans Hornets,W,OT,90,88,8,7,W 5,10845,2:16,,False,HOU,2012
16,"Sat, Jan 21, 2012",8:00p,,Box Score,,San Antonio Spurs,W,,105,102,9,7,W 6,15285,2:08,,False,HOU,2012
17,"Mon, Jan 23, 2012",8:00p,,Box Score,@,Minnesota Timberwolves,W,,107,92,10,7,W 7,16924,2:09,,False,HOU,2012
18,"Wed, Jan 25, 2012",8:00p,,Box Score,,Milwaukee Bucks,L,,99,105,10,8,L 1,10573,2:07,,False,HOU,2012
19,"Fri, Jan 27, 2012",8:00p,,Box Score,,Washington Wizards,W,,103,76,11,8,W 1,13894,2:12,,False,HOU,2012
20,"Sat, Jan 28, 2012",8:00p,,Box Score,,New York Knicks,W,,97,84,12,8,W 2,18051,1:58,,False,HOU,2012
21,"Mon, Jan 30, 2012",8:00p,,Box Score,,Minnesota Timberwolves,L,,108,120,12,9,L 1,14264,2:11,,False,HOU,2012
22,"Wed, Feb 1, 2012",8:30p,,Box Score,@,San Antonio Spurs,L,,91,99,12,10,L 2,18581,2:10,,False,HOU,2012
23,"Fri, Feb 3, 2012",8:00p,,Box Score,,Phoenix Suns,W,,99,81,13,10,W 1,15941,2:00,,False,HOU,2012
24,"Sat, Feb 4, 2012",8:00p,,Box Score,@,Minnesota Timberwolves,L,,91,100,13,11,L 1,19356,2:06,,False,HOU,2012
25,"Mon, Feb 6, 2012",9:00p,,Box Score,@,Denver Nuggets,W,,99,90,14,11,W 1,14501,2:17,,False,HOU,2012
