G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,is_playoff,Unnamed: 2,Unnamed: 6,team,season
1,"Fri, Oct 31, 1986",,,Box Score,@,Philadelphia 76ers,L,,104,108,0,1,L 1,10247,,,False,,,IND,1987
2,"Sat, Nov 1, 1986",,,Box Score,,Detroit Pistons,W,,92,89,1,1,W 1,16912,,,False,,,IND,1987
3,"Tue, Nov 4, 1986",,,Box Score,,Philadelphia 76ers,W,2OT,125,121,2,1,W 2,13887,,,False,,,IND,1987
4,"Wed, Nov 5, 1986",,,Box Score,@,Boston Celtics,L,,102,133,2,2,L 1,14890,2:01,,False,,,IND,1987
5,"Sat, Nov 8, 1986",,,Box Score,,San Antonio Spurs,W,,130,97,3,2,W 1,14365,,,False,,,IND,1987
6,"Tue, Nov 11, 1986",,,Box Score,@,Milwaukee Bucks,L,,94,102,3,3,L 1,10765,,,False,,,IND,1987
7,"Thu, Nov 13, 1986",7:44p,,Box Score,@,New Jersey Nets,W,OT,120,117,4,3,W 1,7709,2:22,,False,,,IND,1987
8,"Sat, Nov 15, 1986",,,Box Score,,Milwaukee Bucks,W,,104,103,5,3,W 2,16255,,,False,,,IND,1987
9,"Sun, Nov 16, 1986",,,Box Score,@,Washington Bullets,L,,111,124,5,4,L 1,6018,,,False,,,IND,1987
10,"Tue, Nov 18, 1986",,,Box Score,@,Los Angeles Clippers,W,,98,93,6,4,W 1,4765,,,False,,,IND,1987
11,"Thu, Nov 20, 1986",,,Box Score,@,Sacramento Kings,L,,83,92,6,5,L 1,10333,,,False,,,IND,1987
12,"Sat, Nov 22, 1986",,,Box Score,@,Seattle SuperSonics,L,,111,121,6,6,L 2,6399,,,False,,,IND,1987
13,"Sun, Nov 23, 1986",,,Box Score,@,Portland Trail Blazers,L,,95,108,6,7,L 3,12666,,,False,,,IND,1987
14,"Wed, Nov 26, 1986",,,Box Score,,Houston Rockets,L,,88,92,6,8,L 4,16912,,,False,,,IND,1987
15,"Fri, Nov 28, 1986",,,Box Score,,Denver Nuggets,W,,126,102,7,8,W 1,12357,,,False,,,IND,1987
16,"Sun, Nov 30, 1986",,,Box Score,,Portland Trail Blazers,L,,101,118,7,9,L 1,8397,,,False,,,IND,1987
17,"Tue, Dec 2, 1986",,,Box Score,@,Milwaukee Bucks,L,,88,95,7,10,L 2,10032,,,False,,,IND,1987
18,"Wed, Dec 3, 1986",,,Box Score,,Washington Bullets,W,,116,103,8,10,W 1,10246,,,False,,,IND,1987
19,"Fri, Dec 5, 1986",,,Box Score,,Atlanta Hawks,W,,119,113,9,10,W 2,13490,,,False,,,IND,1987
20,"Wed, Dec 10, 1986",,,Box Score,@,Philadelphia 76ers,L,,112,122,9,11,L 1,10049,,,False,,,IND,1987
21,"Thu, Dec 11, 1986",,,Box Score,,Cleveland Cavaliers,W,,115,94,10,11,W 1,8104,,,False,,,IND,1987
22,"Sat, Dec 13, 1986",,,Box Score,,New Jersey Nets,W,,95,91,11,11,W 2,10848,,,False,,,IND,1987
23,"Wed, Dec 17, 1986",,,Box Score,@,Boston Celtics,L,,101,113,11,12,L 1,14890,1:58,,False,,,IND,1987
24,"Thu, Dec 18, 1986",,,Box Score,,Chicago Bulls,L,,88,97,11,13,L 2,15844,,,False,,,IND,1987
25,"Sat, Dec 20, 1986",,,Box Score,@,New York Knicks,W,,123,99,12,13,W 1,9535,,,False,,,IND,1987
26,"Sun, Dec 21, 1986",,,Box Score,@,Cleveland Cavaliers,L,,94,104,12,14,L 1,7849,,,False,,,IND,1987
27,"Tue, Dec 23, 1986",,,Box Score,,Detroit Pistons,W,,111,98,13,14,W 1,11860,,,False,,,IND,1987
28,"Sat, Dec 27, 1986",,,Box Score,@,Chicago Bulls,L,,93,105,13,15,L 1,16781,,,False,,,IND,1987
