G,Date,Unnamed: 2,Unnamed: 3,Unnamed: 4,Opponent,Unnamed: 6,Unnamed: 7,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,is_playoff,team,season
1,"Tue, Nov 2, 1999",,Box Score,@,New Jersey Nets,W,,119,112,1,0,W 1,13051,,,False,IND,2000
2,"Thu, Nov 4, 1999",,Box Score,@,Charlotte Hornets,L,,89,98,1,1,L 1,15762,,,False,IND,2000
3,"Sat, Nov 6, 1999",,Box Score,,Boston Celtics,W,,115,108,2,1,W 1,18345,2:36,,False,IND,2000
4,"Tue, Nov 9, 1999",,Box Score,@,Miami Heat,L,,101,113,2,2,L 1,15200,,,False,IND,2000
5,"Thu, Nov 11, 1999",,Box Score,,Orlando Magic,W,,116,101,3,2,W 1,18345,,,False,IND,2000
6,"Sat, Nov 13, 1999",,Box Score,,Washington Wizards,W,,105,83,4,2,W 2,18345,,,False,IND,2000
7,"Mon, Nov 15, 1999",,Box Score,@,Houston Rockets,W,,96,87,5,2,W 3,14866,,,False,IND,2000
8,"Tue, Nov 16, 1999",,Box Score,@,San Antonio Spurs,L,OT,87,90,5,3,L 1,15905,,,False,IND,2000
9,"Fri, Nov 19, 1999",,Box Score,,Atlanta Hawks,L,,99,105,5,4,L 2,18345,,,False,IND,2000
10,"Sat, Nov 20, 1999",,Box Score,@,Cleveland Cavaliers,W,,107,98,6,4,W 1,13806,,,False,IND,2000
11,"Mon, Nov 22, 1999",,Box Score,@,Boston Celtics,L,,85,95,6,5,L 1,15728,2:13,,False,IND,2000
12,"Thu, Nov 25, 1999",,Box Score,,Detroit Pistons,L,,99,107,6,6,L 2,18345,,,False,IND,2000
13,"Fri, Nov 26, 1999",,Box Score,,Vancouver Grizzlies,W,,105,86,7,6,W 1,18345,,,False,IND,2000
14,"Sun, Nov 28, 1999",,Box Score,@,Seattle SuperSonics,L,,91,102,7,7,L 1,14644,,,False,IND,2000
15,"Mon, Nov 29, 1999",,Box Score,@,Portland Trail Blazers,W,,93,91,8,7,W 1,20049,,,False,IND,2000
16,"Wed, Dec 1, 1999",,Box Score,@,Vancouver Grizzlies,W,,96,89,9,7,W 2,11683,,,False,IND,2000
17,"Fri, Dec 3, 1999",,Box Score,@,Utah Jazz,W,,100,75,10,7,W 3,19084,,,False,IND,2000
18,"Tue, Dec 7, 1999",,Box Score,,San Antonio Spurs,W,,83,77,11,7,W 4,18345,,,False,IND,2000
19,"Fri, Dec 10, 1999",,Box Score,,Cleveland Cavaliers,W,,136,88,12,7,W 5,18345,,,False,IND,2000
20,"Sat, Dec 11, 1999",,Box Score,,Los Angeles Clippers,W,,108,90,13,7,W 6,18345,,,False,IND,2000
21,"Tue, Dec 14, 1999",,Box Score,@,Toronto Raptors,L,,97,105,13,8,L 1,15774,,,False,IND,2000
22,"Wed, Dec 15, 1999",,Box Score,,Chicago Bulls,W,,102,91,14,8,W 1,18345,,,False,IND,2000
23,"Fri, Dec 17, 1999",,Box Score,,Utah Jazz,W,,89,74,15,8,W 2,18345,,,False,IND,2000
24,"Sat, Dec 18, 1999",,Box Score,@,Milwaukee Bucks,L,,95,109,15,9,L 1,15236,,,False,IND,2000
25,"Tue, Dec 21, 1999",,Box Score,,Seattle SuperSonics,W,,113,103,16,9,W 1,18345,,,False,IND,2000
26,"Sat, Dec 25, 1999",,Box Score,,New York Knicks,W,,101,90,17,9,W 2,18345,,,False,IND,2000
27,"Mon, Dec 27, 1999",,Box Score,@,Chicago Bulls,W,,103,91,18,9,W 3,22169,,,False,IND,2000
28,"Wed, Dec 29, 1999",,Box Score,@,Atlanta Hawks,W,,116,89,19,9,W 4,16117,,,False,IND,2000
29,"Thu, Dec 30, 1999",,Box Score,,Charlotte Hornets,W,,109,99,20,9,W 5,18345,,,False,IND,2000
30,"Tue, Jan 4, 2000",,Box Score,,New Jersey Nets,W,,116,111,21,9,W 6,18345,,,False,IND,2000
31,"Thu, Jan 6, 2000",,Box Score,@,Denver Nuggets,W,,102,87,22,9,W 7,14569,,,False,IND,2000
32,"Sat, Jan 8, 2000",,Box Score,@,Los Angeles Clippers,L,,94,107,22,10,L 1,17004,,,False,IND,2000
33,"Sun, Jan 9, 2000",,Box Score,@,Sacramento Kings,L,,113,116,22,11,L 2,17317,,,False,IND,2000
34,"Wed, Jan 12, 2000",,Box Score,,Washington Wizards,W,,117,102,23,11,W 1,18345,,,False,IND,2000
35,"Fri, Jan 14, 2000",,Box Score,,Los Angeles Lakers,W,,111,102,24,11,W 2,18345,,,False,IND,2000
36,"Sat, Jan 15, 2000",,Box Score,@,Orlando Magic,W,,96,89,25,11,W 3,14456,,,False,IND,2000
37,"Mon, Jan 17, 2000",,Box Score,@,Minnesota Timberwolves,L,,100,101,25,12,L 1,16731,,,False,IND,2000
38,"Wed, Jan 19, 2000",,Box Score,,Milwaukee Bucks,W,,106,84,26,12,W 1,18345,,,False,IND,2000
39,"Fri, Jan 21, 2000",,Box Score,@,Washington Wizards,L,,113,123,26,13,L 1,17055,,,False,IND,2000
40,"Sat, Jan 22, 2000",,Box Score,@,Philadelphia 76ers,L,,97,103,26,14,L 2,20623,,,False,IND,2000
41,"Mon, Jan 24, 2000",,Box Score,@,Chicago Bulls,L,,82,83,26,15,L 3,21911,,,False,IND,2000
42,"Tue, Jan 25, 2000",,Box Score,,Phoenix Suns,W,,93,87,27,15,W 1,18345,,,False,IND,2000
43,"Sat, Jan 29, 2000",,Box Score,,Miami Heat,W,,94,84,28,15,W 2,18345,,,False,IND,2000
44,"Tue, Feb 1, 2000",,Box Score,,Boston Celtics,W,,99,96,29,15,W 3,18345,2:12,,False,IND,2000
45,"Fri, Feb 4, 2000",,Box Score,,Sacramento Kings,W,,104,94,30,15,W 4,18345,,,False,IND,2000
46,"Sat, Feb 5, 2000",,Box Score,@,Orlando Magic,L,,102,107,30,16,L 1,15421,,,False,IND,2000
47,"Mon, Feb 7, 2000",,Box Score,,Philadelphia 76ers,W,,109,84,31,16,W 1,18345,,,False,IND,2000
48,"Wed, Feb 9, 2000",,Box Score,@,Boston Celtics,W,,113,104,32,16,W 2,18328,2:06,,False,IND,2000
49,"Wed, Feb 16, 2000",,Box Score,,Toronto Raptors,W,,109,101,33,16,W 3,18345,,,False,IND,2000
50,"Thu, Feb 17, 2000",,Box Score,@,Milwaukee Bucks,W,,92,90,34,16,W 4,14376,,,False,IND,2000
51,"Sat, Feb 19, 2000",,Box Score,@,New York Knicks,L,,73,87,34,17,L 1,19763,,,False,IND,2000
52,"Mon, Feb 21, 2000",,Box Score,,Dallas Mavericks,W,,94,93,35,17,W 1,18345,,,False,IND,2000
53,"Wed, Feb 23, 2000",,Box Score,@,Detroit Pistons,W,,118,111,36,17,W 2,16371,,,False,IND,2000
54,"Thu, Feb 24, 2000",,Box Score,,Chicago Bulls,W,,100,83,37,17,W 3,18345,,,False,IND,2000
55,"Sat, Feb 26, 2000",,Box Score,,Golden State Warriors,W,,104,88,38,17,W 4,18345,,,False,IND,2000
56,"Tue, Feb 29, 2000",,Box Score,,Detroit Pistons,W,,115,105,39,17,W 5,18345,,,False,IND,2000
57,"Thu, Mar 2, 2000",,Box Score,@,Phoenix Suns,L,,87,118,39,18,L 1,19023,,,False,IND,2000
58,"Fri, Mar 3, 2000",,Box Score,@,Los Angeles Lakers,L,,92,107,39,19,L 2,18997,,,False,IND,2000
59,"Sun, Mar 5, 2000",,Box Score,@,Golden State Warriors,W,,114,95,40,19,W 1,15283,,,False,IND,2000
60,"Tue, Mar 7, 2000",,Box Score,,Denver Nuggets,W,,90,89,41,19,W 2,18345,,,False,IND,2000
61,"Thu, Mar 9, 2000",,Box Score,,Portland Trail Blazers,W,OT,127,119,42,19,W 3,18345,,,False,IND,2000
62,"Fri, Mar 10, 2000",,Box Score,@,Cleveland Cavaliers,W,,95,92,43,19,W 4,20562,,,False,IND,2000
63,"Sun, Mar 12, 2000",,Box Score,,Miami Heat,L,,96,105,43,20,L 1,18345,,,False,IND,2000
64,"Tue, Mar 14, 2000",,Box Score,@,Dallas Mavericks,L,,90,111,43,21,L 2,15761,,,False,IND,2000
65,"Wed, Mar 15, 2000",,Box Score,@,Atlanta Hawks,W,,113,107,44,21,W 1,14454,,,False,IND,2000
66,"Fri, Mar 17, 2000",,Box Score,,Houston Rockets,W,,111,102,45,21,W 2,18345,,,False,IND,2000
67,"Sat, Mar 18, 2000",,Box Score,,Charlotte Hornets,W,,113,99,46,21,W 3,18345,,,False,IND,2000
68,"Tue, Mar 21, 2000",,Box Score,,New York Knicks,W,,95,91,47,21,W 4,18345,,,False,IND,2000
69,"Thu, Mar 23, 2000",,Box Score,,Milwaukee Bucks,L,,84,105,47,22,L 1,18345,,,False,IND,2000
70,"Sun, Mar 26, 2000",,Box Score,,Philadelphia 76ers,L,,101,111,47,23,L 2,18345,,,False,IND,2000
