G,Date,Unnamed: 2,Unnamed: 3,Unnamed: 4,Opponent,Unnamed: 6,Unnamed: 7,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,is_playoff,team,season
1,"Sat, Nov 3, 1951",,Box Score,@,Baltimore Bullets,W,,90,86,1,0,W 1,,,,False,INO,1952
2,"Sun, Nov 4, 1951",,Box Score,@,Boston Celtics,L,,65,97,1,1,L 1,3012,,,False,INO,1952
3,"Tue, Nov 6, 1951",,Box Score,,New York Knicks,L,,73,83,1,2,L 2,,,,False,INO,1952
4,"Fri, Nov 9, 1951",,Box Score,,Fort Wayne Pistons,W,,92,77,2,2,W 1,,,,False,INO,1952
5,"Sat, Nov 10, 1951",,Box Score,@,Rochester Royals,L,,89,100,2,3,L 1,,,,False,INO,1952
6,"Sun, Nov 11, 1951",,Box Score,@,Syracuse Nationals,L,,79,93,2,4,L 2,,,,False,INO,1952
7,"Tue, Nov 13, 1951",,Box Score,,Minneapolis Lakers,L,,71,77,2,5,L 3,,,,False,INO,1952
8,"Fri, Nov 16, 1951",,Box Score,,Milwaukee Hawks,L,,68,78,2,6,L 4,,,,False,INO,1952
9,"Sat, Nov 17, 1951",,Box Score,N,Milwaukee Hawks,W,,68,58,3,6,W 1,,,"at Moline, IL",False,INO,1952
10,"Tue, Nov 20, 1951",,Box Score,,Rochester Royals,W,2OT,69,65,4,6,W 2,,,,False,INO,1952
11,"Fri, Nov 23, 1951",,Box Score,,Syracuse Nationals,W,,82,68,5,6,W 3,,,,False,INO,1952
12,"Sun, Nov 25, 1951",,Box Score,@,Minneapolis Lakers,L,,73,82,5,7,L 1,,,,False,INO,1952
13,"Fri, Nov 30, 1951",,Box Score,,Boston Celtics,W,,92,87,6,7,W 1,4199,,,False,INO,1952
14,"Sun, Dec 2, 1951",,Box Score,@,Milwaukee Hawks,W,,80,71,7,7,W 2,,,,False,INO,1952
15,"Tue, Dec 4, 1951",,Box Score,,Syracuse Nationals,W,,83,77,8,7,W 3,,,,False,INO,1952
16,"Fri, Dec 7, 1951",,Box Score,,Baltimore Bullets,W,,88,80,9,7,W 4,,,,False,INO,1952
17,"Sun, Dec 9, 1951",,Box Score,@,Minneapolis Lakers,W,,85,78,10,7,W 5,,,,False,INO,1952
18,"Tue, Dec 11, 1951",,Box Score,,Minneapolis Lakers,W,,85,69,11,7,W 6,,,,False,INO,1952
19,"Fri, Dec 14, 1951",,Box Score,,New York Knicks,W,,83,79,12,7,W 7,,,,False,INO,1952
20,"Sat, Dec 15, 1951",,Box Score,@,Rochester Royals,L,,66,75,12,8,L 1,,,,False,INO,1952
21,"Sun, Dec 16, 1951",,Box Score,@,Syracuse Nationals,W,,96,92,13,8,W 1,,,,False,INO,1952
22,"Fri, Dec 21, 1951",,Box Score,,Milwaukee Hawks,W,,69,64,14,8,W 2,,,,False,INO,1952
23,"Sun, Dec 23, 1951",,Box Score,@,Boston Celtics,L,OT,88,91,14,9,L 1,4861,,,False,INO,1952
24,"Tue, Dec 25, 1951",,Box Score,@,Rochester Royals,L,,78,87,14,10,L 2,,,,False,INO,1952
25,"Sat, Dec 29, 1951",,Box Score,@,Baltimore Bullets,L,,65,75,14,11,L 3,,,,False,INO,1952
26,"Mon, Dec 31, 1951",,Box Score,N,Rochester Royals,W,,77,73,15,11,W 1,,,"at New York, NY",False,INO,1952
27,"Fri, Jan 4, 1952",,Box Score,,New York Knicks,W,,83,73,16,11,W 2,,,,False,INO,1952
28,"Sat, Jan 5, 1952",,Box Score,N,Minneapolis Lakers,L,,65,86,16,12,L 1,,,"at Hibbing, MN",False,INO,1952
29,"Sun, Jan 6, 1952",,Box Score,@,Fort Wayne Pistons,L,,75,79,16,13,L 2,,,,False,INO,1952
30,"Tue, Jan 8, 1952",,Box Score,,Minneapolis Lakers,W,,82,75,17,13,W 1,,,,False,INO,1952
31,"Wed, Jan 9, 1952",,Box Score,@,Minneapolis Lakers,L,,74,91,17,14,L 1,,,,False,INO,1952
32,"Fri, Jan 11, 1952",,Box Score,,Boston Celtics,W,,100,79,18,14,W 1,,,,False,INO,1952
33,"Sat, Jan 12, 1952",,Box Score,@,New York Knicks,L,,77,86,18,15,L 1,,,,False,INO,1952
