G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,is_playoff,team,season
1,"Fri, Oct 29, 1982",,,Box Score,,Portland Trail Blazers,W,,113,111,1,0,W 1,12492,,,False,KCK,1983
2,"Tue, Nov 2, 1982",,,Box Score,,Milwaukee Bucks,W,,119,112,2,0,W 2,7442,,,False,KCK,1983
3,"Fri, Nov 5, 1982",,,Box Score,,Dallas Mavericks,L,,113,118,2,1,L 1,7357,,,False,KCK,1983
4,"Tue, Nov 9, 1982",,,Box Score,@,Los Angeles Lakers,L,,117,139,2,2,L 2,12402,,,False,KCK,1983
5,"Wed, Nov 10, 1982",,,Box Score,@,Phoenix Suns,L,,100,106,2,3,L 3,10148,,,False,KCK,1983
6,"Sat, Nov 13, 1982",,,Box Score,@,San Diego Clippers,W,,112,111,3,3,W 1,6437,,,False,KCK,1983
7,"Tue, Nov 16, 1982",,,Box Score,@,San Antonio Spurs,W,,105,102,4,3,W 2,8943,,,False,KCK,1983
8,"Sat, Nov 20, 1982",,,Box Score,@,Dallas Mavericks,W,,127,120,5,3,W 3,9911,,,False,KCK,1983
9,"Wed, Nov 24, 1982",,,Box Score,,Detroit Pistons,W,,122,112,6,3,W 4,8225,,,False,KCK,1983
10,"Thu, Nov 25, 1982",,,Box Score,@,Houston Rockets,W,,88,79,7,3,W 5,8583,,,False,KCK,1983
11,"Sat, Nov 27, 1982",,,Box Score,,Phoenix Suns,W,,105,99,8,3,W 6,8107,,,False,KCK,1983
12,"Sun, Nov 28, 1982",,,Box Score,@,Cleveland Cavaliers,L,,110,118,8,4,L 1,1989,,,False,KCK,1983
13,"Tue, Nov 30, 1982",7:42p,,Box Score,@,New Jersey Nets,L,,103,112,8,5,L 2,9662,2:13,,False,KCK,1983
14,"Wed, Dec 1, 1982",,,Box Score,,Chicago Bulls,W,,143,132,9,5,W 1,5425,,,False,KCK,1983
15,"Fri, Dec 3, 1982",,,Box Score,,Golden State Warriors,L,,107,123,9,6,L 1,5882,,,False,KCK,1983
