G,Date,Unnamed: 2,Unnamed: 3,Unnamed: 4,Opponent,Unnamed: 6,Unnamed: 7,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,is_playoff,team,season
1,"Wed, Oct 10, 1973",,Box Score,,Chicago Bulls,L,,90,105,0,1,L 1,,,,False,KCO,1974
2,"Fri, Oct 12, 1973",,Box Score,,Chicago Bulls,W,,88,84,1,1,W 1,,,"at Omaha, NE",False,KCO,1974
3,"Sat, Oct 13, 1973",,Box Score,@,Atlanta Hawks,W,,117,102,2,1,W 2,,,,False,KCO,1974
4,"Wed, Oct 17, 1973",,Box Score,@,Seattle SuperSonics,W,,108,106,3,1,W 3,,,,False,KCO,1974
5,"Fri, Oct 19, 1973",,Box Score,@,Portland Trail Blazers,L,,99,111,3,2,L 1,,,,False,KCO,1974
6,"Sat, Oct 20, 1973",,Box Score,@,Golden State Warriors,L,,81,100,3,3,L 2,,,,False,KCO,1974
7,"Wed, Oct 24, 1973",,Box Score,,Los Angeles Lakers,L,,91,92,3,4,L 3,,,"at Omaha, NE",False,KCO,1974
8,"Fri, Oct 26, 1973",,Box Score,,Phoenix Suns,W,,98,93,4,4,W 1,,,,False,KCO,1974
9,"Sun, Oct 28, 1973",,Box Score,,Buffalo Braves,L,,100,112,4,5,L 1,,,,False,KCO,1974
10,"Tue, Oct 30, 1973",,Box Score,,Milwaukee Bucks,L,,78,112,4,6,L 2,,,,False,KCO,1974
11,"Fri, Nov 2, 1973",,Box Score,,Seattle SuperSonics,L,,109,115,4,7,L 3,,,,False,KCO,1974
12,"Sun, Nov 4, 1973",,Box Score,,Golden State Warriors,L,,91,92,4,8,L 4,,,,False,KCO,1974
13,"Fri, Nov 9, 1973",,Box Score,,Capital Bullets,L,,96,109,4,9,L 5,,,"at Omaha, NE",False,KCO,1974
14,"Sat, Nov 10, 1973",,Box Score,@,Milwaukee Bucks,L,,83,84,4,10,L 6,,,,False,KCO,1974
15,"Sun, Nov 11, 1973",,Box Score,@,Cleveland Cavaliers,W,,103,93,5,10,W 1,,,,False,KCO,1974
16,"Wed, Nov 14, 1973",,Box Score,,Houston Rockets,W,OT,118,116,6,10,W 2,,,,False,KCO,1974
17,"Fri, Nov 16, 1973",,Box Score,@,Detroit Pistons,L,,98,125,6,11,L 1,,,,False,KCO,1974
18,"Sat, Nov 17, 1973",,Box Score,,Boston Celtics,L,,110,123,6,12,L 2,8124,,,False,KCO,1974
19,"Tue, Nov 20, 1973",,Box Score,,Philadelphia 76ers,L,,103,109,6,13,L 3,,,,False,KCO,1974
20,"Wed, Nov 21, 1973",,Box Score,,Philadelphia 76ers,L,,90,103,6,14,L 4,,,"at Omaha, NE",False,KCO,1974
21,"Fri, Nov 23, 1973",,Box Score,@,Boston Celtics,L,,102,119,6,15,L 5,13192,,,False,KCO,1974
22,"Sat, Nov 24, 1973",,Box Score,@,Buffalo Braves,L,,131,143,6,16,L 6,,,,False,KCO,1974
23,"Sun, Nov 25, 1973",,Box Score,,Seattle SuperSonics,L,,99,104,6,17,L 7,,,,False,KCO,1974
24,"Tue, Nov 27, 1973",,Box Score,,Atlanta Hawks,L,,110,129,6,18,L 8,,,"at Omaha, NE",False,KCO,1974
25,"Thu, Nov 29, 1973",,Box Score,@,Phoenix Suns,L,,99,119,6,19,L 9,,,,False,KCO,1974
26,"Fri, Nov 30, 1973",,Box Score,@,Los Angeles Lakers,L,,107,123,6,20,L 10,,,,False,KCO,1974
27,"Sat, Dec 1, 1973",,Box Score,@,Golden State Warriors,L,,108,120,6,21,L 11,,,,False,KCO,1974
28,"Wed, Dec 5, 1973",,Box Score,,Atlanta Hawks,W,,117,105,7,21,W 1,,,"at Omaha, NE",False,KCO,1974
29,"Fri, Dec 7, 1973",,Box Score,@,Philadelphia 76ers,W,,113,102,8,21,W 2,,,,False,KCO,1974
30,"Sun, Dec 9, 1973",,Box Score,,Detroit Pistons,L,,80,86,8,22,L 1,,,"at Omaha, NE",False,KCO,1974
31,"Tue, Dec 11, 1973",,Box Score,@,Chicago Bulls,L,,104,105,8,23,L 2,,,,False,KCO,1974
32,"Sat, Dec 15, 1973",,Box Score,@,New York Knicks,L,,107,116,8,24,L 3,,,,False,KCO,1974
33,"Sun, Dec 16, 1973",,Box Score,,Detroit Pistons,W,,105,104,9,24,W 1,,,,False,KCO,1974
34,"Wed, Dec 19, 1973",,Box Score,,Cleveland Cavaliers,W,,106,92,10,24,W 2,,,"at Omaha, NE",False,KCO,1974
35,"Thu, Dec 20, 1973",,Box Score,,Capital Bullets,L,,92,98,10,25,L 1,,,,False,KCO,1974
36,"Sat, Dec 22, 1973",,Box Score,,Buffalo Braves,W,,122,112,11,25,W 1,,,,False,KCO,1974
37,"Sun, Dec 23, 1973",,Box Score,,Golden State Warriors,W,,101,93,12,25,W 2,,,,False,KCO,1974
