G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,is_playoff,team,season
1,"Wed, Oct 29, 2008",10:30p,,Box Score,,Los Angeles Lakers,L,,79,117,0,1,L 1,19060,2:27,,False,LAC,2009
2,"Fri, Oct 31, 2008",10:30p,,Box Score,,Denver Nuggets,L,OT,103,113,0,2,L 2,11418,2:40,,False,LAC,2009
3,"Sat, Nov 1, 2008",9:00p,,Box Score,@,Utah Jazz,L,,79,101,0,3,L 3,19602,2:13,,False,LAC,2009
4,"Mon, Nov 3, 2008",10:30p,,Box Score,,Utah Jazz,L,,73,89,0,4,L 4,12712,2:08,,False,LAC,2009
5,"Wed, Nov 5, 2008",10:30p,,Box Score,@,Los Angeles Lakers,L,,88,106,0,5,L 5,18997,2:24,,False,LAC,2009
6,"Fri, Nov 7, 2008",10:30p,,Box Score,,Houston Rockets,L,,83,92,0,6,L 6,14670,2:08,,False,LAC,2009
7,"Sun, Nov 9, 2008",3:30p,,Box Score,,Dallas Mavericks,W,,103,92,1,6,W 1,14249,2:15,,False,LAC,2009
8,"Wed, Nov 12, 2008",10:30p,,Box Score,,Sacramento Kings,L,,98,103,1,7,L 1,13266,2:20,,False,LAC,2009
9,"Sat, Nov 15, 2008",3:30p,,Box Score,,Golden State Warriors,L,,103,121,1,8,L 2,12823,2:14,,False,LAC,2009
10,"Mon, Nov 17, 2008",10:30p,,Box Score,,San Antonio Spurs,L,,83,86,1,9,L 3,14962,2:07,,False,LAC,2009
11,"Wed, Nov 19, 2008",8:00p,,Box Score,@,Oklahoma City Thunder,W,,108,88,2,9,W 1,18312,2:06,,False,LAC,2009
12,"Fri, Nov 21, 2008",7:00p,,Box Score,@,Philadelphia 76ers,L,,88,89,2,10,L 1,13474,2:22,,False,LAC,2009
13,"Sat, Nov 22, 2008",7:30p,,Box Score,@,New Jersey Nets,L,,95,112,2,11,L 2,17677,2:12,,False,LAC,2009
14,"Mon, Nov 24, 2008",10:30p,,Box Score,,New Orleans Hornets,L,,87,99,2,12,L 3,14956,2:08,,False,LAC,2009
15,"Wed, Nov 26, 2008",10:30p,,Box Score,,Denver Nuggets,L,,105,106,2,13,L 4,14934,2:30,,False,LAC,2009
16,"Sat, Nov 29, 2008",10:30p,,Box Score,,Miami Heat,W,,97,96,3,13,W 1,16245,2:24,,False,LAC,2009
17,"Tue, Dec 2, 2008",8:30p,,Box Score,@,Dallas Mavericks,L,,98,100,3,14,L 1,19670,2:09,,False,LAC,2009
18,"Wed, Dec 3, 2008",8:30p,,Box Score,@,Houston Rockets,L,,96,103,3,15,L 2,15358,2:16,,False,LAC,2009
19,"Fri, Dec 5, 2008",8:00p,,Box Score,@,Memphis Grizzlies,L,,81,93,3,16,L 3,10484,2:01,,False,LAC,2009
20,"Sat, Dec 6, 2008",8:00p,,Box Score,@,Minnesota Timberwolves,W,,107,84,4,16,W 1,10863,2:19,,False,LAC,2009
21,"Mon, Dec 8, 2008",10:30p,,Box Score,,Orlando Magic,L,,88,95,4,17,L 1,15222,2:15,,False,LAC,2009
22,"Fri, Dec 12, 2008",10:00p,,Box Score,@,Portland Trail Blazers,W,2OT,120,112,5,17,W 1,20558,2:50,,False,LAC,2009
23,"Sat, Dec 13, 2008",10:30p,,Box Score,,Houston Rockets,W,,95,82,6,17,W 2,16203,2:10,,False,LAC,2009
24,"Tue, Dec 16, 2008",8:00p,,Box Score,@,Oklahoma City Thunder,W,,98,88,7,17,W 3,18275,2:07,,False,LAC,2009
25,"Wed, Dec 17, 2008",8:30p,,Box Score,@,Chicago Bulls,L,OT,109,115,7,18,L 1,20102,2:42,,False,LAC,2009
26,"Fri, Dec 19, 2008",7:00p,,Box Score,@,Indiana Pacers,W,2OT,117,109,8,18,W 1,12653,2:57,,False,LAC,2009
27,"Sat, Dec 20, 2008",8:30p,,Box Score,@,Milwaukee Bucks,L,,85,119,8,19,L 1,15014,2:14,,False,LAC,2009
28,"Mon, Dec 22, 2008",10:30p,,Box Score,,Toronto Raptors,L,,75,97,8,20,L 2,16094,2:13,,False,LAC,2009
29,"Sun, Dec 28, 2008",3:30p,,Box Score,,Dallas Mavericks,L,,76,98,8,21,L 3,16685,2:08,,False,LAC,2009
30,"Tue, Dec 30, 2008",10:00p,,Box Score,@,Sacramento Kings,L,,90,92,8,22,L 4,11420,2:20,,False,LAC,2009
31,"Wed, Dec 31, 2008",9:30p,,Box Score,,Philadelphia 76ers,L,,92,100,8,23,L 5,14021,2:24,,False,LAC,2009
32,"Fri, Jan 2, 2009",9:00p,,Box Score,@,Phoenix Suns,L,,98,106,8,24,L 6,18422,2:15,,False,LAC,2009
33,"Sun, Jan 4, 2009",3:30p,,Box Score,,Detroit Pistons,L,,87,88,8,25,L 7,17968,2:22,,False,LAC,2009
34,"Tue, Jan 6, 2009",8:30p,,Box Score,@,Dallas Mavericks,L,,102,107,8,26,L 8,19794,2:21,,False,LAC,2009
35,"Thu, Jan 8, 2009",8:30p,,Box Score,@,San Antonio Spurs,L,,84,106,8,27,L 9,17873,2:02,,False,LAC,2009
36,"Fri, Jan 9, 2009",8:00p,,Box Score,@,New Orleans Hornets,L,,80,107,8,28,L 10,17815,2:05,,False,LAC,2009
37,"Sun, Jan 11, 2009",3:30p,,Box Score,,Phoenix Suns,L,,103,109,8,29,L 11,17307,2:16,,False,LAC,2009
38,"Wed, Jan 14, 2009",10:30p,,Box Score,,Atlanta Hawks,L,,80,97,8,30,L 12,15901,2:07,,False,LAC,2009
39,"Sat, Jan 17, 2009",10:30p,,Box Score,,Milwaukee Bucks,W,,101,92,9,30,W 1,16448,2:20,,False,LAC,2009
40,"Mon, Jan 19, 2009",3:30p,,Box Score,,Minnesota Timberwolves,L,,86,94,9,31,L 1,14399,2:08,,False,LAC,2009
41,"Wed, Jan 21, 2009",10:30p,,Box Score,,Los Angeles Lakers,L,,97,108,9,32,L 2,19627,2:05,,False,LAC,2009
42,"Fri, Jan 23, 2009",10:30p,,Box Score,,Oklahoma City Thunder,W,,107,104,10,32,W 1,14913,2:23,,False,LAC,2009
43,"Sun, Jan 25, 2009",9:00p,,Box Score,@,Golden State Warriors,L,,92,107,10,33,L 1,17746,2:10,,False,LAC,2009
44,"Mon, Jan 26, 2009",10:30p,,Box Score,,Portland Trail Blazers,L,,88,113,10,34,L 2,16570,2:15,,False,LAC,2009
45,"Wed, Jan 28, 2009",10:30p,,Box Score,,Chicago Bulls,L,,75,95,10,35,L 3,15637,2:09,,False,LAC,2009
46,"Fri, Jan 30, 2009",7:30p,,Box Score,@,Cleveland Cavaliers,L,,95,112,10,36,L 4,20562,2:06,,False,LAC,2009
47,"Sat, Jan 31, 2009",8:00p,,Box Score,@,Washington Wizards,L,,94,106,10,37,L 5,18227,2:16,,False,LAC,2009
48,"Mon, Feb 2, 2009",7:30p,,Box Score,@,Miami Heat,L,,95,119,10,38,L 6,15985,2:12,,False,LAC,2009
49,"Wed, Feb 4, 2009",7:00p,,Box Score,@,Orlando Magic,L,,96,125,10,39,L 7,16101,2:12,,False,LAC,2009
50,"Fri, Feb 6, 2009",8:00p,,Box Score,@,Memphis Grizzlies,W,,126,105,11,39,W 1,10912,2:19,,False,LAC,2009
