G,Date,Unnamed: 2,Unnamed: 3,Unnamed: 4,Opponent,Unnamed: 6,Unnamed: 7,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,is_playoff,team,season
1,"Wed, Oct 11, 1972",,Box Score,@,Kansas City-Omaha Kings,W,,129,94,1,0,W 1,,,"at Omaha, NE",False,LAL,1973
2,"Fri, Oct 13, 1972",,Box Score,@,Boston Celtics,L,,104,112,1,1,L 1,15316,,,False,LAL,1973
3,"Sat, Oct 14, 1972",,Box Score,@,New York Knicks,L,,100,125,1,2,L 2,,,,False,LAL,1973
4,"Sun, Oct 15, 1972",,Box Score,@,Cleveland Cavaliers,W,,95,83,2,2,W 1,,,,False,LAL,1973
5,"Fri, Oct 20, 1972",,Box Score,,Portland Trail Blazers,W,,126,104,3,2,W 2,,,,False,LAL,1973
6,"Sun, Oct 22, 1972",,Box Score,,Chicago Bulls,W,,104,99,4,2,W 3,,,,False,LAL,1973
7,"Tue, Oct 24, 1972",,Box Score,@,Kansas City-Omaha Kings,W,,114,94,5,2,W 4,,,,False,LAL,1973
8,"Wed, Oct 25, 1972",,Box Score,N,Houston Rockets,W,,112,107,6,2,W 5,,,"at San Antonio, TX",False,LAL,1973
9,"Fri, Oct 27, 1972",,Box Score,,Golden State Warriors,L,,91,119,6,3,L 1,,,,False,LAL,1973
10,"Sun, Oct 29, 1972",,Box Score,,Phoenix Suns,W,,133,123,7,3,W 1,,,,False,LAL,1973
11,"Fri, Nov 3, 1972",,Box Score,,Detroit Pistons,W,,116,107,8,3,W 2,,,,False,LAL,1973
12,"Sat, Nov 4, 1972",,Box Score,@,Portland Trail Blazers,W,,134,120,9,3,W 3,,,,False,LAL,1973
13,"Sun, Nov 5, 1972",,Box Score,@,Seattle SuperSonics,W,,124,115,10,3,W 4,,,,False,LAL,1973
14,"Tue, Nov 7, 1972",,Box Score,,Houston Rockets,W,,122,109,11,3,W 5,,,,False,LAL,1973
15,"Fri, Nov 10, 1972",,Box Score,,Cleveland Cavaliers,W,,118,88,12,3,W 6,,,,False,LAL,1973
16,"Tue, Nov 14, 1972",,Box Score,@,Milwaukee Bucks,W,,95,92,13,3,W 7,,,,False,LAL,1973
17,"Wed, Nov 15, 1972",,Box Score,@,Detroit Pistons,W,,110,99,14,3,W 8,,,,False,LAL,1973
18,"Fri, Nov 17, 1972",,Box Score,,Buffalo Braves,W,,103,100,15,3,W 9,,,,False,LAL,1973
19,"Sun, Nov 19, 1972",,Box Score,,Philadelphia 76ers,W,,135,95,16,3,W 10,,,,False,LAL,1973
20,"Fri, Nov 24, 1972",,Box Score,,Detroit Pistons,W,,140,123,17,3,W 11,,,,False,LAL,1973
21,"Sat, Nov 25, 1972",,Box Score,@,Phoenix Suns,W,,116,109,18,3,W 12,,,,False,LAL,1973
22,"Sun, Nov 26, 1972",,Box Score,,Phoenix Suns,W,,112,107,19,3,W 13,,,,False,LAL,1973
23,"Fri, Dec 1, 1972",,Box Score,,Atlanta Hawks,L,OT,109,114,19,4,L 1,,,,False,LAL,1973
24,"Sat, Dec 2, 1972",,Box Score,@,Golden State Warriors,W,,112,103,20,4,W 1,,,,False,LAL,1973
25,"Tue, Dec 5, 1972",,Box Score,,Milwaukee Bucks,W,,116,94,21,4,W 2,,,,False,LAL,1973
26,"Fri, Dec 8, 1972",,Box Score,,Seattle SuperSonics,W,,119,100,22,4,W 3,,,,False,LAL,1973
27,"Sun, Dec 10, 1972",,Box Score,,Portland Trail Blazers,W,,137,101,23,4,W 4,,,,False,LAL,1973
28,"Tue, Dec 12, 1972",,Box Score,@,Chicago Bulls,W,OT,106,105,24,4,W 5,,,,False,LAL,1973
29,"Wed, Dec 13, 1972",,Box Score,@,Philadelphia 76ers,W,,128,90,25,4,W 6,,,,False,LAL,1973
30,"Fri, Dec 15, 1972",,Box Score,,Boston Celtics,L,,98,102,25,5,L 1,17505,,,False,LAL,1973
31,"Tue, Dec 19, 1972",,Box Score,@,Buffalo Braves,W,,126,100,26,5,W 1,,,,False,LAL,1973
32,"Wed, Dec 20, 1972",,Box Score,@,Baltimore Bullets,W,,96,90,27,5,W 2,,,,False,LAL,1973
33,"Fri, Dec 22, 1972",,Box Score,,Phoenix Suns,L,,110,118,27,6,L 1,,,,False,LAL,1973
34,"Tue, Dec 26, 1972",,Box Score,,Portland Trail Blazers,W,,116,92,28,6,W 1,,,,False,LAL,1973
35,"Wed, Dec 27, 1972",,Box Score,@,Houston Rockets,L,,104,136,28,7,L 1,,,,False,LAL,1973
36,"Fri, Dec 29, 1972",,Box Score,,Kansas City-Omaha Kings,W,,123,92,29,7,W 1,,,,False,LAL,1973
37,"Mon, Jan 1, 1973",,Box Score,@,Seattle SuperSonics,W,,108,103,30,7,W 2,,,,False,LAL,1973
38,"Tue, Jan 2, 1973",,Box Score,@,Golden State Warriors,L,,106,112,30,8,L 1,,,,False,LAL,1973
39,"Sat, Jan 6, 1973",,Box Score,@,Cleveland Cavaliers,L,,93,108,30,9,L 2,,,,False,LAL,1973
40,"Sun, Jan 7, 1973",,Box Score,@,Milwaukee Bucks,L,,92,99,30,10,L 3,,,,False,LAL,1973
41,"Wed, Jan 10, 1973",,Box Score,@,Philadelphia 76ers,W,,120,96,31,10,W 1,,,,False,LAL,1973
42,"Fri, Jan 12, 1973",,Box Score,@,Chicago Bulls,W,,109,97,32,10,W 2,,,,False,LAL,1973
43,"Sun, Jan 14, 1973",,Box Score,@,Atlanta Hawks,W,,102,100,33,10,W 3,,,,False,LAL,1973
