G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,is_playoff,Unnamed: 2,Unnamed: 6,team,season
1,"Fri, Oct 29, 1982",,,Box Score,,Golden State Warriors,L,,117,132,0,1,L 1,15802,,,False,,,LAL,1983
2,"Wed, Nov 3, 1982",,,Box Score,@,Denver Nuggets,W,OT,135,134,1,1,W 1,14807,,,False,,,LAL,1983
3,"Thu, Nov 4, 1982",,,Box Score,,Denver Nuggets,W,,131,108,2,1,W 2,12815,,,False,,,LAL,1983
4,"Sat, Nov 6, 1982",,,Box Score,@,Utah Jazz,W,,104,101,3,1,W 3,11869,,,False,,,LAL,1983
5,"Sun, Nov 7, 1982",,,Box Score,,Portland Trail Blazers,W,,103,89,4,1,W 4,13526,,,False,,,LAL,1983
6,"Tue, Nov 9, 1982",,,Box Score,,Kansas City Kings,W,,139,117,5,1,W 5,12402,,,False,,,LAL,1983
7,"Fri, Nov 12, 1982",,,Box Score,,Houston Rockets,W,,127,96,6,1,W 6,15804,,,False,,,LAL,1983
8,"Sun, Nov 14, 1982",,,Box Score,,Cleveland Cavaliers,W,,111,98,7,1,W 7,12806,,,False,,,LAL,1983
9,"Tue, Nov 16, 1982",,,Box Score,@,Phoenix Suns,L,,105,113,7,2,L 1,13288,,,False,,,LAL,1983
10,"Wed, Nov 17, 1982",,,Box Score,@,Dallas Mavericks,L,,117,118,7,3,L 2,17134,,,False,,,LAL,1983
11,"Fri, Nov 19, 1982",,,Box Score,,Washington Bullets,W,,122,92,8,3,W 1,14945,,,False,,,LAL,1983
12,"Sun, Nov 21, 1982",,,Box Score,,Denver Nuggets,W,,143,129,9,3,W 2,17505,,,False,,,LAL,1983
13,"Wed, Nov 24, 1982",,,Box Score,@,Seattle SuperSonics,W,,111,93,10,3,W 3,26230,,,False,,,LAL,1983
14,"Fri, Nov 26, 1982",,,Box Score,@,San Diego Clippers,W,,117,115,11,3,W 4,12077,,,False,,,LAL,1983
15,"Sun, Nov 28, 1982",,,Box Score,,Golden State Warriors,W,,142,127,12,3,W 5,16125,,,False,,,LAL,1983
16,"Tue, Nov 30, 1982",,,Box Score,@,San Antonio Spurs,L,,114,117,12,4,L 1,12115,,Game protested and completed on 1983-04-13,False,,,LAL,1983
17,"Wed, Dec 1, 1982",,,Box Score,@,Houston Rockets,W,,106,95,13,4,W 1,8786,,,False,,,LAL,1983
18,"Fri, Dec 3, 1982",,,Box Score,,Portland Trail Blazers,W,,115,100,14,4,W 2,13787,,,False,,,LAL,1983
19,"Sun, Dec 5, 1982",,,Box Score,,Philadelphia 76ers,L,,104,114,14,5,L 1,,,,False,,,LAL,1983
20,"Wed, Dec 8, 1982",,,Box Score,,Phoenix Suns,W,,89,86,15,5,W 1,13763,2:07,,False,,,LAL,1983
21,"Fri, Dec 10, 1982",,,Box Score,@,Utah Jazz,W,,128,122,16,5,W 2,9023,,,False,,,LAL,1983
22,"Sat, Dec 11, 1982",,,Box Score,@,Golden State Warriors,W,,128,107,17,5,W 3,13335,,,False,,,LAL,1983
23,"Tue, Dec 14, 1982",,,Box Score,@,Portland Trail Blazers,L,,103,107,17,6,L 1,,,,False,,,LAL,1983
24,"Fri, Dec 17, 1982",,,Box Score,,New Jersey Nets,W,,117,106,18,6,W 1,15786,,,False,,,LAL,1983
25,"Sat, Dec 18, 1982",,,Box Score,@,Phoenix Suns,L,,100,126,18,7,L 1,12856,1:58,,False,,,LAL,1983
26,"Sun, Dec 19, 1982",,,Box Score,,Dallas Mavericks,W,,110,108,19,7,W 1,14094,,,False,,,LAL,1983
27,"Wed, Dec 22, 1982",,,Box Score,,Utah Jazz,W,,124,100,20,7,W 2,12358,,,False,,,LAL,1983
28,"Thu, Dec 23, 1982",,,Box Score,@,San Diego Clippers,W,,120,115,21,7,W 3,8160,,,False,,,LAL,1983
29,"Sun, Dec 26, 1982",,,Box Score,@,Houston Rockets,W,,96,94,22,7,W 4,10833,,,False,,,LAL,1983
30,"Wed, Dec 29, 1982",,,Box Score,@,Golden State Warriors,W,,120,110,23,7,W 5,13335,,,False,,,LAL,1983
31,"Thu, Dec 30, 1982",,,Box Score,,Seattle SuperSonics,W,,137,117,24,7,W 6,17505,,,False,,,LAL,1983
32,"Sun, Jan 2, 1983",,,Box Score,,Detroit Pistons,W,,127,112,25,7,W 7,15343,,,False,,,LAL,1983
33,"Wed, Jan 5, 1983",,,Box Score,@,Philadelphia 76ers,L,OT,120,122,25,8,L 1,18482,2:24,,False,,,LAL,1983
34,"Thu, Jan 6, 1983",,,Box Score,@,Cleveland Cavaliers,W,,125,107,26,8,W 1,11270,,,False,,,LAL,1983
35,"Sat, Jan 8, 1983",,,Box Score,@,New York Knicks,W,,108,90,27,8,W 2,19591,,,False,,,LAL,1983
36,"Tue, Jan 11, 1983",7:45p,,Box Score,@,New Jersey Nets,L,,96,110,27,9,L 1,20149,1:54,,False,,,LAL,1983
37,"Sat, Jan 15, 1983",,,Box Score,@,Atlanta Hawks,W,,120,101,28,9,W 1,15956,,,False,,,LAL,1983
38,"Wed, Jan 19, 1983",,,Box Score,,San Diego Clippers,W,,107,104,29,9,W 2,,,,False,,,LAL,1983
39,"Fri, Jan 21, 1983",,,Box Score,,San Antonio Spurs,W,,119,110,30,9,W 3,,,,False,,,LAL,1983
40,"Sun, Jan 23, 1983",,,Box Score,,Indiana Pacers,W,,105,102,31,9,W 4,14139,,,False,,,LAL,1983
41,"Tue, Jan 25, 1983",,,Box Score,@,Portland Trail Blazers,W,,125,120,32,9,W 5,12666,,,False,,,LAL,1983
42,"Wed, Jan 26, 1983",,,Box Score,,Milwaukee Bucks,W,,115,113,33,9,W 6,17505,,,False,,,LAL,1983
43,"Fri, Jan 28, 1983",,,Box Score,,Atlanta Hawks,W,,109,85,34,9,W 7,17505,,,False,,,LAL,1983
44,"Sun, Jan 30, 1983",,,Box Score,@,Boston Celtics,L,,95,110,34,10,L 1,15320,2:09,,False,,,LAL,1983
