G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,is_playoff,team,season
1,"Tue, Oct 29, 2013",10:30p,,Box Score,,Los Angeles Clippers,W,,116,103,1,0,W 1,18997,2:27,,False,LAL,2014
2,"Wed, Oct 30, 2013",10:30p,,Box Score,@,Golden State Warriors,L,,94,125,1,1,L 1,19596,2:10,,False,LAL,2014
3,"Fri, Nov 1, 2013",10:30p,,Box Score,,San Antonio Spurs,L,,85,91,1,2,L 2,18997,2:27,,False,LAL,2014
4,"Sun, Nov 3, 2013",9:30p,,Box Score,,Atlanta Hawks,W,,105,103,2,2,W 1,18997,2:16,,False,LAL,2014
5,"Tue, Nov 5, 2013",8:30p,,Box Score,@,Dallas Mavericks,L,,104,123,2,3,L 1,19670,2:05,,False,LAL,2014
6,"Thu, Nov 7, 2013",9:30p,,Box Score,@,Houston Rockets,W,,99,98,3,3,W 1,18133,2:41,,False,LAL,2014
7,"Fri, Nov 8, 2013",8:00p,,Box Score,@,New Orleans Pelicans,L,,85,96,3,4,L 1,18209,2:10,,False,LAL,2014
8,"Sun, Nov 10, 2013",9:30p,,Box Score,,Minnesota Timberwolves,L,,90,113,3,5,L 2,18997,2:04,,False,LAL,2014
9,"Tue, Nov 12, 2013",10:30p,,Box Score,,New Orleans Pelicans,W,,116,95,4,5,W 1,18426,2:06,,False,LAL,2014
10,"Wed, Nov 13, 2013",9:00p,,Box Score,@,Denver Nuggets,L,,99,111,4,6,L 1,17824,2:14,,False,LAL,2014
11,"Fri, Nov 15, 2013",10:30p,,Box Score,,Memphis Grizzlies,L,,86,89,4,7,L 2,18997,2:03,,False,LAL,2014
12,"Sun, Nov 17, 2013",9:30p,,Box Score,,Detroit Pistons,W,,114,99,5,7,W 1,18997,2:04,,False,LAL,2014
13,"Fri, Nov 22, 2013",10:30p,,Box Score,,Golden State Warriors,W,,102,95,6,7,W 2,18997,2:17,,False,LAL,2014
14,"Sun, Nov 24, 2013",9:30p,,Box Score,,Sacramento Kings,W,,100,86,7,7,W 3,18997,2:01,,False,LAL,2014
15,"Tue, Nov 26, 2013",7:00p,,Box Score,@,Washington Wizards,L,,111,116,7,8,L 1,19204,2:04,,False,LAL,2014
16,"Wed, Nov 27, 2013",7:30p,,Box Score,@,Brooklyn Nets,W,,99,94,8,8,W 1,17732,2:20,,False,LAL,2014
17,"Fri, Nov 29, 2013",7:30p,,Box Score,@,Detroit Pistons,W,,106,102,9,8,W 2,15202,2:33,,False,LAL,2014
18,"Sun, Dec 1, 2013",9:30p,,Box Score,,Portland Trail Blazers,L,,108,114,9,9,L 1,18997,2:14,,False,LAL,2014
19,"Fri, Dec 6, 2013",10:00p,,Box Score,@,Sacramento Kings,W,,106,100,10,9,W 1,17317,2:07,,False,LAL,2014
20,"Sun, Dec 8, 2013",9:30p,,Box Score,,Toronto Raptors,L,,94,106,10,10,L 1,18997,2:11,,False,LAL,2014
21,"Tue, Dec 10, 2013",10:30p,,Box Score,,Phoenix Suns,L,,108,114,10,11,L 2,18997,2:16,,False,LAL,2014
22,"Fri, Dec 13, 2013",8:00p,,Box Score,@,Oklahoma City Thunder,L,,97,122,10,12,L 3,18203,2:23,,False,LAL,2014
23,"Sat, Dec 14, 2013",7:00p,,Box Score,@,Charlotte Bobcats,W,,88,85,11,12,W 1,17101,2:05,,False,LAL,2014
24,"Mon, Dec 16, 2013",7:30p,,Box Score,@,Atlanta Hawks,L,,100,114,11,13,L 1,15146,2:01,,False,LAL,2014
25,"Tue, Dec 17, 2013",8:00p,,Box Score,@,Memphis Grizzlies,W,,96,92,12,13,W 1,17217,2:05,,False,LAL,2014
26,"Fri, Dec 20, 2013",10:30p,,Box Score,,Minnesota Timberwolves,W,,104,91,13,13,W 2,18997,2:23,,False,LAL,2014
27,"Sat, Dec 21, 2013",10:30p,,Box Score,@,Golden State Warriors,L,,83,102,13,14,L 1,19596,2:21,,False,LAL,2014
28,"Mon, Dec 23, 2013",9:00p,,Box Score,@,Phoenix Suns,L,,90,117,13,15,L 2,14814,2:14,,False,LAL,2014
29,"Wed, Dec 25, 2013",5:00p,,Box Score,,Miami Heat,L,,95,101,13,16,L 3,18997,2:25,,False,LAL,2014
30,"Fri, Dec 27, 2013",9:00p,,Box Score,@,Utah Jazz,L,,103,105,13,17,L 4,19911,2:09,,False,LAL,2014
31,"Sun, Dec 29, 2013",9:30p,,Box Score,,Philadelphia 76ers,L,,104,111,13,18,L 5,18997,2:17,,False,LAL,2014
32,"Tue, Dec 31, 2013",10:30p,,Box Score,,Milwaukee Bucks,L,,79,94,13,19,L 6,18997,2:05,,False,LAL,2014
33,"Fri, Jan 3, 2014",10:30p,,Box Score,,Utah Jazz,W,,110,99,14,19,W 1,18997,2:12,,False,LAL,2014
34,"Sun, Jan 5, 2014",9:30p,,Box Score,,Denver Nuggets,L,,115,137,14,20,L 1,18997,2:16,,False,LAL,2014
35,"Tue, Jan 7, 2014",8:30p,,Box Score,@,Dallas Mavericks,L,,97,110,14,21,L 2,19656,2:04,,False,LAL,2014
36,"Wed, Jan 8, 2014",8:00p,,Box Score,@,Houston Rockets,L,,99,113,14,22,L 3,18229,2:17,,False,LAL,2014
37,"Fri, Jan 10, 2014",10:30p,,Box Score,@,Los Angeles Clippers,L,,87,123,14,23,L 4,19316,2:28,,False,LAL,2014
38,"Tue, Jan 14, 2014",10:30p,,Box Score,,Cleveland Cavaliers,L,,118,120,14,24,L 5,18997,2:17,,False,LAL,2014
39,"Wed, Jan 15, 2014",9:00p,,Box Score,@,Phoenix Suns,L,,114,121,14,25,L 6,16022,2:22,,False,LAL,2014
40,"Fri, Jan 17, 2014",7:30p,,Box Score,@,Boston Celtics,W,,107,104,15,25,W 1,18624,2:16,,False,LAL,2014
41,"Sun, Jan 19, 2014",1:00p,,Box Score,@,Toronto Raptors,W,,112,106,16,25,W 2,17706,2:15,,False,LAL,2014
42,"Mon, Jan 20, 2014",8:00p,,Box Score,@,Chicago Bulls,L,OT,100,102,16,26,L 1,21626,2:26,,False,LAL,2014
43,"Thu, Jan 23, 2014",8:00p,,Box Score,@,Miami Heat,L,,102,109,16,27,L 2,19608,2:22,,False,LAL,2014
44,"Fri, Jan 24, 2014",7:00p,,Box Score,@,Orlando Magic,L,,105,114,16,28,L 3,16101,2:07,,False,LAL,2014
45,"Sun, Jan 26, 2014",3:30p,,Box Score,@,New York Knicks,L,,103,110,16,29,L 4,19812,2:19,,False,LAL,2014
