G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,is_playoff,team,season
1,"Wed, Oct 29, 2008",8:30p,,Box Score,@,Houston Rockets,L,,71,82,0,1,L 1,18196,2:16,,False,MEM,2009
2,"Fri, Oct 31, 2008",8:00p,,Box Score,,Orlando Magic,W,,86,84,1,1,W 1,16139,2:34,,False,MEM,2009
3,"Sat, Nov 1, 2008",8:30p,,Box Score,@,Chicago Bulls,L,,86,96,1,2,L 1,21785,2:20,,False,MEM,2009
4,"Mon, Nov 3, 2008",8:00p,,Box Score,,Golden State Warriors,W,,90,79,2,2,W 1,10121,2:08,,False,MEM,2009
5,"Wed, Nov 5, 2008",10:00p,,Box Score,@,Sacramento Kings,L,,95,100,2,3,L 1,13685,2:32,,False,MEM,2009
6,"Fri, Nov 7, 2008",10:30p,,Box Score,@,Golden State Warriors,W,,109,104,3,3,W 1,18744,2:33,,False,MEM,2009
7,"Sun, Nov 9, 2008",8:00p,,Box Score,@,Denver Nuggets,L,,90,100,3,4,L 1,14359,2:34,,False,MEM,2009
8,"Mon, Nov 10, 2008",9:00p,,Box Score,@,Phoenix Suns,L,,102,107,3,5,L 2,18422,2:24,,False,MEM,2009
9,"Wed, Nov 12, 2008",8:00p,,Box Score,,New York Knicks,L,,103,132,3,6,L 3,10129,1:56,,False,MEM,2009
10,"Fri, Nov 14, 2008",8:00p,,Box Score,,Milwaukee Bucks,L,OT,96,101,3,7,L 4,11308,2:42,,False,MEM,2009
11,"Tue, Nov 18, 2008",8:00p,,Box Score,,Sacramento Kings,W,,109,94,4,7,W 1,10834,2:14,,False,MEM,2009
12,"Fri, Nov 21, 2008",8:30p,,Box Score,@,Dallas Mavericks,L,,76,91,4,8,L 1,20035,2:13,,False,MEM,2009
13,"Sat, Nov 22, 2008",8:00p,,Box Score,,Utah Jazz,L,,94,103,4,9,L 2,13121,2:11,,False,MEM,2009
14,"Mon, Nov 24, 2008",8:00p,,Box Score,,San Antonio Spurs,L,,81,94,4,10,L 3,12053,2:12,,False,MEM,2009
15,"Wed, Nov 26, 2008",9:00p,,Box Score,@,Utah Jazz,L,,100,117,4,11,L 4,19911,2:13,,False,MEM,2009
16,"Fri, Nov 28, 2008",8:30p,,Box Score,@,San Antonio Spurs,L,,98,109,4,12,L 5,17074,2:08,,False,MEM,2009
17,"Sat, Nov 29, 2008",8:00p,,Box Score,,Oklahoma City Thunder,L,,103,111,4,13,L 6,11977,2:14,,False,MEM,2009
18,"Wed, Dec 3, 2008",7:00p,,Box Score,@,Atlanta Hawks,L,,95,105,4,14,L 7,12088,2:18,,False,MEM,2009
19,"Fri, Dec 5, 2008",8:00p,,Box Score,,Los Angeles Clippers,W,,93,81,5,14,W 1,10484,2:01,,False,MEM,2009
20,"Sat, Dec 6, 2008",8:00p,,Box Score,@,New Orleans Hornets,L,,87,106,5,15,L 1,16822,2:14,,False,MEM,2009
