G,Date,Unnamed: 2,Unnamed: 3,Unnamed: 4,Opponent,Unnamed: 6,Unnamed: 7,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,is_playoff,team,season
1,"Fri, Nov 5, 1993",,Box Score,,Orlando Magic,L,,96,116,0,1,L 1,15200,,,False,MIA,1994
2,"Sat, Nov 6, 1993",,Box Score,@,Chicago Bulls,W,,95,71,1,1,W 1,18676,,,False,MIA,1994
3,"Thu, Nov 11, 1993",,Box Score,,Milwaukee Bucks,W,,116,103,2,1,W 2,15010,,,False,MIA,1994
4,"Fri, Nov 12, 1993",,Box Score,@,Orlando Magic,W,,115,100,3,1,W 3,15291,,,False,MIA,1994
5,"Wed, Nov 17, 1993",,Box Score,,Utah Jazz,L,,111,115,3,2,L 1,14879,,,False,MIA,1994
6,"Fri, Nov 19, 1993",,Box Score,,Atlanta Hawks,L,,92,95,3,3,L 2,15031,,,False,MIA,1994
7,"Sat, Nov 20, 1993",,Box Score,@,Washington Bullets,L,,102,104,3,4,L 3,12756,,"at Baltimore, MD",False,MIA,1994
8,"Mon, Nov 22, 1993",,Box Score,@,New York Knicks,L,,87,119,3,5,L 4,19763,2:13,,False,MIA,1994
9,"Wed, Nov 24, 1993",,Box Score,,Golden State Warriors,L,,102,108,3,6,L 5,15002,,,False,MIA,1994
10,"Fri, Nov 26, 1993",,Box Score,@,Boston Celtics,W,,101,93,4,6,W 1,14890,2:21,,False,MIA,1994
11,"Sat, Nov 27, 1993",,Box Score,,Charlotte Hornets,W,,114,100,5,6,W 2,15200,,,False,MIA,1994
12,"Tue, Nov 30, 1993",,Box Score,,Portland Trail Blazers,L,,109,123,5,7,L 1,14798,,,False,MIA,1994
13,"Fri, Dec 3, 1993",,Box Score,,Chicago Bulls,L,,99,104,5,8,L 2,15200,,,False,MIA,1994
14,"Tue, Dec 7, 1993",,Box Score,@,Dallas Mavericks,W,,106,101,6,8,W 1,10784,,,False,MIA,1994
15,"Thu, Dec 9, 1993",,Box Score,@,Houston Rockets,L,OT,109,115,6,9,L 1,12707,,,False,MIA,1994
16,"Sat, Dec 11, 1993",,Box Score,,Boston Celtics,W,,111,80,7,9,W 1,15200,2:07,,False,MIA,1994
17,"Mon, Dec 13, 1993",,Box Score,@,New Jersey Nets,L,2OT,105,110,7,10,L 1,9105,,,False,MIA,1994
18,"Tue, Dec 14, 1993",,Box Score,,Houston Rockets,L,,88,97,7,11,L 2,15011,,,False,MIA,1994
19,"Thu, Dec 16, 1993",,Box Score,,Cleveland Cavaliers,W,,90,89,8,11,W 1,14792,,,False,MIA,1994
20,"Sat, Dec 18, 1993",,Box Score,,Philadelphia 76ers,W,,113,90,9,11,W 2,14869,,,False,MIA,1994
21,"Wed, Dec 22, 1993",,Box Score,@,Philadelphia 76ers,W,,98,90,10,11,W 3,10246,,,False,MIA,1994
22,"Thu, Dec 23, 1993",,Box Score,,Los Angeles Lakers,W,,109,92,11,11,W 4,15200,,,False,MIA,1994
23,"Sun, Dec 26, 1993",,Box Score,,Sacramento Kings,W,,109,95,12,11,W 5,15200,,,False,MIA,1994
24,"Tue, Dec 28, 1993",,Box Score,,San Antonio Spurs,L,,76,84,12,12,L 1,15200,,,False,MIA,1994
25,"Thu, Dec 30, 1993",,Box Score,,Orlando Magic,L,,100,108,12,13,L 2,15200,,,False,MIA,1994
26,"Sun, Jan 2, 1994",,Box Score,@,Detroit Pistons,W,,93,85,13,13,W 1,19274,,,False,MIA,1994
27,"Tue, Jan 4, 1994",,Box Score,,New Jersey Nets,W,,100,83,14,13,W 2,15082,,,False,MIA,1994
28,"Fri, Jan 7, 1994",,Box Score,@,Utah Jazz,W,,110,104,15,13,W 3,19911,,,False,MIA,1994
29,"Sat, Jan 8, 1994",,Box Score,@,Los Angeles Clippers,W,,109,90,16,13,W 4,11866,,,False,MIA,1994
30,"Tue, Jan 11, 1994",,Box Score,@,Sacramento Kings,L,,95,103,16,14,L 1,17317,,,False,MIA,1994
31,"Wed, Jan 12, 1994",,Box Score,@,Golden State Warriors,L,,92,100,16,15,L 2,15025,,,False,MIA,1994
32,"Fri, Jan 14, 1994",,Box Score,@,Portland Trail Blazers,L,,110,115,16,16,L 3,12888,,,False,MIA,1994
33,"Sat, Jan 15, 1994",,Box Score,@,Seattle SuperSonics,L,,78,97,16,17,L 4,14787,,,False,MIA,1994
34,"Tue, Jan 18, 1994",,Box Score,,Los Angeles Clippers,L,,124,126,16,18,L 5,14901,,,False,MIA,1994
