G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,is_playoff,team,season
1,"Sun, Dec 25, 2011",2:30p,,Box Score,@,Dallas Mavericks,W,,105,94,1,0,W 1,20421,2:44,,False,MIA,2012
2,"Tue, Dec 27, 2011",8:00p,,Box Score,,Boston Celtics,W,,115,107,2,0,W 2,20166,2:44,,False,MIA,2012
3,"Wed, Dec 28, 2011",7:00p,,Box Score,@,Charlotte Bobcats,W,,96,95,3,0,W 3,19614,2:16,,False,MIA,2012
4,"Fri, Dec 30, 2011",8:00p,,Box Score,@,Minnesota Timberwolves,W,,103,101,4,0,W 4,19356,2:16,,False,MIA,2012
5,"Sun, Jan 1, 2012",6:00p,,Box Score,,Charlotte Bobcats,W,,129,90,5,0,W 5,20016,2:09,,False,MIA,2012
6,"Mon, Jan 2, 2012",7:30p,,Box Score,,Atlanta Hawks,L,,92,100,5,1,L 1,20078,2:14,,False,MIA,2012
7,"Wed, Jan 4, 2012",7:30p,,Box Score,,Indiana Pacers,W,,118,83,6,1,W 1,20201,2:22,,False,MIA,2012
8,"Thu, Jan 5, 2012",8:00p,,Box Score,@,Atlanta Hawks,W,3OT,116,109,7,1,W 2,18371,3:34,,False,MIA,2012
9,"Sat, Jan 7, 2012",7:30p,,Box Score,@,New Jersey Nets,W,,101,90,8,1,W 3,18711,2:21,,False,MIA,2012
10,"Tue, Jan 10, 2012",10:30p,,Box Score,@,Golden State Warriors,L,OT,106,111,8,2,L 1,19596,2:47,,False,MIA,2012
11,"Wed, Jan 11, 2012",10:30p,,Box Score,@,Los Angeles Clippers,L,OT,89,95,8,3,L 2,19341,3:00,,False,MIA,2012
12,"Fri, Jan 13, 2012",10:30p,,Box Score,@,Denver Nuggets,L,,104,117,8,4,L 3,19155,2:28,,False,MIA,2012
13,"Tue, Jan 17, 2012",7:30p,,Box Score,,San Antonio Spurs,W,,120,98,9,4,W 1,19600,2:09,,False,MIA,2012
14,"Thu, Jan 19, 2012",8:00p,,Box Score,,Los Angeles Lakers,W,,98,87,10,4,W 2,20004,2:19,,False,MIA,2012
15,"Sat, Jan 21, 2012",7:30p,,Box Score,,Philadelphia 76ers,W,,113,92,11,4,W 3,19725,2:05,,False,MIA,2012
16,"Sun, Jan 22, 2012",6:00p,,Box Score,,Milwaukee Bucks,L,,82,91,11,5,L 1,19600,2:22,,False,MIA,2012
17,"Tue, Jan 24, 2012",7:30p,,Box Score,,Cleveland Cavaliers,W,,92,85,12,5,W 1,19600,2:19,,False,MIA,2012
18,"Wed, Jan 25, 2012",7:30p,,Box Score,@,Detroit Pistons,W,,101,98,13,5,W 2,18058,2:29,,False,MIA,2012
19,"Fri, Jan 27, 2012",8:00p,,Box Score,,New York Knicks,W,,99,89,14,5,W 3,19707,2:29,,False,MIA,2012
20,"Sun, Jan 29, 2012",3:30p,,Box Score,,Chicago Bulls,W,,97,93,15,5,W 4,20054,2:41,,False,MIA,2012
21,"Mon, Jan 30, 2012",7:30p,,Box Score,,New Orleans Hornets,W,,109,95,16,5,W 5,19804,2:09,,False,MIA,2012
22,"Wed, Feb 1, 2012",8:00p,,Box Score,@,Milwaukee Bucks,L,,97,105,16,6,L 1,16116,2:13,,False,MIA,2012
23,"Fri, Feb 3, 2012",7:00p,,Box Score,@,Philadelphia 76ers,W,,99,79,17,6,W 1,20694,2:04,,False,MIA,2012
24,"Sun, Feb 5, 2012",1:00p,,Box Score,,Toronto Raptors,W,,95,89,18,6,W 2,19802,2:22,,False,MIA,2012
25,"Tue, Feb 7, 2012",7:30p,,Box Score,,Cleveland Cavaliers,W,,107,91,19,6,W 3,20078,2:16,,False,MIA,2012
26,"Wed, Feb 8, 2012",7:00p,,Box Score,@,Orlando Magic,L,,89,102,19,7,L 1,18972,2:11,,False,MIA,2012
27,"Fri, Feb 10, 2012",7:00p,,Box Score,@,Washington Wizards,W,,106,89,20,7,W 1,20282,2:11,,False,MIA,2012
28,"Sun, Feb 12, 2012",7:00p,,Box Score,@,Atlanta Hawks,W,,107,87,21,7,W 2,18371,2:10,,False,MIA,2012
29,"Mon, Feb 13, 2012",8:00p,,Box Score,@,Milwaukee Bucks,W,,114,96,22,7,W 3,16749,2:11,,False,MIA,2012
30,"Tue, Feb 14, 2012",7:00p,,Box Score,@,Indiana Pacers,W,,105,90,23,7,W 4,18165,2:19,,False,MIA,2012
31,"Fri, Feb 17, 2012",7:30p,,Box Score,@,Cleveland Cavaliers,W,,111,87,24,7,W 5,20562,2:10,,False,MIA,2012
32,"Sun, Feb 19, 2012",3:30p,,Box Score,,Orlando Magic,W,,90,78,25,7,W 6,20185,2:18,,False,MIA,2012
33,"Tue, Feb 21, 2012",7:30p,,Box Score,,Sacramento Kings,W,,120,108,26,7,W 7,20068,2:12,,False,MIA,2012
34,"Thu, Feb 23, 2012",7:00p,,Box Score,,New York Knicks,W,,102,88,27,7,W 8,20197,2:21,,False,MIA,2012
35,"Thu, Mar 1, 2012",10:30p,,Box Score,@,Portland Trail Blazers,W,,107,93,28,7,W 9,20597,2:27,,False,MIA,2012
36,"Fri, Mar 2, 2012",9:00p,,Box Score,@,Utah Jazz,L,,98,99,28,8,L 1,19911,2:21,,False,MIA,2012
37,"Sun, Mar 4, 2012",3:30p,,Box Score,@,Los Angeles Lakers,L,,83,93,28,9,L 2,18997,2:38,,False,MIA,2012
38,"Tue, Mar 6, 2012",7:30p,,Box Score,,New Jersey Nets,W,,108,78,29,9,W 1,19600,1:59,,False,MIA,2012
39,"Wed, Mar 7, 2012",7:30p,,Box Score,,Atlanta Hawks,W,,89,86,30,9,W 2,20018,2:08,,False,MIA,2012
40,"Sat, Mar 10, 2012",7:30p,,Box Score,,Indiana Pacers,W,OT,93,91,31,9,W 3,20154,2:41,,False,MIA,2012
41,"Tue, Mar 13, 2012",7:00p,,Box Score,@,Orlando Magic,L,OT,98,104,31,10,L 1,18879,2:44,,False,MIA,2012
42,"Wed, Mar 14, 2012",9:30p,,Box Score,@,Chicago Bulls,L,,102,106,31,11,L 2,23028,2:37,,False,MIA,2012
43,"Fri, Mar 16, 2012",7:00p,,Box Score,@,Philadelphia 76ers,W,,84,78,32,11,W 1,20396,2:21,,False,MIA,2012
44,"Sun, Mar 18, 2012",7:00p,,Box Score,,Orlando Magic,W,,91,81,33,11,W 2,20003,2:27,,False,MIA,2012
