G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,is_playoff,Unnamed: 2,Unnamed: 6,team,season
1,"Sat, Oct 30, 1982",,,Box Score,,New York Knicks,W,,108,86,1,0,W 1,11052,,,False,,,MIL,1983
2,"Sun, Oct 31, 1982",,,Box Score,@,Cleveland Cavaliers,W,,119,95,2,0,W 2,6622,,,False,,,MIL,1983
3,"Tue, Nov 2, 1982",,,Box Score,@,Kansas City Kings,L,,112,119,2,1,L 1,7442,,,False,,,MIL,1983
4,"Thu, Nov 4, 1982",,,Box Score,@,Atlanta Hawks,W,,104,100,3,1,W 1,8895,,,False,,,MIL,1983
5,"Fri, Nov 5, 1982",,,Box Score,,San Diego Clippers,W,,130,99,4,1,W 2,10685,,,False,,,MIL,1983
6,"Sun, Nov 7, 1982",,,Box Score,,Seattle SuperSonics,L,,90,102,4,2,L 1,10975,,,False,,,MIL,1983
7,"Wed, Nov 10, 1982",,,Box Score,@,Boston Celtics,W,,105,101,5,2,W 1,15320,1:58,,False,,,MIL,1983
8,"Fri, Nov 12, 1982",,,Box Score,@,Detroit Pistons,L,,100,111,5,3,L 1,17147,,,False,,,MIL,1983
9,"Sun, Nov 14, 1982",,,Box Score,,Boston Celtics,L,,98,100,5,4,L 2,11052,2:14,,False,,,MIL,1983
10,"Tue, Nov 16, 1982",,,Box Score,,Indiana Pacers,W,,115,103,6,4,W 1,10620,,,False,,,MIL,1983
11,"Thu, Nov 18, 1982",,,Box Score,@,New York Knicks,W,,89,77,7,4,W 2,10222,,,False,,,MIL,1983
12,"Fri, Nov 19, 1982",,,Box Score,@,Philadelphia 76ers,L,,109,121,7,5,L 1,18482,1:57,,False,,,MIL,1983
13,"Sun, Nov 21, 1982",,,Box Score,@,Indiana Pacers,W,,109,98,8,5,W 1,4202,,,False,,,MIL,1983
14,"Wed, Nov 24, 1982",,,Box Score,,Utah Jazz,W,,119,106,9,5,W 2,9385,,,False,,,MIL,1983
15,"Sat, Nov 27, 1982",,,Box Score,,New York Knicks,W,,109,96,10,5,W 3,11052,,,False,,,MIL,1983
16,"Sun, Nov 28, 1982",,,Box Score,@,Boston Celtics,L,,109,124,10,6,L 1,15320,1:58,,False,,,MIL,1983
17,"Tue, Nov 30, 1982",,,Box Score,,Cleveland Cavaliers,W,,88,78,11,6,W 1,8765,,,False,,,MIL,1983
18,"Wed, Dec 1, 1982",,,Box Score,@,Indiana Pacers,W,,125,105,12,6,W 2,5850,,,False,,,MIL,1983
19,"Fri, Dec 3, 1982",,,Box Score,,Boston Celtics,W,,115,112,13,6,W 3,11052,2:00,,False,,,MIL,1983
20,"Sun, Dec 5, 1982",7:41p,,Box Score,@,New Jersey Nets,L,,103,108,13,7,L 1,11016,2:08,,False,,,MIL,1983
21,"Wed, Dec 8, 1982",,,Box Score,,Chicago Bulls,L,,101,111,13,8,L 2,9185,,,False,,,MIL,1983
22,"Fri, Dec 10, 1982",,,Box Score,@,Atlanta Hawks,W,,104,83,14,8,W 1,7864,,,False,,,MIL,1983
23,"Sun, Dec 12, 1982",,,Box Score,,Indiana Pacers,W,,120,108,15,8,W 2,8895,,,False,,,MIL,1983
24,"Wed, Dec 15, 1982",,,Box Score,,Denver Nuggets,L,,98,113,15,9,L 1,9085,,,False,,,MIL,1983
25,"Fri, Dec 17, 1982",,,Box Score,,Chicago Bulls,W,,115,93,16,9,W 1,9206,,,False,,,MIL,1983
26,"Sun, Dec 19, 1982",,,Box Score,,San Antonio Spurs,W,,113,98,17,9,W 2,10302,,,False,,,MIL,1983
27,"Tue, Dec 21, 1982",,,Box Score,@,New York Knicks,L,OT,94,101,17,10,L 1,8520,,,False,,,MIL,1983
28,"Thu, Dec 23, 1982",,,Box Score,,Atlanta Hawks,W,,101,90,18,10,W 1,10704,,,False,,,MIL,1983
29,"Sun, Dec 26, 1982",,,Box Score,,Detroit Pistons,W,,106,96,19,10,W 2,10918,,,False,,,MIL,1983
