G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,is_playoff,team,season
1,"Wed, Dec 23, 2020",7:30p,,Box Score,@,Boston Celtics,L,,121,122,0,1,L 1,,2:20,,False,MIL,2021
2,"Fri, Dec 25, 2020",2:30p,,Box Score,,Golden State Warriors,W,,138,99,1,1,W 1,,2:17,,False,MIL,2021
3,"Sun, Dec 27, 2020",7:30p,,Box Score,@,New York Knicks,L,,110,130,1,2,L 1,,2:19,,False,MIL,2021
4,"Tue, Dec 29, 2020",7:30p,,Box Score,@,Miami Heat,W,,144,97,2,2,W 1,,2:09,,False,MIL,2021
5,"Wed, Dec 30, 2020",7:30p,,Box Score,@,Miami Heat,L,,108,119,2,3,L 1,,2:11,,False,MIL,2021
6,"Fri, Jan 1, 2021",8:00p,,Box Score,,Chicago Bulls,W,,126,96,3,3,W 1,,2:09,,False,MIL,2021
7,"Mon, Jan 4, 2021",8:00p,,Box Score,,Detroit Pistons,W,,125,115,4,3,W 2,,2:10,,False,MIL,2021
8,"Wed, Jan 6, 2021",8:00p,,Box Score,,Detroit Pistons,W,,130,115,5,3,W 3,,2:13,,False,MIL,2021
9,"Fri, Jan 8, 2021",8:00p,,Box Score,,Utah Jazz,L,,118,131,5,4,L 1,,2:06,,False,MIL,2021
10,"Sat, Jan 9, 2021",8:00p,,Box Score,,Cleveland Cavaliers,W,,100,90,6,4,W 1,,2:09,,False,MIL,2021
11,"Mon, Jan 11, 2021",7:00p,,Box Score,@,Orlando Magic,W,,121,99,7,4,W 2,3248,2:05,,False,MIL,2021
12,"Wed, Jan 13, 2021",7:00p,,Box Score,@,Detroit Pistons,W,,110,101,8,4,W 3,,2:05,,False,MIL,2021
13,"Fri, Jan 15, 2021",7:30p,,Box Score,,Dallas Mavericks,W,,112,109,9,4,W 4,,2:21,,False,MIL,2021
14,"Mon, Jan 18, 2021",7:30p,,Box Score,@,Brooklyn Nets,L,,123,125,9,5,L 1,,2:16,,False,MIL,2021
15,"Thu, Jan 21, 2021",7:30p,,Box Score,,Los Angeles Lakers,L,,106,113,9,6,L 2,,2:16,,False,MIL,2021
16,"Sun, Jan 24, 2021",8:00p,,Box Score,,Atlanta Hawks,W,,129,115,10,6,W 1,,2:11,,False,MIL,2021
17,"Wed, Jan 27, 2021",7:30p,,Box Score,@,Toronto Raptors,W,,115,108,11,6,W 2,,2:17,,False,MIL,2021
18,"Fri, Jan 29, 2021",7:30p,,Box Score,@,New Orleans Pelicans,L,,126,131,11,7,L 1,1440,2:19,,False,MIL,2021
