G,Date,Unnamed: 2,Unnamed: 3,Unnamed: 4,Opponent,Unnamed: 6,Unnamed: 7,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,is_playoff,team,season
1,"Fri, Nov 4, 1994",,Box Score,@,Denver Nuggets,L,,108,130,0,1,L 1,17171,,,False,MIN,1995
2,"Sat, Nov 5, 1994",,Box Score,,Houston Rockets,L,,85,115,0,2,L 2,16578,,,False,MIN,1995
3,"Tue, Nov 8, 1994",,Box Score,@,Detroit Pistons,L,,112,126,0,3,L 3,13424,,,False,MIN,1995
4,"Wed, Nov 9, 1994",,Box Score,,Los Angeles Lakers,L,,99,122,0,4,L 4,15892,,,False,MIN,1995
5,"Fri, Nov 11, 1994",,Box Score,,Chicago Bulls,L,,100,112,0,5,L 5,15109,,,False,MIN,1995
6,"Sat, Nov 12, 1994",,Box Score,,Boston Celtics,L,,101,114,0,6,L 6,13278,2:06,,False,MIN,1995
7,"Tue, Nov 15, 1994",,Box Score,@,Golden State Warriors,W,,114,112,1,6,W 1,15025,,,False,MIN,1995
8,"Wed, Nov 16, 1994",,Box Score,@,Phoenix Suns,L,,90,105,1,7,L 1,19023,,,False,MIN,1995
9,"Sat, Nov 19, 1994",,Box Score,,San Antonio Spurs,L,,101,109,1,8,L 2,14109,,,False,MIN,1995
10,"Tue, Nov 22, 1994",,Box Score,@,Cleveland Cavaliers,L,,79,112,1,9,L 3,19125,,,False,MIN,1995
11,"Wed, Nov 23, 1994",,Box Score,,Atlanta Hawks,L,,77,89,1,10,L 4,13662,2:07,,False,MIN,1995
12,"Fri, Nov 25, 1994",,Box Score,,Philadelphia 76ers,L,,71,109,1,11,L 5,13919,,,False,MIN,1995
13,"Mon, Nov 28, 1994",,Box Score,@,San Antonio Spurs,L,,88,92,1,12,L 6,14272,,,False,MIN,1995
14,"Tue, Nov 29, 1994",,Box Score,@,Dallas Mavericks,L,,83,84,1,13,L 7,12810,,,False,MIN,1995
15,"Thu, Dec 1, 1994",,Box Score,@,Utah Jazz,W,,96,94,2,13,W 1,19323,,,False,MIN,1995
16,"Sat, Dec 3, 1994",,Box Score,@,Los Angeles Clippers,W,,103,95,3,13,W 2,6196,,,False,MIN,1995
17,"Tue, Dec 6, 1994",,Box Score,,Denver Nuggets,L,,95,102,3,14,L 1,13669,,,False,MIN,1995
18,"Sat, Dec 10, 1994",,Box Score,,Phoenix Suns,L,,89,103,3,15,L 2,18161,,,False,MIN,1995
19,"Tue, Dec 13, 1994",,Box Score,@,Atlanta Hawks,L,OT,83,85,3,16,L 3,8418,2:20,,False,MIN,1995
20,"Wed, Dec 14, 1994",,Box Score,,Utah Jazz,L,,95,103,3,17,L 4,13118,,,False,MIN,1995
21,"Fri, Dec 16, 1994",,Box Score,,New Jersey Nets,W,,94,93,4,17,W 1,11107,,,False,MIN,1995
22,"Sat, Dec 17, 1994",,Box Score,@,Washington Bullets,W,,96,87,5,17,W 2,18756,,,False,MIN,1995
23,"Tue, Dec 20, 1994",,Box Score,@,Los Angeles Lakers,L,,95,108,5,18,L 1,11101,,,False,MIN,1995
24,"Thu, Dec 22, 1994",,Box Score,@,Sacramento Kings,L,,89,109,5,19,L 2,17317,,,False,MIN,1995
25,"Mon, Dec 26, 1994",,Box Score,,Los Angeles Clippers,W,,82,81,6,19,W 1,12338,,,False,MIN,1995
26,"Fri, Dec 30, 1994",,Box Score,,New York Knicks,L,,81,90,6,20,L 1,18122,,,False,MIN,1995
27,"Tue, Jan 3, 1995",,Box Score,,Denver Nuggets,L,2OT,99,108,6,21,L 2,12739,,,False,MIN,1995
28,"Thu, Jan 5, 1995",,Box Score,@,Miami Heat,L,,91,114,6,22,L 3,14305,,,False,MIN,1995
29,"Fri, Jan 6, 1995",,Box Score,@,Orlando Magic,L,,99,121,6,23,L 4,16010,,,False,MIN,1995
