G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,is_playoff,team,season
1,"Tue, Oct 31, 2000",8:30p,,Box Score,@,Houston Rockets,W,,106,98,1,0,W 1,11327,,,False,MIN,2001
2,"Thu, Nov 2, 2000",8:00p,,Box Score,@,San Antonio Spurs,L,,91,103,1,1,L 1,14193,,,False,MIN,2001
3,"Sat, Nov 4, 2000",8:00p,,Box Score,,Sacramento Kings,W,,99,91,2,1,W 1,19006,,,False,MIN,2001
4,"Mon, Nov 6, 2000",9:00p,,Box Score,@,Utah Jazz,L,,92,98,2,2,L 1,19911,,,False,MIN,2001
5,"Wed, Nov 8, 2000",9:00p,,Box Score,@,Denver Nuggets,L,OT,107,109,2,3,L 2,10549,,,False,MIN,2001
6,"Thu, Nov 9, 2000",8:00p,,Box Score,,Philadelphia 76ers,L,,82,84,2,4,L 3,16119,,,False,MIN,2001
7,"Sat, Nov 11, 2000",8:30p,,Box Score,@,Milwaukee Bucks,W,,103,92,3,4,W 1,18717,,,False,MIN,2001
8,"Wed, Nov 15, 2000",8:00p,,Box Score,,Golden State Warriors,W,,92,90,4,4,W 2,16034,,,False,MIN,2001
9,"Fri, Nov 17, 2000",8:00p,,Box Score,,San Antonio Spurs,W,OT,99,94,5,4,W 3,17288,,,False,MIN,2001
10,"Sat, Nov 18, 2000",7:30p,,Box Score,@,Atlanta Hawks,W,,94,84,6,4,W 4,13036,,,False,MIN,2001
11,"Wed, Nov 22, 2000",8:00p,,Box Score,,Vancouver Grizzlies,W,,101,100,7,4,W 5,16783,,,False,MIN,2001
12,"Fri, Nov 24, 2000",10:30p,,Box Score,@,Los Angeles Lakers,L,,108,115,7,5,L 1,18997,,,False,MIN,2001
13,"Sat, Nov 25, 2000",10:30p,,Box Score,@,Golden State Warriors,L,,93,114,7,6,L 2,14268,,,False,MIN,2001
14,"Tue, Nov 28, 2000",8:30p,,Box Score,@,Chicago Bulls,W,,96,76,8,6,W 1,22204,,,False,MIN,2001
15,"Wed, Nov 29, 2000",8:00p,,Box Score,,Denver Nuggets,L,,100,107,8,7,L 1,15227,,,False,MIN,2001
16,"Fri, Dec 1, 2000",7:30p,,Box Score,@,Boston Celtics,W,,102,98,9,7,W 1,14630,2:14,,False,MIN,2001
17,"Sat, Dec 2, 2000",7:30p,,Box Score,@,New York Knicks,L,,90,100,9,8,L 1,19763,,,False,MIN,2001
18,"Tue, Dec 5, 2000",8:00p,,Box Score,,Chicago Bulls,W,,100,90,10,8,W 1,16170,,,False,MIN,2001
19,"Thu, Dec 7, 2000",8:00p,,Box Score,,Washington Wizards,W,,105,88,11,8,W 2,16018,,,False,MIN,2001
20,"Sat, Dec 9, 2000",8:00p,,Box Score,,Los Angeles Clippers,W,,85,73,12,8,W 3,16143,,,False,MIN,2001
21,"Mon, Dec 11, 2000",7:00p,,Box Score,@,Philadelphia 76ers,W,OT,96,91,13,8,W 4,18707,,,False,MIN,2001
22,"Tue, Dec 12, 2000",7:30p,,Box Score,@,New Jersey Nets,L,,94,116,13,9,L 1,11649,,,False,MIN,2001
23,"Fri, Dec 15, 2000",8:00p,,Box Score,@,Detroit Pistons,W,,99,90,14,9,W 1,13744,,,False,MIN,2001
24,"Sat, Dec 16, 2000",8:00p,,Box Score,,Indiana Pacers,W,OT,113,110,15,9,W 2,17249,,,False,MIN,2001
25,"Tue, Dec 19, 2000",10:30p,,Box Score,@,Golden State Warriors,L,,99,120,15,10,L 1,13367,,,False,MIN,2001
26,"Wed, Dec 20, 2000",10:30p,,Box Score,@,Los Angeles Clippers,L,,96,103,15,11,L 2,15636,,,False,MIN,2001
27,"Fri, Dec 22, 2000",8:00p,,Box Score,,Charlotte Hornets,L,,74,83,15,12,L 3,16327,,,False,MIN,2001
28,"Sat, Dec 23, 2000",8:00p,,Box Score,,Utah Jazz,L,,92,98,15,13,L 4,16789,,,False,MIN,2001
29,"Tue, Dec 26, 2000",8:00p,,Box Score,,Toronto Raptors,W,,100,97,16,13,W 1,16828,,,False,MIN,2001
30,"Thu, Dec 28, 2000",8:00p,,Box Score,,Atlanta Hawks,W,,88,81,17,13,W 2,16801,,,False,MIN,2001
31,"Sat, Dec 30, 2000",7:30p,,Box Score,,New York Knicks,L,,79,88,17,14,L 1,18322,,,False,MIN,2001
32,"Mon, Jan 1, 2001",3:30p,,Box Score,,Houston Rockets,W,,106,96,18,14,W 1,14779,,,False,MIN,2001
33,"Tue, Jan 2, 2001",7:00p,,Box Score,@,Washington Wizards,L,,108,115,18,15,L 1,11712,,,False,MIN,2001
34,"Thu, Jan 4, 2001",8:00p,,Box Score,,Seattle SuperSonics,W,,105,92,19,15,W 1,16045,,,False,MIN,2001
35,"Sun, Jan 7, 2001",8:00p,,Box Score,@,Phoenix Suns,W,,108,88,20,15,W 2,17531,,,False,MIN,2001
