G,Date,Unnamed: 2,Unnamed: 3,Unnamed: 4,Opponent,Unnamed: 6,Unnamed: 7,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,is_playoff,team,season
1,"Sat, Nov 3, 1951",,Box Score,,New York Knicks,L,,66,68,0,1,L 1,,,,False,MLH,1952
2,"Tue, Nov 6, 1951",,Box Score,,Fort Wayne Pistons,W,OT,65,62,1,1,W 1,,,,False,MLH,1952
3,"Sun, Nov 11, 1951",,Box Score,@,Fort Wayne Pistons,L,,59,74,1,2,L 1,,,,False,MLH,1952
4,"Tue, Nov 13, 1951",,Box Score,,Rochester Royals,L,,75,91,1,3,L 2,,,,False,MLH,1952
5,"Fri, Nov 16, 1951",,Box Score,@,Indianapolis Olympians,W,,78,68,2,3,W 1,,,,False,MLH,1952
6,"Sat, Nov 17, 1951",,Box Score,N,Indianapolis Olympians,L,,58,68,2,4,L 1,,,"at Moline, IL",False,MLH,1952
7,"Mon, Nov 19, 1951",,Box Score,@,Baltimore Bullets,L,,70,71,2,5,L 2,,,,False,MLH,1952
8,"Tue, Nov 20, 1951",,Box Score,@,Philadelphia Warriors,L,,64,80,2,6,L 3,,,,False,MLH,1952
9,"Thu, Nov 22, 1951",,Box Score,@,Boston Celtics,L,,72,103,2,7,L 4,5502,,,False,MLH,1952
10,"Sat, Nov 24, 1951",,Box Score,,Minneapolis Lakers,L,,59,72,2,8,L 5,,,,False,MLH,1952
11,"Sun, Nov 25, 1951",,Box Score,,Rochester Royals,W,,75,73,3,8,W 1,,,,False,MLH,1952
12,"Tue, Nov 27, 1951",,Box Score,@,Rochester Royals,L,,73,77,3,9,L 1,,,,False,MLH,1952
13,"Thu, Nov 29, 1951",,Box Score,N,Baltimore Bullets,L,,64,77,3,10,L 2,,,"at New York, NY",False,MLH,1952
14,"Sat, Dec 1, 1951",,Box Score,@,Rochester Royals,L,,66,71,3,11,L 3,,,,False,MLH,1952
15,"Sun, Dec 2, 1951",,Box Score,,Indianapolis Olympians,L,,71,80,3,12,L 4,,,,False,MLH,1952
16,"Thu, Dec 6, 1951",,Box Score,N,Syracuse Nationals,W,,73,70,4,12,W 1,,,"at Moline, IL",False,MLH,1952
17,"Sat, Dec 8, 1951",,Box Score,,Fort Wayne Pistons,W,,82,71,5,12,W 2,,,,False,MLH,1952
18,"Sun, Dec 9, 1951",,Box Score,,Baltimore Bullets,L,,71,73,5,13,L 1,,,,False,MLH,1952
19,"Tue, Dec 11, 1951",,Box Score,@,New York Knicks,L,,83,88,5,14,L 2,,,,False,MLH,1952
20,"Wed, Dec 12, 1951",,Box Score,@,Boston Celtics,L,,84,89,5,15,L 3,3500,,,False,MLH,1952
21,"Thu, Dec 13, 1951",,Box Score,@,Syracuse Nationals,L,,82,89,5,16,L 4,,,,False,MLH,1952
22,"Sun, Dec 16, 1951",,Box Score,@,Minneapolis Lakers,L,,52,99,5,17,L 5,,,,False,MLH,1952
23,"Tue, Dec 18, 1951",,Box Score,,Rochester Royals,L,,68,94,5,18,L 6,,,,False,MLH,1952
24,"Fri, Dec 21, 1951",,Box Score,@,Indianapolis Olympians,L,,64,69,5,19,L 7,,,,False,MLH,1952
