G,Date,Unnamed: 2,Unnamed: 3,Unnamed: 4,Opponent,Unnamed: 6,Unnamed: 7,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,is_playoff,team,season
1,"Wed, Nov 2, 1949",,Box Score,@,Philadelphia Warriors,W,,81,69,1,0,W 1,,,,False,MNL,1950
2,"Sat, Nov 5, 1949",,Box Score,@,Baltimore Bullets,W,,92,77,2,0,W 2,,,,False,MNL,1950
3,"Tue, Nov 8, 1949",,Box Score,@,Washington Capitols,W,,68,66,3,0,W 3,,,,False,MNL,1950
4,"Thu, Nov 10, 1949",,Box Score,@,Boston Celtics,W,,98,84,4,0,W 4,6024,,,False,MNL,1950
5,"Sat, Nov 12, 1949",,Box Score,@,Chicago Stags,L,,79,86,4,1,L 1,,,,False,MNL,1950
6,"Wed, Nov 16, 1949",,Box Score,,St. Louis Bombers,W,,94,71,5,1,W 1,,,,False,MNL,1950
7,"Thu, Nov 17, 1949",,Box Score,@,St. Louis Bombers,L,,65,78,5,2,L 1,,,,False,MNL,1950
8,"Sat, Nov 19, 1949",,Box Score,@,Anderson Packers,L,,80,83,5,3,L 2,,,,False,MNL,1950
9,"Sun, Nov 20, 1949",,Box Score,,Indianapolis Olympians,W,,121,95,6,3,W 1,,,,False,MNL,1950
10,"Wed, Nov 23, 1949",,Box Score,,Baltimore Bullets,W,,84,71,7,3,W 2,,,,False,MNL,1950
11,"Fri, Nov 25, 1949",,Box Score,@,Denver Nuggets,W,,101,81,8,3,W 3,,,,False,MNL,1950
12,"Sun, Nov 27, 1949",,Box Score,,Chicago Stags,L,,82,96,8,4,L 1,,,,False,MNL,1950
13,"Wed, Nov 30, 1949",,Box Score,,New York Knicks,W,,102,92,9,4,W 1,,,,False,MNL,1950
14,"Thu, Dec 1, 1949",,Box Score,@,Indianapolis Olympians,L,,68,86,9,5,L 1,,,,False,MNL,1950
15,"Sat, Dec 3, 1949",,Box Score,@,Chicago Stags,W,,91,80,10,5,W 1,,,,False,MNL,1950
16,"Sun, Dec 4, 1949",,Box Score,,Rochester Royals,W,,95,80,11,5,W 2,,,,False,MNL,1950
17,"Wed, Dec 7, 1949",,Box Score,,Washington Capitols,W,,93,76,12,5,W 3,,,,False,MNL,1950
18,"Thu, Dec 8, 1949",,Box Score,@,Fort Wayne Pistons,L,,66,87,12,6,L 1,,,,False,MNL,1950
19,"Sat, Dec 10, 1949",,Box Score,N,Denver Nuggets,W,,89,76,13,6,W 1,,,"at Rochester, MN",False,MNL,1950
20,"Sun, Dec 11, 1949",,Box Score,,Philadelphia Warriors,W,,90,81,14,6,W 2,,,,False,MNL,1950
21,"Wed, Dec 14, 1949",,Box Score,@,New York Knicks,L,,84,94,14,7,L 1,,,,False,MNL,1950
22,"Thu, Dec 15, 1949",,Box Score,@,Baltimore Bullets,L,,68,87,14,8,L 2,,,,False,MNL,1950
23,"Sun, Dec 18, 1949",,Box Score,,Boston Celtics,W,,77,72,15,8,W 1,7793,,,False,MNL,1950
24,"Tue, Dec 20, 1949",,Box Score,@,Rochester Royals,L,,62,87,15,9,L 1,,,,False,MNL,1950
25,"Wed, Dec 21, 1949",,Box Score,@,Washington Capitols,W,,75,61,16,9,W 1,,,,False,MNL,1950
26,"Thu, Dec 22, 1949",,Box Score,@,Boston Celtics,L,,69,87,16,10,L 1,5206,,,False,MNL,1950
27,"Sun, Dec 25, 1949",,Box Score,,Fort Wayne Pistons,W,,72,58,17,10,W 1,,,,False,MNL,1950
28,"Mon, Dec 26, 1949",,Box Score,@,Tri-Cities Blackhawks,W,,78,76,18,10,W 2,,,,False,MNL,1950
29,"Wed, Dec 28, 1949",,Box Score,,Baltimore Bullets,W,,88,77,19,10,W 3,,,,False,MNL,1950
30,"Sat, Dec 31, 1949",,Box Score,@,Waterloo Hawks,W,,86,68,20,10,W 4,,,,False,MNL,1950
31,"Sun, Jan 1, 1950",,Box Score,,Anderson Packers,W,,87,75,21,10,W 5,,,,False,MNL,1950
32,"Wed, Jan 4, 1950",,Box Score,,Fort Wayne Pistons,W,,91,75,22,10,W 6,,,,False,MNL,1950
33,"Thu, Jan 5, 1950",,Box Score,@,Sheboygan Red Skins,L,,82,85,22,11,L 1,,,,False,MNL,1950
