G,Date,Unnamed: 2,Unnamed: 3,Unnamed: 4,Opponent,Unnamed: 6,Unnamed: 7,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,is_playoff,team,season
1,"Fri, Nov 6, 1992",,Box Score,@,Philadelphia 76ers,W,,114,111,1,0,W 1,12608,,,False,NJN,1993
2,"Sat, Nov 7, 1992",,Box Score,@,Miami Heat,L,,94,106,1,1,L 1,15008,,,False,NJN,1993
3,"Tue, Nov 10, 1992",,Box Score,@,New York Knicks,L,,96,99,1,2,L 2,19763,,,False,NJN,1993
4,"Thu, Nov 12, 1992",,Box Score,,Minnesota Timberwolves,L,,84,88,1,3,L 3,14226,,,False,NJN,1993
5,"Sat, Nov 14, 1992",,Box Score,,Orlando Magic,W,,124,113,2,3,W 1,20049,,,False,NJN,1993
6,"Sun, Nov 15, 1992",,Box Score,,Washington Bullets,W,,111,104,3,3,W 2,9589,,,False,NJN,1993
7,"Tue, Nov 17, 1992",,Box Score,,Utah Jazz,L,,97,108,3,4,L 1,12646,,,False,NJN,1993
8,"Thu, Nov 19, 1992",,Box Score,@,Atlanta Hawks,W,,108,101,4,4,W 1,9905,,,False,NJN,1993
9,"Sat, Nov 21, 1992",,Box Score,,Philadelphia 76ers,L,,95,104,4,5,L 1,11515,,,False,NJN,1993
10,"Sun, Nov 22, 1992",,Box Score,,Golden State Warriors,L,,101,114,4,6,L 2,14463,,,False,NJN,1993
11,"Tue, Nov 24, 1992",,Box Score,@,Seattle SuperSonics,L,,97,103,4,7,L 3,9367,,,False,NJN,1993
12,"Wed, Nov 25, 1992",,Box Score,@,Los Angeles Lakers,W,,100,98,5,7,W 1,13860,,,False,NJN,1993
13,"Fri, Nov 27, 1992",,Box Score,@,Utah Jazz,W,,112,110,6,7,W 2,19911,,,False,NJN,1993
14,"Sat, Nov 28, 1992",,Box Score,@,Sacramento Kings,W,,94,89,7,7,W 3,17317,,,False,NJN,1993
15,"Wed, Dec 2, 1992",,Box Score,,Atlanta Hawks,W,,122,115,8,7,W 4,9069,,,False,NJN,1993
16,"Fri, Dec 4, 1992",,Box Score,,San Antonio Spurs,W,OT,108,103,9,7,W 5,15068,,,False,NJN,1993
17,"Sat, Dec 5, 1992",,Box Score,@,Miami Heat,W,,111,104,10,7,W 6,15008,,,False,NJN,1993
18,"Tue, Dec 8, 1992",,Box Score,,Phoenix Suns,L,,100,105,10,8,L 1,16514,,,False,NJN,1993
19,"Thu, Dec 10, 1992",,Box Score,,Los Angeles Clippers,W,,111,105,11,8,W 1,10338,,,False,NJN,1993
20,"Sat, Dec 12, 1992",,Box Score,@,Chicago Bulls,L,,89,95,11,9,L 1,18232,,,False,NJN,1993
21,"Tue, Dec 15, 1992",,Box Score,,New York Knicks,L,,94,108,11,10,L 2,20049,,,False,NJN,1993
22,"Thu, Dec 17, 1992",,Box Score,@,Milwaukee Bucks,W,,102,101,12,10,W 1,13986,,,False,NJN,1993
23,"Sat, Dec 19, 1992",,Box Score,@,Indiana Pacers,L,,110,124,12,11,L 1,10909,,,False,NJN,1993
24,"Sun, Dec 20, 1992",,Box Score,,Sacramento Kings,W,,104,98,13,11,W 1,11023,,,False,NJN,1993
25,"Tue, Dec 22, 1992",,Box Score,,Boston Celtics,L,,104,106,13,12,L 1,14982,1:50,,False,NJN,1993
26,"Sat, Dec 26, 1992",,Box Score,@,Cleveland Cavaliers,W,,119,114,14,12,W 1,19532,,,False,NJN,1993
27,"Mon, Dec 28, 1992",,Box Score,,Charlotte Hornets,W,,104,103,15,12,W 2,17314,,,False,NJN,1993
28,"Wed, Dec 30, 1992",,Box Score,@,Minnesota Timberwolves,W,,118,92,16,12,W 3,18032,,,False,NJN,1993
29,"Sat, Jan 2, 1993",,Box Score,@,Charlotte Hornets,L,,117,118,16,13,L 1,23698,,,False,NJN,1993
30,"Tue, Jan 5, 1993",,Box Score,@,Orlando Magic,W,,102,99,17,13,W 1,15151,,,False,NJN,1993
31,"Wed, Jan 6, 1993",,Box Score,@,Philadelphia 76ers,L,,106,132,17,14,L 1,10125,,,False,NJN,1993
32,"Fri, Jan 8, 1993",,Box Score,@,Boston Celtics,L,,88,102,17,15,L 2,14890,2:01,,False,NJN,1993
33,"Sat, Jan 9, 1993",,Box Score,,Washington Bullets,W,,124,79,18,15,W 1,13187,,,False,NJN,1993
34,"Wed, Jan 13, 1993",,Box Score,,Cleveland Cavaliers,W,,104,98,19,15,W 2,10202,,,False,NJN,1993
35,"Fri, Jan 15, 1993",,Box Score,,Philadelphia 76ers,W,OT,110,105,20,15,W 3,12959,,,False,NJN,1993
