G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,is_playoff,team,season
1,"Wed, Oct 29, 2003",8:00p,,Box Score,@,Toronto Raptors,L,,87,90,0,1,L 1,18217,,,False,NJN,2004
2,"Fri, Oct 31, 2003",8:00p,,Box Score,,Minnesota Timberwolves,W,,84,61,1,1,W 1,17145,,,False,NJN,2004
3,"Sat, Nov 1, 2003",7:00p,,Box Score,@,Washington Wizards,W,,98,85,2,1,W 2,20173,,,False,NJN,2004
4,"Tue, Nov 4, 2003",7:30p,,Box Score,,Houston Rockets,L,,75,86,2,2,L 1,11784,,,False,NJN,2004
5,"Thu, Nov 6, 2003",7:00p,,Box Score,,Indiana Pacers,L,,81,87,2,3,L 2,11906,,,False,NJN,2004
6,"Fri, Nov 7, 2003",7:30p,,Box Score,@,Boston Celtics,W,,94,87,3,3,W 1,17347,2:08,,False,NJN,2004
7,"Sun, Nov 9, 2003",6:00p,,Box Score,@,Detroit Pistons,L,,84,98,3,4,L 1,20664,,,False,NJN,2004
8,"Wed, Nov 12, 2003",7:00p,,Box Score,,San Antonio Spurs,L,,71,85,3,5,L 2,13286,,,False,NJN,2004
9,"Fri, Nov 14, 2003",7:30p,,Box Score,,New York Knicks,W,,85,80,4,5,W 1,17557,,,False,NJN,2004
10,"Sat, Nov 15, 2003",7:00p,,Box Score,@,Atlanta Hawks,W,,100,85,5,5,W 2,19445,,,False,NJN,2004
11,"Tue, Nov 18, 2003",7:30p,,Box Score,,New Orleans Hornets,L,,85,88,5,6,L 1,11510,,,False,NJN,2004
12,"Sat, Nov 22, 2003",1:00p,,Box Score,,Toronto Raptors,L,,80,81,5,7,L 2,13755,,,False,NJN,2004
13,"Tue, Nov 25, 2003",10:00p,,Box Score,@,Seattle SuperSonics,W,,93,70,6,7,W 1,12779,,,False,NJN,2004
14,"Thu, Nov 27, 2003",10:00p,,Box Score,@,Los Angeles Clippers,W,,102,96,7,7,W 2,13620,,,False,NJN,2004
