G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,is_playoff,team,season
1,"Wed, Oct 29, 2008",10:30p,,Box Score,@,Golden State Warriors,W,,108,103,1,0,W 1,19128,2:24,,False,NOH,2009
2,"Thu, Oct 30, 2008",10:30p,,Box Score,@,Phoenix Suns,W,,108,95,2,0,W 2,18422,2:25,,False,NOH,2009
3,"Sat, Nov 1, 2008",8:00p,,Box Score,,Cleveland Cavaliers,W,,104,92,3,0,W 3,18150,2:18,,False,NOH,2009
4,"Wed, Nov 5, 2008",8:00p,,Box Score,,Atlanta Hawks,L,,79,87,3,1,L 1,16030,2:06,,False,NOH,2009
5,"Fri, Nov 7, 2008",7:00p,,Box Score,@,Charlotte Bobcats,L,,89,92,3,2,L 2,13435,2:15,,False,NOH,2009
6,"Sat, Nov 8, 2008",8:00p,,Box Score,,Miami Heat,W,,100,89,4,2,W 1,17701,2:21,,False,NOH,2009
7,"Wed, Nov 12, 2008",8:00p,,Box Score,,Los Angeles Lakers,L,,86,93,4,3,L 1,18239,2:15,,False,NOH,2009
8,"Fri, Nov 14, 2008",8:00p,,Box Score,,Portland Trail Blazers,W,,87,82,5,3,W 1,16071,2:13,,False,NOH,2009
9,"Sat, Nov 15, 2008",8:30p,,Box Score,@,Houston Rockets,L,,82,91,5,4,L 1,18303,2:07,,False,NOH,2009
10,"Wed, Nov 19, 2008",8:00p,,Box Score,,Sacramento Kings,L,,96,105,5,5,L 2,15533,2:10,,False,NOH,2009
11,"Fri, Nov 21, 2008",9:30p,,Box Score,@,Oklahoma City Thunder,W,,105,80,6,5,W 1,19136,2:27,,False,NOH,2009
12,"Sat, Nov 22, 2008",8:00p,,Box Score,,Oklahoma City Thunder,W,,109,97,7,5,W 2,16023,2:10,,False,NOH,2009
13,"Mon, Nov 24, 2008",10:30p,,Box Score,@,Los Angeles Clippers,W,,99,87,8,5,W 3,14956,2:08,,False,NOH,2009
14,"Thu, Nov 27, 2008",10:30p,,Box Score,@,Denver Nuggets,W,,105,101,9,5,W 4,15563,2:33,,False,NOH,2009
15,"Fri, Nov 28, 2008",10:00p,,Box Score,@,Portland Trail Blazers,L,,86,101,9,6,L 1,20638,2:06,,False,NOH,2009
16,"Wed, Dec 3, 2008",8:00p,,Box Score,,Phoenix Suns,W,,104,91,10,6,W 1,15804,2:15,,False,NOH,2009
17,"Sat, Dec 6, 2008",8:00p,,Box Score,,Memphis Grizzlies,W,,106,87,11,6,W 2,16822,2:14,,False,NOH,2009
18,"Wed, Dec 10, 2008",8:00p,,Box Score,,Charlotte Bobcats,W,,105,89,12,6,W 3,15750,2:08,,False,NOH,2009
19,"Fri, Dec 12, 2008",8:00p,,Box Score,@,Boston Celtics,L,,82,94,12,7,L 1,18624,2:30,,False,NOH,2009
20,"Sun, Dec 14, 2008",12:30p,,Box Score,@,Toronto Raptors,W,,99,91,13,7,W 1,18537,2:20,,False,NOH,2009
21,"Tue, Dec 16, 2008",8:00p,,Box Score,@,Memphis Grizzlies,W,,91,84,14,7,W 2,10231,2:17,,False,NOH,2009
22,"Wed, Dec 17, 2008",9:30p,,Box Score,,San Antonio Spurs,W,,90,83,15,7,W 3,16593,2:26,,False,NOH,2009
23,"Sat, Dec 20, 2008",8:00p,,Box Score,,Sacramento Kings,W,,99,90,16,7,W 4,16869,2:12,,False,NOH,2009
24,"Tue, Dec 23, 2008",8:00p,,Box Score,,Los Angeles Lakers,L,,87,100,16,8,L 1,18405,2:17,,False,NOH,2009
25,"Thu, Dec 25, 2008",12:00p,,Box Score,@,Orlando Magic,L,,68,88,16,9,L 2,17461,2:23,,False,NOH,2009
26,"Fri, Dec 26, 2008",8:00p,,Box Score,,Houston Rockets,W,,88,79,17,9,W 1,18326,2:21,,False,NOH,2009
27,"Sun, Dec 28, 2008",7:00p,,Box Score,@,Indiana Pacers,W,,105,103,18,9,W 2,14374,2:08,,False,NOH,2009
28,"Tue, Dec 30, 2008",8:00p,,Box Score,,Washington Wizards,W,,97,85,19,9,W 3,18021,2:15,,False,NOH,2009
29,"Fri, Jan 2, 2009",10:00p,,Box Score,@,Portland Trail Blazers,W,,92,77,20,9,W 4,20708,2:11,,False,NOH,2009
30,"Sat, Jan 3, 2009",9:00p,,Box Score,@,Denver Nuggets,L,,100,105,20,10,L 1,19614,2:18,,False,NOH,2009
31,"Tue, Jan 6, 2009",10:30p,,Box Score,@,Los Angeles Lakers,W,,116,105,21,10,W 1,18997,2:18,,False,NOH,2009
32,"Wed, Jan 7, 2009",9:00p,,Box Score,@,Utah Jazz,L,,90,116,21,11,L 1,19911,2:12,,False,NOH,2009
33,"Fri, Jan 9, 2009",8:00p,,Box Score,,Los Angeles Clippers,W,,107,80,22,11,W 1,17815,2:05,,False,NOH,2009
34,"Mon, Jan 12, 2009",8:00p,,Box Score,,New York Knicks,L,,95,101,22,12,L 1,16177,2:12,,False,NOH,2009
35,"Wed, Jan 14, 2009",8:30p,,Box Score,@,Dallas Mavericks,W,,104,97,23,12,W 1,19947,2:05,,False,NOH,2009
36,"Fri, Jan 16, 2009",8:00p,,Box Score,@,Cleveland Cavaliers,L,,78,92,23,13,L 1,20562,2:31,,False,NOH,2009
37,"Sat, Jan 17, 2009",7:30p,,Box Score,@,Detroit Pistons,W,,91,85,24,13,W 1,22076,2:07,,False,NOH,2009
38,"Mon, Jan 19, 2009",3:30p,,Box Score,,Indiana Pacers,W,,103,100,25,13,W 2,17237,2:28,,False,NOH,2009
39,"Wed, Jan 21, 2009",8:00p,,Box Score,,New Jersey Nets,W,,102,92,26,13,W 3,14748,2:13,,False,NOH,2009
40,"Fri, Jan 23, 2009",8:00p,,Box Score,@,Minnesota Timberwolves,L,,108,116,26,14,L 1,18224,2:12,,False,NOH,2009
41,"Mon, Jan 26, 2009",8:00p,,Box Score,,Philadelphia 76ers,W,,101,86,27,14,W 1,16131,2:15,,False,NOH,2009
42,"Wed, Jan 28, 2009",8:00p,,Box Score,,Denver Nuggets,W,,94,81,28,14,W 2,15792,2:14,,False,NOH,2009
43,"Fri, Jan 30, 2009",9:30p,,Box Score,,Golden State Warriors,L,,87,91,28,15,L 1,17738,2:27,,False,NOH,2009
44,"Sat, Jan 31, 2009",8:30p,,Box Score,@,San Antonio Spurs,L,,93,106,28,16,L 2,18797,2:02,,False,NOH,2009
45,"Mon, Feb 2, 2009",8:00p,,Box Score,,Portland Trail Blazers,L,,89,97,28,17,L 3,14781,2:08,,False,NOH,2009
46,"Wed, Feb 4, 2009",8:00p,,Box Score,,Chicago Bulls,L,,93,107,28,18,L 4,16270,2:22,,False,NOH,2009
47,"Fri, Feb 6, 2009",8:00p,,Box Score,,Toronto Raptors,W,,101,92,29,18,W 1,17319,2:09,,False,NOH,2009
48,"Sun, Feb 8, 2009",7:00p,,Box Score,,Minnesota Timberwolves,W,,101,97,30,18,W 2,16046,2:27,,False,NOH,2009
49,"Mon, Feb 9, 2009",8:00p,,Box Score,@,Memphis Grizzlies,L,,80,85,30,19,L 1,10896,2:25,,False,NOH,2009
50,"Wed, Feb 11, 2009",8:00p,,Box Score,,Boston Celtics,L,,77,89,30,20,L 2,18080,2:20,,False,NOH,2009
51,"Tue, Feb 17, 2009",8:00p,,Box Score,@,Oklahoma City Thunder,W,,100,98,31,20,W 1,18593,2:11,,False,NOH,2009
52,"Wed, Feb 18, 2009",8:00p,,Box Score,,Orlando Magic,W,,117,85,32,20,W 2,16651,2:27,,False,NOH,2009
53,"Fri, Feb 20, 2009",10:30p,,Box Score,@,Los Angeles Lakers,L,OT,111,115,32,21,L 1,18997,2:48,,False,NOH,2009
54,"Sat, Feb 21, 2009",9:00p,,Box Score,@,Utah Jazz,L,,88,102,32,22,L 2,19911,2:08,,False,NOH,2009
