G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,is_playoff,team,season
1,"Thu, Oct 23, 1975",,,Box Score,@,Atlanta Hawks,L,,91,109,0,1,L 1,,,,False,NOJ,1976
2,"Fri, Oct 24, 1975",,,Box Score,,Detroit Pistons,W,,114,106,1,1,W 1,,,,False,NOJ,1976
3,"Sun, Oct 26, 1975",9:05p,,Box Score,,New York Knicks,W,2OT,125,114,2,1,W 2,13108,,,False,NOJ,1976
4,"Tue, Oct 28, 1975",,,Box Score,,Portland Trail Blazers,W,,99,90,3,1,W 3,,,,False,NOJ,1976
5,"Fri, Oct 31, 1975",,,Box Score,,Milwaukee Bucks,W,,100,85,4,1,W 4,,,,False,NOJ,1976
6,"Sat, Nov 1, 1975",,,Box Score,@,Cleveland Cavaliers,W,,103,91,5,1,W 5,,,,False,NOJ,1976
7,"Wed, Nov 5, 1975",,,Box Score,,Los Angeles Lakers,W,,113,110,6,1,W 6,26511,,,False,NOJ,1976
8,"Fri, Nov 7, 1975",,,Box Score,,Cleveland Cavaliers,L,,90,94,6,2,L 1,,,,False,NOJ,1976
9,"Sun, Nov 9, 1975",,,Box Score,,Seattle SuperSonics,L,,97,111,6,3,L 2,,,,False,NOJ,1976
10,"Tue, Nov 11, 1975",,,Box Score,@,Portland Trail Blazers,L,,104,106,6,4,L 3,,,,False,NOJ,1976
11,"Wed, Nov 12, 1975",,,Box Score,@,Los Angeles Lakers,L,,100,116,6,5,L 4,,,,False,NOJ,1976
12,"Sat, Nov 15, 1975",,,Box Score,@,Houston Rockets,L,,101,103,6,6,L 5,,,,False,NOJ,1976
13,"Tue, Nov 18, 1975",,,Box Score,,Golden State Warriors,L,,104,112,6,7,L 6,,,,False,NOJ,1976
14,"Sat, Nov 22, 1975",,,Box Score,@,Atlanta Hawks,W,,89,85,7,7,W 1,,,,False,NOJ,1976
15,"Wed, Nov 26, 1975",,,Box Score,,Atlanta Hawks,L,,108,113,7,8,L 1,,,,False,NOJ,1976
16,"Fri, Nov 28, 1975",,,Box Score,@,Kansas City Kings,L,,97,98,7,9,L 2,,,,False,NOJ,1976
17,"Sun, Nov 30, 1975",,,Box Score,,Philadelphia 76ers,L,,96,113,7,10,L 3,,,,False,NOJ,1976
18,"Tue, Dec 2, 1975",,,Box Score,@,Buffalo Braves,W,,108,96,8,10,W 1,,,,False,NOJ,1976
19,"Wed, Dec 3, 1975",,,Box Score,@,Philadelphia 76ers,L,,94,102,8,11,L 1,,,,False,NOJ,1976
20,"Fri, Dec 5, 1975",,,Box Score,@,Boston Celtics,L,,93,104,8,12,L 2,15320,,,False,NOJ,1976
21,"Tue, Dec 9, 1975",,,Box Score,,Phoenix Suns,L,,89,104,8,13,L 3,,,,False,NOJ,1976
22,"Thu, Dec 11, 1975",,,Box Score,@,Washington Bullets,L,,109,117,8,14,L 4,,,,False,NOJ,1976
23,"Sat, Dec 13, 1975",,,Box Score,@,Cleveland Cavaliers,L,,90,112,8,15,L 5,,,,False,NOJ,1976
24,"Sun, Dec 14, 1975",,,Box Score,,Boston Celtics,L,,93,102,8,16,L 6,13042,,,False,NOJ,1976
25,"Wed, Dec 17, 1975",,,Box Score,,Washington Bullets,W,,105,88,9,16,W 1,,,,False,NOJ,1976
26,"Fri, Dec 19, 1975",,,Box Score,@,Seattle SuperSonics,L,,102,113,9,17,L 1,,,,False,NOJ,1976
27,"Sat, Dec 20, 1975",,,Box Score,@,Portland Trail Blazers,W,,105,97,10,17,W 1,,,,False,NOJ,1976
28,"Sun, Dec 21, 1975",,,Box Score,@,Phoenix Suns,W,,120,107,11,17,W 2,,,,False,NOJ,1976
29,"Tue, Dec 23, 1975",,,Box Score,@,Golden State Warriors,L,,97,105,11,18,L 1,,,,False,NOJ,1976
30,"Thu, Dec 25, 1975",,,Box Score,,Houston Rockets,W,,101,99,12,18,W 1,,,,False,NOJ,1976
31,"Sat, Dec 27, 1975",,,Box Score,@,New York Knicks,L,,101,108,12,19,L 1,,,,False,NOJ,1976
32,"Fri, Jan 2, 1976",,,Box Score,,Atlanta Hawks,W,,111,95,13,19,W 1,,,,False,NOJ,1976
33,"Sat, Jan 3, 1976",,,Box Score,,Kansas City Kings,W,,120,95,14,19,W 2,,,,False,NOJ,1976
34,"Tue, Jan 6, 1976",,,Box Score,@,Chicago Bulls,W,,104,98,15,19,W 3,,,,False,NOJ,1976
35,"Thu, Jan 8, 1976",,,Box Score,@,Kansas City Kings,W,,107,97,16,19,W 4,,,,False,NOJ,1976
36,"Sat, Jan 10, 1976",,,Box Score,@,Detroit Pistons,W,,104,99,17,19,W 5,,,,False,NOJ,1976
37,"Wed, Jan 14, 1976",,,Box Score,@,Philadelphia 76ers,L,,95,100,17,20,L 1,,,,False,NOJ,1976
38,"Fri, Jan 16, 1976",,,Box Score,@,Milwaukee Bucks,W,,94,92,18,20,W 1,,,,False,NOJ,1976
39,"Sat, Jan 17, 1976",,,Box Score,@,Houston Rockets,W,,103,97,19,20,W 2,,,,False,NOJ,1976
40,"Wed, Jan 21, 1976",,,Box Score,,Chicago Bulls,L,,93,102,19,21,L 1,,,,False,NOJ,1976
41,"Thu, Jan 22, 1976",,,Box Score,@,Washington Bullets,L,,86,109,19,22,L 2,,,,False,NOJ,1976
42,"Tue, Jan 27, 1976",,,Box Score,@,Buffalo Braves,L,,105,129,19,23,L 3,,,,False,NOJ,1976
43,"Wed, Jan 28, 1976",,,Box Score,,Buffalo Braves,L,,112,126,19,24,L 4,,,,False,NOJ,1976
44,"Fri, Jan 30, 1976",,,Box Score,,New York Knicks,W,,119,97,20,24,W 1,,,,False,NOJ,1976
45,"Sat, Jan 31, 1976",,,Box Score,@,Atlanta Hawks,W,,108,95,21,24,W 2,,,,False,NOJ,1976
46,"Sun, Feb 1, 1976",,,Box Score,,Cleveland Cavaliers,W,,96,95,22,24,W 3,,,,False,NOJ,1976
47,"Thu, Feb 5, 1976",,,Box Score,@,Houston Rockets,W,,114,111,23,24,W 4,,,,False,NOJ,1976
48,"Fri, Feb 6, 1976",,,Box Score,,Kansas City Kings,W,,108,101,24,24,W 5,,,,False,NOJ,1976
49,"Sun, Feb 8, 1976",,,Box Score,,Chicago Bulls,L,,92,96,24,25,L 1,,,,False,NOJ,1976
50,"Tue, Feb 10, 1976",,,Box Score,@,Golden State Warriors,W,OT,130,124,25,25,W 1,,,,False,NOJ,1976
51,"Wed, Feb 11, 1976",,,Box Score,@,Seattle SuperSonics,L,,90,93,25,26,L 1,,,,False,NOJ,1976
52,"Fri, Feb 13, 1976",,,Box Score,@,Los Angeles Lakers,L,,112,126,25,27,L 2,,,,False,NOJ,1976
53,"Sat, Feb 14, 1976",,,Box Score,@,Phoenix Suns,L,,93,112,25,28,L 3,,,,False,NOJ,1976
54,"Tue, Feb 17, 1976",,,Box Score,,Los Angeles Lakers,L,,101,115,25,29,L 4,,,,False,NOJ,1976
55,"Fri, Feb 20, 1976",,,Box Score,,Phoenix Suns,L,,102,103,25,30,L 5,,,,False,NOJ,1976
56,"Sat, Feb 21, 1976",,,Box Score,@,New York Knicks,L,,98,102,25,31,L 6,,,,False,NOJ,1976
57,"Sun, Feb 22, 1976",,,Box Score,,Atlanta Hawks,W,,102,94,26,31,W 1,,,,False,NOJ,1976
58,"Wed, Feb 25, 1976",,,Box Score,,Washington Bullets,W,,105,104,27,31,W 2,,,,False,NOJ,1976
59,"Thu, Feb 26, 1976",,,Box Score,@,Washington Bullets,L,,108,118,27,32,L 1,,,,False,NOJ,1976
60,"Sat, Feb 28, 1976",,,Box Score,,Milwaukee Bucks,L,,99,112,27,33,L 2,,,,False,NOJ,1976
61,"Tue, Mar 2, 1976",,,Box Score,@,Milwaukee Bucks,L,OT,109,111,27,34,L 3,,,,False,NOJ,1976
62,"Wed, Mar 3, 1976",,,Box Score,,Houston Rockets,L,,105,113,27,35,L 4,,,,False,NOJ,1976
63,"Fri, Mar 5, 1976",,,Box Score,,Boston Celtics,L,,93,98,27,36,L 5,19274,,,False,NOJ,1976
64,"Sun, Mar 7, 1976",,,Box Score,,Seattle SuperSonics,W,,124,106,28,36,W 1,,,,False,NOJ,1976
65,"Tue, Mar 9, 1976",,,Box Score,@,Boston Celtics,W,,117,99,29,36,W 2,11230,,"at Hartford, CT",False,NOJ,1976
66,"Wed, Mar 10, 1976",,,Box Score,,Buffalo Braves,L,,105,120,29,37,L 1,,,,False,NOJ,1976
67,"Fri, Mar 12, 1976",,,Box Score,,Portland Trail Blazers,W,,110,101,30,37,W 1,,,,False,NOJ,1976
68,"Sat, Mar 13, 1976",,,Box Score,@,Chicago Bulls,W,,117,111,31,37,W 2,,,,False,NOJ,1976
69,"Sun, Mar 14, 1976",,,Box Score,,Golden State Warriors,W,,118,103,32,37,W 3,,,,False,NOJ,1976
70,"Wed, Mar 17, 1976",,,Box Score,,New York Knicks,L,,107,112,32,38,L 1,,,,False,NOJ,1976
71,"Fri, Mar 19, 1976",,,Box Score,,Cleveland Cavaliers,W,,103,81,33,38,W 1,,,,False,NOJ,1976
72,"Sat, Mar 20, 1976",,,Box Score,@,Buffalo Braves,L,,101,115,33,39,L 1,,,,False,NOJ,1976
73,"Tue, Mar 23, 1976",,,Box Score,,Boston Celtics,L,OT,97,101,33,40,L 2,16132,,,False,NOJ,1976
74,"Fri, Mar 26, 1976",,,Box Score,,Washington Bullets,W,2OT,131,126,34,40,W 1,,,,False,NOJ,1976
75,"Sun, Mar 28, 1976",,,Box Score,,Philadelphia 76ers,W,,110,107,35,40,W 2,,,,False,NOJ,1976
76,"Wed, Mar 31, 1976",,,Box Score,,Cleveland Cavaliers,L,,101,110,35,41,L 1,,,,False,NOJ,1976
77,"Fri, Apr 2, 1976",,,Box Score,@,Detroit Pistons,L,,102,116,35,42,L 2,,,,False,NOJ,1976
78,"Sun, Apr 4, 1976",,,Box Score,@,Washington Bullets,W,OT,129,125,36,42,W 1,,,,False,NOJ,1976
79,"Wed, Apr 7, 1976",,,Box Score,@,Philadelphia 76ers,L,,99,102,36,43,L 1,,,,False,NOJ,1976
80,"Thu, Apr 8, 1976",,,Box Score,@,Cleveland Cavaliers,L,,97,111,36,44,L 2,,,,False,NOJ,1976
81,"Fri, Apr 9, 1976",,,Box Score,,Houston Rockets,W,,99,88,37,44,W 1,,,,False,NOJ,1976
82,"Sun, Apr 11, 1976",,,Box Score,,Detroit Pistons,W,,112,105,38,44,W 2,,,,False,NOJ,1976
