G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,is_playoff,team,season
1,"Wed, Nov 1, 2006",7:30p,,Box Score,@,Boston Celtics,W,,91,87,1,0,W 1,18624,2:33,,False,NOK,2007
2,"Fri, Nov 3, 2006",7:00p,,Box Score,@,Indiana Pacers,W,,100,91,2,0,W 2,18165,,,False,NOK,2007
3,"Sun, Nov 5, 2006",7:00p,,Box Score,,Houston Rockets,W,,96,90,3,0,W 3,18202,,"at New Orleans, LA",False,NOK,2007
4,"Tue, Nov 7, 2006",8:00p,,Box Score,,Golden State Warriors,W,,97,93,4,0,W 4,19164,,,False,NOK,2007
5,"Thu, Nov 9, 2006",10:30p,,Box Score,@,Golden State Warriors,L,,116,121,4,1,L 1,16927,,,False,NOK,2007
6,"Fri, Nov 10, 2006",10:00p,,Box Score,@,Portland Trail Blazers,L,,91,92,4,2,L 2,14122,,,False,NOK,2007
7,"Sun, Nov 12, 2006",3:30p,,Box Score,@,Los Angeles Clippers,L,,76,92,4,3,L 3,18273,,,False,NOK,2007
8,"Tue, Nov 14, 2006",8:00p,,Box Score,,Charlotte Bobcats,W,,94,85,5,3,W 1,16623,,,False,NOK,2007
9,"Wed, Nov 15, 2006",7:30p,,Box Score,@,Detroit Pistons,W,,100,99,6,3,W 2,22076,,,False,NOK,2007
10,"Sat, Nov 18, 2006",8:00p,,Box Score,@,Minnesota Timberwolves,W,,99,96,7,3,W 3,16151,,,False,NOK,2007
11,"Tue, Nov 21, 2006",8:00p,,Box Score,,Miami Heat,W,,101,86,8,3,W 4,19329,,,False,NOK,2007
12,"Wed, Nov 22, 2006",9:00p,,Box Score,@,Phoenix Suns,L,,83,92,8,4,L 1,18422,,,False,NOK,2007
13,"Fri, Nov 24, 2006",8:00p,,Box Score,,Minnesota Timberwolves,L,,79,86,8,5,L 2,18258,,,False,NOK,2007
14,"Sat, Nov 25, 2006",8:30p,,Box Score,@,Dallas Mavericks,L,,73,85,8,6,L 3,20315,,,False,NOK,2007
15,"Tue, Nov 28, 2006",8:00p,,Box Score,,Toronto Raptors,L,,77,94,8,7,L 4,15647,,,False,NOK,2007
16,"Fri, Dec 1, 2006",8:00p,,Box Score,,Chicago Bulls,L,,108,111,8,8,L 5,19164,,,False,NOK,2007
17,"Wed, Dec 6, 2006",10:30p,,Box Score,@,Los Angeles Lakers,W,,105,89,9,8,W 1,18535,,,False,NOK,2007
18,"Fri, Dec 8, 2006",10:30p,,Box Score,@,Seattle SuperSonics,L,,74,94,9,9,L 1,15913,,,False,NOK,2007
19,"Sat, Dec 9, 2006",10:30p,,Box Score,@,Golden State Warriors,L,,80,101,9,10,L 2,17105,,,False,NOK,2007
