G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,is_playoff,team,season
1,"Tue, Oct 22, 2019",8:00p,,Box Score,@,Toronto Raptors,L,OT,122,130,0,1,L 1,20787,2:50,,False,NOP,2020
2,"Fri, Oct 25, 2019",8:00p,,Box Score,,Dallas Mavericks,L,,116,123,0,2,L 2,17027,2:23,,False,NOP,2020
3,"Sat, Oct 26, 2019",8:00p,,Box Score,@,Houston Rockets,L,,123,126,0,3,L 3,18055,2:23,,False,NOP,2020
4,"Mon, Oct 28, 2019",8:00p,,Box Score,,Golden State Warriors,L,,123,134,0,4,L 4,17307,2:13,,False,NOP,2020
5,"Thu, Oct 31, 2019",9:30p,,Box Score,,Denver Nuggets,W,,122,107,1,4,W 1,16613,2:20,,False,NOP,2020
6,"Sat, Nov 2, 2019",5:00p,,Box Score,@,Oklahoma City Thunder,L,,104,115,1,5,L 1,18203,2:15,,False,NOP,2020
7,"Mon, Nov 4, 2019",7:30p,,Box Score,@,Brooklyn Nets,L,,125,135,1,6,L 2,17194,2:19,,False,NOP,2020
8,"Fri, Nov 8, 2019",8:00p,,Box Score,,Toronto Raptors,L,,104,122,1,7,L 3,16337,2:12,,False,NOP,2020
9,"Sat, Nov 9, 2019",7:00p,,Box Score,@,Charlotte Hornets,W,,115,110,2,7,W 1,18513,2:22,,False,NOP,2020
10,"Mon, Nov 11, 2019",8:00p,,Box Score,,Houston Rockets,L,,116,122,2,8,L 1,16695,2:20,,False,NOP,2020
11,"Thu, Nov 14, 2019",8:00p,,Box Score,,Los Angeles Clippers,W,,132,127,3,8,W 1,17147,2:19,,False,NOP,2020
12,"Sat, Nov 16, 2019",8:00p,,Box Score,@,Miami Heat,L,,94,109,3,9,L 1,19600,2:00,,False,NOP,2020
13,"Sun, Nov 17, 2019",7:00p,,Box Score,,Golden State Warriors,W,,108,100,4,9,W 1,16812,2:11,,False,NOP,2020
14,"Tue, Nov 19, 2019",8:00p,,Box Score,,Portland Trail Blazers,W,,115,104,5,9,W 2,15021,2:04,,False,NOP,2020
15,"Thu, Nov 21, 2019",10:30p,,Box Score,@,Phoenix Suns,W,,124,121,6,9,W 3,13903,2:27,,False,NOP,2020
16,"Sat, Nov 23, 2019",9:00p,,Box Score,@,Utah Jazz,L,,120,128,6,10,L 1,18306,2:16,,False,NOP,2020
17,"Sun, Nov 24, 2019",9:00p,,Box Score,@,Los Angeles Clippers,L,,109,134,6,11,L 2,19068,2:08,,False,NOP,2020
18,"Wed, Nov 27, 2019",9:30p,,Box Score,,Los Angeles Lakers,L,,110,114,6,12,L 3,18626,2:38,,False,NOP,2020
19,"Fri, Nov 29, 2019",8:00p,,Box Score,@,Oklahoma City Thunder,L,,104,109,6,13,L 4,18203,2:04,,False,NOP,2020
20,"Sun, Dec 1, 2019",5:00p,,Box Score,,Oklahoma City Thunder,L,,104,107,6,14,L 5,15427,2:04,,False,NOP,2020
21,"Tue, Dec 3, 2019",7:30p,,Box Score,,Dallas Mavericks,L,,97,118,6,15,L 6,14664,2:12,,False,NOP,2020
22,"Thu, Dec 5, 2019",8:00p,,Box Score,,Phoenix Suns,L,OT,132,139,6,16,L 7,15607,2:32,,False,NOP,2020
23,"Sat, Dec 7, 2019",2:00p,,Box Score,@,Dallas Mavericks,L,,84,130,6,17,L 8,19456,2:10,,False,NOP,2020
24,"Mon, Dec 9, 2019",8:00p,,Box Score,,Detroit Pistons,L,,103,105,6,18,L 9,13694,2:20,,False,NOP,2020
25,"Wed, Dec 11, 2019",9:30p,,Box Score,@,Milwaukee Bucks,L,,112,127,6,19,L 10,17385,2:06,,False,NOP,2020
26,"Fri, Dec 13, 2019",7:00p,,Box Score,@,Philadelphia 76ers,L,,109,116,6,20,L 11,20620,2:29,,False,NOP,2020
27,"Sun, Dec 15, 2019",3:30p,,Box Score,,Orlando Magic,L,,119,130,6,21,L 12,15388,2:08,,False,NOP,2020
28,"Tue, Dec 17, 2019",8:00p,,Box Score,,Brooklyn Nets,L,OT,101,108,6,22,L 13,15177,2:31,,False,NOP,2020
29,"Wed, Dec 18, 2019",8:00p,,Box Score,@,Minnesota Timberwolves,W,,107,99,7,22,W 1,12490,2:14,,False,NOP,2020
30,"Fri, Dec 20, 2019",10:30p,,Box Score,@,Golden State Warriors,L,,102,106,7,23,L 1,18064,2:21,,False,NOP,2020
31,"Mon, Dec 23, 2019",10:00p,,Box Score,@,Portland Trail Blazers,W,,102,94,8,23,W 1,19499,2:03,,False,NOP,2020
32,"Wed, Dec 25, 2019",10:30p,,Box Score,@,Denver Nuggets,W,,112,100,9,23,W 2,19520,2:10,,False,NOP,2020
33,"Sat, Dec 28, 2019",7:00p,,Box Score,,Indiana Pacers,W,,120,98,10,23,W 3,15391,2:03,,False,NOP,2020
34,"Sun, Dec 29, 2019",8:00p,,Box Score,,Houston Rockets,W,,127,112,11,23,W 4,17712,2:06,,False,NOP,2020
35,"Fri, Jan 3, 2020",10:30p,,Box Score,@,Los Angeles Lakers,L,,113,123,11,24,L 1,18997,2:13,,False,NOP,2020
36,"Sat, Jan 4, 2020",10:00p,,Box Score,@,Sacramento Kings,W,,117,115,12,24,W 1,16808,2:29,,False,NOP,2020
37,"Mon, Jan 6, 2020",8:00p,,Box Score,,Utah Jazz,L,,126,128,12,25,L 1,14138,2:14,,False,NOP,2020
38,"Wed, Jan 8, 2020",8:00p,,Box Score,,Chicago Bulls,W,,123,108,13,25,W 1,15324,2:09,,False,NOP,2020
39,"Fri, Jan 10, 2020",7:15p,,Box Score,@,New York Knicks,W,,123,111,14,25,W 2,18003,2:12,,False,NOP,2020
40,"Sat, Jan 11, 2020",7:00p,,Box Score,@,Boston Celtics,L,,105,140,14,26,L 1,19156,2:02,,False,NOP,2020
41,"Mon, Jan 13, 2020",7:00p,,Box Score,@,Detroit Pistons,W,OT,117,110,15,26,W 1,13780,2:35,,False,NOP,2020
42,"Thu, Jan 16, 2020",8:00p,,Box Score,,Utah Jazz,W,OT,138,132,16,26,W 2,16717,2:47,,False,NOP,2020
43,"Sat, Jan 18, 2020",3:30p,,Box Score,,Los Angeles Clippers,L,,130,133,16,27,L 1,17959,2:35,,False,NOP,2020
44,"Mon, Jan 20, 2020",5:00p,,Box Score,@,Memphis Grizzlies,W,,126,116,17,27,W 1,17794,2:16,,False,NOP,2020
45,"Wed, Jan 22, 2020",9:30p,,Box Score,,San Antonio Spurs,L,,117,121,17,28,L 1,18365,2:17,,False,NOP,2020
46,"Fri, Jan 24, 2020",8:00p,,Box Score,,Denver Nuggets,L,,106,113,17,29,L 2,16398,2:15,,False,NOP,2020
47,"Sun, Jan 26, 2020",6:00p,,Box Score,,Boston Celtics,W,,123,108,18,29,W 1,16737,2:21,,False,NOP,2020
48,"Tue, Jan 28, 2020",7:30p,,Box Score,@,Cleveland Cavaliers,W,,125,111,19,29,W 2,19432,2:09,,False,NOP,2020
49,"Fri, Jan 31, 2020",8:00p,,Box Score,,Memphis Grizzlies,W,,139,111,20,29,W 3,18362,2:06,,False,NOP,2020
50,"Sun, Feb 2, 2020",2:00p,,Box Score,@,Houston Rockets,L,,109,117,20,30,L 1,18055,2:14,,False,NOP,2020
51,"Tue, Feb 4, 2020",7:30p,,Box Score,,Milwaukee Bucks,L,,108,120,20,31,L 2,15424,2:12,,False,NOP,2020
52,"Thu, Feb 6, 2020",8:00p,,Box Score,@,Chicago Bulls,W,,125,119,21,31,W 1,18247,2:02,,False,NOP,2020
53,"Sat, Feb 8, 2020",7:30p,,Box Score,@,Indiana Pacers,W,,124,117,22,31,W 2,17923,2:11,,False,NOP,2020
54,"Tue, Feb 11, 2020",8:00p,,Box Score,,Portland Trail Blazers,W,,138,117,23,31,W 3,15739,2:07,,False,NOP,2020
55,"Thu, Feb 13, 2020",8:00p,,Box Score,,Oklahoma City Thunder,L,,118,123,23,32,L 1,17865,2:17,,False,NOP,2020
56,"Fri, Feb 21, 2020",10:30p,,Box Score,@,Portland Trail Blazers,W,,128,115,24,32,W 1,19946,2:21,,False,NOP,2020
57,"Sun, Feb 23, 2020",8:30p,,Box Score,@,Golden State Warriors,W,,115,101,25,32,W 2,18064,2:01,,False,NOP,2020
58,"Tue, Feb 25, 2020",10:00p,,Box Score,@,Los Angeles Lakers,L,,109,118,25,33,L 1,18997,2:25,,False,NOP,2020
59,"Fri, Feb 28, 2020",8:00p,,Box Score,,Cleveland Cavaliers,W,,116,104,26,33,W 1,18304,2:01,,False,NOP,2020
60,"Sun, Mar 1, 2020",8:00p,,Box Score,,Los Angeles Lakers,L,,114,122,26,34,L 1,18547,2:24,,False,NOP,2020
61,"Tue, Mar 3, 2020",8:00p,,Box Score,,Minnesota Timberwolves,L,,134,139,26,35,L 2,15264,2:13,,False,NOP,2020
62,"Wed, Mar 4, 2020",9:30p,,Box Score,@,Dallas Mavericks,L,OT,123,127,26,36,L 3,20459,2:29,,False,NOP,2020
63,"Fri, Mar 6, 2020",8:00p,,Box Score,,Miami Heat,W,,110,104,27,36,W 1,18384,2:33,,False,NOP,2020
64,"Sun, Mar 8, 2020",3:30p,,Box Score,@,Minnesota Timberwolves,W,,120,107,28,36,W 2,18978,2:19,,False,NOP,2020
65,"Thu, Jul 30, 2020",6:30p,,Box Score,,Utah Jazz,L,,104,106,28,37,L 1,,2:25,,False,NOP,2020
66,"Sat, Aug 1, 2020",6:00p,,Box Score,@,Los Angeles Clippers,L,,103,126,28,38,L 2,,2:18,,False,NOP,2020
67,"Mon, Aug 3, 2020",6:30p,,Box Score,,Memphis Grizzlies,W,,109,99,29,38,W 1,,2:24,,False,NOP,2020
68,"Thu, Aug 6, 2020",1:30p,,Box Score,@,Sacramento Kings,L,,125,140,29,39,L 1,,2:16,,False,NOP,2020
69,"Fri, Aug 7, 2020",8:00p,,Box Score,,Washington Wizards,W,,118,107,30,39,W 1,,2:18,,False,NOP,2020
70,"Sun, Aug 9, 2020",3:00p,,Box Score,,San Antonio Spurs,L,,113,122,30,40,L 1,,2:30,,False,NOP,2020
71,"Tue, Aug 11, 2020",9:00p,,Box Score,@,Sacramento Kings,L,,106,112,30,41,L 2,,2:16,,False,NOP,2020
72,"Thu, Aug 13, 2020",9:00p,,Box Score,@,Orlando Magic,L,,127,133,30,42,L 3,,2:20,,False,NOP,2020
