G,Date,Unnamed: 2,Unnamed: 3,Unnamed: 4,Opponent,Unnamed: 6,Unnamed: 7,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,is_playoff,team,season
1,"Tue, Oct 17, 1967",,Box Score,,San Francisco Warriors,W,,124,122,1,0,W 1,,,,False,NYK,1968
2,"Wed, Oct 18, 1967",,Box Score,@,Baltimore Bullets,L,,98,121,1,1,L 1,,,,False,NYK,1968
3,"Sat, Oct 21, 1967",,Box Score,,Los Angeles Lakers,L,,106,114,1,2,L 2,,,,False,NYK,1968
4,"Tue, Oct 24, 1967",,Box Score,,St. Louis Hawks,L,OT,130,135,1,3,L 3,,,,False,NYK,1968
5,"Wed, Oct 25, 1967",,Box Score,@,Philadelphia 76ers,L,,114,117,1,4,L 4,,,,False,NYK,1968
6,"Sat, Oct 28, 1967",,Box Score,,Detroit Pistons,L,,98,111,1,5,L 5,,,,False,NYK,1968
7,"Tue, Oct 31, 1967",,Box Score,@,San Francisco Warriors,L,,103,108,1,6,L 6,,,"at Oakland, CA",False,NYK,1968
8,"Wed, Nov 1, 1967",,Box Score,@,Los Angeles Lakers,W,,129,113,2,6,W 1,,,,False,NYK,1968
9,"Fri, Nov 3, 1967",,Box Score,@,Seattle SuperSonics,W,,134,100,3,6,W 2,,,,False,NYK,1968
10,"Sat, Nov 4, 1967",,Box Score,@,San Diego Rockets,W,,125,121,4,6,W 3,,,,False,NYK,1968
11,"Sun, Nov 5, 1967",,Box Score,@,San Diego Rockets,W,,115,107,5,6,W 4,,,,False,NYK,1968
12,"Wed, Nov 8, 1967",,Box Score,@,Detroit Pistons,L,,108,110,5,7,L 1,,,,False,NYK,1968
13,"Thu, Nov 9, 1967",,Box Score,,Cincinnati Royals,W,,123,106,6,7,W 1,,,,False,NYK,1968
14,"Sat, Nov 11, 1967",,Box Score,,Boston Celtics,W,,110,105,7,7,W 2,14008,,,False,NYK,1968
15,"Tue, Nov 14, 1967",,Box Score,,San Diego Rockets,W,,122,109,8,7,W 3,,,,False,NYK,1968
16,"Wed, Nov 15, 1967",,Box Score,N,San Diego Rockets,L,,108,122,8,8,L 1,,,"at Boston, MA",False,NYK,1968
17,"Sat, Nov 18, 1967",,Box Score,,Baltimore Bullets,L,,93,101,8,9,L 2,,,,False,NYK,1968
18,"Tue, Nov 21, 1967",,Box Score,,Chicago Bulls,W,2OT,125,123,9,9,W 1,,,,False,NYK,1968
19,"Wed, Nov 22, 1967",,Box Score,@,Cincinnati Royals,L,,122,123,9,10,L 1,,,,False,NYK,1968
20,"Thu, Nov 23, 1967",,Box Score,N,Chicago Bulls,L,,96,106,9,11,L 2,,,"at Milwaukee, WI",False,NYK,1968
21,"Sat, Nov 25, 1967",,Box Score,,Seattle SuperSonics,W,,111,110,10,11,W 1,,,,False,NYK,1968
22,"Tue, Nov 28, 1967",,Box Score,,Philadelphia 76ers,L,,108,110,10,12,L 1,,,,False,NYK,1968
23,"Wed, Nov 29, 1967",,Box Score,@,Cincinnati Royals,W,,119,99,11,12,W 1,,,,False,NYK,1968
24,"Fri, Dec 1, 1967",,Box Score,@,Chicago Bulls,L,,100,102,11,13,L 1,,,,False,NYK,1968
25,"Sat, Dec 2, 1967",,Box Score,,Los Angeles Lakers,L,,106,122,11,14,L 2,,,,False,NYK,1968
26,"Tue, Dec 5, 1967",,Box Score,,Baltimore Bullets,W,,148,117,12,14,W 1,,,,False,NYK,1968
27,"Wed, Dec 6, 1967",,Box Score,@,Boston Celtics,L,,113,115,12,15,L 1,4542,,,False,NYK,1968
28,"Fri, Dec 8, 1967",,Box Score,@,Philadelphia 76ers,L,,109,117,12,16,L 2,,,,False,NYK,1968
29,"Sat, Dec 9, 1967",,Box Score,,Detroit Pistons,L,,121,124,12,17,L 3,,,,False,NYK,1968
