G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,is_playoff,team,season
1,"Fri, Oct 31, 1986",7:55p,,Box Score,@,New Jersey Nets,L,,97,108,0,1,L 1,17684,2:18,,False,NYK,1987
2,"Sat, Nov 1, 1986",,,Box Score,,Chicago Bulls,L,,103,108,0,2,L 2,19325,,,False,NYK,1987
3,"Mon, Nov 3, 1986",,,Box Score,@,Golden State Warriors,L,,95,104,0,3,L 3,9016,,,False,NYK,1987
4,"Tue, Nov 4, 1986",,,Box Score,@,Denver Nuggets,L,,103,118,0,4,L 4,11383,,,False,NYK,1987
5,"Thu, Nov 6, 1986",,,Box Score,@,Sacramento Kings,W,,106,95,1,4,W 1,10333,,,False,NYK,1987
6,"Sat, Nov 8, 1986",,,Box Score,@,Seattle SuperSonics,L,,102,105,1,5,L 1,9280,,,False,NYK,1987
7,"Sun, Nov 9, 1986",,,Box Score,@,Los Angeles Lakers,L,,88,111,1,6,L 2,17505,,,False,NYK,1987
8,"Tue, Nov 11, 1986",,,Box Score,,Phoenix Suns,W,,111,105,2,6,W 1,10987,,,False,NYK,1987
9,"Fri, Nov 14, 1986",,,Box Score,@,Milwaukee Bucks,L,,103,106,2,7,L 1,11052,,,False,NYK,1987
10,"Sat, Nov 15, 1986",,,Box Score,,Washington Bullets,W,,104,97,3,7,W 1,14386,,,False,NYK,1987
11,"Wed, Nov 19, 1986",,,Box Score,@,Philadelphia 76ers,L,,94,98,3,8,L 1,12468,,,False,NYK,1987
12,"Fri, Nov 21, 1986",,,Box Score,@,Chicago Bulls,L,,99,101,3,9,L 2,14328,,,False,NYK,1987
13,"Sat, Nov 22, 1986",,,Box Score,,Golden State Warriors,L,,93,97,3,10,L 3,12688,,,False,NYK,1987
14,"Tue, Nov 25, 1986",,,Box Score,,Houston Rockets,W,,102,93,4,10,W 1,15243,,,False,NYK,1987
15,"Wed, Nov 26, 1986",,,Box Score,@,Boston Celtics,L,,90,101,4,11,L 1,14890,1:55,,False,NYK,1987
16,"Sat, Nov 29, 1986",,,Box Score,,Cleveland Cavaliers,L,,88,90,4,12,L 2,14884,,,False,NYK,1987
17,"Tue, Dec 2, 1986",,,Box Score,@,Phoenix Suns,L,,100,124,4,13,L 3,10284,,,False,NYK,1987
18,"Thu, Dec 4, 1986",,,Box Score,@,Los Angeles Clippers,W,,95,91,5,13,W 1,6316,,,False,NYK,1987
19,"Fri, Dec 5, 1986",,,Box Score,@,Utah Jazz,L,,96,123,5,14,L 1,12212,,,False,NYK,1987
20,"Sun, Dec 7, 1986",,,Box Score,@,Portland Trail Blazers,L,OT,104,107,5,15,L 2,12666,,,False,NYK,1987
21,"Tue, Dec 9, 1986",,,Box Score,,Los Angeles Lakers,L,,87,113,5,16,L 3,19320,,,False,NYK,1987
22,"Wed, Dec 10, 1986",,,Box Score,@,Washington Bullets,L,,105,106,5,17,L 4,13273,,,False,NYK,1987
23,"Sat, Dec 13, 1986",,,Box Score,,Atlanta Hawks,L,,110,122,5,18,L 5,14425,,,False,NYK,1987
24,"Tue, Dec 16, 1986",,,Box Score,,Boston Celtics,L,,96,107,5,19,L 6,18694,2:01,,False,NYK,1987
25,"Thu, Dec 18, 1986",,,Box Score,,New Jersey Nets,L,,93,94,5,20,L 7,9978,,,False,NYK,1987
26,"Sat, Dec 20, 1986",,,Box Score,,Indiana Pacers,L,,99,123,5,21,L 8,9535,,,False,NYK,1987
27,"Mon, Dec 22, 1986",,,Box Score,,San Antonio Spurs,W,,103,99,6,21,W 1,9807,,,False,NYK,1987
28,"Thu, Dec 25, 1986",,,Box Score,,Chicago Bulls,W,,86,85,7,21,W 2,15811,,,False,NYK,1987
29,"Sat, Dec 27, 1986",,,Box Score,,Milwaukee Bucks,W,,114,100,8,21,W 3,12726,,,False,NYK,1987
30,"Tue, Dec 30, 1986",,,Box Score,,Washington Bullets,W,,103,97,9,21,W 4,13201,,,False,NYK,1987
