G,Date,Unnamed: 2,Unnamed: 3,Unnamed: 4,Opponent,Unnamed: 6,Unnamed: 7,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,is_playoff,team,season
1,"Fri, Oct 22, 1976",,Box Score,@,Golden State Warriors,W,,104,103,1,0,W 1,,,,False,NYN,1977
2,"Sat, Oct 23, 1976",,Box Score,@,Portland Trail Blazers,L,,104,114,1,1,L 1,,,,False,NYN,1977
3,"Sun, Oct 24, 1976",,Box Score,@,Seattle SuperSonics,L,,93,104,1,2,L 2,,,,False,NYN,1977
4,"Wed, Oct 27, 1976",,Box Score,,Washington Bullets,W,,96,93,2,2,W 1,,,,False,NYN,1977
5,"Fri, Oct 29, 1976",,Box Score,,Indiana Pacers,L,,89,90,2,3,L 1,,,,False,NYN,1977
6,"Sat, Oct 30, 1976",,Box Score,@,Philadelphia 76ers,L,,80,104,2,4,L 2,,,,False,NYN,1977
7,"Mon, Nov 1, 1976",,Box Score,,Cleveland Cavaliers,L,,75,82,2,5,L 3,,,,False,NYN,1977
8,"Wed, Nov 3, 1976",,Box Score,,Buffalo Braves,W,,100,96,3,5,W 1,,,,False,NYN,1977
9,"Fri, Nov 5, 1976",,Box Score,,Houston Rockets,W,,95,91,4,5,W 2,,,,False,NYN,1977
10,"Sat, Nov 6, 1976",,Box Score,@,Cleveland Cavaliers,L,,93,101,4,6,L 1,,,,False,NYN,1977
11,"Tue, Nov 9, 1976",,Box Score,@,New Orleans Jazz,L,,99,110,4,7,L 2,,,,False,NYN,1977
12,"Thu, Nov 11, 1976",,Box Score,@,San Antonio Spurs,L,,104,108,4,8,L 3,,,,False,NYN,1977
13,"Sat, Nov 13, 1976",,Box Score,@,Houston Rockets,W,,114,110,5,8,W 1,,,,False,NYN,1977
14,"Wed, Nov 17, 1976",,Box Score,@,Denver Nuggets,L,,78,112,5,9,L 1,,,,False,NYN,1977
15,"Fri, Nov 19, 1976",,Box Score,@,Phoenix Suns,W,,90,88,6,9,W 1,,,,False,NYN,1977
16,"Sun, Nov 21, 1976",,Box Score,@,Los Angeles Lakers,L,,91,96,6,10,L 1,,,,False,NYN,1977
17,"Wed, Nov 24, 1976",,Box Score,,San Antonio Spurs,W,,99,91,7,10,W 1,,,,False,NYN,1977
18,"Fri, Nov 26, 1976",,Box Score,,Atlanta Hawks,L,,105,109,7,11,L 1,,,,False,NYN,1977
19,"Sat, Nov 27, 1976",,Box Score,@,Milwaukee Bucks,W,,96,91,8,11,W 1,,,,False,NYN,1977
20,"Tue, Nov 30, 1976",,Box Score,@,New York Knicks,W,,104,103,9,11,W 2,,,,False,NYN,1977
21,"Wed, Dec 1, 1976",,Box Score,,Phoenix Suns,L,,96,106,9,12,L 1,,,,False,NYN,1977
22,"Fri, Dec 3, 1976",,Box Score,,Denver Nuggets,L,,124,126,9,13,L 2,,,,False,NYN,1977
23,"Sat, Dec 4, 1976",,Box Score,@,Atlanta Hawks,W,,107,105,10,13,W 1,,,,False,NYN,1977
