G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,is_playoff,team,season
1,"Tue, Oct 16, 2018",10:30p,,Box Score,@,Golden State Warriors,L,,100,108,0,1,L 1,19596,2:24,,False,OKC,2019
2,"Fri, Oct 19, 2018",10:30p,,Box Score,@,Los Angeles Clippers,L,,92,108,0,2,L 2,14816,2:22,,False,OKC,2019
3,"Sun, Oct 21, 2018",7:00p,,Box Score,,Sacramento Kings,L,,120,131,0,3,L 3,18203,2:22,,False,OKC,2019
4,"Thu, Oct 25, 2018",8:00p,,Box Score,,Boston Celtics,L,,95,101,0,4,L 4,18203,2:29,,False,OKC,2019
5,"Sun, Oct 28, 2018",7:00p,,Box Score,,Phoenix Suns,W,,117,110,1,4,W 1,18203,2:21,,False,OKC,2019
6,"Tue, Oct 30, 2018",8:00p,,Box Score,,Los Angeles Clippers,W,,128,110,2,4,W 2,18203,2:23,,False,OKC,2019
7,"Thu, Nov 1, 2018",7:00p,,Box Score,@,Charlotte Hornets,W,,111,107,3,4,W 3,14583,2:16,,False,OKC,2019
8,"Fri, Nov 2, 2018",8:00p,,Box Score,@,Washington Wizards,W,,134,111,4,4,W 4,20409,2:10,,False,OKC,2019
9,"Mon, Nov 5, 2018",8:00p,,Box Score,,New Orleans Pelicans,W,,122,116,5,4,W 5,18203,2:21,,False,OKC,2019
10,"Wed, Nov 7, 2018",7:00p,,Box Score,@,Cleveland Cavaliers,W,,95,86,6,4,W 6,19432,2:14,,False,OKC,2019
11,"Thu, Nov 8, 2018",8:00p,,Box Score,,Houston Rockets,W,,98,80,7,4,W 7,18203,2:13,,False,OKC,2019
12,"Sat, Nov 10, 2018",9:00p,,Box Score,@,Dallas Mavericks,L,,96,111,7,5,L 1,19818,2:10,,False,OKC,2019
13,"Mon, Nov 12, 2018",8:00p,,Box Score,,Phoenix Suns,W,,118,101,8,5,W 1,18203,2:08,,False,OKC,2019
14,"Wed, Nov 14, 2018",8:00p,,Box Score,,New York Knicks,W,,128,103,9,5,W 2,18203,2:03,,False,OKC,2019
15,"Sat, Nov 17, 2018",9:00p,,Box Score,@,Phoenix Suns,W,,110,100,10,5,W 3,16376,2:13,,False,OKC,2019
16,"Mon, Nov 19, 2018",10:00p,,Box Score,@,Sacramento Kings,L,,113,117,10,6,L 1,16250,2:17,,False,OKC,2019
17,"Wed, Nov 21, 2018",10:30p,,Box Score,@,Golden State Warriors,W,,123,95,11,6,W 1,19596,2:13,,False,OKC,2019
18,"Fri, Nov 23, 2018",8:00p,,Box Score,,Charlotte Hornets,W,,109,104,12,6,W 2,18203,2:12,,False,OKC,2019
19,"Sat, Nov 24, 2018",8:00p,,Box Score,,Denver Nuggets,L,,98,105,12,7,L 1,18203,2:13,,False,OKC,2019
20,"Wed, Nov 28, 2018",8:00p,,Box Score,,Cleveland Cavaliers,W,,100,83,13,7,W 1,18203,2:00,,False,OKC,2019
21,"Fri, Nov 30, 2018",8:00p,,Box Score,,Atlanta Hawks,W,,124,109,14,7,W 2,18203,,,False,OKC,2019
22,"Mon, Dec 3, 2018",7:00p,,Box Score,@,Detroit Pistons,W,,110,83,15,7,W 3,14372,2:05,,False,OKC,2019
23,"Wed, Dec 5, 2018",7:30p,,Box Score,@,Brooklyn Nets,W,,114,112,16,7,W 4,13161,2:25,,False,OKC,2019
24,"Fri, Dec 7, 2018",8:00p,,Box Score,@,Chicago Bulls,L,,112,114,16,8,L 1,19842,2:14,,False,OKC,2019
25,"Mon, Dec 10, 2018",8:00p,,Box Score,,Utah Jazz,W,,122,113,17,8,W 1,18203,2:15,,False,OKC,2019
26,"Wed, Dec 12, 2018",8:00p,,Box Score,@,New Orleans Pelicans,L,,114,118,17,9,L 1,14450,2:28,,False,OKC,2019
27,"Fri, Dec 14, 2018",10:00p,,Box Score,@,Denver Nuggets,L,,98,109,17,10,L 2,19520,2:21,,False,OKC,2019
28,"Sat, Dec 15, 2018",9:00p,,Box Score,,Los Angeles Clippers,W,,110,104,18,10,W 1,18203,2:17,,False,OKC,2019
29,"Mon, Dec 17, 2018",8:00p,,Box Score,,Chicago Bulls,W,,121,96,19,10,W 2,18203,2:22,,False,OKC,2019
30,"Wed, Dec 19, 2018",10:00p,,Box Score,@,Sacramento Kings,W,,132,113,20,10,W 3,17583,2:09,,False,OKC,2019
31,"Sat, Dec 22, 2018",9:00p,,Box Score,@,Utah Jazz,W,,107,106,21,10,W 4,18306,2:11,,False,OKC,2019
32,"Sun, Dec 23, 2018",8:00p,,Box Score,,Minnesota Timberwolves,L,,112,114,21,11,L 1,18203,2:26,,False,OKC,2019
33,"Tue, Dec 25, 2018",3:00p,,Box Score,@,Houston Rockets,L,,109,113,21,12,L 2,18055,2:16,,False,OKC,2019
34,"Fri, Dec 28, 2018",9:00p,,Box Score,@,Phoenix Suns,W,,118,102,22,12,W 1,18055,2:03,,False,OKC,2019
35,"Sun, Dec 30, 2018",7:00p,,Box Score,@,Dallas Mavericks,L,,103,105,22,13,L 1,20380,2:11,,False,OKC,2019
36,"Mon, Dec 31, 2018",8:00p,,Box Score,,Dallas Mavericks,W,,122,102,23,13,W 1,18203,2:24,,False,OKC,2019
37,"Wed, Jan 2, 2019",10:30p,,Box Score,@,Los Angeles Lakers,W,,107,100,24,13,W 2,18997,2:25,,False,OKC,2019
38,"Fri, Jan 4, 2019",10:30p,,Box Score,@,Portland Trail Blazers,W,,111,109,25,13,W 3,19393,2:13,,False,OKC,2019
39,"Sun, Jan 6, 2019",7:00p,,Box Score,,Washington Wizards,L,,98,116,25,14,L 1,18203,2:05,,False,OKC,2019
40,"Tue, Jan 8, 2019",8:00p,,Box Score,,Minnesota Timberwolves,L,,117,119,25,15,L 2,18203,2:29,,False,OKC,2019
41,"Thu, Jan 10, 2019",9:30p,,Box Score,@,San Antonio Spurs,L,2OT,147,154,25,16,L 3,18354,3:03,,False,OKC,2019
42,"Sat, Jan 12, 2019",8:00p,,Box Score,,San Antonio Spurs,W,,122,112,26,16,W 1,18203,2:07,,False,OKC,2019
43,"Tue, Jan 15, 2019",7:30p,,Box Score,@,Atlanta Hawks,L,,126,142,26,17,L 1,15045,2:12,,False,OKC,2019
44,"Thu, Jan 17, 2019",9:30p,,Box Score,,Los Angeles Lakers,L,OT,128,138,26,18,L 2,18203,2:40,,False,OKC,2019
45,"Sat, Jan 19, 2019",3:30p,,Box Score,@,Philadelphia 76ers,W,,117,115,27,18,W 1,20646,2:30,,False,OKC,2019
46,"Mon, Jan 21, 2019",12:30p,,Box Score,@,New York Knicks,W,,127,109,28,18,W 2,19493,2:13,,False,OKC,2019
47,"Tue, Jan 22, 2019",8:00p,,Box Score,,Portland Trail Blazers,W,,123,114,29,18,W 3,18203,2:11,,False,OKC,2019
48,"Thu, Jan 24, 2019",8:00p,,Box Score,,New Orleans Pelicans,W,,122,116,30,18,W 4,18203,2:00,,False,OKC,2019
49,"Sun, Jan 27, 2019",6:00p,,Box Score,,Milwaukee Bucks,W,,118,112,31,18,W 5,18203,2:19,,False,OKC,2019
50,"Tue, Jan 29, 2019",7:00p,,Box Score,@,Orlando Magic,W,,126,117,32,18,W 6,16341,2:07,,False,OKC,2019
51,"Fri, Feb 1, 2019",8:00p,,Box Score,@,Miami Heat,W,,118,102,33,18,W 7,19600,2:08,,False,OKC,2019
